Mon May 19 19:20:58 CEST 2014: Problem Count: 250
Mon May 19 19:20:58 CEST 2014: CandidatesCount: 50
Mon May 19 19:20:58 CEST 2014: Max Cycles: 500
Mon May 19 19:21:02 CEST 2014: 0: finished (4123ms, 500cycles)
Mon May 19 19:21:02 CEST 2014: 0: No solution found.
Mon May 19 19:21:07 CEST 2014: 1: finished (4748ms, 500cycles)
Mon May 19 19:21:07 CEST 2014: 1: No solution found.
Mon May 19 19:21:11 CEST 2014: 2: finished (4050ms, 500cycles)
Mon May 19 19:21:11 CEST 2014: 2: No solution found.
Mon May 19 19:21:15 CEST 2014: 3: finished (4427ms, 500cycles)
Mon May 19 19:21:15 CEST 2014: 3: No solution found.
Mon May 19 19:21:20 CEST 2014: 4: finished (4709ms, 500cycles)
Mon May 19 19:21:20 CEST 2014: 4: No solution found.
Mon May 19 19:21:28 CEST 2014: 5: finished (8350ms, 500cycles)
Mon May 19 19:21:28 CEST 2014: 5: No solution found.
Mon May 19 19:21:33 CEST 2014: 6: finished (4540ms, 500cycles)
Mon May 19 19:21:33 CEST 2014: 6: No solution found.
Mon May 19 19:21:38 CEST 2014: 7: finished (4884ms, 500cycles)
Mon May 19 19:21:38 CEST 2014: 7: No solution found.
Mon May 19 19:21:45 CEST 2014: 8: finished (7654ms, 500cycles)
Mon May 19 19:21:45 CEST 2014: 8: No solution found.
Mon May 19 19:21:50 CEST 2014: 9: finished (4593ms, 500cycles)
Mon May 19 19:21:50 CEST 2014: 9: No solution found.
Mon May 19 19:21:54 CEST 2014: 10: finished (4260ms, 500cycles)
Mon May 19 19:21:54 CEST 2014: 10: No solution found.
Mon May 19 19:21:59 CEST 2014: 11: finished (4181ms, 500cycles)
Mon May 19 19:21:59 CEST 2014: 11: No solution found.
Mon May 19 19:22:03 CEST 2014: 12: finished (4132ms, 500cycles)
Mon May 19 19:22:03 CEST 2014: 12: No solution found.
Mon May 19 19:22:07 CEST 2014: 13: finished (4426ms, 500cycles)
Mon May 19 19:22:07 CEST 2014: 13: No solution found.
Mon May 19 19:22:14 CEST 2014: 14: finished (7232ms, 500cycles)
Mon May 19 19:22:14 CEST 2014: 14: No solution found.
Mon May 19 19:22:19 CEST 2014: 15: finished (4473ms, 500cycles)
Mon May 19 19:22:19 CEST 2014: 15: No solution found.
Mon May 19 19:22:23 CEST 2014: 16: finished (4531ms, 500cycles)
Mon May 19 19:22:23 CEST 2014: 16: No solution found.
Mon May 19 19:22:28 CEST 2014: 17: finished (4759ms, 500cycles)
Mon May 19 19:22:28 CEST 2014: 17: No solution found.
Mon May 19 19:22:30 CEST 2014: 18: finished (1934ms, 205cycles)
Mon May 19 19:22:30 CEST 2014: 18: Solution found.
Mon May 19 19:22:35 CEST 2014: 19: finished (4664ms, 500cycles)
Mon May 19 19:22:35 CEST 2014: 19: No solution found.
Mon May 19 19:22:39 CEST 2014: 20: finished (4530ms, 500cycles)
Mon May 19 19:22:39 CEST 2014: 20: No solution found.
Mon May 19 19:22:44 CEST 2014: 21: finished (4424ms, 500cycles)
Mon May 19 19:22:44 CEST 2014: 21: No solution found.
Mon May 19 19:22:51 CEST 2014: 22: finished (7523ms, 500cycles)
Mon May 19 19:22:51 CEST 2014: 22: No solution found.
Mon May 19 19:22:55 CEST 2014: 23: finished (3907ms, 500cycles)
Mon May 19 19:22:55 CEST 2014: 23: No solution found.
Mon May 19 19:23:00 CEST 2014: 24: finished (4658ms, 500cycles)
Mon May 19 19:23:00 CEST 2014: 24: No solution found.
