Fri Dec 27 14:41:16 CET 2013: Problem Count: 100
Fri Dec 27 14:41:16 CET 2013: CandidatesCount: 50
Fri Dec 27 14:41:16 CET 2013: Max Cycles: 500
Fri Dec 27 14:41:17 CET 2013: 0: finished (854ms, 500cycles)
Fri Dec 27 14:41:17 CET 2013: 0: No solution found.
Fri Dec 27 14:41:18 CET 2013: 1: finished (860ms, 500cycles)
Fri Dec 27 14:41:18 CET 2013: 1: No solution found.
Fri Dec 27 14:41:19 CET 2013: 2: finished (1063ms, 500cycles)
Fri Dec 27 14:41:19 CET 2013: 2: No solution found.
Fri Dec 27 14:41:20 CET 2013: 3: finished (985ms, 500cycles)
Fri Dec 27 14:41:20 CET 2013: 3: No solution found.
Fri Dec 27 14:41:21 CET 2013: 4: finished (878ms, 500cycles)
Fri Dec 27 14:41:21 CET 2013: 4: No solution found.
Fri Dec 27 14:41:22 CET 2013: 5: finished (848ms, 500cycles)
Fri Dec 27 14:41:22 CET 2013: 5: No solution found.
Fri Dec 27 14:41:23 CET 2013: 6: finished (1018ms, 500cycles)
Fri Dec 27 14:41:23 CET 2013: 6: No solution found.
Fri Dec 27 14:41:24 CET 2013: 7: finished (1068ms, 500cycles)
Fri Dec 27 14:41:24 CET 2013: 7: No solution found.
Fri Dec 27 14:41:25 CET 2013: 8: finished (936ms, 500cycles)
Fri Dec 27 14:41:25 CET 2013: 8: No solution found.
Fri Dec 27 14:41:25 CET 2013: 9: finished (892ms, 500cycles)
Fri Dec 27 14:41:25 CET 2013: 9: No solution found.
Fri Dec 27 14:41:26 CET 2013: 10: finished (886ms, 500cycles)
Fri Dec 27 14:41:26 CET 2013: 10: No solution found.
Fri Dec 27 14:41:27 CET 2013: 11: finished (886ms, 500cycles)
Fri Dec 27 14:41:27 CET 2013: 11: No solution found.
Fri Dec 27 14:41:28 CET 2013: 12: finished (862ms, 500cycles)
Fri Dec 27 14:41:28 CET 2013: 12: No solution found.
Fri Dec 27 14:41:29 CET 2013: 13: finished (1102ms, 500cycles)
Fri Dec 27 14:41:29 CET 2013: 13: No solution found.
Fri Dec 27 14:41:30 CET 2013: 14: finished (1003ms, 500cycles)
Fri Dec 27 14:41:30 CET 2013: 14: No solution found.
Fri Dec 27 14:41:31 CET 2013: 15: finished (981ms, 500cycles)
Fri Dec 27 14:41:31 CET 2013: 15: No solution found.
Fri Dec 27 14:41:32 CET 2013: 16: finished (1100ms, 500cycles)
Fri Dec 27 14:41:32 CET 2013: 16: No solution found.
Fri Dec 27 14:41:33 CET 2013: 17: finished (901ms, 500cycles)
Fri Dec 27 14:41:33 CET 2013: 17: No solution found.
Fri Dec 27 14:41:34 CET 2013: 18: finished (923ms, 500cycles)
Fri Dec 27 14:41:34 CET 2013: 18: No solution found.
Fri Dec 27 14:41:35 CET 2013: 19: finished (870ms, 500cycles)
Fri Dec 27 14:41:35 CET 2013: 19: No solution found.
Fri Dec 27 14:41:36 CET 2013: 20: finished (893ms, 500cycles)
Fri Dec 27 14:41:36 CET 2013: 20: No solution found.
Fri Dec 27 14:41:37 CET 2013: 21: finished (1043ms, 500cycles)
Fri Dec 27 14:41:37 CET 2013: 21: No solution found.
Fri Dec 27 14:41:38 CET 2013: 22: finished (1019ms, 500cycles)
Fri Dec 27 14:41:38 CET 2013: 22: No solution found.
Fri Dec 27 14:41:39 CET 2013: 23: finished (885ms, 500cycles)
Fri Dec 27 14:41:39 CET 2013: 23: No solution found.
Fri Dec 27 14:41:40 CET 2013: 24: finished (907ms, 500cycles)
Fri Dec 27 14:41:40 CET 2013: 24: No solution found.
Fri Dec 27 14:41:41 CET 2013: 25: finished (1019ms, 500cycles)
Fri Dec 27 14:41:41 CET 2013: 25: No solution found.
Fri Dec 27 14:41:42 CET 2013: 26: finished (962ms, 500cycles)
Fri Dec 27 14:41:42 CET 2013: 26: No solution found.
Fri Dec 27 14:41:43 CET 2013: 27: finished (948ms, 500cycles)
Fri Dec 27 14:41:43 CET 2013: 27: No solution found.
Fri Dec 27 14:41:44 CET 2013: 28: finished (888ms, 500cycles)
Fri Dec 27 14:41:44 CET 2013: 28: No solution found.
Fri Dec 27 14:41:45 CET 2013: 29: finished (1106ms, 500cycles)
Fri Dec 27 14:41:45 CET 2013: 29: No solution found.
Fri Dec 27 14:41:46 CET 2013: 30: finished (1092ms, 500cycles)
Fri Dec 27 14:41:46 CET 2013: 30: No solution found.
Fri Dec 27 14:41:46 CET 2013: 31: finished (107ms, 48cycles)
Fri Dec 27 14:41:46 CET 2013: 31: Solution found.
Fri Dec 27 14:41:47 CET 2013: 32: finished (883ms, 500cycles)
Fri Dec 27 14:41:47 CET 2013: 32: No solution found.
Fri Dec 27 14:41:48 CET 2013: 33: finished (972ms, 500cycles)
Fri Dec 27 14:41:48 CET 2013: 33: No solution found.
Fri Dec 27 14:41:49 CET 2013: 34: finished (980ms, 500cycles)
Fri Dec 27 14:41:49 CET 2013: 34: No solution found.
Fri Dec 27 14:41:50 CET 2013: 35: finished (1040ms, 500cycles)
Fri Dec 27 14:41:50 CET 2013: 35: No solution found.
Fri Dec 27 14:41:51 CET 2013: 36: finished (939ms, 500cycles)
Fri Dec 27 14:41:51 CET 2013: 36: No solution found.
Fri Dec 27 14:41:52 CET 2013: 37: finished (1030ms, 500cycles)
Fri Dec 27 14:41:52 CET 2013: 37: No solution found.
Fri Dec 27 14:41:53 CET 2013: 38: finished (1054ms, 500cycles)
Fri Dec 27 14:41:53 CET 2013: 38: No solution found.
Fri Dec 27 14:41:54 CET 2013: 39: finished (1022ms, 500cycles)
Fri Dec 27 14:41:54 CET 2013: 39: No solution found.
Fri Dec 27 14:41:55 CET 2013: 40: finished (901ms, 500cycles)
Fri Dec 27 14:41:55 CET 2013: 40: No solution found.
Fri Dec 27 14:41:56 CET 2013: 41: finished (872ms, 500cycles)
Fri Dec 27 14:41:56 CET 2013: 41: No solution found.
Fri Dec 27 14:41:57 CET 2013: 42: finished (1091ms, 500cycles)
Fri Dec 27 14:41:57 CET 2013: 42: No solution found.
Fri Dec 27 14:41:58 CET 2013: 43: finished (949ms, 500cycles)
Fri Dec 27 14:41:58 CET 2013: 43: No solution found.
Fri Dec 27 14:41:58 CET 2013: 44: finished (869ms, 500cycles)
Fri Dec 27 14:41:58 CET 2013: 44: No solution found.
Fri Dec 27 14:42:00 CET 2013: 45: finished (1103ms, 500cycles)
Fri Dec 27 14:42:00 CET 2013: 45: No solution found.
Fri Dec 27 14:42:01 CET 2013: 46: finished (1013ms, 500cycles)
Fri Dec 27 14:42:01 CET 2013: 46: No solution found.
Fri Dec 27 14:42:01 CET 2013: 47: finished (892ms, 500cycles)
Fri Dec 27 14:42:01 CET 2013: 47: No solution found.
Fri Dec 27 14:42:02 CET 2013: 48: finished (1026ms, 500cycles)
Fri Dec 27 14:42:02 CET 2013: 48: No solution found.
Fri Dec 27 14:42:04 CET 2013: 49: finished (1054ms, 500cycles)
Fri Dec 27 14:42:04 CET 2013: 49: No solution found.
Fri Dec 27 14:42:04 CET 2013: 50: finished (224ms, 106cycles)
Fri Dec 27 14:42:04 CET 2013: 50: Solution found.
Fri Dec 27 14:42:04 CET 2013: 51: finished (99ms, 47cycles)
Fri Dec 27 14:42:04 CET 2013: 51: Solution found.
Fri Dec 27 14:42:05 CET 2013: 52: finished (878ms, 500cycles)
Fri Dec 27 14:42:05 CET 2013: 52: No solution found.
Fri Dec 27 14:42:06 CET 2013: 53: finished (1088ms, 500cycles)
Fri Dec 27 14:42:06 CET 2013: 53: No solution found.
Fri Dec 27 14:42:07 CET 2013: 54: finished (1000ms, 500cycles)
Fri Dec 27 14:42:07 CET 2013: 54: No solution found.
Fri Dec 27 14:42:08 CET 2013: 55: finished (916ms, 500cycles)
Fri Dec 27 14:42:08 CET 2013: 55: No solution found.
Fri Dec 27 14:42:09 CET 2013: 56: finished (913ms, 500cycles)
Fri Dec 27 14:42:09 CET 2013: 56: No solution found.
Fri Dec 27 14:42:10 CET 2013: 57: finished (1017ms, 500cycles)
Fri Dec 27 14:42:10 CET 2013: 57: No solution found.
Fri Dec 27 14:42:10 CET 2013: 58: finished (720ms, 354cycles)
Fri Dec 27 14:42:10 CET 2013: 58: Solution found.
Fri Dec 27 14:42:10 CET 2013: 59: finished (55ms, 26cycles)
Fri Dec 27 14:42:10 CET 2013: 59: Solution found.
Fri Dec 27 14:42:11 CET 2013: 60: finished (962ms, 500cycles)
Fri Dec 27 14:42:11 CET 2013: 60: No solution found.
Fri Dec 27 14:42:12 CET 2013: 61: finished (1009ms, 500cycles)
Fri Dec 27 14:42:12 CET 2013: 61: No solution found.
Fri Dec 27 14:42:13 CET 2013: 62: finished (858ms, 500cycles)
Fri Dec 27 14:42:13 CET 2013: 62: No solution found.
Fri Dec 27 14:42:14 CET 2013: 63: finished (909ms, 500cycles)
Fri Dec 27 14:42:14 CET 2013: 63: No solution found.
Fri Dec 27 14:42:15 CET 2013: 64: finished (1057ms, 500cycles)
Fri Dec 27 14:42:15 CET 2013: 64: No solution found.
Fri Dec 27 14:42:16 CET 2013: 65: finished (1012ms, 500cycles)
Fri Dec 27 14:42:16 CET 2013: 65: No solution found.
Fri Dec 27 14:42:16 CET 2013: 66: finished (154ms, 68cycles)
Fri Dec 27 14:42:16 CET 2013: 66: Solution found.
Fri Dec 27 14:42:17 CET 2013: 67: finished (1051ms, 500cycles)
Fri Dec 27 14:42:17 CET 2013: 67: No solution found.
Fri Dec 27 14:42:18 CET 2013: 68: finished (983ms, 500cycles)
Fri Dec 27 14:42:18 CET 2013: 68: No solution found.
Fri Dec 27 14:42:19 CET 2013: 69: finished (1021ms, 500cycles)
Fri Dec 27 14:42:19 CET 2013: 69: No solution found.
Fri Dec 27 14:42:20 CET 2013: 70: finished (972ms, 500cycles)
Fri Dec 27 14:42:20 CET 2013: 70: No solution found.
Fri Dec 27 14:42:21 CET 2013: 71: finished (1057ms, 500cycles)
Fri Dec 27 14:42:21 CET 2013: 71: No solution found.
Fri Dec 27 14:42:22 CET 2013: 72: finished (969ms, 500cycles)
Fri Dec 27 14:42:22 CET 2013: 72: No solution found.
Fri Dec 27 14:42:24 CET 2013: 73: finished (1052ms, 500cycles)
Fri Dec 27 14:42:24 CET 2013: 73: No solution found.
Fri Dec 27 14:42:24 CET 2013: 74: finished (964ms, 500cycles)
Fri Dec 27 14:42:24 CET 2013: 74: No solution found.
Fri Dec 27 14:42:25 CET 2013: 75: finished (934ms, 500cycles)
Fri Dec 27 14:42:25 CET 2013: 75: No solution found.
Fri Dec 27 14:42:26 CET 2013: 76: finished (996ms, 500cycles)
Fri Dec 27 14:42:26 CET 2013: 76: No solution found.
Fri Dec 27 14:42:27 CET 2013: 77: finished (886ms, 500cycles)
Fri Dec 27 14:42:27 CET 2013: 77: No solution found.
