Mon Dec 30 14:29:37 CET 2013: Problem Count: 150
Mon Dec 30 14:29:37 CET 2013: CandidatesCount: 100
Mon Dec 30 14:29:37 CET 2013: Max Cycles: 500
Mon Dec 30 14:29:44 CET 2013: 0: finished (6864ms, 500cycles)
Mon Dec 30 14:29:44 CET 2013: 0: No solution found.
Mon Dec 30 14:29:50 CET 2013: 1: finished (6880ms, 500cycles)
Mon Dec 30 14:29:50 CET 2013: 1: No solution found.
Mon Dec 30 14:29:58 CET 2013: 2: finished (7267ms, 500cycles)
Mon Dec 30 14:29:58 CET 2013: 2: No solution found.
Mon Dec 30 14:30:06 CET 2013: 3: finished (7790ms, 500cycles)
Mon Dec 30 14:30:06 CET 2013: 3: No solution found.
Mon Dec 30 14:30:06 CET 2013: 4: finished (872ms, 53cycles)
Mon Dec 30 14:30:06 CET 2013: 4: Solution found.
Mon Dec 30 14:30:14 CET 2013: 5: finished (7484ms, 500cycles)
Mon Dec 30 14:30:14 CET 2013: 5: No solution found.
Mon Dec 30 14:30:21 CET 2013: 6: finished (7582ms, 500cycles)
Mon Dec 30 14:30:21 CET 2013: 6: No solution found.
Mon Dec 30 14:30:30 CET 2013: 7: finished (8183ms, 500cycles)
Mon Dec 30 14:30:30 CET 2013: 7: No solution found.
Mon Dec 30 14:30:37 CET 2013: 8: finished (6952ms, 500cycles)
Mon Dec 30 14:30:37 CET 2013: 8: No solution found.
Mon Dec 30 14:30:43 CET 2013: 9: finished (6850ms, 500cycles)
Mon Dec 30 14:30:43 CET 2013: 9: No solution found.
Mon Dec 30 14:30:51 CET 2013: 10: finished (7409ms, 500cycles)
Mon Dec 30 14:30:51 CET 2013: 10: No solution found.
Mon Dec 30 14:31:00 CET 2013: 11: finished (9020ms, 500cycles)
Mon Dec 30 14:31:00 CET 2013: 11: No solution found.
Mon Dec 30 14:31:07 CET 2013: 12: finished (7349ms, 500cycles)
Mon Dec 30 14:31:07 CET 2013: 12: No solution found.
Mon Dec 30 14:31:14 CET 2013: 13: finished (6839ms, 500cycles)
Mon Dec 30 14:31:14 CET 2013: 13: No solution found.
Mon Dec 30 14:31:21 CET 2013: 14: finished (7102ms, 500cycles)
Mon Dec 30 14:31:21 CET 2013: 14: No solution found.
Mon Dec 30 14:31:29 CET 2013: 15: finished (7794ms, 500cycles)
Mon Dec 30 14:31:29 CET 2013: 15: No solution found.
Mon Dec 30 14:31:36 CET 2013: 16: finished (6687ms, 500cycles)
Mon Dec 30 14:31:36 CET 2013: 16: No solution found.
Mon Dec 30 14:31:43 CET 2013: 17: finished (7300ms, 500cycles)
Mon Dec 30 14:31:43 CET 2013: 17: No solution found.
Mon Dec 30 14:31:48 CET 2013: 18: finished (5010ms, 277cycles)
Mon Dec 30 14:31:48 CET 2013: 18: Solution found.
Mon Dec 30 14:31:55 CET 2013: 19: finished (7491ms, 500cycles)
Mon Dec 30 14:31:55 CET 2013: 19: No solution found.
Mon Dec 30 14:32:04 CET 2013: 20: finished (8698ms, 500cycles)
Mon Dec 30 14:32:04 CET 2013: 20: No solution found.
Mon Dec 30 14:32:12 CET 2013: 21: finished (7492ms, 500cycles)
Mon Dec 30 14:32:12 CET 2013: 21: No solution found.
Mon Dec 30 14:32:19 CET 2013: 22: finished (7501ms, 500cycles)
Mon Dec 30 14:32:19 CET 2013: 22: No solution found.
Mon Dec 30 14:32:27 CET 2013: 23: finished (7601ms, 500cycles)
Mon Dec 30 14:32:27 CET 2013: 23: No solution found.
Mon Dec 30 14:32:34 CET 2013: 24: finished (7683ms, 500cycles)
Mon Dec 30 14:32:34 CET 2013: 24: No solution found.
Mon Dec 30 14:32:42 CET 2013: 25: finished (7563ms, 500cycles)
Mon Dec 30 14:32:42 CET 2013: 25: No solution found.
Mon Dec 30 14:32:49 CET 2013: 26: finished (7239ms, 500cycles)
Mon Dec 30 14:32:49 CET 2013: 26: No solution found.
Mon Dec 30 14:32:50 CET 2013: 27: finished (840ms, 50cycles)
Mon Dec 30 14:32:50 CET 2013: 27: Solution found.
Mon Dec 30 14:32:57 CET 2013: 28: finished (7076ms, 500cycles)
Mon Dec 30 14:32:57 CET 2013: 28: No solution found.
Mon Dec 30 14:33:05 CET 2013: 29: finished (7529ms, 500cycles)
Mon Dec 30 14:33:05 CET 2013: 29: No solution found.
Mon Dec 30 14:33:12 CET 2013: 30: finished (7535ms, 500cycles)
Mon Dec 30 14:33:12 CET 2013: 30: No solution found.
Mon Dec 30 14:33:20 CET 2013: 31: finished (7527ms, 500cycles)
