Sun Dec 29 00:47:47 CET 2013: 45: finished (26248ms, 250cycles)
Sun Dec 29 00:47:47 CET 2013: 45: No solution found.
Sun Dec 29 00:48:12 CET 2013: 46: finished (24874ms, 250cycles)
Sun Dec 29 00:48:12 CET 2013: 46: No solution found.
Sun Dec 29 00:48:34 CET 2013: 47: finished (21849ms, 250cycles)
Sun Dec 29 00:48:34 CET 2013: 47: No solution found.
Sun Dec 29 00:49:00 CET 2013: 48: finished (26125ms, 250cycles)
Sun Dec 29 00:49:00 CET 2013: 48: No solution found.
Sun Dec 29 00:49:02 CET 2013: 49: finished (2296ms, 25cycles)
Sun Dec 29 00:49:02 CET 2013: 49: Solution found.
Sun Dec 29 00:49:30 CET 2013: 50: finished (27702ms, 250cycles)
Sun Dec 29 00:49:30 CET 2013: 50: No solution found.
Sun Dec 29 00:49:54 CET 2013: 51: finished (24271ms, 250cycles)
Sun Dec 29 00:49:54 CET 2013: 51: No solution found.
Sun Dec 29 00:50:19 CET 2013: 52: finished (24877ms, 250cycles)
Sun Dec 29 00:50:19 CET 2013: 52: No solution found.
Sun Dec 29 00:50:40 CET 2013: 53: finished (21000ms, 250cycles)
Sun Dec 29 00:50:40 CET 2013: 53: No solution found.
Sun Dec 29 00:51:05 CET 2013: 54: finished (24845ms, 250cycles)
Sun Dec 29 00:51:05 CET 2013: 54: No solution found.
Sun Dec 29 00:51:31 CET 2013: 55: finished (25445ms, 250cycles)
Sun Dec 29 00:51:31 CET 2013: 55: No solution found.
Sun Dec 29 00:51:58 CET 2013: 56: finished (26910ms, 250cycles)
Sun Dec 29 00:51:58 CET 2013: 56: No solution found.
Sun Dec 29 00:52:21 CET 2013: 57: finished (23660ms, 250cycles)
Sun Dec 29 00:52:21 CET 2013: 57: No solution found.
Sun Dec 29 00:52:45 CET 2013: 58: finished (23300ms, 250cycles)
Sun Dec 29 00:52:45 CET 2013: 58: No solution found.
Sun Dec 29 00:53:10 CET 2013: 59: finished (25256ms, 250cycles)
Sun Dec 29 00:53:10 CET 2013: 59: No solution found.
Sun Dec 29 00:53:37 CET 2013: 60: finished (27013ms, 250cycles)
Sun Dec 29 00:53:37 CET 2013: 60: No solution found.
Sun Dec 29 00:53:41 CET 2013: 61: finished (4435ms, 38cycles)
Sun Dec 29 00:53:41 CET 2013: 61: Solution found.
Sun Dec 29 00:54:05 CET 2013: 62: finished (23856ms, 250cycles)
Sun Dec 29 00:54:05 CET 2013: 62: No solution found.
Sun Dec 29 00:54:29 CET 2013: 63: finished (23988ms, 250cycles)
Sun Dec 29 00:54:29 CET 2013: 63: No solution found.
Sun Dec 29 00:54:53 CET 2013: 64: finished (24196ms, 250cycles)
Sun Dec 29 00:54:53 CET 2013: 64: No solution found.
Sun Dec 29 00:55:18 CET 2013: 65: finished (25067ms, 250cycles)
Sun Dec 29 00:55:18 CET 2013: 65: No solution found.
Sun Dec 29 00:55:27 CET 2013: 66: finished (8367ms, 91cycles)
Sun Dec 29 00:55:27 CET 2013: 66: Solution found.
Sun Dec 29 00:55:52 CET 2013: 67: finished (25576ms, 250cycles)
Sun Dec 29 00:55:52 CET 2013: 67: No solution found.
Sun Dec 29 00:56:17 CET 2013: 68: finished (24647ms, 250cycles)
Sun Dec 29 00:56:17 CET 2013: 68: No solution found.
Sun Dec 29 00:56:44 CET 2013: 69: finished (26992ms, 250cycles)
Sun Dec 29 00:56:44 CET 2013: 69: No solution found.
Sun Dec 29 00:56:50 CET 2013: 70: finished (6198ms, 67cycles)
Sun Dec 29 00:56:50 CET 2013: 70: Solution found.
Sun Dec 29 00:56:58 CET 2013: 71: finished (8060ms, 89cycles)
Sun Dec 29 00:56:58 CET 2013: 71: Solution found.
Sun Dec 29 00:57:23 CET 2013: 72: finished (24644ms, 250cycles)
Sun Dec 29 00:57:23 CET 2013: 72: No solution found.
Sun Dec 29 00:57:48 CET 2013: 73: finished (25648ms, 250cycles)
Sun Dec 29 00:57:48 CET 2013: 73: No solution found.
Sun Dec 29 00:58:10 CET 2013: 74: finished (21873ms, 250cycles)
Sun Dec 29 00:58:10 CET 2013: 74: No solution found.
Sun Dec 29 00:58:37 CET 2013: 75: finished (26389ms, 250cycles)
Sun Dec 29 00:58:37 CET 2013: 75: No solution found.
Sun Dec 29 00:59:02 CET 2013: 76: finished (25544ms, 250cycles)
Sun Dec 29 00:59:02 CET 2013: 76: No solution found.
Sun Dec 29 00:59:27 CET 2013: 77: finished (25145ms, 250cycles)
Sun Dec 29 00:59:27 CET 2013: 77: No solution found.
Sun Dec 29 00:59:49 CET 2013: 78: finished (21774ms, 250cycles)
Sun Dec 29 00:59:49 CET 2013: 78: No solution found.
Sun Dec 29 01:00:18 CET 2013: 79: finished (29225ms, 250cycles)
Sun Dec 29 01:00:18 CET 2013: 79: No solution found.
Sun Dec 29 01:00:43 CET 2013: 80: finished (25034ms, 250cycles)
Sun Dec 29 01:00:43 CET 2013: 80: No solution found.
Sun Dec 29 01:01:08 CET 2013: 81: finished (24823ms, 250cycles)
Sun Dec 29 01:01:08 CET 2013: 81: No solution found.
Sun Dec 29 01:01:17 CET 2013: 82: finished (8705ms, 66cycles)
Sun Dec 29 01:01:17 CET 2013: 82: Solution found.
Sun Dec 29 01:01:38 CET 2013: 83: finished (21426ms, 250cycles)
Sun Dec 29 01:01:38 CET 2013: 83: No solution found.
Sun Dec 29 01:01:42 CET 2013: 84: finished (3925ms, 29cycles)
Sun Dec 29 01:01:42 CET 2013: 84: Solution found.
Sun Dec 29 01:02:10 CET 2013: 85: finished (27266ms, 250cycles)
Sun Dec 29 01:02:10 CET 2013: 85: No solution found.
Sun Dec 29 01:02:32 CET 2013: 86: finished (22319ms, 250cycles)
Sun Dec 29 01:02:32 CET 2013: 86: No solution found.
Sun Dec 29 01:02:58 CET 2013: 87: finished (25941ms, 250cycles)
Sun Dec 29 01:02:58 CET 2013: 87: No solution found.
Sun Dec 29 01:03:24 CET 2013: 88: finished (26301ms, 250cycles)
Sun Dec 29 01:03:24 CET 2013: 88: No solution found.
Sun Dec 29 01:03:49 CET 2013: 89: finished (24896ms, 250cycles)
Sun Dec 29 01:03:49 CET 2013: 89: No solution found.
Sun Dec 29 01:03:54 CET 2013: 90: finished (5345ms, 59cycles)
Sun Dec 29 01:03:54 CET 2013: 90: Solution found.
Sun Dec 29 01:03:59 CET 2013: 91: finished (4652ms, 50cycles)
Sun Dec 29 01:03:59 CET 2013: 91: Solution found.
Sun Dec 29 01:04:24 CET 2013: 92: finished (24865ms, 250cycles)
Sun Dec 29 01:04:24 CET 2013: 92: No solution found.
Sun Dec 29 01:04:45 CET 2013: 93: finished (20854ms, 250cycles)
Sun Dec 29 01:04:45 CET 2013: 93: No solution found.
Sun Dec 29 01:05:12 CET 2013: 94: finished (26808ms, 250cycles)
Sun Dec 29 01:05:12 CET 2013: 94: No solution found.
Sun Dec 29 01:05:36 CET 2013: 95: finished (24891ms, 250cycles)
Sun Dec 29 01:05:36 CET 2013: 95: No solution found.
Sun Dec 29 01:06:00 CET 2013: 96: finished (23416ms, 250cycles)
Sun Dec 29 01:06:00 CET 2013: 96: No solution found.
Sun Dec 29 01:06:25 CET 2013: 97: finished (24845ms, 250cycles)
Sun Dec 29 01:06:25 CET 2013: 97: No solution found.
