Mon Dec 30 02:17:52 CET 2013: Problem Count: 50
Mon Dec 30 02:17:52 CET 2013: CandidatesCount: 50
Mon Dec 30 02:17:52 CET 2013: Max Cycles: 500
Mon Dec 30 02:17:53 CET 2013: 0: finished (745ms, 500cycles)
Mon Dec 30 02:17:53 CET 2013: 0: No solution found.
Mon Dec 30 02:17:54 CET 2013: 1: finished (683ms, 500cycles)
Mon Dec 30 02:17:54 CET 2013: 1: No solution found.
Mon Dec 30 02:17:55 CET 2013: 2: finished (1112ms, 500cycles)
Mon Dec 30 02:17:55 CET 2013: 2: No solution found.
Mon Dec 30 02:17:55 CET 2013: 3: finished (717ms, 500cycles)
Mon Dec 30 02:17:55 CET 2013: 3: No solution found.
Mon Dec 30 02:17:56 CET 2013: 4: finished (1092ms, 500cycles)
Mon Dec 30 02:17:56 CET 2013: 4: No solution found.
Mon Dec 30 02:17:57 CET 2013: 5: finished (882ms, 500cycles)
Mon Dec 30 02:17:57 CET 2013: 5: No solution found.
Mon Dec 30 02:17:58 CET 2013: 6: finished (605ms, 500cycles)
Mon Dec 30 02:17:58 CET 2013: 6: No solution found.
Mon Dec 30 02:17:59 CET 2013: 7: finished (618ms, 500cycles)
Mon Dec 30 02:17:59 CET 2013: 7: No solution found.
Mon Dec 30 02:18:00 CET 2013: 8: finished (1077ms, 500cycles)
Mon Dec 30 02:18:00 CET 2013: 8: No solution found.
Mon Dec 30 02:18:00 CET 2013: 9: finished (590ms, 500cycles)
Mon Dec 30 02:18:00 CET 2013: 9: No solution found.
Mon Dec 30 02:18:01 CET 2013: 10: finished (498ms, 228cycles)
Mon Dec 30 02:18:01 CET 2013: 10: Solution found.
Mon Dec 30 02:18:01 CET 2013: 11: finished (598ms, 500cycles)
Mon Dec 30 02:18:01 CET 2013: 11: No solution found.
Mon Dec 30 02:18:02 CET 2013: 12: finished (1047ms, 500cycles)
Mon Dec 30 02:18:02 CET 2013: 12: No solution found.
Mon Dec 30 02:18:03 CET 2013: 13: finished (978ms, 500cycles)
Mon Dec 30 02:18:03 CET 2013: 13: No solution found.
Mon Dec 30 02:18:04 CET 2013: 14: finished (621ms, 500cycles)
Mon Dec 30 02:18:04 CET 2013: 14: No solution found.
Mon Dec 30 02:18:05 CET 2013: 15: finished (596ms, 500cycles)
Mon Dec 30 02:18:05 CET 2013: 15: No solution found.
Mon Dec 30 02:18:05 CET 2013: 16: finished (905ms, 500cycles)
Mon Dec 30 02:18:05 CET 2013: 16: No solution found.
Mon Dec 30 02:18:06 CET 2013: 17: finished (619ms, 500cycles)
Mon Dec 30 02:18:06 CET 2013: 17: No solution found.
Mon Dec 30 02:18:07 CET 2013: 18: finished (680ms, 500cycles)
Mon Dec 30 02:18:07 CET 2013: 18: No solution found.
Mon Dec 30 02:18:08 CET 2013: 19: finished (1205ms, 500cycles)
Mon Dec 30 02:18:08 CET 2013: 19: No solution found.
Mon Dec 30 02:18:09 CET 2013: 20: finished (1031ms, 500cycles)
Mon Dec 30 02:18:09 CET 2013: 20: No solution found.
Mon Dec 30 02:18:10 CET 2013: 21: finished (588ms, 500cycles)
Mon Dec 30 02:18:10 CET 2013: 21: No solution found.
Mon Dec 30 02:18:10 CET 2013: 22: finished (871ms, 500cycles)
Mon Dec 30 02:18:10 CET 2013: 22: No solution found.
Mon Dec 30 02:18:11 CET 2013: 23: finished (573ms, 500cycles)
Mon Dec 30 02:18:11 CET 2013: 23: No solution found.
