Mon Dec 30 03:07:13 CET 2013: Problem Count: 100
Mon Dec 30 03:07:13 CET 2013: CandidatesCount: 50
Mon Dec 30 03:07:13 CET 2013: Max Cycles: 500
Mon Dec 30 03:07:14 CET 2013: 0: finished (924ms, 500cycles)
Mon Dec 30 03:07:14 CET 2013: 0: No solution found.
Mon Dec 30 03:07:15 CET 2013: 1: finished (972ms, 500cycles)
Mon Dec 30 03:07:15 CET 2013: 1: No solution found.
Mon Dec 30 03:07:15 CET 2013: 2: finished (846ms, 500cycles)
Mon Dec 30 03:07:15 CET 2013: 2: No solution found.
Mon Dec 30 03:07:16 CET 2013: 3: finished (971ms, 500cycles)
Mon Dec 30 03:07:16 CET 2013: 3: No solution found.
Mon Dec 30 03:07:17 CET 2013: 4: finished (931ms, 500cycles)
Mon Dec 30 03:07:17 CET 2013: 4: No solution found.
Mon Dec 30 03:07:18 CET 2013: 5: finished (912ms, 500cycles)
Mon Dec 30 03:07:18 CET 2013: 5: No solution found.
Mon Dec 30 03:07:19 CET 2013: 6: finished (913ms, 500cycles)
Mon Dec 30 03:07:19 CET 2013: 6: No solution found.
Mon Dec 30 03:07:20 CET 2013: 7: finished (933ms, 500cycles)
Mon Dec 30 03:07:20 CET 2013: 7: No solution found.
Mon Dec 30 03:07:21 CET 2013: 8: finished (883ms, 500cycles)
Mon Dec 30 03:07:21 CET 2013: 8: No solution found.
Mon Dec 30 03:07:22 CET 2013: 9: finished (968ms, 500cycles)
Mon Dec 30 03:07:22 CET 2013: 9: No solution found.
Mon Dec 30 03:07:23 CET 2013: 10: finished (904ms, 500cycles)
Mon Dec 30 03:07:23 CET 2013: 10: No solution found.
Mon Dec 30 03:07:24 CET 2013: 11: finished (1306ms, 500cycles)
Mon Dec 30 03:07:24 CET 2013: 11: No solution found.
Mon Dec 30 03:07:25 CET 2013: 12: finished (884ms, 500cycles)
Mon Dec 30 03:07:25 CET 2013: 12: No solution found.
Mon Dec 30 03:07:26 CET 2013: 13: finished (861ms, 500cycles)
Mon Dec 30 03:07:26 CET 2013: 13: No solution found.
Mon Dec 30 03:07:27 CET 2013: 14: finished (861ms, 500cycles)
Mon Dec 30 03:07:27 CET 2013: 14: No solution found.
Mon Dec 30 03:07:28 CET 2013: 15: finished (1390ms, 500cycles)
Mon Dec 30 03:07:28 CET 2013: 15: No solution found.
Mon Dec 30 03:07:29 CET 2013: 16: finished (921ms, 500cycles)
Mon Dec 30 03:07:29 CET 2013: 16: No solution found.
Mon Dec 30 03:07:30 CET 2013: 17: finished (1294ms, 500cycles)
Mon Dec 30 03:07:30 CET 2013: 17: No solution found.
Mon Dec 30 03:07:31 CET 2013: 18: finished (897ms, 500cycles)
Mon Dec 30 03:07:31 CET 2013: 18: No solution found.
Mon Dec 30 03:07:32 CET 2013: 19: finished (989ms, 500cycles)
Mon Dec 30 03:07:32 CET 2013: 19: No solution found.
Mon Dec 30 03:07:33 CET 2013: 20: finished (995ms, 500cycles)
Mon Dec 30 03:07:33 CET 2013: 20: No solution found.
Mon Dec 30 03:07:34 CET 2013: 21: finished (926ms, 500cycles)
Mon Dec 30 03:07:34 CET 2013: 21: No solution found.
Mon Dec 30 03:07:34 CET 2013: 22: finished (88ms, 44cycles)
Mon Dec 30 03:07:34 CET 2013: 22: Solution found.
Mon Dec 30 03:07:36 CET 2013: 23: finished (1282ms, 500cycles)
Mon Dec 30 03:07:36 CET 2013: 23: No solution found.
