Mon Dec 30 02:48:02 CET 2013: Problem Count: 50
Mon Dec 30 02:48:02 CET 2013: CandidatesCount: 100
Mon Dec 30 02:48:02 CET 2013: Max Cycles: 500
Mon Dec 30 02:48:03 CET 2013: 0: finished (1243ms, 500cycles)
Mon Dec 30 02:48:03 CET 2013: 0: No solution found.
Mon Dec 30 02:48:03 CET 2013: 1: finished (114ms, 38cycles)
Mon Dec 30 02:48:03 CET 2013: 1: Solution found.
Mon Dec 30 02:48:05 CET 2013: 2: finished (2272ms, 500cycles)
Mon Dec 30 02:48:05 CET 2013: 2: No solution found.
Mon Dec 30 02:48:07 CET 2013: 3: finished (2097ms, 500cycles)
Mon Dec 30 02:48:07 CET 2013: 3: No solution found.
Mon Dec 30 02:48:09 CET 2013: 4: finished (1400ms, 500cycles)
Mon Dec 30 02:48:09 CET 2013: 4: No solution found.
Mon Dec 30 02:48:11 CET 2013: 5: finished (2270ms, 500cycles)
Mon Dec 30 02:48:11 CET 2013: 5: No solution found.
Mon Dec 30 02:48:12 CET 2013: 6: finished (1235ms, 500cycles)
Mon Dec 30 02:48:12 CET 2013: 6: No solution found.
Mon Dec 30 02:48:14 CET 2013: 7: finished (1813ms, 500cycles)
Mon Dec 30 02:48:14 CET 2013: 7: No solution found.
Mon Dec 30 02:48:15 CET 2013: 8: finished (1211ms, 500cycles)
Mon Dec 30 02:48:15 CET 2013: 8: No solution found.
Mon Dec 30 02:48:17 CET 2013: 9: finished (1214ms, 500cycles)
Mon Dec 30 02:48:17 CET 2013: 9: No solution found.
Mon Dec 30 02:48:19 CET 2013: 10: finished (2394ms, 500cycles)
Mon Dec 30 02:48:19 CET 2013: 10: No solution found.
Mon Dec 30 02:48:21 CET 2013: 11: finished (2377ms, 500cycles)
Mon Dec 30 02:48:21 CET 2013: 11: No solution found.
Mon Dec 30 02:48:22 CET 2013: 12: finished (1074ms, 500cycles)
Mon Dec 30 02:48:22 CET 2013: 12: No solution found.
Mon Dec 30 02:48:24 CET 2013: 13: finished (1171ms, 500cycles)
Mon Dec 30 02:48:24 CET 2013: 13: No solution found.
Mon Dec 30 02:48:25 CET 2013: 14: finished (1230ms, 500cycles)
Mon Dec 30 02:48:25 CET 2013: 14: No solution found.
Mon Dec 30 02:48:27 CET 2013: 15: finished (2106ms, 500cycles)
Mon Dec 30 02:48:27 CET 2013: 15: No solution found.
Mon Dec 30 02:48:27 CET 2013: 16: finished (119ms, 47cycles)
Mon Dec 30 02:48:27 CET 2013: 16: Solution found.
Mon Dec 30 02:48:29 CET 2013: 17: finished (1493ms, 368cycles)
Mon Dec 30 02:48:29 CET 2013: 17: Solution found.
Mon Dec 30 02:48:31 CET 2013: 18: finished (2259ms, 500cycles)
Mon Dec 30 02:48:31 CET 2013: 18: No solution found.
Mon Dec 30 02:48:32 CET 2013: 19: finished (1413ms, 500cycles)
Mon Dec 30 02:48:32 CET 2013: 19: No solution found.
Mon Dec 30 02:48:34 CET 2013: 20: finished (1846ms, 500cycles)
Mon Dec 30 02:48:34 CET 2013: 20: No solution found.
Mon Dec 30 02:48:35 CET 2013: 21: finished (1064ms, 500cycles)
Mon Dec 30 02:48:35 CET 2013: 21: No solution found.
Mon Dec 30 02:48:37 CET 2013: 22: finished (1778ms, 500cycles)
Mon Dec 30 02:48:37 CET 2013: 22: No solution found.
Mon Dec 30 02:48:38 CET 2013: 23: finished (1177ms, 500cycles)
Mon Dec 30 02:48:38 CET 2013: 23: No solution found.
Mon Dec 30 02:48:39 CET 2013: 24: finished (1136ms, 500cycles)
Mon Dec 30 02:48:39 CET 2013: 24: No solution found.
Mon Dec 30 02:48:40 CET 2013: 25: finished (1264ms, 500cycles)
Mon Dec 30 02:48:40 CET 2013: 25: No solution found.
Mon Dec 30 02:48:42 CET 2013: 26: finished (1066ms, 500cycles)
Mon Dec 30 02:48:42 CET 2013: 26: No solution found.
Mon Dec 30 02:48:44 CET 2013: 27: finished (2442ms, 500cycles)
Mon Dec 30 02:48:44 CET 2013: 27: No solution found.
Mon Dec 30 02:48:44 CET 2013: 28: finished (161ms, 65cycles)
Mon Dec 30 02:48:44 CET 2013: 28: Solution found.
Mon Dec 30 02:48:45 CET 2013: 29: finished (1190ms, 500cycles)
Mon Dec 30 02:48:45 CET 2013: 29: No solution found.
Mon Dec 30 02:48:46 CET 2013: 30: finished (832ms, 204cycles)
Mon Dec 30 02:48:46 CET 2013: 30: Solution found.
Mon Dec 30 02:48:48 CET 2013: 31: finished (1699ms, 500cycles)
Mon Dec 30 02:48:48 CET 2013: 31: No solution found.
Mon Dec 30 02:48:49 CET 2013: 32: finished (1571ms, 500cycles)
Mon Dec 30 02:48:49 CET 2013: 32: No solution found.
Mon Dec 30 02:48:52 CET 2013: 33: finished (2068ms, 500cycles)
Mon Dec 30 02:48:52 CET 2013: 33: No solution found.
Mon Dec 30 02:48:53 CET 2013: 34: finished (1204ms, 500cycles)
Mon Dec 30 02:48:53 CET 2013: 34: No solution found.
Mon Dec 30 02:48:54 CET 2013: 35: finished (1165ms, 500cycles)
Mon Dec 30 02:48:54 CET 2013: 35: No solution found.
Mon Dec 30 02:48:55 CET 2013: 36: finished (1165ms, 500cycles)
Mon Dec 30 02:48:55 CET 2013: 36: No solution found.
Mon Dec 30 02:48:56 CET 2013: 37: finished (1068ms, 500cycles)
Mon Dec 30 02:48:56 CET 2013: 37: No solution found.
Mon Dec 30 02:48:57 CET 2013: 38: finished (1170ms, 500cycles)
Mon Dec 30 02:48:57 CET 2013: 38: No solution found.
Mon Dec 30 02:48:58 CET 2013: 39: finished (292ms, 86cycles)
Mon Dec 30 02:48:58 CET 2013: 39: Solution found.
Mon Dec 30 02:49:00 CET 2013: 40: finished (2120ms, 500cycles)
Mon Dec 30 02:49:00 CET 2013: 40: No solution found.
Mon Dec 30 02:49:01 CET 2013: 41: finished (1322ms, 500cycles)
Mon Dec 30 02:49:01 CET 2013: 41: No solution found.
Mon Dec 30 02:49:02 CET 2013: 42: finished (1196ms, 500cycles)
Mon Dec 30 02:49:02 CET 2013: 42: No solution found.
Mon Dec 30 02:49:03 CET 2013: 43: finished (1209ms, 500cycles)
Mon Dec 30 02:49:03 CET 2013: 43: No solution found.
Mon Dec 30 02:49:05 CET 2013: 44: finished (1169ms, 500cycles)
Mon Dec 30 02:49:05 CET 2013: 44: No solution found.
Mon Dec 30 02:49:07 CET 2013: 45: finished (1968ms, 420cycles)
Mon Dec 30 02:49:07 CET 2013: 45: Solution found.
Mon Dec 30 02:49:08 CET 2013: 46: finished (1201ms, 500cycles)
Mon Dec 30 02:49:08 CET 2013: 46: No solution found.
