Mon Dec 30 03:28:58 CET 2013: Problem Count: 150
Mon Dec 30 03:28:58 CET 2013: CandidatesCount: 100
Mon Dec 30 03:28:58 CET 2013: Max Cycles: 500
Mon Dec 30 03:29:04 CET 2013: 0: finished (6025ms, 500cycles)
Mon Dec 30 03:29:04 CET 2013: 0: No solution found.
Mon Dec 30 03:29:09 CET 2013: 1: finished (4268ms, 500cycles)
Mon Dec 30 03:29:09 CET 2013: 1: No solution found.
Mon Dec 30 03:29:12 CET 2013: 2: finished (3855ms, 500cycles)
Mon Dec 30 03:29:12 CET 2013: 2: No solution found.
Mon Dec 30 03:29:16 CET 2013: 3: finished (3658ms, 500cycles)
Mon Dec 30 03:29:16 CET 2013: 3: No solution found.
Mon Dec 30 03:29:21 CET 2013: 4: finished (4872ms, 500cycles)
Mon Dec 30 03:29:21 CET 2013: 4: No solution found.
Mon Dec 30 03:29:25 CET 2013: 5: finished (3706ms, 500cycles)
Mon Dec 30 03:29:25 CET 2013: 5: No solution found.
Mon Dec 30 03:29:28 CET 2013: 6: finished (3412ms, 500cycles)
Mon Dec 30 03:29:28 CET 2013: 6: No solution found.
Mon Dec 30 03:29:35 CET 2013: 7: finished (6712ms, 500cycles)
Mon Dec 30 03:29:35 CET 2013: 7: No solution found.
Mon Dec 30 03:29:36 CET 2013: 8: finished (1179ms, 147cycles)
Mon Dec 30 03:29:36 CET 2013: 8: Solution found.
Mon Dec 30 03:29:40 CET 2013: 9: finished (3966ms, 500cycles)
Mon Dec 30 03:29:40 CET 2013: 9: No solution found.
Mon Dec 30 03:29:44 CET 2013: 10: finished (3659ms, 500cycles)
Mon Dec 30 03:29:44 CET 2013: 10: No solution found.
Mon Dec 30 03:29:47 CET 2013: 11: finished (3873ms, 500cycles)
Mon Dec 30 03:29:47 CET 2013: 11: No solution found.
Mon Dec 30 03:29:51 CET 2013: 12: finished (3459ms, 500cycles)
Mon Dec 30 03:29:51 CET 2013: 12: No solution found.
Mon Dec 30 03:29:58 CET 2013: 13: finished (6717ms, 500cycles)
Mon Dec 30 03:29:58 CET 2013: 13: No solution found.
Mon Dec 30 03:30:01 CET 2013: 14: finished (3587ms, 500cycles)
Mon Dec 30 03:30:01 CET 2013: 14: No solution found.
Mon Dec 30 03:30:05 CET 2013: 15: finished (3615ms, 500cycles)
Mon Dec 30 03:30:05 CET 2013: 15: No solution found.
Mon Dec 30 03:30:08 CET 2013: 16: finished (3457ms, 500cycles)
Mon Dec 30 03:30:08 CET 2013: 16: No solution found.
Mon Dec 30 03:30:12 CET 2013: 17: finished (3637ms, 500cycles)
Mon Dec 30 03:30:12 CET 2013: 17: No solution found.
Mon Dec 30 03:30:16 CET 2013: 18: finished (3858ms, 500cycles)
Mon Dec 30 03:30:16 CET 2013: 18: No solution found.
Mon Dec 30 03:30:20 CET 2013: 19: finished (3804ms, 500cycles)
Mon Dec 30 03:30:20 CET 2013: 19: No solution found.
Mon Dec 30 03:30:23 CET 2013: 20: finished (3605ms, 500cycles)
Mon Dec 30 03:30:23 CET 2013: 20: No solution found.
Mon Dec 30 03:30:27 CET 2013: 21: finished (3731ms, 500cycles)
Mon Dec 30 03:30:27 CET 2013: 21: No solution found.
Mon Dec 30 03:30:33 CET 2013: 22: finished (5842ms, 500cycles)
Mon Dec 30 03:30:33 CET 2013: 22: No solution found.
Mon Dec 30 03:30:37 CET 2013: 23: finished (4638ms, 500cycles)
Mon Dec 30 03:30:37 CET 2013: 23: No solution found.
Mon Dec 30 03:30:38 CET 2013: 24: finished (217ms, 28cycles)
Mon Dec 30 03:30:38 CET 2013: 24: Solution found.
Mon Dec 30 03:30:41 CET 2013: 25: finished (3558ms, 500cycles)
Mon Dec 30 03:30:41 CET 2013: 25: No solution found.
Mon Dec 30 03:30:45 CET 2013: 26: finished (3821ms, 500cycles)
Mon Dec 30 03:30:45 CET 2013: 26: No solution found.
Mon Dec 30 03:30:49 CET 2013: 27: finished (3709ms, 500cycles)
Mon Dec 30 03:30:49 CET 2013: 27: No solution found.
Mon Dec 30 03:30:53 CET 2013: 28: finished (3746ms, 500cycles)
Mon Dec 30 03:30:53 CET 2013: 28: No solution found.
Mon Dec 30 03:30:59 CET 2013: 29: finished (6772ms, 500cycles)
Mon Dec 30 03:30:59 CET 2013: 29: No solution found.
Mon Dec 30 03:31:03 CET 2013: 30: finished (3386ms, 500cycles)
Mon Dec 30 03:31:03 CET 2013: 30: No solution found.
Mon Dec 30 03:31:06 CET 2013: 31: finished (3586ms, 500cycles)
Mon Dec 30 03:31:06 CET 2013: 31: No solution found.
Mon Dec 30 03:31:07 CET 2013: 32: finished (270ms, 33cycles)
Mon Dec 30 03:31:07 CET 2013: 32: Solution found.
Mon Dec 30 03:31:10 CET 2013: 33: finished (3826ms, 500cycles)
Mon Dec 30 03:31:10 CET 2013: 33: No solution found.
Mon Dec 30 03:31:14 CET 2013: 34: finished (3697ms, 500cycles)
Mon Dec 30 03:31:14 CET 2013: 34: No solution found.
Mon Dec 30 03:31:18 CET 2013: 35: finished (3894ms, 500cycles)
Mon Dec 30 03:31:18 CET 2013: 35: No solution found.
Mon Dec 30 03:31:22 CET 2013: 36: finished (3572ms, 500cycles)
Mon Dec 30 03:31:22 CET 2013: 36: No solution found.
Mon Dec 30 03:31:25 CET 2013: 37: finished (3734ms, 500cycles)
Mon Dec 30 03:31:25 CET 2013: 37: No solution found.
Mon Dec 30 03:31:29 CET 2013: 38: finished (3642ms, 500cycles)
Mon Dec 30 03:31:29 CET 2013: 38: No solution found.
Mon Dec 30 03:31:33 CET 2013: 39: finished (3636ms, 500cycles)
Mon Dec 30 03:31:33 CET 2013: 39: No solution found.
Mon Dec 30 03:31:36 CET 2013: 40: finished (3785ms, 500cycles)
