Mon Dec 30 03:20:38 CET 2013: Problem Count: 250
Mon Dec 30 03:20:38 CET 2013: CandidatesCount: 100
Mon Dec 30 03:20:38 CET 2013: Max Cycles: 500
Mon Dec 30 03:20:56 CET 2013: 0: finished (17767ms, 500cycles)
Mon Dec 30 03:20:56 CET 2013: 0: No solution found.
Mon Dec 30 03:21:14 CET 2013: 1: finished (17729ms, 500cycles)
Mon Dec 30 03:21:14 CET 2013: 1: No solution found.
Mon Dec 30 03:21:31 CET 2013: 2: finished (17569ms, 500cycles)
Mon Dec 30 03:21:31 CET 2013: 2: No solution found.
Mon Dec 30 03:21:34 CET 2013: 3: finished (2799ms, 79cycles)
Mon Dec 30 03:21:34 CET 2013: 3: Solution found.
Mon Dec 30 03:21:52 CET 2013: 4: finished (17581ms, 500cycles)
Mon Dec 30 03:21:52 CET 2013: 4: No solution found.
Mon Dec 30 03:22:09 CET 2013: 5: finished (17724ms, 500cycles)
Mon Dec 30 03:22:09 CET 2013: 5: No solution found.
Mon Dec 30 03:22:27 CET 2013: 6: finished (17460ms, 500cycles)
Mon Dec 30 03:22:27 CET 2013: 6: No solution found.
Mon Dec 30 03:22:44 CET 2013: 7: finished (17238ms, 500cycles)
Mon Dec 30 03:22:44 CET 2013: 7: No solution found.
Mon Dec 30 03:23:02 CET 2013: 8: finished (17643ms, 500cycles)
Mon Dec 30 03:23:02 CET 2013: 8: No solution found.
Mon Dec 30 03:23:18 CET 2013: 9: finished (16658ms, 500cycles)
Mon Dec 30 03:23:18 CET 2013: 9: No solution found.
Mon Dec 30 03:23:35 CET 2013: 10: finished (16201ms, 500cycles)
Mon Dec 30 03:23:35 CET 2013: 10: No solution found.
Mon Dec 30 03:23:50 CET 2013: 11: finished (15798ms, 500cycles)
Mon Dec 30 03:23:50 CET 2013: 11: No solution found.
Mon Dec 30 03:24:08 CET 2013: 12: finished (17610ms, 500cycles)
Mon Dec 30 03:24:08 CET 2013: 12: No solution found.
Mon Dec 30 03:24:24 CET 2013: 13: finished (16472ms, 500cycles)
Mon Dec 30 03:24:24 CET 2013: 13: No solution found.
Mon Dec 30 03:24:42 CET 2013: 14: finished (17073ms, 500cycles)
Mon Dec 30 03:24:42 CET 2013: 14: No solution found.
Mon Dec 30 03:24:57 CET 2013: 15: finished (15367ms, 500cycles)
Mon Dec 30 03:24:57 CET 2013: 15: No solution found.
Mon Dec 30 03:24:59 CET 2013: 16: finished (1672ms, 47cycles)
Mon Dec 30 03:24:59 CET 2013: 16: Solution found.
Mon Dec 30 03:25:00 CET 2013: 17: finished (1345ms, 37cycles)
Mon Dec 30 03:25:00 CET 2013: 17: Solution found.
Mon Dec 30 03:25:17 CET 2013: 18: finished (17056ms, 500cycles)
Mon Dec 30 03:25:17 CET 2013: 18: No solution found.
Mon Dec 30 03:25:33 CET 2013: 19: finished (15830ms, 500cycles)
Mon Dec 30 03:25:33 CET 2013: 19: No solution found.
Mon Dec 30 03:25:49 CET 2013: 20: finished (16619ms, 500cycles)
Mon Dec 30 03:25:49 CET 2013: 20: No solution found.
Mon Dec 30 03:26:06 CET 2013: 21: finished (16684ms, 500cycles)
Mon Dec 30 03:26:06 CET 2013: 21: No solution found.
Mon Dec 30 03:26:09 CET 2013: 22: finished (2794ms, 78cycles)
Mon Dec 30 03:26:09 CET 2013: 22: Solution found.
Mon Dec 30 03:26:27 CET 2013: 23: finished (18255ms, 500cycles)
Mon Dec 30 03:26:27 CET 2013: 23: No solution found.
Mon Dec 30 03:26:29 CET 2013: 24: finished (2086ms, 58cycles)
Mon Dec 30 03:26:29 CET 2013: 24: Solution found.
Mon Dec 30 03:26:47 CET 2013: 25: finished (18017ms, 500cycles)
Mon Dec 30 03:26:47 CET 2013: 25: No solution found.
Mon Dec 30 03:27:04 CET 2013: 26: finished (17180ms, 500cycles)
Mon Dec 30 03:27:04 CET 2013: 26: No solution found.
Mon Dec 30 03:27:21 CET 2013: 27: finished (16573ms, 500cycles)
Mon Dec 30 03:27:21 CET 2013: 27: No solution found.
Mon Dec 30 03:27:39 CET 2013: 28: finished (17982ms, 500cycles)
Mon Dec 30 03:27:39 CET 2013: 28: No solution found.
Mon Dec 30 03:27:56 CET 2013: 29: finished (17305ms, 500cycles)
Mon Dec 30 03:27:56 CET 2013: 29: No solution found.
Mon Dec 30 03:28:13 CET 2013: 30: finished (16907ms, 500cycles)
