Mon Dec 30 16:16:25 CET 2013: Problem Count: 250
Mon Dec 30 16:16:25 CET 2013: CandidatesCount: 150
Mon Dec 30 16:16:25 CET 2013: Max Cycles: 500
Mon Dec 30 16:16:53 CET 2013: 0: finished (27484ms, 500cycles)
Mon Dec 30 16:16:53 CET 2013: 0: No solution found.
Mon Dec 30 16:17:18 CET 2013: 1: finished (24764ms, 500cycles)
Mon Dec 30 16:17:18 CET 2013: 1: No solution found.
Mon Dec 30 16:17:44 CET 2013: 2: finished (26314ms, 500cycles)
Mon Dec 30 16:17:44 CET 2013: 2: No solution found.
Mon Dec 30 16:18:12 CET 2013: 3: finished (28011ms, 500cycles)
Mon Dec 30 16:18:12 CET 2013: 3: No solution found.
Mon Dec 30 16:18:13 CET 2013: 4: finished (1351ms, 24cycles)
Mon Dec 30 16:18:13 CET 2013: 4: Solution found.
Mon Dec 30 16:18:40 CET 2013: 5: finished (27232ms, 500cycles)
Mon Dec 30 16:18:40 CET 2013: 5: No solution found.
Mon Dec 30 16:19:05 CET 2013: 6: finished (24716ms, 500cycles)
Mon Dec 30 16:19:05 CET 2013: 6: No solution found.
Mon Dec 30 16:19:34 CET 2013: 7: finished (28401ms, 500cycles)
Mon Dec 30 16:19:34 CET 2013: 7: No solution found.
Mon Dec 30 16:19:37 CET 2013: 8: finished (3278ms, 59cycles)
Mon Dec 30 16:19:37 CET 2013: 8: Solution found.
Mon Dec 30 16:19:39 CET 2013: 9: finished (1831ms, 33cycles)
Mon Dec 30 16:19:39 CET 2013: 9: Solution found.
Mon Dec 30 16:19:41 CET 2013: 10: finished (2053ms, 37cycles)
Mon Dec 30 16:19:41 CET 2013: 10: Solution found.
Mon Dec 30 16:20:07 CET 2013: 11: finished (26275ms, 500cycles)
Mon Dec 30 16:20:07 CET 2013: 11: No solution found.
Mon Dec 30 16:20:34 CET 2013: 12: finished (27051ms, 500cycles)
Mon Dec 30 16:20:34 CET 2013: 12: No solution found.
Mon Dec 30 16:21:00 CET 2013: 13: finished (25686ms, 500cycles)
Mon Dec 30 16:21:00 CET 2013: 13: No solution found.
Mon Dec 30 16:21:29 CET 2013: 14: finished (29055ms, 500cycles)
Mon Dec 30 16:21:29 CET 2013: 14: No solution found.
Mon Dec 30 16:21:56 CET 2013: 15: finished (27115ms, 500cycles)
Mon Dec 30 16:21:56 CET 2013: 15: No solution found.
Mon Dec 30 16:22:23 CET 2013: 16: finished (27465ms, 500cycles)
Mon Dec 30 16:22:23 CET 2013: 16: No solution found.
Mon Dec 30 16:22:51 CET 2013: 17: finished (27914ms, 500cycles)
Mon Dec 30 16:22:51 CET 2013: 17: No solution found.
Mon Dec 30 16:23:19 CET 2013: 18: finished (27371ms, 500cycles)
Mon Dec 30 16:23:19 CET 2013: 18: No solution found.
Mon Dec 30 16:23:43 CET 2013: 19: finished (23904ms, 500cycles)
Mon Dec 30 16:23:43 CET 2013: 19: No solution found.
Mon Dec 30 16:24:09 CET 2013: 20: finished (26424ms, 500cycles)
Mon Dec 30 16:24:09 CET 2013: 20: No solution found.
Mon Dec 30 16:24:38 CET 2013: 21: finished (29477ms, 500cycles)
Mon Dec 30 16:24:38 CET 2013: 21: No solution found.
Mon Dec 30 16:24:41 CET 2013: 22: finished (2456ms, 47cycles)
Mon Dec 30 16:24:41 CET 2013: 22: Solution found.
Mon Dec 30 16:25:09 CET 2013: 23: finished (27848ms, 500cycles)
Mon Dec 30 16:25:09 CET 2013: 23: No solution found.
Mon Dec 30 16:25:36 CET 2013: 24: finished (27668ms, 500cycles)
Mon Dec 30 16:25:36 CET 2013: 24: No solution found.
Mon Dec 30 16:26:05 CET 2013: 25: finished (28085ms, 500cycles)
Mon Dec 30 16:26:05 CET 2013: 25: No solution found.
Mon Dec 30 16:26:32 CET 2013: 26: finished (27675ms, 500cycles)
Mon Dec 30 16:26:32 CET 2013: 26: No solution found.
Mon Dec 30 16:26:35 CET 2013: 27: finished (2656ms, 48cycles)
Mon Dec 30 16:26:35 CET 2013: 27: Solution found.
Mon Dec 30 16:27:02 CET 2013: 28: finished (27364ms, 500cycles)
Mon Dec 30 16:27:02 CET 2013: 28: No solution found.
Mon Dec 30 16:27:27 CET 2013: 29: finished (25039ms, 500cycles)
Mon Dec 30 16:27:27 CET 2013: 29: No solution found.
Mon Dec 30 16:27:54 CET 2013: 30: finished (26339ms, 500cycles)
Mon Dec 30 16:27:54 CET 2013: 30: No solution found.
Mon Dec 30 16:28:21 CET 2013: 31: finished (27325ms, 500cycles)
Mon Dec 30 16:28:21 CET 2013: 31: No solution found.
Mon Dec 30 16:28:48 CET 2013: 32: finished (27543ms, 500cycles)
Mon Dec 30 16:28:48 CET 2013: 32: No solution found.
Mon Dec 30 16:29:18 CET 2013: 33: finished (29407ms, 500cycles)
Mon Dec 30 16:29:18 CET 2013: 33: No solution found.
Mon Dec 30 16:29:44 CET 2013: 34: finished (26581ms, 500cycles)
Mon Dec 30 16:29:44 CET 2013: 34: No solution found.
Mon Dec 30 16:29:46 CET 2013: 35: finished (1725ms, 28cycles)
Mon Dec 30 16:29:46 CET 2013: 35: Solution found.
Mon Dec 30 16:29:49 CET 2013: 36: finished (2459ms, 43cycles)
Mon Dec 30 16:29:49 CET 2013: 36: Solution found.
Mon Dec 30 16:30:16 CET 2013: 37: finished (27409ms, 500cycles)
Mon Dec 30 16:30:16 CET 2013: 37: No solution found.
Mon Dec 30 16:30:42 CET 2013: 38: finished (26038ms, 500cycles)
Mon Dec 30 16:30:42 CET 2013: 38: No solution found.
Mon Dec 30 16:31:09 CET 2013: 39: finished (27268ms, 500cycles)
Mon Dec 30 16:31:09 CET 2013: 39: No solution found.
Mon Dec 30 16:31:34 CET 2013: 40: finished (24693ms, 500cycles)
Mon Dec 30 16:31:34 CET 2013: 40: No solution found.
Mon Dec 30 16:32:00 CET 2013: 41: finished (26367ms, 500cycles)
Mon Dec 30 16:32:00 CET 2013: 41: No solution found.
Mon Dec 30 16:32:25 CET 2013: 42: finished (25043ms, 500cycles)
Mon Dec 30 16:32:25 CET 2013: 42: No solution found.
Mon Dec 30 16:32:51 CET 2013: 43: finished (25468ms, 500cycles)
Mon Dec 30 16:32:51 CET 2013: 43: No solution found.
Mon Dec 30 16:33:17 CET 2013: 44: finished (26000ms, 500cycles)
Mon Dec 30 16:33:17 CET 2013: 44: No solution found.
Mon Dec 30 16:33:45 CET 2013: 45: finished (27673ms, 500cycles)
Mon Dec 30 16:33:45 CET 2013: 45: No solution found.
Mon Dec 30 16:34:11 CET 2013: 46: finished (26599ms, 500cycles)
Mon Dec 30 16:34:11 CET 2013: 46: No solution found.
Mon Dec 30 16:34:17 CET 2013: 47: finished (6156ms, 112cycles)
Mon Dec 30 16:34:17 CET 2013: 47: Solution found.
Mon Dec 30 16:34:45 CET 2013: 48: finished (27937ms, 500cycles)
Mon Dec 30 16:34:45 CET 2013: 48: No solution found.
Mon Dec 30 16:35:10 CET 2013: 49: finished (24543ms, 500cycles)
Mon Dec 30 16:35:10 CET 2013: 49: No solution found.
Mon Dec 30 16:35:38 CET 2013: 50: finished (28022ms, 500cycles)
Mon Dec 30 16:35:38 CET 2013: 50: No solution found.
Mon Dec 30 16:35:45 CET 2013: 51: finished (7184ms, 122cycles)
Mon Dec 30 16:35:45 CET 2013: 51: Solution found.
Mon Dec 30 16:36:12 CET 2013: 52: finished (26815ms, 500cycles)
Mon Dec 30 16:36:12 CET 2013: 52: No solution found.
Mon Dec 30 16:36:37 CET 2013: 53: finished (25251ms, 500cycles)
Mon Dec 30 16:36:37 CET 2013: 53: No solution found.
Mon Dec 30 16:37:05 CET 2013: 54: finished (27528ms, 500cycles)
Mon Dec 30 16:37:05 CET 2013: 54: No solution found.
Mon Dec 30 16:37:32 CET 2013: 55: finished (27252ms, 500cycles)
Mon Dec 30 16:37:32 CET 2013: 55: No solution found.
Mon Dec 30 16:37:58 CET 2013: 56: finished (26157ms, 500cycles)
Mon Dec 30 16:37:58 CET 2013: 56: No solution found.
Mon Dec 30 16:38:25 CET 2013: 57: finished (26610ms, 500cycles)
Mon Dec 30 16:38:25 CET 2013: 57: No solution found.
Mon Dec 30 16:38:52 CET 2013: 58: finished (26938ms, 500cycles)
Mon Dec 30 16:38:52 CET 2013: 58: No solution found.
Mon Dec 30 16:39:18 CET 2013: 59: finished (26815ms, 500cycles)
Mon Dec 30 16:39:18 CET 2013: 59: No solution found.
Mon Dec 30 16:39:44 CET 2013: 60: finished (25942ms, 500cycles)
Mon Dec 30 16:39:44 CET 2013: 60: No solution found.
