Fri Dec 27 14:44:06 CET 2013: 45: finished (2191ms, 500cycles)
Fri Dec 27 14:44:06 CET 2013: 45: No solution found.
Fri Dec 27 14:44:08 CET 2013: 46: finished (1830ms, 500cycles)
Fri Dec 27 14:44:08 CET 2013: 46: No solution found.
Fri Dec 27 14:44:10 CET 2013: 47: finished (2022ms, 500cycles)
Fri Dec 27 14:44:10 CET 2013: 47: No solution found.
Fri Dec 27 14:44:12 CET 2013: 48: finished (2071ms, 500cycles)
Fri Dec 27 14:44:12 CET 2013: 48: No solution found.
Fri Dec 27 14:44:14 CET 2013: 49: finished (1663ms, 500cycles)
Fri Dec 27 14:44:14 CET 2013: 49: No solution found.
Fri Dec 27 14:44:16 CET 2013: 50: finished (2026ms, 500cycles)
Fri Dec 27 14:44:16 CET 2013: 50: No solution found.
Fri Dec 27 14:44:18 CET 2013: 51: finished (1930ms, 500cycles)
Fri Dec 27 14:44:18 CET 2013: 51: No solution found.
Fri Dec 27 14:44:18 CET 2013: 52: finished (201ms, 47cycles)
Fri Dec 27 14:44:18 CET 2013: 52: Solution found.
Fri Dec 27 14:44:20 CET 2013: 53: finished (1939ms, 500cycles)
Fri Dec 27 14:44:20 CET 2013: 53: No solution found.
Fri Dec 27 14:44:22 CET 2013: 54: finished (2138ms, 500cycles)
Fri Dec 27 14:44:22 CET 2013: 54: No solution found.
Fri Dec 27 14:44:24 CET 2013: 55: finished (2063ms, 500cycles)
Fri Dec 27 14:44:24 CET 2013: 55: No solution found.
Fri Dec 27 14:44:26 CET 2013: 56: finished (1839ms, 500cycles)
Fri Dec 27 14:44:26 CET 2013: 56: No solution found.
Fri Dec 27 14:44:28 CET 2013: 57: finished (2099ms, 500cycles)
Fri Dec 27 14:44:28 CET 2013: 57: No solution found.
Fri Dec 27 14:44:30 CET 2013: 58: finished (2071ms, 500cycles)
Fri Dec 27 14:44:30 CET 2013: 58: No solution found.
Fri Dec 27 14:44:30 CET 2013: 59: finished (201ms, 47cycles)
Fri Dec 27 14:44:30 CET 2013: 59: Solution found.
Fri Dec 27 14:44:32 CET 2013: 60: finished (2223ms, 500cycles)
Fri Dec 27 14:44:32 CET 2013: 60: No solution found.
Fri Dec 27 14:44:34 CET 2013: 61: finished (1806ms, 500cycles)
Fri Dec 27 14:44:34 CET 2013: 61: No solution found.
Fri Dec 27 14:44:36 CET 2013: 62: finished (1783ms, 500cycles)
Fri Dec 27 14:44:36 CET 2013: 62: No solution found.
Fri Dec 27 14:44:38 CET 2013: 63: finished (2198ms, 500cycles)
Fri Dec 27 14:44:38 CET 2013: 63: No solution found.
Fri Dec 27 14:44:40 CET 2013: 64: finished (1784ms, 500cycles)
Fri Dec 27 14:44:40 CET 2013: 64: No solution found.
Fri Dec 27 14:44:42 CET 2013: 65: finished (2208ms, 500cycles)
Fri Dec 27 14:44:42 CET 2013: 65: No solution found.
Fri Dec 27 14:44:44 CET 2013: 66: finished (1762ms, 500cycles)
Fri Dec 27 14:44:44 CET 2013: 66: No solution found.
Fri Dec 27 14:44:46 CET 2013: 67: finished (1792ms, 500cycles)
Fri Dec 27 14:44:46 CET 2013: 67: No solution found.
Fri Dec 27 14:44:48 CET 2013: 68: finished (1912ms, 500cycles)
Fri Dec 27 14:44:48 CET 2013: 68: No solution found.
Fri Dec 27 14:44:50 CET 2013: 69: finished (2160ms, 500cycles)
Fri Dec 27 14:44:50 CET 2013: 69: No solution found.
Fri Dec 27 14:44:50 CET 2013: 70: finished (127ms, 28cycles)
Fri Dec 27 14:44:50 CET 2013: 70: Solution found.
Fri Dec 27 14:44:52 CET 2013: 71: finished (2169ms, 500cycles)
Fri Dec 27 14:44:52 CET 2013: 71: No solution found.
Fri Dec 27 14:44:54 CET 2013: 72: finished (2076ms, 500cycles)
Fri Dec 27 14:44:54 CET 2013: 72: No solution found.
Fri Dec 27 14:44:56 CET 2013: 73: finished (2174ms, 500cycles)
Fri Dec 27 14:44:56 CET 2013: 73: No solution found.
Fri Dec 27 14:44:59 CET 2013: 74: finished (2205ms, 500cycles)
Fri Dec 27 14:44:59 CET 2013: 74: No solution found.
Fri Dec 27 14:45:01 CET 2013: 75: finished (2035ms, 500cycles)
Fri Dec 27 14:45:01 CET 2013: 75: No solution found.
Fri Dec 27 14:45:02 CET 2013: 76: finished (1795ms, 500cycles)
Fri Dec 27 14:45:02 CET 2013: 76: No solution found.
Fri Dec 27 14:45:05 CET 2013: 77: finished (2158ms, 500cycles)
Fri Dec 27 14:45:05 CET 2013: 77: No solution found.
Fri Dec 27 14:45:07 CET 2013: 78: finished (2117ms, 500cycles)
Fri Dec 27 14:45:07 CET 2013: 78: No solution found.
Fri Dec 27 14:45:09 CET 2013: 79: finished (2082ms, 500cycles)
Fri Dec 27 14:45:09 CET 2013: 79: No solution found.
Fri Dec 27 14:45:11 CET 2013: 80: finished (2146ms, 500cycles)
Fri Dec 27 14:45:11 CET 2013: 80: No solution found.
Fri Dec 27 14:45:13 CET 2013: 81: finished (2174ms, 500cycles)
Fri Dec 27 14:45:13 CET 2013: 81: No solution found.
Fri Dec 27 14:45:15 CET 2013: 82: finished (2191ms, 500cycles)
Fri Dec 27 14:45:15 CET 2013: 82: No solution found.
Fri Dec 27 14:45:17 CET 2013: 83: finished (1746ms, 500cycles)
Fri Dec 27 14:45:17 CET 2013: 83: No solution found.
Fri Dec 27 14:45:19 CET 2013: 84: finished (1841ms, 500cycles)
Fri Dec 27 14:45:19 CET 2013: 84: No solution found.
Fri Dec 27 14:45:21 CET 2013: 85: finished (1812ms, 500cycles)
Fri Dec 27 14:45:21 CET 2013: 85: No solution found.
Fri Dec 27 14:45:22 CET 2013: 86: finished (1798ms, 500cycles)
Fri Dec 27 14:45:22 CET 2013: 86: No solution found.
Fri Dec 27 14:45:25 CET 2013: 87: finished (2141ms, 500cycles)
Fri Dec 27 14:45:25 CET 2013: 87: No solution found.
Fri Dec 27 14:45:26 CET 2013: 88: finished (1825ms, 431cycles)
Fri Dec 27 14:45:26 CET 2013: 88: Solution found.
Fri Dec 27 14:45:28 CET 2013: 89: finished (1734ms, 500cycles)
Fri Dec 27 14:45:28 CET 2013: 89: No solution found.
Fri Dec 27 14:45:30 CET 2013: 90: finished (2078ms, 500cycles)
Fri Dec 27 14:45:30 CET 2013: 90: No solution found.
Fri Dec 27 14:45:32 CET 2013: 91: finished (1867ms, 500cycles)
Fri Dec 27 14:45:32 CET 2013: 91: No solution found.
Fri Dec 27 14:45:34 CET 2013: 92: finished (2209ms, 500cycles)
Fri Dec 27 14:45:34 CET 2013: 92: No solution found.
Fri Dec 27 14:45:35 CET 2013: 93: finished (161ms, 38cycles)
Fri Dec 27 14:45:35 CET 2013: 93: Solution found.
Fri Dec 27 14:45:37 CET 2013: 94: finished (2170ms, 500cycles)
Fri Dec 27 14:45:37 CET 2013: 94: No solution found.
Fri Dec 27 14:45:39 CET 2013: 95: finished (2032ms, 500cycles)
Fri Dec 27 14:45:39 CET 2013: 95: No solution found.
Fri Dec 27 14:45:41 CET 2013: 96: finished (2132ms, 500cycles)
Fri Dec 27 14:45:41 CET 2013: 96: No solution found.
Fri Dec 27 14:45:41 CET 2013: 97: finished (140ms, 30cycles)
Fri Dec 27 14:45:41 CET 2013: 97: Solution found.
Fri Dec 27 14:45:43 CET 2013: 98: finished (2149ms, 500cycles)
Fri Dec 27 14:45:43 CET 2013: 98: No solution found.
Fri Dec 27 14:45:45 CET 2013: 99: finished (2155ms, 500cycles)
Fri Dec 27 14:45:45 CET 2013: 99: No solution found.
Fri Dec 27 14:45:45 CET 2013: Solution Found: 13
Fri Dec 27 14:45:45 CET 2013: Avg cycles: 69
Fri Dec 27 14:45:45 CET 2013: Max cycles: 431
Fri Dec 27 14:45:45 CET 2013: Min cycles: 12
Fri Dec 27 14:45:45 CET 2013: No solution found: 87
Fri Dec 27 14:45:45 CET 2013: logging finished. (runtime: 179407ms)
