Fri Dec 27 09:39:08 CET 2013: Problem Count: 50
Fri Dec 27 09:39:08 CET 2013: CandidatesCount: 50
Fri Dec 27 09:39:08 CET 2013: Max Cycles: 500
Fri Dec 27 09:39:09 CET 2013: 0: finished (1268ms, 500cycles)
Fri Dec 27 09:39:09 CET 2013: 0: No solution found.
Fri Dec 27 09:39:10 CET 2013: 1: finished (604ms, 500cycles)
Fri Dec 27 09:39:10 CET 2013: 1: No solution found.
Fri Dec 27 09:39:10 CET 2013: 2: finished (419ms, 500cycles)
Fri Dec 27 09:39:10 CET 2013: 2: No solution found.
Fri Dec 27 09:39:11 CET 2013: 3: finished (371ms, 500cycles)
Fri Dec 27 09:39:11 CET 2013: 3: No solution found.
Fri Dec 27 09:39:11 CET 2013: 4: finished (344ms, 500cycles)
Fri Dec 27 09:39:11 CET 2013: 4: No solution found.
Fri Dec 27 09:39:11 CET 2013: 5: finished (322ms, 500cycles)
Fri Dec 27 09:39:11 CET 2013: 5: No solution found.
Fri Dec 27 09:39:12 CET 2013: 6: finished (355ms, 500cycles)
Fri Dec 27 09:39:12 CET 2013: 6: No solution found.
Fri Dec 27 09:39:12 CET 2013: 7: finished (370ms, 500cycles)
Fri Dec 27 09:39:12 CET 2013: 7: No solution found.
Fri Dec 27 09:39:12 CET 2013: 8: finished (374ms, 500cycles)
Fri Dec 27 09:39:12 CET 2013: 8: No solution found.
Fri Dec 27 09:39:13 CET 2013: 9: finished (56ms, 65cycles)
Fri Dec 27 09:39:13 CET 2013: 9: Solution found.
Fri Dec 27 09:39:13 CET 2013: 10: finished (377ms, 500cycles)
Fri Dec 27 09:39:13 CET 2013: 10: No solution found.
Fri Dec 27 09:39:13 CET 2013: 11: finished (395ms, 500cycles)
Fri Dec 27 09:39:13 CET 2013: 11: No solution found.
Fri Dec 27 09:39:15 CET 2013: 12: finished (1312ms, 500cycles)
Fri Dec 27 09:39:15 CET 2013: 12: No solution found.
Fri Dec 27 09:39:15 CET 2013: 13: finished (311ms, 500cycles)
Fri Dec 27 09:39:15 CET 2013: 13: No solution found.
Fri Dec 27 09:39:15 CET 2013: 14: finished (314ms, 500cycles)
Fri Dec 27 09:39:15 CET 2013: 14: No solution found.
Fri Dec 27 09:39:16 CET 2013: 15: finished (366ms, 500cycles)
Fri Dec 27 09:39:16 CET 2013: 15: No solution found.
Fri Dec 27 09:39:16 CET 2013: 16: finished (392ms, 500cycles)
Fri Dec 27 09:39:16 CET 2013: 16: No solution found.
Fri Dec 27 09:39:16 CET 2013: 17: finished (358ms, 500cycles)
Fri Dec 27 09:39:16 CET 2013: 17: No solution found.
Fri Dec 27 09:39:17 CET 2013: 18: finished (363ms, 500cycles)
Fri Dec 27 09:39:17 CET 2013: 18: No solution found.
Fri Dec 27 09:39:17 CET 2013: 19: finished (58ms, 69cycles)
Fri Dec 27 09:39:17 CET 2013: 19: Solution found.
Fri Dec 27 09:39:17 CET 2013: 20: finished (309ms, 500cycles)
Fri Dec 27 09:39:17 CET 2013: 20: No solution found.
Fri Dec 27 09:39:17 CET 2013: 21: finished (366ms, 500cycles)
Fri Dec 27 09:39:17 CET 2013: 21: No solution found.
Fri Dec 27 09:39:18 CET 2013: 22: finished (318ms, 500cycles)
Fri Dec 27 09:39:18 CET 2013: 22: No solution found.
Fri Dec 27 09:39:18 CET 2013: 23: finished (318ms, 500cycles)
Fri Dec 27 09:39:18 CET 2013: 23: No solution found.
Fri Dec 27 09:39:19 CET 2013: 24: finished (366ms, 500cycles)
Fri Dec 27 09:39:19 CET 2013: 24: No solution found.
Fri Dec 27 09:39:19 CET 2013: 25: finished (352ms, 500cycles)
Fri Dec 27 09:39:19 CET 2013: 25: No solution found.
Fri Dec 27 09:39:19 CET 2013: 26: finished (352ms, 500cycles)
Fri Dec 27 09:39:19 CET 2013: 26: No solution found.
Fri Dec 27 09:39:19 CET 2013: 27: finished (51ms, 67cycles)
Fri Dec 27 09:39:19 CET 2013: 27: Solution found.
Fri Dec 27 09:39:20 CET 2013: 28: finished (324ms, 500cycles)
Fri Dec 27 09:39:20 CET 2013: 28: No solution found.
Fri Dec 27 09:39:20 CET 2013: 29: finished (358ms, 500cycles)
Fri Dec 27 09:39:20 CET 2013: 29: No solution found.
Fri Dec 27 09:39:20 CET 2013: 30: finished (341ms, 500cycles)
Fri Dec 27 09:39:20 CET 2013: 30: No solution found.
Fri Dec 27 09:39:21 CET 2013: 31: finished (310ms, 500cycles)
