Mon Dec 30 03:16:27 CET 2013: Problem Count: 250
Mon Dec 30 03:16:27 CET 2013: CandidatesCount: 50
Mon Dec 30 03:16:27 CET 2013: Max Cycles: 500
Mon Dec 30 03:16:32 CET 2013: 0: finished (4476ms, 500cycles)
Mon Dec 30 03:16:32 CET 2013: 0: No solution found.
Mon Dec 30 03:16:36 CET 2013: 1: finished (4499ms, 500cycles)
Mon Dec 30 03:16:36 CET 2013: 1: No solution found.
Mon Dec 30 03:16:41 CET 2013: 2: finished (4810ms, 500cycles)
Mon Dec 30 03:16:41 CET 2013: 2: No solution found.
Mon Dec 30 03:16:46 CET 2013: 3: finished (4983ms, 500cycles)
Mon Dec 30 03:16:46 CET 2013: 3: No solution found.
Mon Dec 30 03:16:51 CET 2013: 4: finished (4503ms, 500cycles)
Mon Dec 30 03:16:51 CET 2013: 4: No solution found.
Mon Dec 30 03:16:55 CET 2013: 5: finished (4605ms, 500cycles)
Mon Dec 30 03:16:55 CET 2013: 5: No solution found.
Mon Dec 30 03:17:00 CET 2013: 6: finished (5122ms, 500cycles)
Mon Dec 30 03:17:00 CET 2013: 6: No solution found.
Mon Dec 30 03:17:04 CET 2013: 7: finished (3498ms, 125cycles)
Mon Dec 30 03:17:04 CET 2013: 7: Solution found.
Mon Dec 30 03:17:09 CET 2013: 8: finished (4881ms, 500cycles)
Mon Dec 30 03:17:09 CET 2013: 8: No solution found.
Mon Dec 30 03:17:14 CET 2013: 9: finished (4753ms, 500cycles)
Mon Dec 30 03:17:14 CET 2013: 9: No solution found.
Mon Dec 30 03:17:19 CET 2013: 10: finished (4903ms, 500cycles)
Mon Dec 30 03:17:19 CET 2013: 10: No solution found.
Mon Dec 30 03:17:23 CET 2013: 11: finished (4835ms, 500cycles)
Mon Dec 30 03:17:23 CET 2013: 11: No solution found.
Mon Dec 30 03:17:28 CET 2013: 12: finished (4490ms, 500cycles)
Mon Dec 30 03:17:28 CET 2013: 12: No solution found.
Mon Dec 30 03:17:32 CET 2013: 13: finished (4561ms, 500cycles)
Mon Dec 30 03:17:32 CET 2013: 13: No solution found.
Mon Dec 30 03:17:37 CET 2013: 14: finished (4385ms, 500cycles)
Mon Dec 30 03:17:37 CET 2013: 14: No solution found.
Mon Dec 30 03:17:41 CET 2013: 15: finished (4604ms, 500cycles)
Mon Dec 30 03:17:41 CET 2013: 15: No solution found.
Mon Dec 30 03:17:46 CET 2013: 16: finished (4816ms, 500cycles)
Mon Dec 30 03:17:46 CET 2013: 16: No solution found.
Mon Dec 30 03:17:51 CET 2013: 17: finished (4545ms, 500cycles)
Mon Dec 30 03:17:51 CET 2013: 17: No solution found.
Mon Dec 30 03:17:55 CET 2013: 18: finished (4573ms, 500cycles)
Mon Dec 30 03:17:55 CET 2013: 18: No solution found.
Mon Dec 30 03:18:03 CET 2013: 19: finished (7360ms, 500cycles)
Mon Dec 30 03:18:03 CET 2013: 19: No solution found.
Mon Dec 30 03:18:07 CET 2013: 20: finished (4607ms, 500cycles)
Mon Dec 30 03:18:07 CET 2013: 20: No solution found.
Mon Dec 30 03:18:12 CET 2013: 21: finished (4513ms, 500cycles)
Mon Dec 30 03:18:12 CET 2013: 21: No solution found.
Mon Dec 30 03:18:19 CET 2013: 22: finished (7628ms, 500cycles)
Mon Dec 30 03:18:19 CET 2013: 22: No solution found.
Mon Dec 30 03:18:24 CET 2013: 23: finished (4875ms, 500cycles)
Mon Dec 30 03:18:24 CET 2013: 23: No solution found.
Mon Dec 30 03:18:29 CET 2013: 24: finished (4641ms, 500cycles)
Mon Dec 30 03:18:29 CET 2013: 24: No solution found.
Mon Dec 30 03:18:36 CET 2013: 25: finished (7402ms, 500cycles)
Mon Dec 30 03:18:36 CET 2013: 25: No solution found.
Mon Dec 30 03:18:41 CET 2013: 26: finished (4565ms, 500cycles)
Mon Dec 30 03:18:41 CET 2013: 26: No solution found.
Mon Dec 30 03:18:45 CET 2013: 27: finished (4430ms, 500cycles)
Mon Dec 30 03:18:45 CET 2013: 27: No solution found.
Mon Dec 30 03:18:50 CET 2013: 28: finished (4737ms, 500cycles)
Mon Dec 30 03:18:50 CET 2013: 28: No solution found.
Mon Dec 30 03:18:55 CET 2013: 29: finished (4620ms, 500cycles)
Mon Dec 30 03:18:55 CET 2013: 29: No solution found.
Mon Dec 30 03:19:00 CET 2013: 30: finished (4821ms, 500cycles)
Mon Dec 30 03:19:00 CET 2013: 30: No solution found.
Mon Dec 30 03:19:04 CET 2013: 31: finished (4263ms, 500cycles)
Mon Dec 30 03:19:04 CET 2013: 31: No solution found.
Mon Dec 30 03:19:08 CET 2013: 32: finished (4164ms, 500cycles)
Mon Dec 30 03:19:08 CET 2013: 32: No solution found.
Mon Dec 30 03:19:13 CET 2013: 33: finished (4761ms, 500cycles)
Mon Dec 30 03:19:13 CET 2013: 33: No solution found.
Mon Dec 30 03:19:17 CET 2013: 34: finished (4511ms, 500cycles)
Mon Dec 30 03:19:17 CET 2013: 34: No solution found.
Mon Dec 30 03:19:22 CET 2013: 35: finished (4852ms, 500cycles)
Mon Dec 30 03:19:22 CET 2013: 35: No solution found.
Mon Dec 30 03:19:30 CET 2013: 36: finished (7632ms, 500cycles)
Mon Dec 30 03:19:30 CET 2013: 36: No solution found.
Mon Dec 30 03:19:35 CET 2013: 37: finished (4938ms, 500cycles)
Mon Dec 30 03:19:35 CET 2013: 37: No solution found.
Mon Dec 30 03:19:39 CET 2013: 38: finished (4720ms, 500cycles)
