Sat Dec 28 22:22:52 CET 2013: Problem Count: 150
Sat Dec 28 22:22:52 CET 2013: CandidatesCount: 200
Sat Dec 28 22:22:52 CET 2013: Max Cycles: 250
Sat Dec 28 22:23:03 CET 2013: 0: finished (10763ms, 250cycles)
Sat Dec 28 22:23:03 CET 2013: 0: No solution found.
Sat Dec 28 22:23:13 CET 2013: 1: finished (10718ms, 250cycles)
Sat Dec 28 22:23:13 CET 2013: 1: No solution found.
Sat Dec 28 22:23:16 CET 2013: 2: finished (2299ms, 52cycles)
Sat Dec 28 22:23:16 CET 2013: 2: Solution found.
Sat Dec 28 22:23:28 CET 2013: 3: finished (11899ms, 250cycles)
Sat Dec 28 22:23:28 CET 2013: 3: No solution found.
Sat Dec 28 22:23:40 CET 2013: 4: finished (11966ms, 250cycles)
Sat Dec 28 22:23:40 CET 2013: 4: No solution found.
Sat Dec 28 22:23:50 CET 2013: 5: finished (10369ms, 250cycles)
Sat Dec 28 22:23:50 CET 2013: 5: No solution found.
Sat Dec 28 22:24:00 CET 2013: 6: finished (10464ms, 250cycles)
Sat Dec 28 22:24:00 CET 2013: 6: No solution found.
Sat Dec 28 22:24:15 CET 2013: 7: finished (14572ms, 250cycles)
Sat Dec 28 22:24:15 CET 2013: 7: No solution found.
Sat Dec 28 22:24:26 CET 2013: 8: finished (10966ms, 250cycles)
Sat Dec 28 22:24:26 CET 2013: 8: No solution found.
Sat Dec 28 22:24:39 CET 2013: 9: finished (13491ms, 250cycles)
Sat Dec 28 22:24:39 CET 2013: 9: No solution found.
Sat Dec 28 22:24:50 CET 2013: 10: finished (10524ms, 250cycles)
Sat Dec 28 22:24:50 CET 2013: 10: No solution found.
Sat Dec 28 22:25:00 CET 2013: 11: finished (10581ms, 250cycles)
Sat Dec 28 22:25:00 CET 2013: 11: No solution found.
Sat Dec 28 22:25:15 CET 2013: 12: finished (14532ms, 250cycles)
Sat Dec 28 22:25:15 CET 2013: 12: No solution found.
Sat Dec 28 22:25:29 CET 2013: 13: finished (13532ms, 250cycles)
Sat Dec 28 22:25:29 CET 2013: 13: No solution found.
Sat Dec 28 22:25:39 CET 2013: 14: finished (10389ms, 250cycles)
Sat Dec 28 22:25:39 CET 2013: 14: No solution found.
Sat Dec 28 22:25:50 CET 2013: 15: finished (10673ms, 250cycles)
Sat Dec 28 22:25:50 CET 2013: 15: No solution found.
Sat Dec 28 22:26:00 CET 2013: 16: finished (10135ms, 250cycles)
Sat Dec 28 22:26:00 CET 2013: 16: No solution found.
Sat Dec 28 22:26:13 CET 2013: 17: finished (13362ms, 250cycles)
Sat Dec 28 22:26:13 CET 2013: 17: No solution found.
Sat Dec 28 22:26:23 CET 2013: 18: finished (10352ms, 250cycles)
Sat Dec 28 22:26:23 CET 2013: 18: No solution found.
Sat Dec 28 22:26:38 CET 2013: 19: finished (14261ms, 250cycles)
Sat Dec 28 22:26:38 CET 2013: 19: No solution found.
Sat Dec 28 22:26:48 CET 2013: 20: finished (10497ms, 250cycles)
Sat Dec 28 22:26:48 CET 2013: 20: No solution found.
Sat Dec 28 22:27:01 CET 2013: 21: finished (13011ms, 250cycles)
Sat Dec 28 22:27:01 CET 2013: 21: No solution found.
Sat Dec 28 22:27:13 CET 2013: 22: finished (11992ms, 250cycles)
Sat Dec 28 22:27:13 CET 2013: 22: No solution found.
Sat Dec 28 22:27:25 CET 2013: 23: finished (11507ms, 250cycles)
Sat Dec 28 22:27:25 CET 2013: 23: No solution found.
Sat Dec 28 22:27:38 CET 2013: 24: finished (13298ms, 250cycles)
Sat Dec 28 22:27:38 CET 2013: 24: No solution found.
Sat Dec 28 22:27:49 CET 2013: 25: finished (10932ms, 250cycles)
Sat Dec 28 22:27:49 CET 2013: 25: No solution found.
Sat Dec 28 22:28:00 CET 2013: 26: finished (10785ms, 250cycles)
Sat Dec 28 22:28:00 CET 2013: 26: No solution found.
Sat Dec 28 22:28:12 CET 2013: 27: finished (12527ms, 250cycles)
Sat Dec 28 22:28:12 CET 2013: 27: No solution found.
Sat Dec 28 22:28:23 CET 2013: 28: finished (10606ms, 250cycles)
Sat Dec 28 22:28:23 CET 2013: 28: No solution found.
Sat Dec 28 22:28:33 CET 2013: 29: finished (10425ms, 250cycles)
Sat Dec 28 22:28:33 CET 2013: 29: No solution found.
Sat Dec 28 22:28:46 CET 2013: 30: finished (13027ms, 216cycles)
Sat Dec 28 22:28:46 CET 2013: 30: Solution found.
Sat Dec 28 22:29:00 CET 2013: 31: finished (13365ms, 250cycles)
Sat Dec 28 22:29:00 CET 2013: 31: No solution found.
Sat Dec 28 22:29:10 CET 2013: 32: finished (10221ms, 250cycles)
Sat Dec 28 22:29:10 CET 2013: 32: No solution found.
Sat Dec 28 22:29:23 CET 2013: 33: finished (13286ms, 250cycles)
