Sat Dec 28 18:15:48 CET 2013: Problem Count: 250
Sat Dec 28 18:15:48 CET 2013: CandidatesCount: 100
Sat Dec 28 18:15:48 CET 2013: Max Cycles: 500
Sat Dec 28 18:16:10 CET 2013: 0: finished (21769ms, 500cycles)
Sat Dec 28 18:16:10 CET 2013: 0: No solution found.
Sat Dec 28 18:16:32 CET 2013: 1: finished (22099ms, 500cycles)
Sat Dec 28 18:16:32 CET 2013: 1: No solution found.
Sat Dec 28 18:16:53 CET 2013: 2: finished (20482ms, 500cycles)
Sat Dec 28 18:16:53 CET 2013: 2: No solution found.
Sat Dec 28 18:17:14 CET 2013: 3: finished (21489ms, 500cycles)
Sat Dec 28 18:17:14 CET 2013: 3: No solution found.
Sat Dec 28 18:17:34 CET 2013: 4: finished (19416ms, 500cycles)
Sat Dec 28 18:17:34 CET 2013: 4: No solution found.
Sat Dec 28 18:17:56 CET 2013: 5: finished (22324ms, 500cycles)
Sat Dec 28 18:17:56 CET 2013: 5: No solution found.
Sat Dec 28 18:18:17 CET 2013: 6: finished (21408ms, 500cycles)
Sat Dec 28 18:18:17 CET 2013: 6: No solution found.
Sat Dec 28 18:18:38 CET 2013: 7: finished (20850ms, 500cycles)
Sat Dec 28 18:18:38 CET 2013: 7: No solution found.
Sat Dec 28 18:19:00 CET 2013: 8: finished (21462ms, 500cycles)
Sat Dec 28 18:19:00 CET 2013: 8: No solution found.
Sat Dec 28 18:19:21 CET 2013: 9: finished (21315ms, 500cycles)
Sat Dec 28 18:19:21 CET 2013: 9: No solution found.
Sat Dec 28 18:19:42 CET 2013: 10: finished (21368ms, 500cycles)
Sat Dec 28 18:19:42 CET 2013: 10: No solution found.
Sat Dec 28 18:20:04 CET 2013: 11: finished (21882ms, 500cycles)
Sat Dec 28 18:20:04 CET 2013: 11: No solution found.
Sat Dec 28 18:20:26 CET 2013: 12: finished (21795ms, 500cycles)
Sat Dec 28 18:20:26 CET 2013: 12: No solution found.
Sat Dec 28 18:20:30 CET 2013: 13: finished (3838ms, 85cycles)
Sat Dec 28 18:20:30 CET 2013: 13: Solution found.
Sat Dec 28 18:20:52 CET 2013: 14: finished (21553ms, 500cycles)
Sat Dec 28 18:20:52 CET 2013: 14: No solution found.
Sat Dec 28 18:21:13 CET 2013: 15: finished (21858ms, 500cycles)
Sat Dec 28 18:21:13 CET 2013: 15: No solution found.
Sat Dec 28 18:21:36 CET 2013: 16: finished (22160ms, 500cycles)
Sat Dec 28 18:21:36 CET 2013: 16: No solution found.
Sat Dec 28 18:21:56 CET 2013: 17: finished (20529ms, 500cycles)
Sat Dec 28 18:21:56 CET 2013: 17: No solution found.
Sat Dec 28 18:22:17 CET 2013: 18: finished (21422ms, 500cycles)
Sat Dec 28 18:22:17 CET 2013: 18: No solution found.
Sat Dec 28 18:22:38 CET 2013: 19: finished (20604ms, 500cycles)
Sat Dec 28 18:22:38 CET 2013: 19: No solution found.
Sat Dec 28 18:23:00 CET 2013: 20: finished (22043ms, 500cycles)
Sat Dec 28 18:23:00 CET 2013: 20: No solution found.
Sat Dec 28 18:23:23 CET 2013: 21: finished (22612ms, 500cycles)
Sat Dec 28 18:23:23 CET 2013: 21: No solution found.
Sat Dec 28 18:23:42 CET 2013: 22: finished (18879ms, 500cycles)
Sat Dec 28 18:23:42 CET 2013: 22: No solution found.
Sat Dec 28 18:24:03 CET 2013: 23: finished (21503ms, 500cycles)
Sat Dec 28 18:24:03 CET 2013: 23: No solution found.
Sat Dec 28 18:24:24 CET 2013: 24: finished (20807ms, 500cycles)
Sat Dec 28 18:24:24 CET 2013: 24: No solution found.
Sat Dec 28 18:24:46 CET 2013: 25: finished (22314ms, 500cycles)
Sat Dec 28 18:24:46 CET 2013: 25: No solution found.
Sat Dec 28 18:25:07 CET 2013: 26: finished (20554ms, 500cycles)
Sat Dec 28 18:25:07 CET 2013: 26: No solution found.
Sat Dec 28 18:25:28 CET 2013: 27: finished (20939ms, 500cycles)
Sat Dec 28 18:25:28 CET 2013: 27: No solution found.
Sat Dec 28 18:25:50 CET 2013: 28: finished (22345ms, 500cycles)
Sat Dec 28 18:25:50 CET 2013: 28: No solution found.
Sat Dec 28 18:25:54 CET 2013: 29: finished (3453ms, 77cycles)
Sat Dec 28 18:25:54 CET 2013: 29: Solution found.
Sat Dec 28 18:26:13 CET 2013: 30: finished (19913ms, 500cycles)
Sat Dec 28 18:26:13 CET 2013: 30: No solution found.
Sat Dec 28 18:26:36 CET 2013: 31: finished (22276ms, 500cycles)
Sat Dec 28 18:26:36 CET 2013: 31: No solution found.
Sat Dec 28 18:26:57 CET 2013: 32: finished (20877ms, 500cycles)
Sat Dec 28 18:26:57 CET 2013: 32: No solution found.
Sat Dec 28 18:27:19 CET 2013: 33: finished (22254ms, 500cycles)
Sat Dec 28 18:27:19 CET 2013: 33: No solution found.
Sat Dec 28 18:27:37 CET 2013: 34: finished (18302ms, 500cycles)
Sat Dec 28 18:27:37 CET 2013: 34: No solution found.
Sat Dec 28 18:27:59 CET 2013: 35: finished (21681ms, 500cycles)
Sat Dec 28 18:27:59 CET 2013: 35: No solution found.
Sat Dec 28 18:28:21 CET 2013: 36: finished (22115ms, 500cycles)
Sat Dec 28 18:28:21 CET 2013: 36: No solution found.
Sat Dec 28 18:28:41 CET 2013: 37: finished (20237ms, 500cycles)
Sat Dec 28 18:28:41 CET 2013: 37: No solution found.
Sat Dec 28 18:29:03 CET 2013: 38: finished (22044ms, 500cycles)
Sat Dec 28 18:29:03 CET 2013: 38: No solution found.
Sat Dec 28 18:29:24 CET 2013: 39: finished (21101ms, 500cycles)
Sat Dec 28 18:29:24 CET 2013: 39: No solution found.
Sat Dec 28 18:29:47 CET 2013: 40: finished (22293ms, 500cycles)
Sat Dec 28 18:29:47 CET 2013: 40: No solution found.
Sat Dec 28 18:30:08 CET 2013: 41: finished (21472ms, 500cycles)
Sat Dec 28 18:30:08 CET 2013: 41: No solution found.
Sat Dec 28 18:30:30 CET 2013: 42: finished (22117ms, 500cycles)
Sat Dec 28 18:30:30 CET 2013: 42: No solution found.
Sat Dec 28 18:30:52 CET 2013: 43: finished (21605ms, 500cycles)
Sat Dec 28 18:30:52 CET 2013: 43: No solution found.
Sat Dec 28 18:31:13 CET 2013: 44: finished (21534ms, 500cycles)
Sat Dec 28 18:31:13 CET 2013: 44: No solution found.
Sat Dec 28 18:31:35 CET 2013: 45: finished (21738ms, 500cycles)
Sat Dec 28 18:31:35 CET 2013: 45: No solution found.
Sat Dec 28 18:31:38 CET 2013: 46: finished (3394ms, 83cycles)
Sat Dec 28 18:31:38 CET 2013: 46: Solution found.
Sat Dec 28 18:31:59 CET 2013: 47: finished (20645ms, 500cycles)
Sat Dec 28 18:31:59 CET 2013: 47: No solution found.
Sat Dec 28 18:32:18 CET 2013: 48: finished (18950ms, 500cycles)
Sat Dec 28 18:32:18 CET 2013: 48: No solution found.
Sat Dec 28 18:32:38 CET 2013: 49: finished (19681ms, 500cycles)
Sat Dec 28 18:32:38 CET 2013: 49: No solution found.
