Mon May 19 15:27:28 CEST 2014: Problem Count: 150
Mon May 19 15:27:28 CEST 2014: CandidatesCount: 100
Mon May 19 15:27:28 CEST 2014: Max Cycles: 500
Mon May 19 15:27:32 CEST 2014: 0: finished (3750ms, 500cycles)
Mon May 19 15:27:32 CEST 2014: 0: No solution found.
Mon May 19 15:27:36 CEST 2014: 1: finished (3486ms, 500cycles)
Mon May 19 15:27:36 CEST 2014: 1: No solution found.
Mon May 19 15:27:43 CEST 2014: 2: finished (7722ms, 500cycles)
Mon May 19 15:27:43 CEST 2014: 2: No solution found.
Mon May 19 15:27:47 CEST 2014: 3: finished (3888ms, 500cycles)
Mon May 19 15:27:47 CEST 2014: 3: No solution found.
Mon May 19 15:27:51 CEST 2014: 4: finished (3777ms, 500cycles)
Mon May 19 15:27:51 CEST 2014: 4: No solution found.
Mon May 19 15:27:59 CEST 2014: 5: finished (7796ms, 500cycles)
Mon May 19 15:27:59 CEST 2014: 5: No solution found.
Mon May 19 15:28:03 CEST 2014: 6: finished (3591ms, 500cycles)
Mon May 19 15:28:03 CEST 2014: 6: No solution found.
Mon May 19 15:28:06 CEST 2014: 7: finished (3744ms, 500cycles)
Mon May 19 15:28:06 CEST 2014: 7: No solution found.
Mon May 19 15:28:13 CEST 2014: 8: finished (6452ms, 500cycles)
Mon May 19 15:28:13 CEST 2014: 8: No solution found.
Mon May 19 15:28:17 CEST 2014: 9: finished (4012ms, 500cycles)
Mon May 19 15:28:17 CEST 2014: 9: No solution found.
Mon May 19 15:28:21 CEST 2014: 10: finished (4065ms, 500cycles)
Mon May 19 15:28:21 CEST 2014: 10: No solution found.
Mon May 19 15:28:24 CEST 2014: 11: finished (3630ms, 500cycles)
Mon May 19 15:28:24 CEST 2014: 11: No solution found.
Mon May 19 15:28:29 CEST 2014: 12: finished (4475ms, 500cycles)
Mon May 19 15:28:29 CEST 2014: 12: No solution found.
Mon May 19 15:28:32 CEST 2014: 13: finished (3481ms, 500cycles)
Mon May 19 15:28:32 CEST 2014: 13: No solution found.
Mon May 19 15:28:40 CEST 2014: 14: finished (7603ms, 500cycles)
Mon May 19 15:28:40 CEST 2014: 14: No solution found.
Mon May 19 15:28:44 CEST 2014: 15: finished (3712ms, 500cycles)
Mon May 19 15:28:44 CEST 2014: 15: No solution found.
Mon May 19 15:28:48 CEST 2014: 16: finished (3912ms, 500cycles)
Mon May 19 15:28:48 CEST 2014: 16: No solution found.
Mon May 19 15:28:48 CEST 2014: 17: finished (273ms, 34cycles)
Mon May 19 15:28:48 CEST 2014: 17: Solution found.
Mon May 19 15:28:49 CEST 2014: 18: finished (1337ms, 81cycles)
Mon May 19 15:28:49 CEST 2014: 18: Solution found.
Mon May 19 15:28:55 CEST 2014: 19: finished (5806ms, 500cycles)
Mon May 19 15:28:55 CEST 2014: 19: No solution found.
Mon May 19 15:28:59 CEST 2014: 20: finished (3686ms, 500cycles)
Mon May 19 15:28:59 CEST 2014: 20: No solution found.
Mon May 19 15:28:59 CEST 2014: 21: finished (511ms, 68cycles)
Mon May 19 15:28:59 CEST 2014: 21: Solution found.
Mon May 19 15:29:03 CEST 2014: 22: finished (3597ms, 500cycles)
Mon May 19 15:29:03 CEST 2014: 22: No solution found.
Mon May 19 15:29:07 CEST 2014: 23: finished (3880ms, 500cycles)
Mon May 19 15:29:07 CEST 2014: 23: No solution found.
Mon May 19 15:29:11 CEST 2014: 24: finished (3818ms, 500cycles)
Mon May 19 15:29:11 CEST 2014: 24: No solution found.
Mon May 19 15:29:14 CEST 2014: 25: finished (3859ms, 500cycles)
Mon May 19 15:29:14 CEST 2014: 25: No solution found.
Mon May 19 15:29:21 CEST 2014: 26: finished (6615ms, 500cycles)
Mon May 19 15:29:21 CEST 2014: 26: No solution found.
Mon May 19 15:29:25 CEST 2014: 27: finished (3593ms, 500cycles)
Mon May 19 15:29:25 CEST 2014: 27: No solution found.
Mon May 19 15:29:28 CEST 2014: 28: finished (3429ms, 500cycles)
Mon May 19 15:29:28 CEST 2014: 28: No solution found.
Mon May 19 15:29:28 CEST 2014: 29: finished (392ms, 51cycles)
Mon May 19 15:29:28 CEST 2014: 29: Solution found.
Mon May 19 15:29:33 CEST 2014: 30: finished (4125ms, 500cycles)
Mon May 19 15:29:33 CEST 2014: 30: No solution found.
Mon May 19 15:29:37 CEST 2014: 31: finished (4309ms, 500cycles)
Mon May 19 15:29:37 CEST 2014: 31: No solution found.
Mon May 19 15:29:44 CEST 2014: 32: finished (7047ms, 500cycles)
Mon May 19 15:29:44 CEST 2014: 32: No solution found.
Mon May 19 15:29:48 CEST 2014: 33: finished (3896ms, 500cycles)
Mon May 19 15:29:48 CEST 2014: 33: No solution found.
Mon May 19 15:29:52 CEST 2014: 34: finished (3778ms, 500cycles)
Mon May 19 15:29:52 CEST 2014: 34: No solution found.
Mon May 19 15:29:56 CEST 2014: 35: finished (3956ms, 500cycles)
Mon May 19 15:29:56 CEST 2014: 35: No solution found.
Mon May 19 15:29:59 CEST 2014: 36: finished (3902ms, 500cycles)
Mon May 19 15:29:59 CEST 2014: 36: No solution found.
Mon May 19 15:30:03 CEST 2014: 37: finished (3850ms, 500cycles)
Mon May 19 15:30:03 CEST 2014: 37: No solution found.
Mon May 19 15:30:07 CEST 2014: 38: finished (3488ms, 500cycles)
Mon May 19 15:30:07 CEST 2014: 38: No solution found.
Mon May 19 15:30:11 CEST 2014: 39: finished (3777ms, 500cycles)
Mon May 19 15:30:11 CEST 2014: 39: No solution found.
Mon May 19 15:30:16 CEST 2014: 40: finished (5261ms, 303cycles)
Mon May 19 15:30:16 CEST 2014: 40: Solution found.
Mon May 19 15:30:20 CEST 2014: 41: finished (4190ms, 500cycles)
Mon May 19 15:30:20 CEST 2014: 41: No solution found.
Mon May 19 15:30:24 CEST 2014: 42: finished (3845ms, 500cycles)
Mon May 19 15:30:24 CEST 2014: 42: No solution found.
Mon May 19 15:30:28 CEST 2014: 43: finished (3779ms, 500cycles)
Mon May 19 15:30:28 CEST 2014: 43: No solution found.
Mon May 19 15:30:31 CEST 2014: 44: finished (3555ms, 500cycles)
Mon May 19 15:30:31 CEST 2014: 44: No solution found.
Mon May 19 15:30:35 CEST 2014: 45: finished (3645ms, 500cycles)
Mon May 19 15:30:35 CEST 2014: 45: No solution found.
Mon May 19 15:30:38 CEST 2014: 46: finished (3688ms, 500cycles)
Mon May 19 15:30:38 CEST 2014: 46: No solution found.
Mon May 19 15:30:39 CEST 2014: 47: finished (216ms, 26cycles)
Mon May 19 15:30:39 CEST 2014: 47: Solution found.
Mon May 19 15:30:46 CEST 2014: 48: finished (7318ms, 500cycles)
Mon May 19 15:30:46 CEST 2014: 48: No solution found.
Mon May 19 15:30:50 CEST 2014: 49: finished (4040ms, 500cycles)
Mon May 19 15:30:50 CEST 2014: 49: No solution found.
Mon May 19 15:30:54 CEST 2014: 50: finished (3824ms, 500cycles)
Mon May 19 15:30:54 CEST 2014: 50: No solution found.
Mon May 19 15:30:58 CEST 2014: 51: finished (3728ms, 500cycles)
Mon May 19 15:30:58 CEST 2014: 51: No solution found.
Mon May 19 15:30:58 CEST 2014: 52: finished (354ms, 43cycles)
Mon May 19 15:30:58 CEST 2014: 52: Solution found.
