Fri Dec 27 23:48:56 CET 2013: 44: finished (14447ms, 1000cycles)
Fri Dec 27 23:48:56 CET 2013: 44: No solution found.
Fri Dec 27 23:49:10 CET 2013: 45: finished (13685ms, 1000cycles)
Fri Dec 27 23:49:10 CET 2013: 45: No solution found.
Fri Dec 27 23:49:25 CET 2013: 46: finished (15099ms, 1000cycles)
Fri Dec 27 23:49:25 CET 2013: 46: No solution found.
Fri Dec 27 23:49:39 CET 2013: 47: finished (14077ms, 1000cycles)
Fri Dec 27 23:49:39 CET 2013: 47: No solution found.
Fri Dec 27 23:49:45 CET 2013: 48: finished (5412ms, 371cycles)
Fri Dec 27 23:49:45 CET 2013: 48: Solution found.
Fri Dec 27 23:49:59 CET 2013: 49: finished (14334ms, 1000cycles)
Fri Dec 27 23:49:59 CET 2013: 49: No solution found.
Fri Dec 27 23:50:13 CET 2013: 50: finished (13829ms, 1000cycles)
Fri Dec 27 23:50:13 CET 2013: 50: No solution found.
Fri Dec 27 23:50:26 CET 2013: 51: finished (13417ms, 1000cycles)
Fri Dec 27 23:50:26 CET 2013: 51: No solution found.
Fri Dec 27 23:50:32 CET 2013: 52: finished (5598ms, 358cycles)
Fri Dec 27 23:50:32 CET 2013: 52: Solution found.
Fri Dec 27 23:50:47 CET 2013: 53: finished (15583ms, 1000cycles)
Fri Dec 27 23:50:47 CET 2013: 53: No solution found.
Fri Dec 27 23:51:04 CET 2013: 54: finished (16339ms, 1000cycles)
Fri Dec 27 23:51:04 CET 2013: 54: No solution found.
Fri Dec 27 23:51:19 CET 2013: 55: finished (15049ms, 1000cycles)
Fri Dec 27 23:51:19 CET 2013: 55: No solution found.
Fri Dec 27 23:51:35 CET 2013: 56: finished (16723ms, 1000cycles)
Fri Dec 27 23:51:35 CET 2013: 56: No solution found.
Fri Dec 27 23:51:50 CET 2013: 57: finished (14136ms, 1000cycles)
Fri Dec 27 23:51:50 CET 2013: 57: No solution found.
Fri Dec 27 23:52:05 CET 2013: 58: finished (15252ms, 1000cycles)
Fri Dec 27 23:52:05 CET 2013: 58: No solution found.
Fri Dec 27 23:52:19 CET 2013: 59: finished (14592ms, 1000cycles)
Fri Dec 27 23:52:19 CET 2013: 59: No solution found.
Fri Dec 27 23:52:34 CET 2013: 60: finished (15049ms, 1000cycles)
Fri Dec 27 23:52:34 CET 2013: 60: No solution found.
Fri Dec 27 23:52:36 CET 2013: 61: finished (1423ms, 95cycles)
Fri Dec 27 23:52:36 CET 2013: 61: Solution found.
Fri Dec 27 23:52:52 CET 2013: 62: finished (16553ms, 1000cycles)
Fri Dec 27 23:52:52 CET 2013: 62: No solution found.
Fri Dec 27 23:53:08 CET 2013: 63: finished (15110ms, 1000cycles)
Fri Dec 27 23:53:08 CET 2013: 63: No solution found.
Fri Dec 27 23:53:22 CET 2013: 64: finished (14178ms, 1000cycles)
Fri Dec 27 23:53:22 CET 2013: 64: No solution found.
Fri Dec 27 23:53:25 CET 2013: 65: finished (2902ms, 199cycles)
Fri Dec 27 23:53:25 CET 2013: 65: Solution found.
Fri Dec 27 23:53:38 CET 2013: 66: finished (13772ms, 1000cycles)
Fri Dec 27 23:53:38 CET 2013: 66: No solution found.
Fri Dec 27 23:53:54 CET 2013: 67: finished (15576ms, 1000cycles)
Fri Dec 27 23:53:54 CET 2013: 67: No solution found.
Fri Dec 27 23:54:09 CET 2013: 68: finished (14902ms, 1000cycles)
Fri Dec 27 23:54:09 CET 2013: 68: No solution found.
Fri Dec 27 23:54:23 CET 2013: 69: finished (14577ms, 1000cycles)
Fri Dec 27 23:54:23 CET 2013: 69: No solution found.
Fri Dec 27 23:54:38 CET 2013: 70: finished (14019ms, 1000cycles)
Fri Dec 27 23:54:38 CET 2013: 70: No solution found.
Fri Dec 27 23:54:51 CET 2013: 71: finished (13477ms, 1000cycles)
Fri Dec 27 23:54:51 CET 2013: 71: No solution found.
Fri Dec 27 23:55:06 CET 2013: 72: finished (14836ms, 1000cycles)
Fri Dec 27 23:55:06 CET 2013: 72: No solution found.
Fri Dec 27 23:55:19 CET 2013: 73: finished (13619ms, 1000cycles)
Fri Dec 27 23:55:19 CET 2013: 73: No solution found.
Fri Dec 27 23:55:34 CET 2013: 74: finished (14613ms, 1000cycles)
Fri Dec 27 23:55:34 CET 2013: 74: No solution found.
Fri Dec 27 23:55:50 CET 2013: 75: finished (16133ms, 1000cycles)
Fri Dec 27 23:55:50 CET 2013: 75: No solution found.
Fri Dec 27 23:56:04 CET 2013: 76: finished (13877ms, 1000cycles)
Fri Dec 27 23:56:04 CET 2013: 76: No solution found.
Fri Dec 27 23:56:18 CET 2013: 77: finished (14170ms, 1000cycles)
Fri Dec 27 23:56:18 CET 2013: 77: No solution found.
Fri Dec 27 23:56:32 CET 2013: 78: finished (13852ms, 1000cycles)
Fri Dec 27 23:56:32 CET 2013: 78: No solution found.
Fri Dec 27 23:56:47 CET 2013: 79: finished (15278ms, 1000cycles)
Fri Dec 27 23:56:47 CET 2013: 79: No solution found.
Fri Dec 27 23:56:49 CET 2013: 80: finished (1852ms, 112cycles)
Fri Dec 27 23:56:49 CET 2013: 80: Solution found.
Fri Dec 27 23:57:03 CET 2013: 81: finished (13333ms, 1000cycles)
