Mon Dec 30 15:24:54 CET 2013: Problem Count: 50
Mon Dec 30 15:24:54 CET 2013: CandidatesCount: 150
Mon Dec 30 15:24:54 CET 2013: Max Cycles: 500
Mon Dec 30 15:24:57 CET 2013: 0: finished (2536ms, 500cycles)
Mon Dec 30 15:24:57 CET 2013: 0: No solution found.
Mon Dec 30 15:24:59 CET 2013: 1: finished (2635ms, 500cycles)
Mon Dec 30 15:24:59 CET 2013: 1: No solution found.
Mon Dec 30 15:25:03 CET 2013: 2: finished (3709ms, 500cycles)
Mon Dec 30 15:25:03 CET 2013: 2: No solution found.
Mon Dec 30 15:25:05 CET 2013: 3: finished (1713ms, 500cycles)
Mon Dec 30 15:25:05 CET 2013: 3: No solution found.
Mon Dec 30 15:25:07 CET 2013: 4: finished (2831ms, 500cycles)
Mon Dec 30 15:25:07 CET 2013: 4: No solution found.
Mon Dec 30 15:25:11 CET 2013: 5: finished (3323ms, 500cycles)
Mon Dec 30 15:25:11 CET 2013: 5: No solution found.
Mon Dec 30 15:25:15 CET 2013: 6: finished (3721ms, 500cycles)
Mon Dec 30 15:25:15 CET 2013: 6: No solution found.
Mon Dec 30 15:25:17 CET 2013: 7: finished (2426ms, 500cycles)
Mon Dec 30 15:25:17 CET 2013: 7: No solution found.
Mon Dec 30 15:25:17 CET 2013: 8: finished (82ms, 21cycles)
Mon Dec 30 15:25:17 CET 2013: 8: Solution found.
Mon Dec 30 15:25:21 CET 2013: 9: finished (3568ms, 500cycles)
Mon Dec 30 15:25:21 CET 2013: 9: No solution found.
Mon Dec 30 15:25:22 CET 2013: 10: finished (1872ms, 500cycles)
Mon Dec 30 15:25:22 CET 2013: 10: No solution found.
Mon Dec 30 15:25:26 CET 2013: 11: finished (3383ms, 500cycles)
Mon Dec 30 15:25:26 CET 2013: 11: No solution found.
Mon Dec 30 15:25:28 CET 2013: 12: finished (2220ms, 500cycles)
Mon Dec 30 15:25:28 CET 2013: 12: No solution found.
Mon Dec 30 15:25:30 CET 2013: 13: finished (1760ms, 500cycles)
Mon Dec 30 15:25:30 CET 2013: 13: No solution found.
Mon Dec 30 15:25:33 CET 2013: 14: finished (2764ms, 500cycles)
Mon Dec 30 15:25:33 CET 2013: 14: No solution found.
Mon Dec 30 15:25:33 CET 2013: 15: finished (128ms, 34cycles)
Mon Dec 30 15:25:33 CET 2013: 15: Solution found.
Mon Dec 30 15:25:35 CET 2013: 16: finished (1959ms, 500cycles)
Mon Dec 30 15:25:35 CET 2013: 16: No solution found.
Mon Dec 30 15:25:38 CET 2013: 17: finished (3183ms, 500cycles)
Mon Dec 30 15:25:38 CET 2013: 17: No solution found.
Mon Dec 30 15:25:41 CET 2013: 18: finished (3389ms, 500cycles)
Mon Dec 30 15:25:41 CET 2013: 18: No solution found.
Mon Dec 30 15:25:42 CET 2013: 19: finished (792ms, 118cycles)
Mon Dec 30 15:25:42 CET 2013: 19: Solution found.
Mon Dec 30 15:25:44 CET 2013: 20: finished (1960ms, 500cycles)
Mon Dec 30 15:25:44 CET 2013: 20: No solution found.
Mon Dec 30 15:25:46 CET 2013: 21: finished (1787ms, 500cycles)
Mon Dec 30 15:25:46 CET 2013: 21: No solution found.
Mon Dec 30 15:25:49 CET 2013: 22: finished (3163ms, 500cycles)
Mon Dec 30 15:25:49 CET 2013: 22: No solution found.
Mon Dec 30 15:25:52 CET 2013: 23: finished (3326ms, 500cycles)
Mon Dec 30 15:25:52 CET 2013: 23: No solution found.
Mon Dec 30 15:25:54 CET 2013: 24: finished (1887ms, 500cycles)
Mon Dec 30 15:25:54 CET 2013: 24: No solution found.
Mon Dec 30 15:25:56 CET 2013: 25: finished (2060ms, 500cycles)
Mon Dec 30 15:25:56 CET 2013: 25: No solution found.
Mon Dec 30 15:25:58 CET 2013: 26: finished (2088ms, 500cycles)
Mon Dec 30 15:25:58 CET 2013: 26: No solution found.
Mon Dec 30 15:26:01 CET 2013: 27: finished (2338ms, 500cycles)
Mon Dec 30 15:26:01 CET 2013: 27: No solution found.
Mon Dec 30 15:26:03 CET 2013: 28: finished (2032ms, 500cycles)
Mon Dec 30 15:26:03 CET 2013: 28: No solution found.
Mon Dec 30 15:26:06 CET 2013: 29: finished (3206ms, 500cycles)
Mon Dec 30 15:26:06 CET 2013: 29: No solution found.
Mon Dec 30 15:26:08 CET 2013: 30: finished (1630ms, 500cycles)
Mon Dec 30 15:26:08 CET 2013: 30: No solution found.
Mon Dec 30 15:26:11 CET 2013: 31: finished (3659ms, 500cycles)
Mon Dec 30 15:26:11 CET 2013: 31: No solution found.
Mon Dec 30 15:26:13 CET 2013: 32: finished (1767ms, 500cycles)
Mon Dec 30 15:26:13 CET 2013: 32: No solution found.
Mon Dec 30 15:26:15 CET 2013: 33: finished (1999ms, 500cycles)
Mon Dec 30 15:26:15 CET 2013: 33: No solution found.
Mon Dec 30 15:26:16 CET 2013: 34: finished (765ms, 126cycles)
