Fri Dec 27 22:59:15 CET 2013: Problem Count: 250
Fri Dec 27 22:59:15 CET 2013: CandidatesCount: 100
Fri Dec 27 22:59:15 CET 2013: Max Cycles: 250
Fri Dec 27 22:59:40 CET 2013: 0: finished (25327ms, 250cycles)
Fri Dec 27 22:59:40 CET 2013: 0: No solution found.
Fri Dec 27 23:00:06 CET 2013: 1: finished (25478ms, 250cycles)
Fri Dec 27 23:00:06 CET 2013: 1: No solution found.
Fri Dec 27 23:00:33 CET 2013: 2: finished (27376ms, 250cycles)
Fri Dec 27 23:00:33 CET 2013: 2: No solution found.
Fri Dec 27 23:01:00 CET 2013: 3: finished (26637ms, 250cycles)
Fri Dec 27 23:01:00 CET 2013: 3: No solution found.
Fri Dec 27 23:01:05 CET 2013: 4: finished (5619ms, 51cycles)
Fri Dec 27 23:01:05 CET 2013: 4: Solution found.
Fri Dec 27 23:01:33 CET 2013: 5: finished (27804ms, 250cycles)
Fri Dec 27 23:01:33 CET 2013: 5: No solution found.
Fri Dec 27 23:02:00 CET 2013: 6: finished (27000ms, 250cycles)
Fri Dec 27 23:02:00 CET 2013: 6: No solution found.
Fri Dec 27 23:02:28 CET 2013: 7: finished (27316ms, 250cycles)
Fri Dec 27 23:02:28 CET 2013: 7: No solution found.
Fri Dec 27 23:02:55 CET 2013: 8: finished (27352ms, 250cycles)
Fri Dec 27 23:02:55 CET 2013: 8: No solution found.
Fri Dec 27 23:03:22 CET 2013: 9: finished (26929ms, 250cycles)
Fri Dec 27 23:03:22 CET 2013: 9: No solution found.
Fri Dec 27 23:03:26 CET 2013: 10: finished (4122ms, 33cycles)
Fri Dec 27 23:03:26 CET 2013: 10: Solution found.
Fri Dec 27 23:03:52 CET 2013: 11: finished (26121ms, 250cycles)
Fri Dec 27 23:03:52 CET 2013: 11: No solution found.
Fri Dec 27 23:04:19 CET 2013: 12: finished (26402ms, 250cycles)
Fri Dec 27 23:04:19 CET 2013: 12: No solution found.
Fri Dec 27 23:04:45 CET 2013: 13: finished (25979ms, 250cycles)
Fri Dec 27 23:04:45 CET 2013: 13: No solution found.
Fri Dec 27 23:05:10 CET 2013: 14: finished (24994ms, 250cycles)
Fri Dec 27 23:05:10 CET 2013: 14: No solution found.
Fri Dec 27 23:05:35 CET 2013: 15: finished (25424ms, 250cycles)
Fri Dec 27 23:05:35 CET 2013: 15: No solution found.
Fri Dec 27 23:05:44 CET 2013: 16: finished (8718ms, 84cycles)
Fri Dec 27 23:05:44 CET 2013: 16: Solution found.
Fri Dec 27 23:06:09 CET 2013: 17: finished (25244ms, 250cycles)
Fri Dec 27 23:06:09 CET 2013: 17: No solution found.
Fri Dec 27 23:06:16 CET 2013: 18: finished (7041ms, 68cycles)
Fri Dec 27 23:06:16 CET 2013: 18: Solution found.
Fri Dec 27 23:06:41 CET 2013: 19: finished (24786ms, 250cycles)
Fri Dec 27 23:06:41 CET 2013: 19: No solution found.
Fri Dec 27 23:07:06 CET 2013: 20: finished (24824ms, 250cycles)
Fri Dec 27 23:07:06 CET 2013: 20: No solution found.
Fri Dec 27 23:07:31 CET 2013: 21: finished (25225ms, 250cycles)
Fri Dec 27 23:07:31 CET 2013: 21: No solution found.
Fri Dec 27 23:07:56 CET 2013: 22: finished (25641ms, 250cycles)
Fri Dec 27 23:07:56 CET 2013: 22: No solution found.
Fri Dec 27 23:08:23 CET 2013: 23: finished (26311ms, 250cycles)
Fri Dec 27 23:08:23 CET 2013: 23: No solution found.
Fri Dec 27 23:08:28 CET 2013: 24: finished (5571ms, 50cycles)
Fri Dec 27 23:08:28 CET 2013: 24: Solution found.
Fri Dec 27 23:08:32 CET 2013: 25: finished (3982ms, 36cycles)
Fri Dec 27 23:08:32 CET 2013: 25: Solution found.
Fri Dec 27 23:08:37 CET 2013: 26: finished (4304ms, 39cycles)
Fri Dec 27 23:08:37 CET 2013: 26: Solution found.
Fri Dec 27 23:09:03 CET 2013: 27: finished (26573ms, 250cycles)
Fri Dec 27 23:09:03 CET 2013: 27: No solution found.
Fri Dec 27 23:09:29 CET 2013: 28: finished (25859ms, 250cycles)
Fri Dec 27 23:09:29 CET 2013: 28: No solution found.
Fri Dec 27 23:09:56 CET 2013: 29: finished (27188ms, 250cycles)
Fri Dec 27 23:09:56 CET 2013: 29: No solution found.
Fri Dec 27 23:10:00 CET 2013: 30: finished (3300ms, 30cycles)
Fri Dec 27 23:10:00 CET 2013: 30: Solution found.
Fri Dec 27 23:10:27 CET 2013: 31: finished (27109ms, 250cycles)
Fri Dec 27 23:10:27 CET 2013: 31: No solution found.
Fri Dec 27 23:10:54 CET 2013: 32: finished (27623ms, 250cycles)
Fri Dec 27 23:10:54 CET 2013: 32: No solution found.
Fri Dec 27 23:11:20 CET 2013: 33: finished (25685ms, 250cycles)
Fri Dec 27 23:11:20 CET 2013: 33: No solution found.
Fri Dec 27 23:11:47 CET 2013: 34: finished (27273ms, 250cycles)
Fri Dec 27 23:11:47 CET 2013: 34: No solution found.
Fri Dec 27 23:12:14 CET 2013: 35: finished (26602ms, 250cycles)
Fri Dec 27 23:12:14 CET 2013: 35: No solution found.
Fri Dec 27 23:12:39 CET 2013: 36: finished (25674ms, 250cycles)
Fri Dec 27 23:12:39 CET 2013: 36: No solution found.
Fri Dec 27 23:13:06 CET 2013: 37: finished (26375ms, 250cycles)
Fri Dec 27 23:13:06 CET 2013: 37: No solution found.
Fri Dec 27 23:13:33 CET 2013: 38: finished (27484ms, 250cycles)
Fri Dec 27 23:13:33 CET 2013: 38: No solution found.
Fri Dec 27 23:14:01 CET 2013: 39: finished (27471ms, 250cycles)
Fri Dec 27 23:14:01 CET 2013: 39: No solution found.
Fri Dec 27 23:14:28 CET 2013: 40: finished (26749ms, 250cycles)
Fri Dec 27 23:14:28 CET 2013: 40: No solution found.
Fri Dec 27 23:14:54 CET 2013: 41: finished (26575ms, 250cycles)
Fri Dec 27 23:14:54 CET 2013: 41: No solution found.
Fri Dec 27 23:15:21 CET 2013: 42: finished (26480ms, 250cycles)
Fri Dec 27 23:15:21 CET 2013: 42: No solution found.
Fri Dec 27 23:15:45 CET 2013: 43: finished (24847ms, 250cycles)
Fri Dec 27 23:15:45 CET 2013: 43: No solution found.
