Sat Dec 28 17:06:20 CET 2013: 45: finished (3951ms, 500cycles)
Sat Dec 28 17:06:20 CET 2013: 45: No solution found.
Sat Dec 28 17:06:23 CET 2013: 46: finished (3770ms, 500cycles)
Sat Dec 28 17:06:23 CET 2013: 46: No solution found.
Sat Dec 28 17:06:28 CET 2013: 47: finished (4030ms, 500cycles)
Sat Dec 28 17:06:28 CET 2013: 47: No solution found.
Sat Dec 28 17:06:32 CET 2013: 48: finished (4017ms, 500cycles)
Sat Dec 28 17:06:32 CET 2013: 48: No solution found.
Sat Dec 28 17:06:35 CET 2013: 49: finished (3823ms, 500cycles)
Sat Dec 28 17:06:35 CET 2013: 49: No solution found.
Sat Dec 28 17:06:39 CET 2013: 50: finished (3693ms, 500cycles)
Sat Dec 28 17:06:39 CET 2013: 50: No solution found.
Sat Dec 28 17:06:42 CET 2013: 51: finished (3291ms, 500cycles)
Sat Dec 28 17:06:42 CET 2013: 51: No solution found.
Sat Dec 28 17:06:46 CET 2013: 52: finished (4004ms, 500cycles)
Sat Dec 28 17:06:46 CET 2013: 52: No solution found.
Sat Dec 28 17:06:50 CET 2013: 53: finished (3733ms, 500cycles)
Sat Dec 28 17:06:50 CET 2013: 53: No solution found.
Sat Dec 28 17:06:51 CET 2013: 54: finished (737ms, 96cycles)
Sat Dec 28 17:06:51 CET 2013: 54: Solution found.
Sat Dec 28 17:06:55 CET 2013: 55: finished (3880ms, 500cycles)
Sat Dec 28 17:06:55 CET 2013: 55: No solution found.
Sat Dec 28 17:06:59 CET 2013: 56: finished (3852ms, 500cycles)
Sat Dec 28 17:06:59 CET 2013: 56: No solution found.
Sat Dec 28 17:07:02 CET 2013: 57: finished (3804ms, 500cycles)
Sat Dec 28 17:07:02 CET 2013: 57: No solution found.
Sat Dec 28 17:07:06 CET 2013: 58: finished (3653ms, 500cycles)
Sat Dec 28 17:07:06 CET 2013: 58: No solution found.
Sat Dec 28 17:07:10 CET 2013: 59: finished (3721ms, 500cycles)
Sat Dec 28 17:07:10 CET 2013: 59: No solution found.
Sat Dec 28 17:07:13 CET 2013: 60: finished (3417ms, 500cycles)
Sat Dec 28 17:07:13 CET 2013: 60: No solution found.
Sat Dec 28 17:07:16 CET 2013: 61: finished (2706ms, 302cycles)
Sat Dec 28 17:07:16 CET 2013: 61: Solution found.
Sat Dec 28 17:07:20 CET 2013: 62: finished (3953ms, 500cycles)
Sat Dec 28 17:07:20 CET 2013: 62: No solution found.
Sat Dec 28 17:07:25 CET 2013: 63: finished (5350ms, 500cycles)
Sat Dec 28 17:07:25 CET 2013: 63: No solution found.
Sat Dec 28 17:07:29 CET 2013: 64: finished (3896ms, 500cycles)
Sat Dec 28 17:07:29 CET 2013: 64: No solution found.
Sat Dec 28 17:07:33 CET 2013: 65: finished (4168ms, 500cycles)
Sat Dec 28 17:07:33 CET 2013: 65: No solution found.
Sat Dec 28 17:07:37 CET 2013: 66: finished (4065ms, 500cycles)
Sat Dec 28 17:07:37 CET 2013: 66: No solution found.
Sat Dec 28 17:07:41 CET 2013: 67: finished (3787ms, 500cycles)
Sat Dec 28 17:07:41 CET 2013: 67: No solution found.
Sat Dec 28 17:07:45 CET 2013: 68: finished (3842ms, 500cycles)
Sat Dec 28 17:07:45 CET 2013: 68: No solution found.
Sat Dec 28 17:07:50 CET 2013: 69: finished (5574ms, 500cycles)
Sat Dec 28 17:07:50 CET 2013: 69: No solution found.
Sat Dec 28 17:07:55 CET 2013: 70: finished (4140ms, 500cycles)
Sat Dec 28 17:07:55 CET 2013: 70: No solution found.
Sat Dec 28 17:07:58 CET 2013: 71: finished (3790ms, 500cycles)
Sat Dec 28 17:07:58 CET 2013: 71: No solution found.
Sat Dec 28 17:08:03 CET 2013: 72: finished (4546ms, 500cycles)
Sat Dec 28 17:08:03 CET 2013: 72: No solution found.
Sat Dec 28 17:08:07 CET 2013: 73: finished (3924ms, 500cycles)
Sat Dec 28 17:08:07 CET 2013: 73: No solution found.
Sat Dec 28 17:08:12 CET 2013: 74: finished (4744ms, 500cycles)
Sat Dec 28 17:08:12 CET 2013: 74: No solution found.
Sat Dec 28 17:08:16 CET 2013: 75: finished (4237ms, 500cycles)
Sat Dec 28 17:08:16 CET 2013: 75: No solution found.
Sat Dec 28 17:08:20 CET 2013: 76: finished (4326ms, 500cycles)
Sat Dec 28 17:08:20 CET 2013: 76: No solution found.
Sat Dec 28 17:08:24 CET 2013: 77: finished (4290ms, 500cycles)
Sat Dec 28 17:08:24 CET 2013: 77: No solution found.
Sat Dec 28 17:08:29 CET 2013: 78: finished (4081ms, 500cycles)
Sat Dec 28 17:08:29 CET 2013: 78: No solution found.
Sat Dec 28 17:08:32 CET 2013: 79: finished (3480ms, 500cycles)
