Mon Dec 30 13:50:17 CET 2013: Problem Count: 50
Mon Dec 30 13:50:17 CET 2013: CandidatesCount: 50
Mon Dec 30 13:50:17 CET 2013: Max Cycles: 500
Mon Dec 30 13:50:18 CET 2013: 0: finished (715ms, 500cycles)
Mon Dec 30 13:50:18 CET 2013: 0: No solution found.
Mon Dec 30 13:50:19 CET 2013: 1: finished (696ms, 500cycles)
Mon Dec 30 13:50:19 CET 2013: 1: No solution found.
Mon Dec 30 13:50:19 CET 2013: 2: finished (674ms, 500cycles)
Mon Dec 30 13:50:19 CET 2013: 2: No solution found.
Mon Dec 30 13:50:20 CET 2013: 3: finished (572ms, 500cycles)
Mon Dec 30 13:50:20 CET 2013: 3: No solution found.
Mon Dec 30 13:50:21 CET 2013: 4: finished (1324ms, 500cycles)
Mon Dec 30 13:50:21 CET 2013: 4: No solution found.
Mon Dec 30 13:50:22 CET 2013: 5: finished (792ms, 500cycles)
Mon Dec 30 13:50:22 CET 2013: 5: No solution found.
Mon Dec 30 13:50:23 CET 2013: 6: finished (535ms, 500cycles)
Mon Dec 30 13:50:23 CET 2013: 6: No solution found.
Mon Dec 30 13:50:23 CET 2013: 7: finished (578ms, 500cycles)
Mon Dec 30 13:50:23 CET 2013: 7: No solution found.
Mon Dec 30 13:50:24 CET 2013: 8: finished (1144ms, 500cycles)
Mon Dec 30 13:50:24 CET 2013: 8: No solution found.
Mon Dec 30 13:50:25 CET 2013: 9: finished (553ms, 500cycles)
Mon Dec 30 13:50:25 CET 2013: 9: No solution found.
Mon Dec 30 13:50:26 CET 2013: 10: finished (842ms, 500cycles)
Mon Dec 30 13:50:26 CET 2013: 10: No solution found.
Mon Dec 30 13:50:26 CET 2013: 11: finished (619ms, 500cycles)
Mon Dec 30 13:50:26 CET 2013: 11: No solution found.
Mon Dec 30 13:50:27 CET 2013: 12: finished (599ms, 500cycles)
Mon Dec 30 13:50:27 CET 2013: 12: No solution found.
Mon Dec 30 13:50:28 CET 2013: 13: finished (1011ms, 500cycles)
Mon Dec 30 13:50:28 CET 2013: 13: No solution found.
Mon Dec 30 13:50:29 CET 2013: 14: finished (617ms, 500cycles)
Mon Dec 30 13:50:29 CET 2013: 14: No solution found.
Mon Dec 30 13:50:29 CET 2013: 15: finished (542ms, 500cycles)
Mon Dec 30 13:50:29 CET 2013: 15: No solution found.
Mon Dec 30 13:50:30 CET 2013: 16: finished (633ms, 500cycles)
Mon Dec 30 13:50:30 CET 2013: 16: No solution found.
Mon Dec 30 13:50:30 CET 2013: 17: finished (548ms, 500cycles)
Mon Dec 30 13:50:30 CET 2013: 17: No solution found.
Mon Dec 30 13:50:31 CET 2013: 18: finished (1006ms, 500cycles)
Mon Dec 30 13:50:31 CET 2013: 18: No solution found.
Mon Dec 30 13:50:32 CET 2013: 19: finished (1109ms, 500cycles)
Mon Dec 30 13:50:33 CET 2013: 19: No solution found.
Mon Dec 30 13:50:33 CET 2013: 20: finished (972ms, 500cycles)
Mon Dec 30 13:50:33 CET 2013: 20: No solution found.
Mon Dec 30 13:50:34 CET 2013: 21: finished (623ms, 500cycles)
Mon Dec 30 13:50:34 CET 2013: 21: No solution found.
Mon Dec 30 13:50:35 CET 2013: 22: finished (818ms, 500cycles)
Mon Dec 30 13:50:35 CET 2013: 22: No solution found.
Mon Dec 30 13:50:35 CET 2013: 23: finished (581ms, 500cycles)
Mon Dec 30 13:50:35 CET 2013: 23: No solution found.
Mon Dec 30 13:50:36 CET 2013: 24: finished (599ms, 500cycles)
Mon Dec 30 13:50:36 CET 2013: 24: No solution found.
Mon Dec 30 13:50:37 CET 2013: 25: finished (562ms, 500cycles)
Mon Dec 30 13:50:37 CET 2013: 25: No solution found.
Mon Dec 30 13:50:37 CET 2013: 26: finished (370ms, 171cycles)
Mon Dec 30 13:50:37 CET 2013: 26: Solution found.
Mon Dec 30 13:50:38 CET 2013: 27: finished (607ms, 500cycles)
Mon Dec 30 13:50:38 CET 2013: 27: No solution found.
Mon Dec 30 13:50:39 CET 2013: 28: finished (904ms, 500cycles)
Mon Dec 30 13:50:39 CET 2013: 28: No solution found.
Mon Dec 30 13:50:39 CET 2013: 29: finished (824ms, 500cycles)
Mon Dec 30 13:50:39 CET 2013: 29: No solution found.
Mon Dec 30 13:50:40 CET 2013: 30: finished (945ms, 500cycles)
Mon Dec 30 13:50:40 CET 2013: 30: No solution found.
Mon Dec 30 13:50:41 CET 2013: 31: finished (522ms, 500cycles)
