Sun Mar 23 12:21:11 CET 2014: 45: finished (1975ms, 500cycles)
Sun Mar 23 12:21:11 CET 2014: 45: No solution found.
Sun Mar 23 12:21:13 CET 2014: 46: finished (2118ms, 500cycles)
Sun Mar 23 12:21:13 CET 2014: 46: No solution found.
Sun Mar 23 12:21:15 CET 2014: 47: finished (2006ms, 500cycles)
Sun Mar 23 12:21:15 CET 2014: 47: No solution found.
Sun Mar 23 12:21:18 CET 2014: 48: finished (2145ms, 500cycles)
Sun Mar 23 12:21:18 CET 2014: 48: No solution found.
Sun Mar 23 12:21:20 CET 2014: 49: finished (2037ms, 500cycles)
Sun Mar 23 12:21:20 CET 2014: 49: No solution found.
Sun Mar 23 12:21:22 CET 2014: 50: finished (2130ms, 500cycles)
Sun Mar 23 12:21:22 CET 2014: 50: No solution found.
Sun Mar 23 12:21:24 CET 2014: 51: finished (2102ms, 500cycles)
Sun Mar 23 12:21:24 CET 2014: 51: No solution found.
Sun Mar 23 12:21:26 CET 2014: 52: finished (1994ms, 500cycles)
Sun Mar 23 12:21:26 CET 2014: 52: No solution found.
Sun Mar 23 12:21:26 CET 2014: 53: finished (122ms, 27cycles)
Sun Mar 23 12:21:26 CET 2014: 53: Solution found.
Sun Mar 23 12:21:28 CET 2014: 54: finished (1815ms, 500cycles)
Sun Mar 23 12:21:28 CET 2014: 54: No solution found.
Sun Mar 23 12:21:30 CET 2014: 55: finished (1803ms, 500cycles)
Sun Mar 23 12:21:30 CET 2014: 55: No solution found.
Sun Mar 23 12:21:31 CET 2014: 56: finished (1884ms, 500cycles)
Sun Mar 23 12:21:31 CET 2014: 56: No solution found.
Sun Mar 23 12:21:34 CET 2014: 57: finished (2068ms, 500cycles)
Sun Mar 23 12:21:34 CET 2014: 57: No solution found.
Sun Mar 23 12:21:36 CET 2014: 58: finished (2064ms, 500cycles)
Sun Mar 23 12:21:36 CET 2014: 58: No solution found.
Sun Mar 23 12:21:38 CET 2014: 59: finished (1930ms, 500cycles)
Sun Mar 23 12:21:38 CET 2014: 59: No solution found.
Sun Mar 23 12:21:38 CET 2014: 60: finished (224ms, 55cycles)
Sun Mar 23 12:21:38 CET 2014: 60: Solution found.
Sun Mar 23 12:21:40 CET 2014: 61: finished (2147ms, 500cycles)
Sun Mar 23 12:21:40 CET 2014: 61: No solution found.
Sun Mar 23 12:21:42 CET 2014: 62: finished (2070ms, 500cycles)
Sun Mar 23 12:21:42 CET 2014: 62: No solution found.
Sun Mar 23 12:21:44 CET 2014: 63: finished (2154ms, 500cycles)
Sun Mar 23 12:21:44 CET 2014: 63: No solution found.
Sun Mar 23 12:21:46 CET 2014: 64: finished (1920ms, 500cycles)
Sun Mar 23 12:21:46 CET 2014: 64: No solution found.
Sun Mar 23 12:21:48 CET 2014: 65: finished (1854ms, 500cycles)
Sun Mar 23 12:21:48 CET 2014: 65: No solution found.
Sun Mar 23 12:21:48 CET 2014: 66: finished (365ms, 85cycles)
Sun Mar 23 12:21:48 CET 2014: 66: Solution found.
Sun Mar 23 12:21:50 CET 2014: 67: finished (1904ms, 500cycles)
Sun Mar 23 12:21:50 CET 2014: 67: No solution found.
Sun Mar 23 12:21:52 CET 2014: 68: finished (2160ms, 500cycles)
Sun Mar 23 12:21:52 CET 2014: 68: No solution found.
Sun Mar 23 12:21:54 CET 2014: 69: finished (2166ms, 500cycles)
Sun Mar 23 12:21:54 CET 2014: 69: No solution found.
Sun Mar 23 12:21:57 CET 2014: 70: finished (2160ms, 500cycles)
Sun Mar 23 12:21:57 CET 2014: 70: No solution found.
Sun Mar 23 12:21:58 CET 2014: 71: finished (1718ms, 500cycles)
Sun Mar 23 12:21:58 CET 2014: 71: No solution found.
Sun Mar 23 12:22:00 CET 2014: 72: finished (2117ms, 500cycles)
Sun Mar 23 12:22:00 CET 2014: 72: No solution found.
Sun Mar 23 12:22:02 CET 2014: 73: finished (1786ms, 500cycles)
Sun Mar 23 12:22:02 CET 2014: 73: No solution found.
Sun Mar 23 12:22:04 CET 2014: 74: finished (2089ms, 500cycles)
Sun Mar 23 12:22:04 CET 2014: 74: No solution found.
Sun Mar 23 12:22:07 CET 2014: 75: finished (2165ms, 500cycles)
Sun Mar 23 12:22:07 CET 2014: 75: No solution found.
Sun Mar 23 12:22:09 CET 2014: 76: finished (2202ms, 500cycles)
Sun Mar 23 12:22:09 CET 2014: 76: No solution found.
Sun Mar 23 12:22:11 CET 2014: 77: finished (1901ms, 500cycles)
Sun Mar 23 12:22:11 CET 2014: 77: No solution found.
Sun Mar 23 12:22:13 CET 2014: 78: finished (2162ms, 500cycles)
Sun Mar 23 12:22:13 CET 2014: 78: No solution found.
Sun Mar 23 12:22:15 CET 2014: 79: finished (1796ms, 500cycles)
Sun Mar 23 12:22:15 CET 2014: 79: No solution found.
Sun Mar 23 12:22:16 CET 2014: 80: finished (1740ms, 500cycles)
Sun Mar 23 12:22:16 CET 2014: 80: No solution found.
Sun Mar 23 12:22:18 CET 2014: 81: finished (1993ms, 500cycles)
Sun Mar 23 12:22:18 CET 2014: 81: No solution found.
Sun Mar 23 12:22:20 CET 2014: 82: finished (2165ms, 500cycles)
Sun Mar 23 12:22:20 CET 2014: 82: No solution found.
Sun Mar 23 12:22:22 CET 2014: 83: finished (1809ms, 500cycles)
Sun Mar 23 12:22:22 CET 2014: 83: No solution found.
Sun Mar 23 12:22:23 CET 2014: 84: finished (441ms, 97cycles)
Sun Mar 23 12:22:23 CET 2014: 84: Solution found.
Sun Mar 23 12:22:25 CET 2014: 85: finished (1836ms, 500cycles)
Sun Mar 23 12:22:25 CET 2014: 85: No solution found.
Sun Mar 23 12:22:26 CET 2014: 86: finished (1870ms, 500cycles)
Sun Mar 23 12:22:26 CET 2014: 86: No solution found.
Sun Mar 23 12:22:29 CET 2014: 87: finished (2242ms, 500cycles)
Sun Mar 23 12:22:29 CET 2014: 87: No solution found.
Sun Mar 23 12:22:31 CET 2014: 88: finished (2122ms, 500cycles)
Sun Mar 23 12:22:31 CET 2014: 88: No solution found.
Sun Mar 23 12:22:33 CET 2014: 89: finished (2066ms, 500cycles)
Sun Mar 23 12:22:33 CET 2014: 89: No solution found.
Sun Mar 23 12:22:35 CET 2014: 90: finished (1731ms, 500cycles)
Sun Mar 23 12:22:35 CET 2014: 90: No solution found.
Sun Mar 23 12:22:37 CET 2014: 91: finished (2256ms, 500cycles)
Sun Mar 23 12:22:37 CET 2014: 91: No solution found.
Sun Mar 23 12:22:39 CET 2014: 92: finished (1723ms, 500cycles)
Sun Mar 23 12:22:39 CET 2014: 92: No solution found.
Sun Mar 23 12:22:39 CET 2014: 93: finished (201ms, 47cycles)
Sun Mar 23 12:22:39 CET 2014: 93: Solution found.
Sun Mar 23 12:22:41 CET 2014: 94: finished (2183ms, 500cycles)
Sun Mar 23 12:22:41 CET 2014: 94: No solution found.
Sun Mar 23 12:22:43 CET 2014: 95: finished (1977ms, 500cycles)
Sun Mar 23 12:22:43 CET 2014: 95: No solution found.
Sun Mar 23 12:22:45 CET 2014: 96: finished (1794ms, 500cycles)
Sun Mar 23 12:22:45 CET 2014: 96: No solution found.
Sun Mar 23 12:22:47 CET 2014: 97: finished (2207ms, 500cycles)
Sun Mar 23 12:22:47 CET 2014: 97: No solution found.
Sun Mar 23 12:22:49 CET 2014: 98: finished (2171ms, 500cycles)
Sun Mar 23 12:22:49 CET 2014: 98: No solution found.
Sun Mar 23 12:22:51 CET 2014: 99: finished (2075ms, 500cycles)
Sun Mar 23 12:22:51 CET 2014: 99: No solution found.
Sun Mar 23 12:22:51 CET 2014: Solution Found: 5
Sun Mar 23 12:22:51 CET 2014: Avg cycles: 62
Sun Mar 23 12:22:51 CET 2014: Max cycles: 97
Sun Mar 23 12:22:51 CET 2014: Min cycles: 27
Sun Mar 23 12:22:51 CET 2014: No solution found: 95
Sun Mar 23 12:22:51 CET 2014: logging finished. (runtime: 190628ms)
