Thu Jan 02 01:47:51 CET 2014: 45: finished (1039ms, 500cycles)
Thu Jan 02 01:47:51 CET 2014: 45: No solution found.
Thu Jan 02 01:47:52 CET 2014: 46: finished (1072ms, 500cycles)
Thu Jan 02 01:47:52 CET 2014: 46: No solution found.
Thu Jan 02 01:47:53 CET 2014: 47: finished (1027ms, 500cycles)
Thu Jan 02 01:47:53 CET 2014: 47: No solution found.
Thu Jan 02 01:47:55 CET 2014: 48: finished (1235ms, 500cycles)
Thu Jan 02 01:47:55 CET 2014: 48: No solution found.
Thu Jan 02 01:47:56 CET 2014: 49: finished (1004ms, 500cycles)
Thu Jan 02 01:47:56 CET 2014: 49: No solution found.
Thu Jan 02 01:47:57 CET 2014: 50: finished (1176ms, 500cycles)
Thu Jan 02 01:47:57 CET 2014: 50: No solution found.
Thu Jan 02 01:47:58 CET 2014: 51: finished (1027ms, 500cycles)
Thu Jan 02 01:47:58 CET 2014: 51: No solution found.
Thu Jan 02 01:47:59 CET 2014: 52: finished (1226ms, 500cycles)
Thu Jan 02 01:47:59 CET 2014: 52: No solution found.
Thu Jan 02 01:48:01 CET 2014: 53: finished (1825ms, 500cycles)
Thu Jan 02 01:48:01 CET 2014: 53: No solution found.
Thu Jan 02 01:48:03 CET 2014: 54: finished (2505ms, 500cycles)
Thu Jan 02 01:48:03 CET 2014: 54: No solution found.
Thu Jan 02 01:48:06 CET 2014: 55: finished (2790ms, 500cycles)
Thu Jan 02 01:48:06 CET 2014: 55: No solution found.
Thu Jan 02 01:48:07 CET 2014: 56: finished (1243ms, 500cycles)
Thu Jan 02 01:48:07 CET 2014: 56: No solution found.
Thu Jan 02 01:48:08 CET 2014: 57: finished (991ms, 500cycles)
Thu Jan 02 01:48:08 CET 2014: 57: No solution found.
Thu Jan 02 01:48:10 CET 2014: 58: finished (1171ms, 500cycles)
Thu Jan 02 01:48:10 CET 2014: 58: No solution found.
Thu Jan 02 01:48:11 CET 2014: 59: finished (1242ms, 500cycles)
Thu Jan 02 01:48:11 CET 2014: 59: No solution found.
Thu Jan 02 01:48:12 CET 2014: 60: finished (1111ms, 500cycles)
Thu Jan 02 01:48:12 CET 2014: 60: No solution found.
Thu Jan 02 01:48:13 CET 2014: 61: finished (930ms, 500cycles)
Thu Jan 02 01:48:13 CET 2014: 61: No solution found.
Thu Jan 02 01:48:14 CET 2014: 62: finished (1347ms, 500cycles)
Thu Jan 02 01:48:14 CET 2014: 62: No solution found.
Thu Jan 02 01:48:15 CET 2014: 63: finished (916ms, 500cycles)
Thu Jan 02 01:48:15 CET 2014: 63: No solution found.
Thu Jan 02 01:48:16 CET 2014: 64: finished (1009ms, 500cycles)
Thu Jan 02 01:48:16 CET 2014: 64: No solution found.
Thu Jan 02 01:48:18 CET 2014: 65: finished (1728ms, 500cycles)
Thu Jan 02 01:48:18 CET 2014: 65: No solution found.
Thu Jan 02 01:48:20 CET 2014: 66: finished (1784ms, 500cycles)
Thu Jan 02 01:48:20 CET 2014: 66: No solution found.
Thu Jan 02 01:48:21 CET 2014: 67: finished (1524ms, 500cycles)
Thu Jan 02 01:48:21 CET 2014: 67: No solution found.
Thu Jan 02 01:48:23 CET 2014: 68: finished (2183ms, 500cycles)
Thu Jan 02 01:48:23 CET 2014: 68: No solution found.
Thu Jan 02 01:48:25 CET 2014: 69: finished (1648ms, 500cycles)
Thu Jan 02 01:48:25 CET 2014: 69: No solution found.
Thu Jan 02 01:48:26 CET 2014: 70: finished (972ms, 500cycles)
Thu Jan 02 01:48:26 CET 2014: 70: No solution found.
Thu Jan 02 01:48:27 CET 2014: 71: finished (1140ms, 500cycles)
Thu Jan 02 01:48:27 CET 2014: 71: No solution found.
Thu Jan 02 01:48:28 CET 2014: 72: finished (1031ms, 500cycles)
Thu Jan 02 01:48:28 CET 2014: 72: No solution found.
Thu Jan 02 01:48:29 CET 2014: 73: finished (1199ms, 500cycles)
Thu Jan 02 01:48:29 CET 2014: 73: No solution found.
Thu Jan 02 01:48:30 CET 2014: 74: finished (1055ms, 500cycles)
Thu Jan 02 01:48:30 CET 2014: 74: No solution found.
Thu Jan 02 01:48:32 CET 2014: 75: finished (1172ms, 500cycles)
Thu Jan 02 01:48:32 CET 2014: 75: No solution found.
Thu Jan 02 01:48:33 CET 2014: 76: finished (1045ms, 500cycles)
Thu Jan 02 01:48:33 CET 2014: 76: No solution found.
Thu Jan 02 01:48:34 CET 2014: 77: finished (1036ms, 500cycles)
Thu Jan 02 01:48:34 CET 2014: 77: No solution found.
Thu Jan 02 01:48:37 CET 2014: 78: finished (3329ms, 500cycles)
Thu Jan 02 01:48:37 CET 2014: 78: No solution found.
Thu Jan 02 01:48:40 CET 2014: 79: finished (2833ms, 500cycles)
Thu Jan 02 01:48:40 CET 2014: 79: No solution found.
Thu Jan 02 01:48:41 CET 2014: 80: finished (879ms, 500cycles)
Thu Jan 02 01:48:41 CET 2014: 80: No solution found.
Thu Jan 02 01:48:42 CET 2014: 81: finished (898ms, 500cycles)
Thu Jan 02 01:48:42 CET 2014: 81: No solution found.
Thu Jan 02 01:48:43 CET 2014: 82: finished (1237ms, 500cycles)
Thu Jan 02 01:48:43 CET 2014: 82: No solution found.
Thu Jan 02 01:48:44 CET 2014: 83: finished (966ms, 500cycles)
Thu Jan 02 01:48:44 CET 2014: 83: No solution found.
Thu Jan 02 01:48:45 CET 2014: 84: finished (1031ms, 500cycles)
Thu Jan 02 01:48:45 CET 2014: 84: No solution found.
Thu Jan 02 01:48:46 CET 2014: 85: finished (1182ms, 500cycles)
Thu Jan 02 01:48:46 CET 2014: 85: No solution found.
Thu Jan 02 01:48:47 CET 2014: 86: finished (1380ms, 500cycles)
Thu Jan 02 01:48:47 CET 2014: 86: No solution found.
Thu Jan 02 01:48:49 CET 2014: 87: finished (1265ms, 500cycles)
Thu Jan 02 01:48:49 CET 2014: 87: No solution found.
Thu Jan 02 01:48:50 CET 2014: 88: finished (1121ms, 500cycles)
Thu Jan 02 01:48:50 CET 2014: 88: No solution found.
Thu Jan 02 01:48:52 CET 2014: 89: finished (2393ms, 500cycles)
Thu Jan 02 01:48:52 CET 2014: 89: No solution found.
Thu Jan 02 01:48:55 CET 2014: 90: finished (2767ms, 500cycles)
Thu Jan 02 01:48:55 CET 2014: 90: No solution found.
Thu Jan 02 01:48:57 CET 2014: 91: finished (2161ms, 500cycles)
Thu Jan 02 01:48:57 CET 2014: 91: No solution found.
Thu Jan 02 01:48:58 CET 2014: 92: finished (1087ms, 500cycles)
Thu Jan 02 01:48:58 CET 2014: 92: No solution found.
Thu Jan 02 01:48:59 CET 2014: 93: finished (1081ms, 500cycles)
Thu Jan 02 01:48:59 CET 2014: 93: No solution found.
Thu Jan 02 01:49:00 CET 2014: 94: finished (1033ms, 500cycles)
Thu Jan 02 01:49:00 CET 2014: 94: No solution found.
Thu Jan 02 01:49:02 CET 2014: 95: finished (1252ms, 500cycles)
Thu Jan 02 01:49:02 CET 2014: 95: No solution found.
Thu Jan 02 01:49:03 CET 2014: 96: finished (1117ms, 500cycles)
Thu Jan 02 01:49:03 CET 2014: 96: No solution found.
Thu Jan 02 01:49:04 CET 2014: 97: finished (894ms, 500cycles)
Thu Jan 02 01:49:04 CET 2014: 97: No solution found.
Thu Jan 02 01:49:05 CET 2014: 98: finished (1084ms, 500cycles)
Thu Jan 02 01:49:05 CET 2014: 98: No solution found.
Thu Jan 02 01:49:06 CET 2014: 99: finished (1048ms, 500cycles)
Thu Jan 02 01:49:06 CET 2014: 99: No solution found.
Thu Jan 02 01:49:06 CET 2014: Solution Found: 0
Thu Jan 02 01:49:06 CET 2014: Avg cycles: 48
Thu Jan 02 01:49:06 CET 2014: Max cycles: 0
Thu Jan 02 01:49:06 CET 2014: Min cycles: 10000
Thu Jan 02 01:49:06 CET 2014: No solution found: 100
Thu Jan 02 01:49:06 CET 2014: logging finished. (runtime: 138854ms)
