Mon May 19 20:24:04 CEST 2014: 46: finished (5358ms, 500cycles)
Mon May 19 20:24:04 CEST 2014: 46: No solution found.
Mon May 19 20:24:07 CEST 2014: 47: finished (3046ms, 500cycles)
Mon May 19 20:24:07 CEST 2014: 47: No solution found.
Mon May 19 20:24:12 CEST 2014: 48: finished (5444ms, 500cycles)
Mon May 19 20:24:12 CEST 2014: 48: No solution found.
Mon May 19 20:24:18 CEST 2014: 49: finished (6411ms, 500cycles)
Mon May 19 20:24:19 CEST 2014: 49: No solution found.
Mon May 19 20:24:25 CEST 2014: 50: finished (6853ms, 500cycles)
Mon May 19 20:24:25 CEST 2014: 50: No solution found.
Mon May 19 20:24:29 CEST 2014: 51: finished (3404ms, 500cycles)
Mon May 19 20:24:29 CEST 2014: 51: No solution found.
Mon May 19 20:24:37 CEST 2014: 52: finished (8437ms, 500cycles)
Mon May 19 20:24:37 CEST 2014: 52: No solution found.
Mon May 19 20:24:39 CEST 2014: 53: finished (1953ms, 203cycles)
Mon May 19 20:24:39 CEST 2014: 53: Solution found.
Mon May 19 20:24:40 CEST 2014: 54: finished (404ms, 59cycles)
Mon May 19 20:24:40 CEST 2014: 54: Solution found.
Mon May 19 20:24:48 CEST 2014: 55: finished (8113ms, 500cycles)
Mon May 19 20:24:48 CEST 2014: 55: No solution found.
Mon May 19 20:24:55 CEST 2014: 56: finished (7100ms, 500cycles)
Mon May 19 20:24:55 CEST 2014: 56: No solution found.
Mon May 19 20:25:00 CEST 2014: 57: finished (5171ms, 500cycles)
Mon May 19 20:25:00 CEST 2014: 57: No solution found.
Mon May 19 20:25:07 CEST 2014: 58: finished (6505ms, 500cycles)
Mon May 19 20:25:07 CEST 2014: 58: No solution found.
Mon May 19 20:25:14 CEST 2014: 59: finished (7275ms, 500cycles)
Mon May 19 20:25:14 CEST 2014: 59: No solution found.
Mon May 19 20:25:16 CEST 2014: 60: finished (2035ms, 200cycles)
Mon May 19 20:25:16 CEST 2014: 60: Solution found.
Mon May 19 20:25:20 CEST 2014: 61: finished (3632ms, 500cycles)
Mon May 19 20:25:20 CEST 2014: 61: No solution found.
Mon May 19 20:25:24 CEST 2014: 62: finished (4583ms, 500cycles)
Mon May 19 20:25:24 CEST 2014: 62: No solution found.
Mon May 19 20:25:33 CEST 2014: 63: finished (9103ms, 500cycles)
Mon May 19 20:25:33 CEST 2014: 63: No solution found.
Mon May 19 20:25:43 CEST 2014: 64: finished (9148ms, 500cycles)
Mon May 19 20:25:43 CEST 2014: 64: No solution found.
Mon May 19 20:25:53 CEST 2014: 65: finished (10621ms, 500cycles)
Mon May 19 20:25:53 CEST 2014: 65: No solution found.
Mon May 19 20:25:57 CEST 2014: 66: finished (3443ms, 278cycles)
Mon May 19 20:25:57 CEST 2014: 66: Solution found.
Mon May 19 20:26:05 CEST 2014: 67: finished (8326ms, 500cycles)
Mon May 19 20:26:05 CEST 2014: 67: No solution found.
Mon May 19 20:26:15 CEST 2014: 68: finished (10109ms, 500cycles)
Mon May 19 20:26:15 CEST 2014: 68: No solution found.
Mon May 19 20:26:23 CEST 2014: 69: finished (7267ms, 500cycles)
Mon May 19 20:26:23 CEST 2014: 69: No solution found.
Mon May 19 20:26:31 CEST 2014: 70: finished (8908ms, 500cycles)
Mon May 19 20:26:31 CEST 2014: 70: No solution found.
Mon May 19 20:26:39 CEST 2014: 71: finished (8009ms, 500cycles)
Mon May 19 20:26:39 CEST 2014: 71: No solution found.
Mon May 19 20:26:42 CEST 2014: 72: finished (2326ms, 216cycles)
Mon May 19 20:26:42 CEST 2014: 72: Solution found.
Mon May 19 20:26:50 CEST 2014: 73: finished (7653ms, 500cycles)
Mon May 19 20:26:50 CEST 2014: 73: No solution found.
Mon May 19 20:26:51 CEST 2014: 74: finished (1440ms, 129cycles)
Mon May 19 20:26:51 CEST 2014: 74: Solution found.
Mon May 19 20:26:59 CEST 2014: 75: finished (7545ms, 500cycles)
Mon May 19 20:26:59 CEST 2014: 75: No solution found.
Mon May 19 20:27:06 CEST 2014: 76: finished (7072ms, 500cycles)
Mon May 19 20:27:06 CEST 2014: 76: No solution found.
Mon May 19 20:27:14 CEST 2014: 77: finished (8653ms, 500cycles)
Mon May 19 20:27:14 CEST 2014: 77: No solution found.
Mon May 19 20:27:25 CEST 2014: 78: finished (10865ms, 500cycles)
Mon May 19 20:27:25 CEST 2014: 78: No solution found.
Mon May 19 20:27:35 CEST 2014: 79: finished (9832ms, 500cycles)
Mon May 19 20:27:35 CEST 2014: 79: No solution found.
Mon May 19 20:27:38 CEST 2014: 80: finished (2909ms, 122cycles)
Mon May 19 20:27:38 CEST 2014: 80: Solution found.
Mon May 19 20:27:41 CEST 2014: 81: finished (2515ms, 179cycles)
Mon May 19 20:27:41 CEST 2014: 81: Solution found.
Mon May 19 20:27:48 CEST 2014: 82: finished (6839ms, 500cycles)
Mon May 19 20:27:48 CEST 2014: 82: No solution found.
Mon May 19 20:27:57 CEST 2014: 83: finished (8944ms, 500cycles)
Mon May 19 20:27:57 CEST 2014: 83: No solution found.
Mon May 19 20:28:05 CEST 2014: 84: finished (8124ms, 500cycles)
Mon May 19 20:28:05 CEST 2014: 84: No solution found.
Mon May 19 20:28:15 CEST 2014: 85: finished (10143ms, 500cycles)
Mon May 19 20:28:15 CEST 2014: 85: No solution found.
Mon May 19 20:28:21 CEST 2014: 86: finished (6130ms, 500cycles)
Mon May 19 20:28:21 CEST 2014: 86: No solution found.
Mon May 19 20:28:28 CEST 2014: 87: finished (6550ms, 500cycles)
Mon May 19 20:28:28 CEST 2014: 87: No solution found.
Mon May 19 20:28:36 CEST 2014: 88: finished (8253ms, 500cycles)
Mon May 19 20:28:36 CEST 2014: 88: No solution found.
Mon May 19 20:28:43 CEST 2014: 89: finished (7427ms, 500cycles)
Mon May 19 20:28:43 CEST 2014: 89: No solution found.
Mon May 19 20:28:50 CEST 2014: 90: finished (6865ms, 500cycles)
Mon May 19 20:28:50 CEST 2014: 90: No solution found.
Mon May 19 20:28:50 CEST 2014: 91: finished (179ms, 39cycles)
Mon May 19 20:28:50 CEST 2014: 91: Solution found.
Mon May 19 20:28:55 CEST 2014: 92: finished (4828ms, 500cycles)
Mon May 19 20:28:55 CEST 2014: 92: No solution found.
Mon May 19 20:29:04 CEST 2014: 93: finished (8739ms, 500cycles)
Mon May 19 20:29:04 CEST 2014: 93: No solution found.
Mon May 19 20:29:11 CEST 2014: 94: finished (6547ms, 500cycles)
Mon May 19 20:29:11 CEST 2014: 94: No solution found.
Mon May 19 20:29:18 CEST 2014: 95: finished (7011ms, 500cycles)
Mon May 19 20:29:18 CEST 2014: 95: No solution found.
Mon May 19 20:29:26 CEST 2014: 96: finished (8690ms, 500cycles)
Mon May 19 20:29:26 CEST 2014: 96: No solution found.
Mon May 19 20:29:34 CEST 2014: 97: finished (7713ms, 500cycles)
Mon May 19 20:29:34 CEST 2014: 97: No solution found.
Mon May 19 20:29:41 CEST 2014: 98: finished (6982ms, 500cycles)
Mon May 19 20:29:41 CEST 2014: 98: No solution found.
Mon May 19 20:29:50 CEST 2014: 99: finished (9332ms, 500cycles)
Mon May 19 20:29:50 CEST 2014: 99: No solution found.
Mon May 19 20:29:50 CEST 2014: Solution Found: 13
Mon May 19 20:29:50 CEST 2014: Avg cycles: 142
Mon May 19 20:29:50 CEST 2014: Max cycles: 278
Mon May 19 20:29:50 CEST 2014: Min cycles: 12
Mon May 19 20:29:50 CEST 2014: No solution found: 87
Mon May 19 20:29:50 CEST 2014: logging finished. (runtime: 604974ms)
