Mon May 19 22:21:53 CEST 2014: Problem Count: 3
Mon May 19 22:21:53 CEST 2014: CandidatesCount: 100
Mon May 19 22:21:53 CEST 2014: Max Cycles: 500
Mon May 19 22:21:57 CEST 2014: 0: finished (3873ms, 500cycles)
Mon May 19 22:21:57 CEST 2014: 0: No solution found.
Mon May 19 22:22:01 CEST 2014: 1: finished (3870ms, 500cycles)
Mon May 19 22:22:01 CEST 2014: 1: No solution found.
Mon May 19 22:22:05 CEST 2014: 2: finished (4487ms, 500cycles)
Mon May 19 22:22:05 CEST 2014: 2: No solution found.
Mon May 19 22:22:10 CEST 2014: 3: finished (4274ms, 500cycles)
Mon May 19 22:22:10 CEST 2014: 3: No solution found.
Mon May 19 22:22:13 CEST 2014: 4: finished (3211ms, 500cycles)
Mon May 19 22:22:13 CEST 2014: 4: No solution found.
Mon May 19 22:22:17 CEST 2014: 5: finished (4482ms, 500cycles)
Mon May 19 22:22:17 CEST 2014: 5: No solution found.
Mon May 19 22:22:21 CEST 2014: 6: finished (3996ms, 500cycles)
Mon May 19 22:22:21 CEST 2014: 6: No solution found.
Mon May 19 22:22:26 CEST 2014: 7: finished (4675ms, 500cycles)
Mon May 19 22:22:26 CEST 2014: 7: No solution found.
Mon May 19 22:22:30 CEST 2014: 8: finished (4311ms, 500cycles)
Mon May 19 22:22:30 CEST 2014: 8: No solution found.
Mon May 19 22:22:34 CEST 2014: 9: finished (3181ms, 500cycles)
Mon May 19 22:22:34 CEST 2014: 9: No solution found.
Mon May 19 22:22:37 CEST 2014: 10: finished (3713ms, 500cycles)
Mon May 19 22:22:37 CEST 2014: 10: No solution found.
Mon May 19 22:22:41 CEST 2014: 11: finished (3584ms, 500cycles)
Mon May 19 22:22:41 CEST 2014: 11: No solution found.
Mon May 19 22:22:44 CEST 2014: 12: finished (3317ms, 500cycles)
Mon May 19 22:22:44 CEST 2014: 12: No solution found.
Mon May 19 22:22:47 CEST 2014: 13: finished (3276ms, 500cycles)
Mon May 19 22:22:48 CEST 2014: 13: No solution found.
Mon May 19 22:22:51 CEST 2014: 14: finished (3836ms, 500cycles)
Mon May 19 22:22:51 CEST 2014: 14: No solution found.
Mon May 19 22:22:55 CEST 2014: 15: finished (3240ms, 500cycles)
Mon May 19 22:22:55 CEST 2014: 15: No solution found.
Mon May 19 22:22:58 CEST 2014: 16: finished (3431ms, 500cycles)
Mon May 19 22:22:58 CEST 2014: 16: No solution found.
Mon May 19 22:23:03 CEST 2014: 17: finished (5343ms, 500cycles)
Mon May 19 22:23:03 CEST 2014: 17: No solution found.
Mon May 19 22:23:07 CEST 2014: 18: finished (3588ms, 500cycles)
Mon May 19 22:23:07 CEST 2014: 18: No solution found.
Mon May 19 22:23:10 CEST 2014: 19: finished (3315ms, 500cycles)
Mon May 19 22:23:10 CEST 2014: 19: No solution found.
Mon May 19 22:23:15 CEST 2014: 20: finished (4439ms, 500cycles)
Mon May 19 22:23:15 CEST 2014: 20: No solution found.
Mon May 19 22:23:18 CEST 2014: 21: finished (3318ms, 500cycles)
Mon May 19 22:23:18 CEST 2014: 21: No solution found.
Mon May 19 22:23:22 CEST 2014: 22: finished (4114ms, 500cycles)
Mon May 19 22:23:22 CEST 2014: 22: No solution found.
Mon May 19 22:23:26 CEST 2014: 23: finished (4171ms, 500cycles)
Mon May 19 22:23:26 CEST 2014: 23: No solution found.
Mon May 19 22:23:30 CEST 2014: 24: finished (3392ms, 500cycles)
Mon May 19 22:23:30 CEST 2014: 24: No solution found.
Mon May 19 22:23:35 CEST 2014: 25: finished (4966ms, 500cycles)
Mon May 19 22:23:35 CEST 2014: 25: No solution found.
Mon May 19 22:23:38 CEST 2014: 26: finished (3085ms, 500cycles)
Mon May 19 22:23:38 CEST 2014: 26: No solution found.
Mon May 19 22:23:42 CEST 2014: 27: finished (3948ms, 500cycles)
Mon May 19 22:23:42 CEST 2014: 27: No solution found.
Mon May 19 22:23:45 CEST 2014: 28: finished (3474ms, 500cycles)
Mon May 19 22:23:45 CEST 2014: 28: No solution found.
Mon May 19 22:23:48 CEST 2014: 29: finished (2579ms, 500cycles)
Mon May 19 22:23:48 CEST 2014: 29: No solution found.
Mon May 19 22:23:51 CEST 2014: 30: finished (2534ms, 500cycles)
Mon May 19 22:23:51 CEST 2014: 30: No solution found.
Mon May 19 22:23:54 CEST 2014: 31: finished (3003ms, 500cycles)
Mon May 19 22:23:54 CEST 2014: 31: No solution found.
Mon May 19 22:23:58 CEST 2014: 32: finished (4006ms, 500cycles)
Mon May 19 22:23:58 CEST 2014: 32: No solution found.
Mon May 19 22:24:01 CEST 2014: 33: finished (3679ms, 500cycles)
Mon May 19 22:24:01 CEST 2014: 33: No solution found.
Mon May 19 22:24:05 CEST 2014: 34: finished (3601ms, 500cycles)
Mon May 19 22:24:05 CEST 2014: 34: No solution found.
Mon May 19 22:24:08 CEST 2014: 35: finished (3090ms, 500cycles)
