Mon May 19 20:21:53 CEST 2014: 46: finished (4599ms, 500cycles)
Mon May 19 20:21:54 CEST 2014: 46: No solution found.
Mon May 19 20:21:58 CEST 2014: 47: finished (4396ms, 500cycles)
Mon May 19 20:21:58 CEST 2014: 47: No solution found.
Mon May 19 20:22:06 CEST 2014: 48: finished (8186ms, 500cycles)
Mon May 19 20:22:06 CEST 2014: 48: No solution found.
Mon May 19 20:22:11 CEST 2014: 49: finished (5038ms, 500cycles)
Mon May 19 20:22:11 CEST 2014: 49: No solution found.
Mon May 19 20:22:16 CEST 2014: 50: finished (4438ms, 500cycles)
Mon May 19 20:22:16 CEST 2014: 50: No solution found.
Mon May 19 20:22:21 CEST 2014: 51: finished (5721ms, 500cycles)
Mon May 19 20:22:21 CEST 2014: 51: No solution found.
Mon May 19 20:22:27 CEST 2014: 52: finished (5432ms, 500cycles)
Mon May 19 20:22:27 CEST 2014: 52: No solution found.
Mon May 19 20:22:27 CEST 2014: 53: finished (411ms, 58cycles)
Mon May 19 20:22:27 CEST 2014: 53: Solution found.
Mon May 19 20:22:32 CEST 2014: 54: finished (4763ms, 500cycles)
Mon May 19 20:22:32 CEST 2014: 54: No solution found.
Mon May 19 20:22:37 CEST 2014: 55: finished (5347ms, 500cycles)
Mon May 19 20:22:37 CEST 2014: 55: No solution found.
Mon May 19 20:22:46 CEST 2014: 56: finished (8790ms, 500cycles)
Mon May 19 20:22:46 CEST 2014: 56: No solution found.
Mon May 19 20:22:51 CEST 2014: 57: finished (5115ms, 500cycles)
Mon May 19 20:22:51 CEST 2014: 57: No solution found.
Mon May 19 20:22:56 CEST 2014: 58: finished (4630ms, 500cycles)
Mon May 19 20:22:56 CEST 2014: 58: No solution found.
Mon May 19 20:23:06 CEST 2014: 59: finished (9546ms, 500cycles)
Mon May 19 20:23:06 CEST 2014: 59: No solution found.
Mon May 19 20:23:12 CEST 2014: 60: finished (6045ms, 500cycles)
Mon May 19 20:23:12 CEST 2014: 60: No solution found.
Mon May 19 20:23:16 CEST 2014: 61: finished (4008ms, 404cycles)
Mon May 19 20:23:16 CEST 2014: 61: Solution found.
Mon May 19 20:23:22 CEST 2014: 62: finished (6813ms, 500cycles)
Mon May 19 20:23:22 CEST 2014: 62: No solution found.
Mon May 19 20:23:29 CEST 2014: 63: finished (6369ms, 500cycles)
Mon May 19 20:23:29 CEST 2014: 63: No solution found.
Mon May 19 20:23:34 CEST 2014: 64: finished (5429ms, 411cycles)
Mon May 19 20:23:34 CEST 2014: 64: Solution found.
Mon May 19 20:23:37 CEST 2014: 65: finished (2673ms, 324cycles)
Mon May 19 20:23:37 CEST 2014: 65: Solution found.
Mon May 19 20:23:44 CEST 2014: 66: finished (7081ms, 500cycles)
Mon May 19 20:23:44 CEST 2014: 66: No solution found.
Mon May 19 20:23:49 CEST 2014: 67: finished (4872ms, 500cycles)
Mon May 19 20:23:49 CEST 2014: 67: No solution found.
Mon May 19 20:23:54 CEST 2014: 68: finished (5209ms, 500cycles)
Mon May 19 20:23:54 CEST 2014: 68: No solution found.
Mon May 19 20:24:01 CEST 2014: 69: finished (6384ms, 500cycles)
Mon May 19 20:24:01 CEST 2014: 69: No solution found.
Mon May 19 20:24:07 CEST 2014: 70: finished (6213ms, 500cycles)
Mon May 19 20:24:07 CEST 2014: 70: No solution found.
Mon May 19 20:24:13 CEST 2014: 71: finished (6069ms, 500cycles)
Mon May 19 20:24:13 CEST 2014: 71: No solution found.
Mon May 19 20:24:15 CEST 2014: 72: finished (1654ms, 170cycles)
Mon May 19 20:24:15 CEST 2014: 72: Solution found.
Mon May 19 20:24:19 CEST 2014: 73: finished (4439ms, 500cycles)
Mon May 19 20:24:19 CEST 2014: 73: No solution found.
Mon May 19 20:24:26 CEST 2014: 74: finished (6834ms, 500cycles)
Mon May 19 20:24:26 CEST 2014: 74: No solution found.
Mon May 19 20:24:29 CEST 2014: 75: finished (3354ms, 335cycles)
Mon May 19 20:24:29 CEST 2014: 75: Solution found.
Mon May 19 20:24:35 CEST 2014: 76: finished (5563ms, 500cycles)
Mon May 19 20:24:35 CEST 2014: 76: No solution found.
Mon May 19 20:24:38 CEST 2014: 77: finished (2806ms, 231cycles)
Mon May 19 20:24:38 CEST 2014: 77: Solution found.
Mon May 19 20:24:46 CEST 2014: 78: finished (8236ms, 500cycles)
Mon May 19 20:24:46 CEST 2014: 78: No solution found.
Mon May 19 20:24:50 CEST 2014: 79: finished (4510ms, 500cycles)
Mon May 19 20:24:50 CEST 2014: 79: No solution found.
Mon May 19 20:24:53 CEST 2014: 80: finished (2372ms, 236cycles)
Mon May 19 20:24:53 CEST 2014: 80: Solution found.
Mon May 19 20:24:57 CEST 2014: 81: finished (3760ms, 285cycles)
Mon May 19 20:24:57 CEST 2014: 81: Solution found.
Mon May 19 20:25:04 CEST 2014: 82: finished (7801ms, 500cycles)
Mon May 19 20:25:04 CEST 2014: 82: No solution found.
Mon May 19 20:25:10 CEST 2014: 83: finished (6032ms, 500cycles)
Mon May 19 20:25:10 CEST 2014: 83: No solution found.
Mon May 19 20:25:15 CEST 2014: 84: finished (5001ms, 500cycles)
Mon May 19 20:25:15 CEST 2014: 84: No solution found.
Mon May 19 20:25:23 CEST 2014: 85: finished (7473ms, 500cycles)
Mon May 19 20:25:23 CEST 2014: 85: No solution found.
Mon May 19 20:25:32 CEST 2014: 86: finished (8734ms, 500cycles)
Mon May 19 20:25:32 CEST 2014: 86: No solution found.
Mon May 19 20:25:34 CEST 2014: 87: finished (2047ms, 157cycles)
Mon May 19 20:25:34 CEST 2014: 87: Solution found.
Mon May 19 20:25:40 CEST 2014: 88: finished (5948ms, 500cycles)
Mon May 19 20:25:40 CEST 2014: 88: No solution found.
Mon May 19 20:25:49 CEST 2014: 89: finished (9362ms, 500cycles)
Mon May 19 20:25:49 CEST 2014: 89: No solution found.
Mon May 19 20:25:57 CEST 2014: 90: finished (7610ms, 500cycles)
Mon May 19 20:25:57 CEST 2014: 90: No solution found.
Mon May 19 20:26:09 CEST 2014: 91: finished (11899ms, 500cycles)
Mon May 19 20:26:09 CEST 2014: 91: No solution found.
Mon May 19 20:26:15 CEST 2014: 92: finished (5920ms, 500cycles)
Mon May 19 20:26:15 CEST 2014: 92: No solution found.
