Sun Jan 12 01:04:44 CET 2014: Problem Count: 30
Sun Jan 12 01:04:44 CET 2014: CandidatesCount: 50
Sun Jan 12 01:04:44 CET 2014: Max Cycles: 500
Sun Jan 12 01:04:45 CET 2014: 0: finished (351ms, 500cycles)
Sun Jan 12 01:04:45 CET 2014: 0: No solution found.
Sun Jan 12 01:04:45 CET 2014: 1: finished (396ms, 500cycles)
Sun Jan 12 01:04:45 CET 2014: 1: No solution found.
Sun Jan 12 01:04:45 CET 2014: 2: finished (279ms, 500cycles)
Sun Jan 12 01:04:45 CET 2014: 2: No solution found.
Sun Jan 12 01:04:46 CET 2014: 3: finished (289ms, 500cycles)
Sun Jan 12 01:04:46 CET 2014: 3: No solution found.
Sun Jan 12 01:04:46 CET 2014: 4: finished (282ms, 500cycles)
Sun Jan 12 01:04:46 CET 2014: 4: No solution found.
Sun Jan 12 01:04:46 CET 2014: 5: finished (286ms, 500cycles)
Sun Jan 12 01:04:46 CET 2014: 5: No solution found.
Sun Jan 12 01:04:46 CET 2014: 6: finished (399ms, 500cycles)
Sun Jan 12 01:04:46 CET 2014: 6: No solution found.
Sun Jan 12 01:04:47 CET 2014: 7: finished (332ms, 500cycles)
Sun Jan 12 01:04:47 CET 2014: 7: No solution found.
Sun Jan 12 01:04:47 CET 2014: 8: finished (361ms, 500cycles)
Sun Jan 12 01:04:47 CET 2014: 8: No solution found.
Sun Jan 12 01:04:48 CET 2014: 9: finished (364ms, 500cycles)
Sun Jan 12 01:04:48 CET 2014: 9: No solution found.
Sun Jan 12 01:04:48 CET 2014: 10: finished (507ms, 500cycles)
Sun Jan 12 01:04:48 CET 2014: 10: No solution found.
Sun Jan 12 01:04:48 CET 2014: 11: finished (339ms, 500cycles)
Sun Jan 12 01:04:48 CET 2014: 11: No solution found.
Sun Jan 12 01:04:49 CET 2014: 12: finished (307ms, 500cycles)
Sun Jan 12 01:04:49 CET 2014: 12: No solution found.
Sun Jan 12 01:04:49 CET 2014: 13: finished (269ms, 500cycles)
Sun Jan 12 01:04:49 CET 2014: 13: No solution found.
Sun Jan 12 01:04:49 CET 2014: 14: finished (323ms, 500cycles)
Sun Jan 12 01:04:49 CET 2014: 14: No solution found.
