Sun Jan 12 00:29:03 CET 2014: Problem Count: 50
Sun Jan 12 00:29:03 CET 2014: CandidatesCount: 50
Sun Jan 12 00:29:03 CET 2014: Max Cycles: 500
Sun Jan 12 00:29:04 CET 2014: 0: finished (502ms, 500cycles)
Sun Jan 12 00:29:04 CET 2014: 0: No solution found.
Sun Jan 12 00:29:04 CET 2014: 1: finished (425ms, 500cycles)
Sun Jan 12 00:29:04 CET 2014: 1: No solution found.
Sun Jan 12 00:29:05 CET 2014: 2: finished (542ms, 500cycles)
Sun Jan 12 00:29:05 CET 2014: 2: No solution found.
Sun Jan 12 00:29:05 CET 2014: 3: finished (440ms, 500cycles)
Sun Jan 12 00:29:05 CET 2014: 3: No solution found.
Sun Jan 12 00:29:06 CET 2014: 4: finished (499ms, 500cycles)
Sun Jan 12 00:29:06 CET 2014: 4: No solution found.
Sun Jan 12 00:29:06 CET 2014: 5: finished (462ms, 500cycles)
Sun Jan 12 00:29:06 CET 2014: 5: No solution found.
Sun Jan 12 00:29:07 CET 2014: 6: finished (461ms, 500cycles)
Sun Jan 12 00:29:07 CET 2014: 6: No solution found.
Sun Jan 12 00:29:07 CET 2014: 7: finished (523ms, 500cycles)
Sun Jan 12 00:29:07 CET 2014: 7: No solution found.
Sun Jan 12 00:29:08 CET 2014: 8: finished (577ms, 500cycles)
Sun Jan 12 00:29:08 CET 2014: 8: No solution found.
Sun Jan 12 00:29:08 CET 2014: 9: finished (436ms, 500cycles)
Sun Jan 12 00:29:08 CET 2014: 9: No solution found.
Sun Jan 12 00:29:09 CET 2014: 10: finished (532ms, 500cycles)
Sun Jan 12 00:29:09 CET 2014: 10: No solution found.
Sun Jan 12 00:29:09 CET 2014: 11: finished (393ms, 500cycles)
Sun Jan 12 00:29:09 CET 2014: 11: No solution found.
Sun Jan 12 00:29:10 CET 2014: 12: finished (396ms, 500cycles)
Sun Jan 12 00:29:10 CET 2014: 12: No solution found.
Sun Jan 12 00:29:10 CET 2014: 13: finished (453ms, 500cycles)
Sun Jan 12 00:29:10 CET 2014: 13: No solution found.
Sun Jan 12 00:29:10 CET 2014: 14: finished (482ms, 500cycles)
Sun Jan 12 00:29:10 CET 2014: 14: No solution found.
Sun Jan 12 00:29:11 CET 2014: 15: finished (453ms, 500cycles)
Sun Jan 12 00:29:11 CET 2014: 15: No solution found.
Sun Jan 12 00:29:11 CET 2014: 16: finished (516ms, 500cycles)
Sun Jan 12 00:29:11 CET 2014: 16: No solution found.
Sun Jan 12 00:29:12 CET 2014: 17: finished (413ms, 500cycles)
Sun Jan 12 00:29:12 CET 2014: 17: No solution found.
Sun Jan 12 00:29:12 CET 2014: 18: finished (484ms, 500cycles)
Sun Jan 12 00:29:12 CET 2014: 18: No solution found.
Sun Jan 12 00:29:13 CET 2014: 19: finished (479ms, 500cycles)
Sun Jan 12 00:29:13 CET 2014: 19: No solution found.
Sun Jan 12 00:29:13 CET 2014: 20: finished (406ms, 500cycles)
Sun Jan 12 00:29:13 CET 2014: 20: No solution found.
Sun Jan 12 00:29:14 CET 2014: 21: finished (494ms, 500cycles)
Sun Jan 12 00:29:14 CET 2014: 21: No solution found.
Sun Jan 12 00:29:14 CET 2014: 22: finished (498ms, 500cycles)
Sun Jan 12 00:29:14 CET 2014: 22: No solution found.
Sun Jan 12 00:29:15 CET 2014: 23: finished (466ms, 500cycles)
Sun Jan 12 00:29:15 CET 2014: 23: No solution found.
Sun Jan 12 00:29:15 CET 2014: 24: finished (497ms, 500cycles)
Sun Jan 12 00:29:15 CET 2014: 24: No solution found.
Sun Jan 12 00:29:16 CET 2014: 25: finished (507ms, 500cycles)
Sun Jan 12 00:29:16 CET 2014: 25: No solution found.
Sun Jan 12 00:29:16 CET 2014: 26: finished (426ms, 500cycles)
Sun Jan 12 00:29:16 CET 2014: 26: No solution found.
Sun Jan 12 00:29:17 CET 2014: 27: finished (496ms, 500cycles)
Sun Jan 12 00:29:17 CET 2014: 27: No solution found.
Sun Jan 12 00:29:17 CET 2014: 28: finished (478ms, 500cycles)
Sun Jan 12 00:29:17 CET 2014: 28: No solution found.
Sun Jan 12 00:29:18 CET 2014: 29: finished (560ms, 500cycles)
Sun Jan 12 00:29:18 CET 2014: 29: No solution found.
Sun Jan 12 00:29:18 CET 2014: 30: finished (459ms, 500cycles)
Sun Jan 12 00:29:18 CET 2014: 30: No solution found.
Sun Jan 12 00:29:19 CET 2014: 31: finished (514ms, 500cycles)
Sun Jan 12 00:29:19 CET 2014: 31: No solution found.
Sun Jan 12 00:29:19 CET 2014: 32: finished (551ms, 500cycles)
Sun Jan 12 00:29:19 CET 2014: 32: No solution found.
Sun Jan 12 00:29:20 CET 2014: 33: finished (510ms, 500cycles)
Sun Jan 12 00:29:20 CET 2014: 33: No solution found.
Sun Jan 12 00:29:20 CET 2014: 34: finished (509ms, 500cycles)
Sun Jan 12 00:29:20 CET 2014: 34: No solution found.
