Sun Jan 12 00:26:46 CET 2014: Problem Count: 10
Sun Jan 12 00:26:46 CET 2014: CandidatesCount: 50
Sun Jan 12 00:26:46 CET 2014: Max Cycles: 500
Sun Jan 12 00:26:46 CET 2014: 0: finished (395ms, 500cycles)
Sun Jan 12 00:26:46 CET 2014: 0: No solution found.
Sun Jan 12 00:26:46 CET 2014: 1: finished (256ms, 500cycles)
Sun Jan 12 00:26:46 CET 2014: 1: No solution found.
Sun Jan 12 00:26:47 CET 2014: 2: finished (386ms, 500cycles)
Sun Jan 12 00:26:47 CET 2014: 2: No solution found.
Sun Jan 12 00:26:47 CET 2014: 3: finished (379ms, 500cycles)
Sun Jan 12 00:26:47 CET 2014: 3: No solution found.
Sun Jan 12 00:26:47 CET 2014: 4: finished (289ms, 500cycles)
Sun Jan 12 00:26:47 CET 2014: 4: No solution found.
Sun Jan 12 00:26:48 CET 2014: 5: finished (338ms, 500cycles)
Sun Jan 12 00:26:48 CET 2014: 5: No solution found.
Sun Jan 12 00:26:48 CET 2014: 6: finished (355ms, 500cycles)
Sun Jan 12 00:26:48 CET 2014: 6: No solution found.
Sun Jan 12 00:26:48 CET 2014: 7: finished (392ms, 500cycles)
Sun Jan 12 00:26:48 CET 2014: 7: No solution found.
Sun Jan 12 00:26:49 CET 2014: 8: finished (237ms, 500cycles)
Sun Jan 12 00:26:49 CET 2014: 8: No solution found.
Sun Jan 12 00:26:49 CET 2014: 9: finished (191ms, 500cycles)
Sun Jan 12 00:26:49 CET 2014: 9: No solution found.
Sun Jan 12 00:26:49 CET 2014: 10: finished (252ms, 500cycles)
Sun Jan 12 00:26:49 CET 2014: 10: No solution found.
Sun Jan 12 00:26:49 CET 2014: 11: finished (357ms, 500cycles)
Sun Jan 12 00:26:49 CET 2014: 11: No solution found.
Sun Jan 12 00:26:50 CET 2014: 12: finished (286ms, 500cycles)
Sun Jan 12 00:26:50 CET 2014: 12: No solution found.
Sun Jan 12 00:26:50 CET 2014: 13: finished (355ms, 500cycles)
Sun Jan 12 00:26:50 CET 2014: 13: No solution found.
Sun Jan 12 00:26:50 CET 2014: 14: finished (346ms, 500cycles)
Sun Jan 12 00:26:50 CET 2014: 14: No solution found.
Sun Jan 12 00:26:51 CET 2014: 15: finished (265ms, 500cycles)
Sun Jan 12 00:26:51 CET 2014: 15: No solution found.
Sun Jan 12 00:26:51 CET 2014: 16: finished (286ms, 500cycles)
Sun Jan 12 00:26:51 CET 2014: 16: No solution found.
Sun Jan 12 00:26:51 CET 2014: 17: finished (425ms, 500cycles)
Sun Jan 12 00:26:51 CET 2014: 17: No solution found.
Sun Jan 12 00:26:52 CET 2014: 18: finished (328ms, 500cycles)
Sun Jan 12 00:26:52 CET 2014: 18: No solution found.
Sun Jan 12 00:26:52 CET 2014: 19: finished (243ms, 500cycles)
Sun Jan 12 00:26:52 CET 2014: 19: No solution found.
Sun Jan 12 00:26:52 CET 2014: 20: finished (407ms, 500cycles)
Sun Jan 12 00:26:52 CET 2014: 20: No solution found.
Sun Jan 12 00:26:53 CET 2014: 21: finished (473ms, 500cycles)
Sun Jan 12 00:26:53 CET 2014: 21: No solution found.
Sun Jan 12 00:26:53 CET 2014: 22: finished (278ms, 500cycles)
Sun Jan 12 00:26:53 CET 2014: 22: No solution found.
Sun Jan 12 00:26:53 CET 2014: 23: finished (182ms, 500cycles)
Sun Jan 12 00:26:53 CET 2014: 23: No solution found.
Sun Jan 12 00:26:54 CET 2014: 24: finished (300ms, 500cycles)
Sun Jan 12 00:26:54 CET 2014: 24: No solution found.
Sun Jan 12 00:26:54 CET 2014: 25: finished (379ms, 500cycles)
Sun Jan 12 00:26:54 CET 2014: 25: No solution found.
Sun Jan 12 00:26:54 CET 2014: 26: finished (358ms, 500cycles)
Sun Jan 12 00:26:54 CET 2014: 26: No solution found.
Sun Jan 12 00:26:55 CET 2014: 27: finished (295ms, 500cycles)
Sun Jan 12 00:26:55 CET 2014: 27: No solution found.
Sun Jan 12 00:26:55 CET 2014: 28: finished (267ms, 500cycles)
Sun Jan 12 00:26:55 CET 2014: 28: No solution found.
Sun Jan 12 00:26:55 CET 2014: 29: finished (360ms, 500cycles)
Sun Jan 12 00:26:55 CET 2014: 29: No solution found.
Sun Jan 12 00:26:56 CET 2014: 30: finished (428ms, 500cycles)
Sun Jan 12 00:26:56 CET 2014: 30: No solution found.
Sun Jan 12 00:26:56 CET 2014: 31: finished (179ms, 500cycles)
Sun Jan 12 00:26:56 CET 2014: 31: No solution found.
Sun Jan 12 00:26:56 CET 2014: 32: finished (418ms, 500cycles)
Sun Jan 12 00:26:56 CET 2014: 32: No solution found.
Sun Jan 12 00:26:57 CET 2014: 33: finished (263ms, 500cycles)
Sun Jan 12 00:26:57 CET 2014: 33: No solution found.
Sun Jan 12 00:26:57 CET 2014: 34: finished (270ms, 500cycles)
Sun Jan 12 00:26:57 CET 2014: 34: No solution found.
Sun Jan 12 00:26:57 CET 2014: 35: finished (319ms, 500cycles)
Sun Jan 12 00:26:57 CET 2014: 35: No solution found.
