Sun Jan 12 00:46:27 CET 2014: 45: No solution found.
Sun Jan 12 00:46:28 CET 2014: 46: finished (283ms, 500cycles)
Sun Jan 12 00:46:28 CET 2014: 46: No solution found.
Sun Jan 12 00:46:28 CET 2014: 47: finished (286ms, 500cycles)
Sun Jan 12 00:46:28 CET 2014: 47: No solution found.
Sun Jan 12 00:46:28 CET 2014: 48: finished (288ms, 500cycles)
Sun Jan 12 00:46:28 CET 2014: 48: No solution found.
Sun Jan 12 00:46:28 CET 2014: 49: finished (350ms, 500cycles)
Sun Jan 12 00:46:28 CET 2014: 49: No solution found.
Sun Jan 12 00:46:29 CET 2014: 50: finished (264ms, 500cycles)
Sun Jan 12 00:46:29 CET 2014: 50: No solution found.
Sun Jan 12 00:46:29 CET 2014: 51: finished (316ms, 500cycles)
Sun Jan 12 00:46:29 CET 2014: 51: No solution found.
Sun Jan 12 00:46:29 CET 2014: 52: finished (340ms, 500cycles)
Sun Jan 12 00:46:29 CET 2014: 52: No solution found.
Sun Jan 12 00:46:30 CET 2014: 53: finished (339ms, 500cycles)
Sun Jan 12 00:46:30 CET 2014: 53: No solution found.
Sun Jan 12 00:46:30 CET 2014: 54: finished (461ms, 500cycles)
Sun Jan 12 00:46:30 CET 2014: 54: No solution found.
Sun Jan 12 00:46:30 CET 2014: 55: finished (276ms, 500cycles)
Sun Jan 12 00:46:30 CET 2014: 55: No solution found.
Sun Jan 12 00:46:31 CET 2014: 56: finished (336ms, 500cycles)
Sun Jan 12 00:46:31 CET 2014: 56: No solution found.
Sun Jan 12 00:46:31 CET 2014: 57: finished (291ms, 500cycles)
Sun Jan 12 00:46:31 CET 2014: 57: No solution found.
Sun Jan 12 00:46:31 CET 2014: 58: finished (315ms, 500cycles)
Sun Jan 12 00:46:31 CET 2014: 58: No solution found.
Sun Jan 12 00:46:32 CET 2014: 59: finished (299ms, 500cycles)
Sun Jan 12 00:46:32 CET 2014: 59: No solution found.
Sun Jan 12 00:46:32 CET 2014: 60: finished (293ms, 500cycles)
Sun Jan 12 00:46:32 CET 2014: 60: No solution found.
Sun Jan 12 00:46:32 CET 2014: 61: finished (306ms, 500cycles)
Sun Jan 12 00:46:32 CET 2014: 61: No solution found.
Sun Jan 12 00:46:33 CET 2014: 62: finished (325ms, 500cycles)
Sun Jan 12 00:46:33 CET 2014: 62: No solution found.
Sun Jan 12 00:46:33 CET 2014: 63: finished (435ms, 500cycles)
Sun Jan 12 00:46:33 CET 2014: 63: No solution found.
Sun Jan 12 00:46:33 CET 2014: 64: finished (263ms, 500cycles)
Sun Jan 12 00:46:33 CET 2014: 64: No solution found.
Sun Jan 12 00:46:34 CET 2014: 65: finished (297ms, 500cycles)
Sun Jan 12 00:46:34 CET 2014: 65: No solution found.
Sun Jan 12 00:46:34 CET 2014: 66: finished (303ms, 500cycles)
Sun Jan 12 00:46:34 CET 2014: 66: No solution found.
Sun Jan 12 00:46:34 CET 2014: 67: finished (427ms, 500cycles)
Sun Jan 12 00:46:34 CET 2014: 67: No solution found.
Sun Jan 12 00:46:35 CET 2014: 68: finished (318ms, 500cycles)
Sun Jan 12 00:46:35 CET 2014: 68: No solution found.
Sun Jan 12 00:46:35 CET 2014: 69: finished (280ms, 500cycles)
Sun Jan 12 00:46:35 CET 2014: 69: No solution found.
Sun Jan 12 00:46:35 CET 2014: 70: finished (512ms, 500cycles)
Sun Jan 12 00:46:35 CET 2014: 70: No solution found.
Sun Jan 12 00:46:36 CET 2014: 71: finished (358ms, 500cycles)
Sun Jan 12 00:46:36 CET 2014: 71: No solution found.
Sun Jan 12 00:46:36 CET 2014: 72: finished (337ms, 500cycles)
Sun Jan 12 00:46:36 CET 2014: 72: No solution found.
Sun Jan 12 00:46:37 CET 2014: 73: finished (405ms, 500cycles)
Sun Jan 12 00:46:37 CET 2014: 73: No solution found.
Sun Jan 12 00:46:37 CET 2014: 74: finished (326ms, 500cycles)
Sun Jan 12 00:46:37 CET 2014: 74: No solution found.
Sun Jan 12 00:46:37 CET 2014: 75: finished (319ms, 500cycles)
Sun Jan 12 00:46:37 CET 2014: 75: No solution found.
Sun Jan 12 00:46:37 CET 2014: 76: finished (294ms, 500cycles)
Sun Jan 12 00:46:37 CET 2014: 76: No solution found.
Sun Jan 12 00:46:38 CET 2014: 77: finished (260ms, 500cycles)
Sun Jan 12 00:46:38 CET 2014: 77: No solution found.
Sun Jan 12 00:46:38 CET 2014: 78: finished (362ms, 500cycles)
Sun Jan 12 00:46:38 CET 2014: 78: No solution found.
Sun Jan 12 00:46:38 CET 2014: 79: finished (351ms, 500cycles)
Sun Jan 12 00:46:38 CET 2014: 79: No solution found.
Sun Jan 12 00:46:39 CET 2014: 80: finished (288ms, 500cycles)
Sun Jan 12 00:46:39 CET 2014: 80: No solution found.
Sun Jan 12 00:46:39 CET 2014: 81: finished (302ms, 500cycles)
Sun Jan 12 00:46:39 CET 2014: 81: No solution found.
Sun Jan 12 00:46:39 CET 2014: 82: finished (301ms, 500cycles)
Sun Jan 12 00:46:39 CET 2014: 82: No solution found.
Sun Jan 12 00:46:40 CET 2014: 83: finished (300ms, 500cycles)
Sun Jan 12 00:46:40 CET 2014: 83: No solution found.
Sun Jan 12 00:46:40 CET 2014: 84: finished (354ms, 500cycles)
Sun Jan 12 00:46:40 CET 2014: 84: No solution found.
Sun Jan 12 00:46:40 CET 2014: 85: finished (324ms, 500cycles)
Sun Jan 12 00:46:40 CET 2014: 85: No solution found.
Sun Jan 12 00:46:41 CET 2014: 86: finished (325ms, 500cycles)
Sun Jan 12 00:46:41 CET 2014: 86: No solution found.
Sun Jan 12 00:46:41 CET 2014: 87: finished (370ms, 500cycles)
Sun Jan 12 00:46:41 CET 2014: 87: No solution found.
Sun Jan 12 00:46:41 CET 2014: 88: finished (323ms, 500cycles)
Sun Jan 12 00:46:41 CET 2014: 88: No solution found.
Sun Jan 12 00:46:42 CET 2014: 89: finished (391ms, 500cycles)
Sun Jan 12 00:46:42 CET 2014: 89: No solution found.
Sun Jan 12 00:46:42 CET 2014: 90: finished (244ms, 500cycles)
Sun Jan 12 00:46:42 CET 2014: 90: No solution found.
Sun Jan 12 00:46:42 CET 2014: 91: finished (295ms, 500cycles)
Sun Jan 12 00:46:42 CET 2014: 91: No solution found.
Sun Jan 12 00:46:43 CET 2014: 92: finished (415ms, 500cycles)
Sun Jan 12 00:46:43 CET 2014: 92: No solution found.
Sun Jan 12 00:46:43 CET 2014: 93: finished (267ms, 500cycles)
Sun Jan 12 00:46:43 CET 2014: 93: No solution found.
Sun Jan 12 00:46:43 CET 2014: 94: finished (399ms, 500cycles)
Sun Jan 12 00:46:43 CET 2014: 94: No solution found.
Sun Jan 12 00:46:44 CET 2014: 95: finished (340ms, 500cycles)
Sun Jan 12 00:46:44 CET 2014: 95: No solution found.
Sun Jan 12 00:46:44 CET 2014: 96: finished (301ms, 500cycles)
Sun Jan 12 00:46:44 CET 2014: 96: No solution found.
Sun Jan 12 00:46:44 CET 2014: 97: finished (267ms, 500cycles)
Sun Jan 12 00:46:44 CET 2014: 97: No solution found.
Sun Jan 12 00:46:45 CET 2014: 98: finished (255ms, 500cycles)
Sun Jan 12 00:46:45 CET 2014: 98: No solution found.
Sun Jan 12 00:46:45 CET 2014: 99: finished (341ms, 500cycles)
Sun Jan 12 00:46:45 CET 2014: 99: No solution found.
Sun Jan 12 00:46:45 CET 2014: Solution Found: 0
Sun Jan 12 00:46:45 CET 2014: Avg cycles: 48
Sun Jan 12 00:46:45 CET 2014: Max cycles: 0
Sun Jan 12 00:46:45 CET 2014: Min cycles: 10000
Sun Jan 12 00:46:45 CET 2014: No solution found: 100
Sun Jan 12 00:46:45 CET 2014: logging finished. (runtime: 33611ms)
