Sun Jan 12 00:21:12 CET 2014: Problem Count: 10
Sun Jan 12 00:21:12 CET 2014: CandidatesCount: 20
Sun Jan 12 00:21:12 CET 2014: Max Cycles: 500
Sun Jan 12 00:21:12 CET 2014: 0: finished (173ms, 500cycles)
Sun Jan 12 00:21:12 CET 2014: 0: No solution found.
Sun Jan 12 00:21:13 CET 2014: 1: finished (181ms, 500cycles)
Sun Jan 12 00:21:13 CET 2014: 1: No solution found.
Sun Jan 12 00:21:13 CET 2014: 2: finished (144ms, 500cycles)
Sun Jan 12 00:21:13 CET 2014: 2: No solution found.
Sun Jan 12 00:21:13 CET 2014: 3: finished (104ms, 500cycles)
Sun Jan 12 00:21:13 CET 2014: 3: No solution found.
Sun Jan 12 00:21:13 CET 2014: 4: finished (136ms, 500cycles)
Sun Jan 12 00:21:13 CET 2014: 4: No solution found.
Sun Jan 12 00:21:13 CET 2014: 5: finished (178ms, 500cycles)
Sun Jan 12 00:21:13 CET 2014: 5: No solution found.
Sun Jan 12 00:21:13 CET 2014: 6: finished (124ms, 500cycles)
Sun Jan 12 00:21:13 CET 2014: 6: No solution found.
Sun Jan 12 00:21:13 CET 2014: 7: finished (127ms, 500cycles)
Sun Jan 12 00:21:13 CET 2014: 7: No solution found.
Sun Jan 12 00:21:13 CET 2014: 8: finished (132ms, 500cycles)
Sun Jan 12 00:21:13 CET 2014: 8: No solution found.
Sun Jan 12 00:21:14 CET 2014: 9: finished (151ms, 500cycles)
Sun Jan 12 00:21:14 CET 2014: 9: No solution found.
Sun Jan 12 00:21:14 CET 2014: 10: finished (137ms, 500cycles)
Sun Jan 12 00:21:14 CET 2014: 10: No solution found.
Sun Jan 12 00:21:14 CET 2014: 11: finished (104ms, 500cycles)
Sun Jan 12 00:21:14 CET 2014: 11: No solution found.
Sun Jan 12 00:21:14 CET 2014: 12: finished (121ms, 500cycles)
Sun Jan 12 00:21:14 CET 2014: 12: No solution found.
Sun Jan 12 00:21:14 CET 2014: 13: finished (127ms, 500cycles)
Sun Jan 12 00:21:14 CET 2014: 13: No solution found.
Sun Jan 12 00:21:14 CET 2014: 14: finished (157ms, 500cycles)
Sun Jan 12 00:21:14 CET 2014: 14: No solution found.
Sun Jan 12 00:21:14 CET 2014: 15: finished (152ms, 500cycles)
Sun Jan 12 00:21:14 CET 2014: 15: No solution found.
Sun Jan 12 00:21:15 CET 2014: 16: finished (97ms, 500cycles)
Sun Jan 12 00:21:15 CET 2014: 16: No solution found.
Sun Jan 12 00:21:15 CET 2014: 17: finished (192ms, 500cycles)
Sun Jan 12 00:21:15 CET 2014: 17: No solution found.
Sun Jan 12 00:21:15 CET 2014: 18: finished (130ms, 500cycles)
Sun Jan 12 00:21:15 CET 2014: 18: No solution found.
Sun Jan 12 00:21:15 CET 2014: 19: finished (119ms, 500cycles)
Sun Jan 12 00:21:15 CET 2014: 19: No solution found.
Sun Jan 12 00:21:15 CET 2014: 20: finished (108ms, 500cycles)
Sun Jan 12 00:21:15 CET 2014: 20: No solution found.
Sun Jan 12 00:21:15 CET 2014: 21: finished (150ms, 500cycles)
Sun Jan 12 00:21:15 CET 2014: 21: No solution found.
Sun Jan 12 00:21:15 CET 2014: 22: finished (95ms, 500cycles)
Sun Jan 12 00:21:15 CET 2014: 22: No solution found.
