Tue May 20 07:11:49 CEST 2014: Problem Count: 0
Tue May 20 07:11:49 CEST 2014: CandidatesCount: 250
Tue May 20 07:11:49 CEST 2014: Max Cycles: 500
Tue May 20 07:12:11 CEST 2014: 0: finished (22778ms, 500cycles)
Tue May 20 07:12:11 CEST 2014: 0: No solution found.
Tue May 20 07:12:34 CEST 2014: 1: finished (22211ms, 500cycles)
Tue May 20 07:12:34 CEST 2014: 1: No solution found.
Tue May 20 07:12:56 CEST 2014: 2: finished (22257ms, 500cycles)
Tue May 20 07:12:56 CEST 2014: 2: No solution found.
Tue May 20 07:13:18 CEST 2014: 3: finished (22338ms, 500cycles)
Tue May 20 07:13:18 CEST 2014: 3: No solution found.
Tue May 20 07:13:41 CEST 2014: 4: finished (22484ms, 500cycles)
Tue May 20 07:13:41 CEST 2014: 4: No solution found.
Tue May 20 07:14:04 CEST 2014: 5: finished (22952ms, 500cycles)
Tue May 20 07:14:04 CEST 2014: 5: No solution found.
Tue May 20 07:14:26 CEST 2014: 6: finished (22404ms, 500cycles)
Tue May 20 07:14:26 CEST 2014: 6: No solution found.
Tue May 20 07:14:49 CEST 2014: 7: finished (22285ms, 500cycles)
Tue May 20 07:14:49 CEST 2014: 7: No solution found.
Tue May 20 07:15:11 CEST 2014: 8: finished (22417ms, 500cycles)
Tue May 20 07:15:11 CEST 2014: 8: No solution found.
Tue May 20 07:15:33 CEST 2014: 9: finished (22090ms, 500cycles)
Tue May 20 07:15:33 CEST 2014: 9: No solution found.
Tue May 20 07:15:55 CEST 2014: 10: finished (22287ms, 500cycles)
Tue May 20 07:15:55 CEST 2014: 10: No solution found.
Tue May 20 07:16:17 CEST 2014: 11: finished (22040ms, 500cycles)
Tue May 20 07:16:17 CEST 2014: 11: No solution found.
Tue May 20 07:16:40 CEST 2014: 12: finished (22166ms, 500cycles)
Tue May 20 07:16:40 CEST 2014: 12: No solution found.
Tue May 20 07:17:02 CEST 2014: 13: finished (21957ms, 500cycles)
Tue May 20 07:17:02 CEST 2014: 13: No solution found.
Tue May 20 07:17:24 CEST 2014: 14: finished (22087ms, 500cycles)
Tue May 20 07:17:24 CEST 2014: 14: No solution found.
Tue May 20 07:17:46 CEST 2014: 15: finished (22117ms, 500cycles)
Tue May 20 07:17:46 CEST 2014: 15: No solution found.
Tue May 20 07:18:08 CEST 2014: 16: finished (22088ms, 500cycles)
Tue May 20 07:18:08 CEST 2014: 16: No solution found.
Tue May 20 07:18:30 CEST 2014: 17: finished (22091ms, 500cycles)
Tue May 20 07:18:30 CEST 2014: 17: No solution found.
Tue May 20 07:18:41 CEST 2014: 18: finished (11166ms, 251cycles)
Tue May 20 07:18:41 CEST 2014: 18: Solution found.
Tue May 20 07:19:03 CEST 2014: 19: finished (22025ms, 500cycles)
Tue May 20 07:19:03 CEST 2014: 19: No solution found.
Tue May 20 07:19:26 CEST 2014: 20: finished (22344ms, 500cycles)
Tue May 20 07:19:26 CEST 2014: 20: No solution found.
Tue May 20 07:19:48 CEST 2014: 21: finished (22163ms, 500cycles)
Tue May 20 07:19:48 CEST 2014: 21: No solution found.
Tue May 20 07:20:10 CEST 2014: 22: finished (22152ms, 500cycles)
Tue May 20 07:20:10 CEST 2014: 22: No solution found.
Tue May 20 07:20:32 CEST 2014: 23: finished (21970ms, 500cycles)
Tue May 20 07:20:32 CEST 2014: 23: No solution found.
Tue May 20 07:20:54 CEST 2014: 24: finished (22147ms, 500cycles)
Tue May 20 07:20:54 CEST 2014: 24: No solution found.
Tue May 20 07:21:16 CEST 2014: 25: finished (22222ms, 500cycles)
Tue May 20 07:21:16 CEST 2014: 25: No solution found.
Tue May 20 07:21:38 CEST 2014: 26: finished (22055ms, 500cycles)
Tue May 20 07:21:38 CEST 2014: 26: No solution found.
Tue May 20 07:22:00 CEST 2014: 27: finished (21771ms, 500cycles)
Tue May 20 07:22:00 CEST 2014: 27: No solution found.
Tue May 20 07:22:22 CEST 2014: 28: finished (21918ms, 500cycles)
Tue May 20 07:22:22 CEST 2014: 28: No solution found.
Tue May 20 07:22:44 CEST 2014: 29: finished (21980ms, 500cycles)
Tue May 20 07:22:44 CEST 2014: 29: No solution found.
Tue May 20 07:23:06 CEST 2014: 30: finished (21670ms, 500cycles)
Tue May 20 07:23:06 CEST 2014: 30: No solution found.
Tue May 20 07:23:28 CEST 2014: 31: finished (21776ms, 500cycles)
Tue May 20 07:23:28 CEST 2014: 31: No solution found.
Tue May 20 07:23:50 CEST 2014: 32: finished (21978ms, 500cycles)
Tue May 20 07:23:50 CEST 2014: 32: No solution found.
Tue May 20 07:24:11 CEST 2014: 33: finished (21746ms, 500cycles)
Tue May 20 07:24:11 CEST 2014: 33: No solution found.
Tue May 20 07:24:34 CEST 2014: 34: finished (22353ms, 500cycles)
Tue May 20 07:24:34 CEST 2014: 34: No solution found.
Tue May 20 07:24:56 CEST 2014: 35: finished (22099ms, 500cycles)
Tue May 20 07:24:56 CEST 2014: 35: No solution found.
Tue May 20 07:25:18 CEST 2014: 36: finished (22105ms, 500cycles)
Tue May 20 07:25:18 CEST 2014: 36: No solution found.
Tue May 20 07:25:40 CEST 2014: 37: finished (21910ms, 500cycles)
Tue May 20 07:25:40 CEST 2014: 37: No solution found.
Tue May 20 07:26:02 CEST 2014: 38: finished (21799ms, 500cycles)
Tue May 20 07:26:02 CEST 2014: 38: No solution found.
Tue May 20 07:26:24 CEST 2014: 39: finished (21692ms, 500cycles)
Tue May 20 07:26:24 CEST 2014: 39: No solution found.
Tue May 20 07:26:46 CEST 2014: 40: finished (22050ms, 500cycles)
Tue May 20 07:26:46 CEST 2014: 40: No solution found.
Tue May 20 07:27:08 CEST 2014: 41: finished (22102ms, 500cycles)
Tue May 20 07:27:08 CEST 2014: 41: No solution found.
Tue May 20 07:27:29 CEST 2014: 42: finished (21751ms, 500cycles)
Tue May 20 07:27:29 CEST 2014: 42: No solution found.
Tue May 20 07:27:51 CEST 2014: 43: finished (21650ms, 500cycles)
Tue May 20 07:27:51 CEST 2014: 43: No solution found.
Tue May 20 07:28:13 CEST 2014: 44: finished (21770ms, 500cycles)
Tue May 20 07:28:13 CEST 2014: 44: No solution found.
Tue May 20 07:28:34 CEST 2014: 45: finished (21417ms, 500cycles)
Tue May 20 07:28:34 CEST 2014: 45: No solution found.
Tue May 20 07:28:56 CEST 2014: 46: finished (21143ms, 500cycles)
Tue May 20 07:28:56 CEST 2014: 46: No solution found.
Tue May 20 07:29:17 CEST 2014: 47: finished (21177ms, 500cycles)
Tue May 20 07:29:17 CEST 2014: 47: No solution found.
Tue May 20 07:29:38 CEST 2014: 48: finished (21113ms, 500cycles)
Tue May 20 07:29:38 CEST 2014: 48: No solution found.
