Tue May 20 18:49:45 CEST 2014: Problem Count: 0
Tue May 20 18:49:45 CEST 2014: CandidatesCount: 100
Tue May 20 18:49:45 CEST 2014: Max Cycles: 500
Tue May 20 18:49:51 CEST 2014: 0: finished (5709ms, 500cycles)
Tue May 20 18:49:51 CEST 2014: 0: No solution found.
Tue May 20 18:49:57 CEST 2014: 1: finished (6143ms, 500cycles)
Tue May 20 18:49:57 CEST 2014: 1: No solution found.
Tue May 20 18:50:03 CEST 2014: 2: finished (6004ms, 500cycles)
Tue May 20 18:50:03 CEST 2014: 2: No solution found.
Tue May 20 18:50:09 CEST 2014: 3: finished (5738ms, 500cycles)
Tue May 20 18:50:09 CEST 2014: 3: No solution found.
Tue May 20 18:50:15 CEST 2014: 4: finished (6693ms, 500cycles)
Tue May 20 18:50:15 CEST 2014: 4: No solution found.
Tue May 20 18:50:22 CEST 2014: 5: finished (6254ms, 500cycles)
Tue May 20 18:50:22 CEST 2014: 5: No solution found.
Tue May 20 18:50:28 CEST 2014: 6: finished (6643ms, 500cycles)
Tue May 20 18:50:28 CEST 2014: 6: No solution found.
Tue May 20 18:50:34 CEST 2014: 7: finished (5850ms, 500cycles)
Tue May 20 18:50:34 CEST 2014: 7: No solution found.
Tue May 20 18:50:40 CEST 2014: 8: finished (5766ms, 500cycles)
Tue May 20 18:50:40 CEST 2014: 8: No solution found.
Tue May 20 18:50:46 CEST 2014: 9: finished (5593ms, 500cycles)
Tue May 20 18:50:46 CEST 2014: 9: No solution found.
Tue May 20 18:50:51 CEST 2014: 10: finished (5692ms, 500cycles)
Tue May 20 18:50:51 CEST 2014: 10: No solution found.
Tue May 20 18:50:57 CEST 2014: 11: finished (5628ms, 500cycles)
Tue May 20 18:50:57 CEST 2014: 11: No solution found.
Tue May 20 18:51:03 CEST 2014: 12: finished (5791ms, 500cycles)
Tue May 20 18:51:03 CEST 2014: 12: No solution found.
Tue May 20 18:51:09 CEST 2014: 13: finished (5950ms, 500cycles)
Tue May 20 18:51:09 CEST 2014: 13: No solution found.
Tue May 20 18:51:15 CEST 2014: 14: finished (6045ms, 500cycles)
Tue May 20 18:51:15 CEST 2014: 14: No solution found.
Tue May 20 18:51:21 CEST 2014: 15: finished (5757ms, 500cycles)
Tue May 20 18:51:21 CEST 2014: 15: No solution found.
Tue May 20 18:51:27 CEST 2014: 16: finished (6169ms, 500cycles)
Tue May 20 18:51:27 CEST 2014: 16: No solution found.
Tue May 20 18:51:33 CEST 2014: 17: finished (6122ms, 500cycles)
Tue May 20 18:51:33 CEST 2014: 17: No solution found.
Tue May 20 18:51:39 CEST 2014: 18: finished (5718ms, 500cycles)
Tue May 20 18:51:39 CEST 2014: 18: No solution found.
Tue May 20 18:51:44 CEST 2014: 19: finished (5895ms, 500cycles)
Tue May 20 18:51:44 CEST 2014: 19: No solution found.
Tue May 20 18:51:50 CEST 2014: 20: finished (5779ms, 500cycles)
Tue May 20 18:51:50 CEST 2014: 20: No solution found.
Tue May 20 18:51:56 CEST 2014: 21: finished (6083ms, 500cycles)
Tue May 20 18:51:56 CEST 2014: 21: No solution found.
Tue May 20 18:52:03 CEST 2014: 22: finished (6158ms, 500cycles)
Tue May 20 18:52:03 CEST 2014: 22: No solution found.
Tue May 20 18:52:08 CEST 2014: 23: finished (5844ms, 500cycles)
Tue May 20 18:52:08 CEST 2014: 23: No solution found.
Tue May 20 18:52:14 CEST 2014: 24: finished (6034ms, 500cycles)
Tue May 20 18:52:14 CEST 2014: 24: No solution found.
Tue May 20 18:52:21 CEST 2014: 25: finished (6299ms, 500cycles)
Tue May 20 18:52:21 CEST 2014: 25: No solution found.
Tue May 20 18:52:27 CEST 2014: 26: finished (6466ms, 500cycles)
Tue May 20 18:52:27 CEST 2014: 26: No solution found.
Tue May 20 18:52:34 CEST 2014: 27: finished (6491ms, 500cycles)
Tue May 20 18:52:34 CEST 2014: 27: No solution found.
Tue May 20 18:52:40 CEST 2014: 28: finished (6444ms, 500cycles)
Tue May 20 18:52:40 CEST 2014: 28: No solution found.
Tue May 20 18:52:46 CEST 2014: 29: finished (5791ms, 500cycles)
Tue May 20 18:52:46 CEST 2014: 29: No solution found.
Tue May 20 18:52:52 CEST 2014: 30: finished (5908ms, 500cycles)
Tue May 20 18:52:52 CEST 2014: 30: No solution found.
Tue May 20 18:52:58 CEST 2014: 31: finished (5965ms, 500cycles)
Tue May 20 18:52:58 CEST 2014: 31: No solution found.
