Tue May 20 10:24:58 CEST 2014: Problem Count: 0
Tue May 20 10:24:58 CEST 2014: CandidatesCount: 100
Tue May 20 10:24:58 CEST 2014: Max Cycles: 500
Tue May 20 10:25:06 CEST 2014: 0: finished (7333ms, 500cycles)
Tue May 20 10:25:06 CEST 2014: 0: No solution found.
Tue May 20 10:25:13 CEST 2014: 1: finished (7217ms, 500cycles)
Tue May 20 10:25:13 CEST 2014: 1: No solution found.
Tue May 20 10:25:20 CEST 2014: 2: finished (7085ms, 500cycles)
Tue May 20 10:25:20 CEST 2014: 2: No solution found.
Tue May 20 10:25:27 CEST 2014: 3: finished (7179ms, 500cycles)
Tue May 20 10:25:27 CEST 2014: 3: No solution found.
Tue May 20 10:25:34 CEST 2014: 4: finished (7128ms, 500cycles)
Tue May 20 10:25:34 CEST 2014: 4: No solution found.
Tue May 20 10:25:42 CEST 2014: 5: finished (7331ms, 500cycles)
Tue May 20 10:25:42 CEST 2014: 5: No solution found.
Tue May 20 10:25:49 CEST 2014: 6: finished (7156ms, 500cycles)
Tue May 20 10:25:49 CEST 2014: 6: No solution found.
Tue May 20 10:25:56 CEST 2014: 7: finished (7096ms, 500cycles)
Tue May 20 10:25:56 CEST 2014: 7: No solution found.
Tue May 20 10:26:03 CEST 2014: 8: finished (7274ms, 500cycles)
Tue May 20 10:26:03 CEST 2014: 8: No solution found.
Tue May 20 10:26:11 CEST 2014: 9: finished (7273ms, 500cycles)
Tue May 20 10:26:11 CEST 2014: 9: No solution found.
Tue May 20 10:26:18 CEST 2014: 10: finished (7093ms, 500cycles)
Tue May 20 10:26:18 CEST 2014: 10: No solution found.
Tue May 20 10:26:25 CEST 2014: 11: finished (7049ms, 500cycles)
Tue May 20 10:26:25 CEST 2014: 11: No solution found.
Tue May 20 10:26:32 CEST 2014: 12: finished (7281ms, 500cycles)
Tue May 20 10:26:32 CEST 2014: 12: No solution found.
Tue May 20 10:26:39 CEST 2014: 13: finished (7136ms, 500cycles)
Tue May 20 10:26:39 CEST 2014: 13: No solution found.
Tue May 20 10:26:46 CEST 2014: 14: finished (7122ms, 500cycles)
Tue May 20 10:26:46 CEST 2014: 14: No solution found.
Tue May 20 10:26:53 CEST 2014: 15: finished (7077ms, 500cycles)
Tue May 20 10:26:53 CEST 2014: 15: No solution found.
Tue May 20 10:27:01 CEST 2014: 16: finished (7268ms, 500cycles)
Tue May 20 10:27:01 CEST 2014: 16: No solution found.
Tue May 20 10:27:08 CEST 2014: 17: finished (7367ms, 500cycles)
Tue May 20 10:27:08 CEST 2014: 17: No solution found.
Tue May 20 10:27:15 CEST 2014: 18: finished (7284ms, 500cycles)
Tue May 20 10:27:15 CEST 2014: 18: No solution found.
Tue May 20 10:27:23 CEST 2014: 19: finished (7216ms, 500cycles)
Tue May 20 10:27:23 CEST 2014: 19: No solution found.
Tue May 20 10:27:30 CEST 2014: 20: finished (7303ms, 500cycles)
Tue May 20 10:27:30 CEST 2014: 20: No solution found.
Tue May 20 10:27:37 CEST 2014: 21: finished (7279ms, 500cycles)
Tue May 20 10:27:37 CEST 2014: 21: No solution found.
Tue May 20 10:27:44 CEST 2014: 22: finished (7181ms, 500cycles)
Tue May 20 10:27:44 CEST 2014: 22: No solution found.
Tue May 20 10:27:52 CEST 2014: 23: finished (7100ms, 500cycles)
Tue May 20 10:27:52 CEST 2014: 23: No solution found.
Tue May 20 10:27:59 CEST 2014: 24: finished (7304ms, 500cycles)
Tue May 20 10:27:59 CEST 2014: 24: No solution found.
Tue May 20 10:28:06 CEST 2014: 25: finished (7196ms, 500cycles)
