Tue May 20 01:46:51 CEST 2014: Problem Count: 0
Tue May 20 01:46:51 CEST 2014: CandidatesCount: 100
Tue May 20 01:46:51 CEST 2014: Max Cycles: 500
Tue May 20 01:47:00 CEST 2014: 0: finished (8679ms, 500cycles)
Tue May 20 01:47:00 CEST 2014: 0: No solution found.
Tue May 20 01:47:09 CEST 2014: 1: finished (8682ms, 500cycles)
Tue May 20 01:47:09 CEST 2014: 1: No solution found.
Tue May 20 01:47:18 CEST 2014: 2: finished (8858ms, 500cycles)
Tue May 20 01:47:18 CEST 2014: 2: No solution found.
Tue May 20 01:47:26 CEST 2014: 3: finished (8764ms, 500cycles)
Tue May 20 01:47:26 CEST 2014: 3: No solution found.
Tue May 20 01:47:35 CEST 2014: 4: finished (8549ms, 500cycles)
Tue May 20 01:47:35 CEST 2014: 4: No solution found.
Tue May 20 01:47:44 CEST 2014: 5: finished (8580ms, 500cycles)
Tue May 20 01:47:44 CEST 2014: 5: No solution found.
Tue May 20 01:47:52 CEST 2014: 6: finished (8705ms, 500cycles)
Tue May 20 01:47:52 CEST 2014: 6: No solution found.
Tue May 20 01:48:01 CEST 2014: 7: finished (8710ms, 500cycles)
Tue May 20 01:48:01 CEST 2014: 7: No solution found.
Tue May 20 01:48:10 CEST 2014: 8: finished (8715ms, 500cycles)
Tue May 20 01:48:10 CEST 2014: 8: No solution found.
Tue May 20 01:48:19 CEST 2014: 9: finished (8718ms, 500cycles)
Tue May 20 01:48:19 CEST 2014: 9: No solution found.
Tue May 20 01:48:27 CEST 2014: 10: finished (8555ms, 500cycles)
Tue May 20 01:48:27 CEST 2014: 10: No solution found.
Tue May 20 01:48:36 CEST 2014: 11: finished (8796ms, 500cycles)
Tue May 20 01:48:36 CEST 2014: 11: No solution found.
Tue May 20 01:48:44 CEST 2014: 12: finished (8520ms, 500cycles)
Tue May 20 01:48:44 CEST 2014: 12: No solution found.
Tue May 20 01:48:53 CEST 2014: 13: finished (8739ms, 500cycles)
Tue May 20 01:48:53 CEST 2014: 13: No solution found.
Tue May 20 01:49:02 CEST 2014: 14: finished (8548ms, 500cycles)
Tue May 20 01:49:02 CEST 2014: 14: No solution found.
Tue May 20 01:49:10 CEST 2014: 15: finished (8676ms, 500cycles)
Tue May 20 01:49:10 CEST 2014: 15: No solution found.
Tue May 20 01:49:19 CEST 2014: 16: finished (8725ms, 500cycles)
Tue May 20 01:49:19 CEST 2014: 16: No solution found.
Tue May 20 01:49:28 CEST 2014: 17: finished (8587ms, 500cycles)
Tue May 20 01:49:28 CEST 2014: 17: No solution found.
Tue May 20 01:49:36 CEST 2014: 18: finished (8366ms, 500cycles)
Tue May 20 01:49:36 CEST 2014: 18: No solution found.
Tue May 20 01:49:45 CEST 2014: 19: finished (8835ms, 500cycles)
Tue May 20 01:49:45 CEST 2014: 19: No solution found.
Tue May 20 01:49:54 CEST 2014: 20: finished (8652ms, 500cycles)
Tue May 20 01:49:54 CEST 2014: 20: No solution found.
Tue May 20 01:50:02 CEST 2014: 21: finished (8461ms, 500cycles)
Tue May 20 01:50:02 CEST 2014: 21: No solution found.
Tue May 20 01:50:11 CEST 2014: 22: finished (8646ms, 500cycles)
Tue May 20 01:50:11 CEST 2014: 22: No solution found.
Tue May 20 01:50:20 CEST 2014: 23: finished (8670ms, 500cycles)
Tue May 20 01:50:20 CEST 2014: 23: No solution found.
Tue May 20 01:50:28 CEST 2014: 24: finished (8450ms, 500cycles)
Tue May 20 01:50:28 CEST 2014: 24: No solution found.
Tue May 20 01:50:37 CEST 2014: 25: finished (8847ms, 500cycles)
Tue May 20 01:50:37 CEST 2014: 25: No solution found.
Tue May 20 01:50:46 CEST 2014: 26: finished (8755ms, 500cycles)
Tue May 20 01:50:46 CEST 2014: 26: No solution found.
Tue May 20 01:50:54 CEST 2014: 27: finished (8612ms, 500cycles)
Tue May 20 01:50:54 CEST 2014: 27: No solution found.
Tue May 20 01:51:03 CEST 2014: 28: finished (8703ms, 500cycles)
Tue May 20 01:51:03 CEST 2014: 28: No solution found.
Tue May 20 01:51:12 CEST 2014: 29: finished (8556ms, 500cycles)
Tue May 20 01:51:12 CEST 2014: 29: No solution found.
Tue May 20 01:51:20 CEST 2014: 30: finished (8538ms, 500cycles)
Tue May 20 01:51:20 CEST 2014: 30: No solution found.
Tue May 20 01:51:29 CEST 2014: 31: finished (8665ms, 500cycles)
Tue May 20 01:51:29 CEST 2014: 31: No solution found.
Tue May 20 01:51:37 CEST 2014: 32: finished (8473ms, 500cycles)
Tue May 20 01:51:37 CEST 2014: 32: No solution found.
Tue May 20 01:51:46 CEST 2014: 33: finished (8810ms, 500cycles)
Tue May 20 01:51:46 CEST 2014: 33: No solution found.
Tue May 20 01:51:55 CEST 2014: 34: finished (8690ms, 500cycles)
Tue May 20 01:51:55 CEST 2014: 34: No solution found.
Tue May 20 01:52:04 CEST 2014: 35: finished (8750ms, 500cycles)
Tue May 20 01:52:04 CEST 2014: 35: No solution found.
Tue May 20 01:52:12 CEST 2014: 36: finished (8826ms, 500cycles)
Tue May 20 01:52:13 CEST 2014: 36: No solution found.
Tue May 20 01:52:21 CEST 2014: 37: finished (8610ms, 500cycles)
Tue May 20 01:52:21 CEST 2014: 37: No solution found.
Tue May 20 01:52:30 CEST 2014: 38: finished (8774ms, 500cycles)
Tue May 20 01:52:30 CEST 2014: 38: No solution found.
Tue May 20 01:52:39 CEST 2014: 39: finished (8778ms, 500cycles)
Tue May 20 01:52:39 CEST 2014: 39: No solution found.
Tue May 20 01:52:47 CEST 2014: 40: finished (8676ms, 500cycles)
Tue May 20 01:52:47 CEST 2014: 40: No solution found.
Tue May 20 01:52:56 CEST 2014: 41: finished (8841ms, 500cycles)
Tue May 20 01:52:56 CEST 2014: 41: No solution found.
Tue May 20 01:53:05 CEST 2014: 42: finished (8841ms, 500cycles)
Tue May 20 01:53:05 CEST 2014: 42: No solution found.
Tue May 20 01:53:14 CEST 2014: 43: finished (8717ms, 500cycles)
Tue May 20 01:53:14 CEST 2014: 43: No solution found.
Tue May 20 01:53:23 CEST 2014: 44: finished (8705ms, 500cycles)
Tue May 20 01:53:23 CEST 2014: 44: No solution found.
Tue May 20 01:53:31 CEST 2014: 45: finished (8669ms, 500cycles)
Tue May 20 01:53:31 CEST 2014: 45: No solution found.
Tue May 20 01:53:40 CEST 2014: 46: finished (8644ms, 500cycles)
Tue May 20 01:53:40 CEST 2014: 46: No solution found.
Tue May 20 01:53:49 CEST 2014: 47: finished (8658ms, 500cycles)
Tue May 20 01:53:49 CEST 2014: 47: No solution found.
Tue May 20 01:53:57 CEST 2014: 48: finished (8778ms, 500cycles)
Tue May 20 01:53:57 CEST 2014: 48: No solution found.
Tue May 20 01:54:06 CEST 2014: 49: finished (8514ms, 500cycles)
Tue May 20 01:54:06 CEST 2014: 49: No solution found.
Tue May 20 01:54:15 CEST 2014: 50: finished (8608ms, 500cycles)
Tue May 20 01:54:15 CEST 2014: 50: No solution found.
Tue May 20 01:54:23 CEST 2014: 51: finished (8805ms, 500cycles)
Tue May 20 01:54:23 CEST 2014: 51: No solution found.
Tue May 20 01:54:32 CEST 2014: 52: finished (8692ms, 500cycles)
Tue May 20 01:54:32 CEST 2014: 52: No solution found.
Tue May 20 01:54:41 CEST 2014: 53: finished (8742ms, 500cycles)
Tue May 20 01:54:41 CEST 2014: 53: No solution found.
Tue May 20 01:54:50 CEST 2014: 54: finished (8880ms, 500cycles)
Tue May 20 01:54:50 CEST 2014: 54: No solution found.
Tue May 20 01:54:59 CEST 2014: 55: finished (8828ms, 500cycles)
Tue May 20 01:54:59 CEST 2014: 55: No solution found.
Tue May 20 01:55:07 CEST 2014: 56: finished (8691ms, 500cycles)
Tue May 20 01:55:07 CEST 2014: 56: No solution found.
Tue May 20 01:55:16 CEST 2014: 57: finished (8811ms, 500cycles)
Tue May 20 01:55:16 CEST 2014: 57: No solution found.
Tue May 20 01:55:25 CEST 2014: 58: finished (8789ms, 500cycles)
Tue May 20 01:55:25 CEST 2014: 58: No solution found.
Tue May 20 01:55:33 CEST 2014: 59: finished (8506ms, 500cycles)
Tue May 20 01:55:33 CEST 2014: 59: No solution found.
Tue May 20 01:55:42 CEST 2014: 60: finished (8775ms, 500cycles)
Tue May 20 01:55:42 CEST 2014: 60: No solution found.
Tue May 20 01:55:51 CEST 2014: 61: finished (8933ms, 500cycles)
Tue May 20 01:55:51 CEST 2014: 61: No solution found.
Tue May 20 01:56:00 CEST 2014: 62: finished (8757ms, 500cycles)
Tue May 20 01:56:00 CEST 2014: 62: No solution found.
Tue May 20 01:56:09 CEST 2014: 63: finished (8623ms, 500cycles)
Tue May 20 01:56:09 CEST 2014: 63: No solution found.
Tue May 20 01:56:17 CEST 2014: 64: finished (8710ms, 500cycles)
Tue May 20 01:56:17 CEST 2014: 64: No solution found.
Tue May 20 01:56:26 CEST 2014: 65: finished (8656ms, 500cycles)
Tue May 20 01:56:26 CEST 2014: 65: No solution found.
Tue May 20 01:56:35 CEST 2014: 66: finished (8689ms, 500cycles)
Tue May 20 01:56:35 CEST 2014: 66: No solution found.
Tue May 20 01:56:43 CEST 2014: 67: finished (8620ms, 500cycles)
Tue May 20 01:56:43 CEST 2014: 67: No solution found.
Tue May 20 01:56:52 CEST 2014: 68: finished (8673ms, 500cycles)
Tue May 20 01:56:52 CEST 2014: 68: No solution found.
Tue May 20 01:57:01 CEST 2014: 69: finished (8616ms, 500cycles)
Tue May 20 01:57:01 CEST 2014: 69: No solution found.
Tue May 20 01:57:09 CEST 2014: 70: finished (8613ms, 500cycles)
Tue May 20 01:57:09 CEST 2014: 70: No solution found.
Tue May 20 01:57:18 CEST 2014: 71: finished (8631ms, 500cycles)
Tue May 20 01:57:18 CEST 2014: 71: No solution found.
Tue May 20 01:57:26 CEST 2014: 72: finished (8508ms, 500cycles)
Tue May 20 01:57:27 CEST 2014: 72: No solution found.
Tue May 20 01:57:35 CEST 2014: 73: finished (8648ms, 500cycles)
Tue May 20 01:57:35 CEST 2014: 73: No solution found.
Tue May 20 01:57:44 CEST 2014: 74: finished (8739ms, 500cycles)
Tue May 20 01:57:44 CEST 2014: 74: No solution found.
Tue May 20 01:57:53 CEST 2014: 75: finished (8754ms, 500cycles)
Tue May 20 01:57:53 CEST 2014: 75: No solution found.
Tue May 20 01:58:02 CEST 2014: 76: finished (8930ms, 500cycles)
Tue May 20 01:58:02 CEST 2014: 76: No solution found.
Tue May 20 01:58:07 CEST 2014: 77: finished (5665ms, 329cycles)
Tue May 20 01:58:07 CEST 2014: 77: Solution found.
Tue May 20 01:58:16 CEST 2014: 78: finished (8853ms, 500cycles)
Tue May 20 01:58:16 CEST 2014: 78: No solution found.
Tue May 20 01:58:25 CEST 2014: 79: finished (8483ms, 500cycles)
Tue May 20 01:58:25 CEST 2014: 79: No solution found.
Tue May 20 01:58:34 CEST 2014: 80: finished (8817ms, 500cycles)
Tue May 20 01:58:34 CEST 2014: 80: No solution found.
Tue May 20 01:58:43 CEST 2014: 81: finished (9004ms, 500cycles)
Tue May 20 01:58:43 CEST 2014: 81: No solution found.
Tue May 20 01:58:51 CEST 2014: 82: finished (8722ms, 500cycles)
Tue May 20 01:58:51 CEST 2014: 82: No solution found.
Tue May 20 01:59:00 CEST 2014: 83: finished (8475ms, 500cycles)
Tue May 20 01:59:00 CEST 2014: 83: No solution found.
Tue May 20 01:59:09 CEST 2014: 84: finished (8802ms, 500cycles)
Tue May 20 01:59:09 CEST 2014: 84: No solution found.
Tue May 20 01:59:17 CEST 2014: 85: finished (8631ms, 500cycles)
Tue May 20 01:59:17 CEST 2014: 85: No solution found.
Tue May 20 01:59:26 CEST 2014: 86: finished (8603ms, 500cycles)
Tue May 20 01:59:26 CEST 2014: 86: No solution found.
Tue May 20 01:59:35 CEST 2014: 87: finished (8654ms, 500cycles)
Tue May 20 01:59:35 CEST 2014: 87: No solution found.
Tue May 20 01:59:43 CEST 2014: 88: finished (8737ms, 500cycles)
Tue May 20 01:59:43 CEST 2014: 88: No solution found.
Tue May 20 01:59:52 CEST 2014: 89: finished (8749ms, 500cycles)
Tue May 20 01:59:52 CEST 2014: 89: No solution found.
Tue May 20 02:00:01 CEST 2014: 90: finished (8574ms, 500cycles)
Tue May 20 02:00:01 CEST 2014: 90: No solution found.
Tue May 20 02:00:09 CEST 2014: 91: finished (8345ms, 500cycles)
Tue May 20 02:00:09 CEST 2014: 91: No solution found.
Tue May 20 02:00:18 CEST 2014: 92: finished (8728ms, 500cycles)
Tue May 20 02:00:18 CEST 2014: 92: No solution found.
Tue May 20 02:00:27 CEST 2014: 93: finished (8816ms, 500cycles)
Tue May 20 02:00:27 CEST 2014: 93: No solution found.
Tue May 20 02:00:35 CEST 2014: 94: finished (8706ms, 500cycles)
Tue May 20 02:00:35 CEST 2014: 94: No solution found.
Tue May 20 02:00:44 CEST 2014: 95: finished (8706ms, 500cycles)
Tue May 20 02:00:44 CEST 2014: 95: No solution found.
Tue May 20 02:00:53 CEST 2014: 96: finished (8743ms, 500cycles)
Tue May 20 02:00:53 CEST 2014: 96: No solution found.
Tue May 20 02:01:02 CEST 2014: 97: finished (8728ms, 500cycles)
Tue May 20 02:01:02 CEST 2014: 97: No solution found.
Tue May 20 02:01:10 CEST 2014: 98: finished (8547ms, 500cycles)
Tue May 20 02:01:10 CEST 2014: 98: No solution found.
Tue May 20 02:01:19 CEST 2014: 99: finished (8575ms, 500cycles)
Tue May 20 02:01:19 CEST 2014: 99: No solution found.
Tue May 20 02:01:19 CEST 2014: Solution Found: 1
Tue May 20 02:01:19 CEST 2014: Avg cycles: 329
Tue May 20 02:01:19 CEST 2014: Max cycles: 329
Tue May 20 02:01:19 CEST 2014: Min cycles: 329
Tue May 20 02:01:19 CEST 2014: No solution found: 99
Tue May 20 02:01:19 CEST 2014: logging finished. (runtime: 867272ms)
