Tue May 20 11:41:44 CEST 2014: 46: finished (10744ms, 500cycles)
Tue May 20 11:41:44 CEST 2014: 46: No solution found.
Tue May 20 11:41:55 CEST 2014: 47: finished (10792ms, 500cycles)
Tue May 20 11:41:55 CEST 2014: 47: No solution found.
Tue May 20 11:42:06 CEST 2014: 48: finished (10974ms, 500cycles)
Tue May 20 11:42:06 CEST 2014: 48: No solution found.
Tue May 20 11:42:17 CEST 2014: 49: finished (10651ms, 500cycles)
Tue May 20 11:42:17 CEST 2014: 49: No solution found.
Tue May 20 11:42:28 CEST 2014: 50: finished (10797ms, 500cycles)
Tue May 20 11:42:28 CEST 2014: 50: No solution found.
Tue May 20 11:42:38 CEST 2014: 51: finished (10853ms, 500cycles)
Tue May 20 11:42:38 CEST 2014: 51: No solution found.
Tue May 20 11:42:49 CEST 2014: 52: finished (10630ms, 500cycles)
Tue May 20 11:42:49 CEST 2014: 52: No solution found.
Tue May 20 11:43:00 CEST 2014: 53: finished (10664ms, 500cycles)
Tue May 20 11:43:00 CEST 2014: 53: No solution found.
Tue May 20 11:43:11 CEST 2014: 54: finished (11060ms, 500cycles)
Tue May 20 11:43:11 CEST 2014: 54: No solution found.
Tue May 20 11:43:21 CEST 2014: 55: finished (10674ms, 500cycles)
Tue May 20 11:43:22 CEST 2014: 55: No solution found.
Tue May 20 11:43:32 CEST 2014: 56: finished (10793ms, 500cycles)
Tue May 20 11:43:32 CEST 2014: 56: No solution found.
Tue May 20 11:43:43 CEST 2014: 57: finished (10700ms, 500cycles)
Tue May 20 11:43:43 CEST 2014: 57: No solution found.
Tue May 20 11:43:54 CEST 2014: 58: finished (10598ms, 500cycles)
Tue May 20 11:43:54 CEST 2014: 58: No solution found.
Tue May 20 11:44:04 CEST 2014: 59: finished (10567ms, 500cycles)
Tue May 20 11:44:04 CEST 2014: 59: No solution found.
Tue May 20 11:44:15 CEST 2014: 60: finished (10663ms, 500cycles)
Tue May 20 11:44:15 CEST 2014: 60: No solution found.
Tue May 20 11:44:26 CEST 2014: 61: finished (10617ms, 500cycles)
Tue May 20 11:44:26 CEST 2014: 61: No solution found.
Tue May 20 11:44:36 CEST 2014: 62: finished (10603ms, 500cycles)
Tue May 20 11:44:36 CEST 2014: 62: No solution found.
Tue May 20 11:44:47 CEST 2014: 63: finished (10686ms, 500cycles)
Tue May 20 11:44:47 CEST 2014: 63: No solution found.
Tue May 20 11:44:58 CEST 2014: 64: finished (10665ms, 500cycles)
Tue May 20 11:44:58 CEST 2014: 64: No solution found.
Tue May 20 11:45:08 CEST 2014: 65: finished (10793ms, 500cycles)
Tue May 20 11:45:08 CEST 2014: 65: No solution found.
Tue May 20 11:45:19 CEST 2014: 66: finished (10757ms, 500cycles)
Tue May 20 11:45:19 CEST 2014: 66: No solution found.
Tue May 20 11:45:30 CEST 2014: 67: finished (10766ms, 500cycles)
Tue May 20 11:45:30 CEST 2014: 67: No solution found.
Tue May 20 11:45:41 CEST 2014: 68: finished (10626ms, 500cycles)
Tue May 20 11:45:41 CEST 2014: 68: No solution found.
Tue May 20 11:45:51 CEST 2014: 69: finished (10659ms, 500cycles)
Tue May 20 11:45:51 CEST 2014: 69: No solution found.
Tue May 20 11:46:02 CEST 2014: 70: finished (10671ms, 500cycles)
Tue May 20 11:46:02 CEST 2014: 70: No solution found.
Tue May 20 11:46:13 CEST 2014: 71: finished (10743ms, 500cycles)
Tue May 20 11:46:13 CEST 2014: 71: No solution found.
Tue May 20 11:46:23 CEST 2014: 72: finished (10712ms, 500cycles)
Tue May 20 11:46:23 CEST 2014: 72: No solution found.
Tue May 20 11:46:34 CEST 2014: 73: finished (10757ms, 500cycles)
Tue May 20 11:46:34 CEST 2014: 73: No solution found.
Tue May 20 11:46:45 CEST 2014: 74: finished (10705ms, 500cycles)
Tue May 20 11:46:45 CEST 2014: 74: No solution found.
Tue May 20 11:46:56 CEST 2014: 75: finished (10686ms, 500cycles)
Tue May 20 11:46:56 CEST 2014: 75: No solution found.
Tue May 20 11:47:06 CEST 2014: 76: finished (10590ms, 500cycles)
Tue May 20 11:47:06 CEST 2014: 76: No solution found.
Tue May 20 11:47:17 CEST 2014: 77: finished (10968ms, 500cycles)
Tue May 20 11:47:17 CEST 2014: 77: No solution found.
Tue May 20 11:47:28 CEST 2014: 78: finished (10696ms, 500cycles)
Tue May 20 11:47:28 CEST 2014: 78: No solution found.
Tue May 20 11:47:39 CEST 2014: 79: finished (10837ms, 500cycles)
Tue May 20 11:47:39 CEST 2014: 79: No solution found.
Tue May 20 11:47:49 CEST 2014: 80: finished (10576ms, 500cycles)
Tue May 20 11:47:49 CEST 2014: 80: No solution found.
Tue May 20 11:48:00 CEST 2014: 81: finished (10623ms, 500cycles)
Tue May 20 11:48:00 CEST 2014: 81: No solution found.
Tue May 20 11:48:11 CEST 2014: 82: finished (10637ms, 500cycles)
Tue May 20 11:48:11 CEST 2014: 82: No solution found.
Tue May 20 11:48:21 CEST 2014: 83: finished (10590ms, 500cycles)
Tue May 20 11:48:21 CEST 2014: 83: No solution found.
Tue May 20 11:48:32 CEST 2014: 84: finished (10713ms, 500cycles)
Tue May 20 11:48:32 CEST 2014: 84: No solution found.
Tue May 20 11:48:43 CEST 2014: 85: finished (10843ms, 500cycles)
Tue May 20 11:48:43 CEST 2014: 85: No solution found.
Tue May 20 11:48:53 CEST 2014: 86: finished (10651ms, 500cycles)
Tue May 20 11:48:53 CEST 2014: 86: No solution found.
Tue May 20 11:49:04 CEST 2014: 87: finished (10597ms, 500cycles)
Tue May 20 11:49:04 CEST 2014: 87: No solution found.
Tue May 20 11:49:15 CEST 2014: 88: finished (11039ms, 500cycles)
Tue May 20 11:49:15 CEST 2014: 88: No solution found.
Tue May 20 11:49:26 CEST 2014: 89: finished (10764ms, 500cycles)
Tue May 20 11:49:26 CEST 2014: 89: No solution found.
Tue May 20 11:49:37 CEST 2014: 90: finished (10769ms, 500cycles)
Tue May 20 11:49:37 CEST 2014: 90: No solution found.
Tue May 20 11:49:47 CEST 2014: 91: finished (10736ms, 500cycles)
Tue May 20 11:49:47 CEST 2014: 91: No solution found.
Tue May 20 11:49:58 CEST 2014: 92: finished (10747ms, 500cycles)
Tue May 20 11:49:58 CEST 2014: 92: No solution found.
Tue May 20 11:50:09 CEST 2014: 93: finished (10789ms, 500cycles)
Tue May 20 11:50:09 CEST 2014: 93: No solution found.
Tue May 20 11:50:20 CEST 2014: 94: finished (11051ms, 500cycles)
Tue May 20 11:50:20 CEST 2014: 94: No solution found.
Tue May 20 11:50:31 CEST 2014: 95: finished (10729ms, 500cycles)
Tue May 20 11:50:31 CEST 2014: 95: No solution found.
Tue May 20 11:50:41 CEST 2014: 96: finished (10578ms, 500cycles)
Tue May 20 11:50:41 CEST 2014: 96: No solution found.
Tue May 20 11:50:52 CEST 2014: 97: finished (10666ms, 500cycles)
Tue May 20 11:50:52 CEST 2014: 97: No solution found.
Tue May 20 11:51:03 CEST 2014: 98: finished (10807ms, 500cycles)
Tue May 20 11:51:03 CEST 2014: 98: No solution found.
Tue May 20 11:51:14 CEST 2014: 99: finished (10696ms, 500cycles)
Tue May 20 11:51:14 CEST 2014: 99: No solution found.
Tue May 20 11:51:14 CEST 2014: Solution Found: 0
Tue May 20 11:51:14 CEST 2014: Avg cycles: 48
Tue May 20 11:51:14 CEST 2014: Max cycles: 0
Tue May 20 11:51:14 CEST 2014: Min cycles: 10000
Tue May 20 11:51:14 CEST 2014: No solution found: 100
Tue May 20 11:51:14 CEST 2014: logging finished. (runtime: 1068783ms)
