Tue May 20 20:09:26 CEST 2014: Problem Count: 0
Tue May 20 20:09:26 CEST 2014: CandidatesCount: 150
Tue May 20 20:09:26 CEST 2014: Max Cycles: 500
Tue May 20 20:09:34 CEST 2014: 0: finished (8455ms, 500cycles)
Tue May 20 20:09:34 CEST 2014: 0: No solution found.
Tue May 20 20:09:43 CEST 2014: 1: finished (8447ms, 500cycles)
Tue May 20 20:09:43 CEST 2014: 1: No solution found.
Tue May 20 20:09:51 CEST 2014: 2: finished (8353ms, 500cycles)
Tue May 20 20:09:51 CEST 2014: 2: No solution found.
Tue May 20 20:09:59 CEST 2014: 3: finished (8386ms, 500cycles)
Tue May 20 20:09:59 CEST 2014: 3: No solution found.
Tue May 20 20:10:08 CEST 2014: 4: finished (8430ms, 500cycles)
Tue May 20 20:10:08 CEST 2014: 4: No solution found.
Tue May 20 20:10:16 CEST 2014: 5: finished (8347ms, 500cycles)
Tue May 20 20:10:16 CEST 2014: 5: No solution found.
Tue May 20 20:10:24 CEST 2014: 6: finished (8373ms, 500cycles)
Tue May 20 20:10:24 CEST 2014: 6: No solution found.
Tue May 20 20:10:33 CEST 2014: 7: finished (8466ms, 500cycles)
Tue May 20 20:10:33 CEST 2014: 7: No solution found.
Tue May 20 20:10:41 CEST 2014: 8: finished (8445ms, 500cycles)
Tue May 20 20:10:41 CEST 2014: 8: No solution found.
Tue May 20 20:10:50 CEST 2014: 9: finished (8419ms, 500cycles)
Tue May 20 20:10:50 CEST 2014: 9: No solution found.
Tue May 20 20:10:58 CEST 2014: 10: finished (8485ms, 500cycles)
Tue May 20 20:10:58 CEST 2014: 10: No solution found.
Tue May 20 20:11:07 CEST 2014: 11: finished (8496ms, 500cycles)
Tue May 20 20:11:07 CEST 2014: 11: No solution found.
Tue May 20 20:11:15 CEST 2014: 12: finished (8522ms, 500cycles)
Tue May 20 20:11:15 CEST 2014: 12: No solution found.
Tue May 20 20:11:24 CEST 2014: 13: finished (8394ms, 500cycles)
Tue May 20 20:11:24 CEST 2014: 13: No solution found.
Tue May 20 20:11:32 CEST 2014: 14: finished (8413ms, 500cycles)
Tue May 20 20:11:32 CEST 2014: 14: No solution found.
Tue May 20 20:11:41 CEST 2014: 15: finished (8406ms, 500cycles)
Tue May 20 20:11:41 CEST 2014: 15: No solution found.
Tue May 20 20:11:49 CEST 2014: 16: finished (8543ms, 500cycles)
Tue May 20 20:11:49 CEST 2014: 16: No solution found.
Tue May 20 20:11:58 CEST 2014: 17: finished (8414ms, 500cycles)
Tue May 20 20:11:58 CEST 2014: 17: No solution found.
Tue May 20 20:12:06 CEST 2014: 18: finished (7950ms, 469cycles)
Tue May 20 20:12:06 CEST 2014: 18: Solution found.
Tue May 20 20:12:14 CEST 2014: 19: finished (8577ms, 500cycles)
Tue May 20 20:12:14 CEST 2014: 19: No solution found.
Tue May 20 20:12:23 CEST 2014: 20: finished (8470ms, 500cycles)
Tue May 20 20:12:23 CEST 2014: 20: No solution found.
Tue May 20 20:12:31 CEST 2014: 21: finished (8431ms, 500cycles)
Tue May 20 20:12:31 CEST 2014: 21: No solution found.
Tue May 20 20:12:40 CEST 2014: 22: finished (8810ms, 500cycles)
