Sun May 18 04:26:56 CEST 2014: Problem Count: 20
Sun May 18 04:26:56 CEST 2014: CandidatesCount: 10
Sun May 18 04:26:56 CEST 2014: Max Cycles: 500
Sun May 18 04:26:56 CEST 2014: 0: finished (25ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 0: No solution found.
Sun May 18 04:26:56 CEST 2014: 1: finished (20ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 1: No solution found.
Sun May 18 04:26:56 CEST 2014: 2: finished (17ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 2: No solution found.
Sun May 18 04:26:56 CEST 2014: 3: finished (17ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 3: No solution found.
Sun May 18 04:26:56 CEST 2014: 4: finished (23ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 4: No solution found.
Sun May 18 04:26:56 CEST 2014: 5: finished (1ms, 20cycles)
Sun May 18 04:26:56 CEST 2014: 5: Solution found.
Sun May 18 04:26:56 CEST 2014: 6: finished (18ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 6: No solution found.
Sun May 18 04:26:56 CEST 2014: 7: finished (17ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 7: No solution found.
Sun May 18 04:26:56 CEST 2014: 8: finished (9ms, 222cycles)
Sun May 18 04:26:56 CEST 2014: 8: Solution found.
Sun May 18 04:26:56 CEST 2014: 9: finished (1ms, 29cycles)
Sun May 18 04:26:56 CEST 2014: 9: Solution found.
Sun May 18 04:26:56 CEST 2014: 10: finished (19ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 10: No solution found.
Sun May 18 04:26:56 CEST 2014: 11: finished (21ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 11: No solution found.
Sun May 18 04:26:56 CEST 2014: 12: finished (21ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 12: No solution found.
Sun May 18 04:26:56 CEST 2014: 13: finished (16ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 13: No solution found.
Sun May 18 04:26:56 CEST 2014: 14: finished (18ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 14: No solution found.
Sun May 18 04:26:56 CEST 2014: 15: finished (29ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 15: No solution found.
Sun May 18 04:26:56 CEST 2014: 16: finished (26ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 16: No solution found.
Sun May 18 04:26:56 CEST 2014: 17: finished (19ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 17: No solution found.
Sun May 18 04:26:56 CEST 2014: 18: finished (18ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 18: No solution found.
Sun May 18 04:26:56 CEST 2014: 19: finished (18ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 19: No solution found.
Sun May 18 04:26:56 CEST 2014: 20: finished (21ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 20: No solution found.
Sun May 18 04:26:56 CEST 2014: 21: finished (4ms, 79cycles)
Sun May 18 04:26:56 CEST 2014: 21: Solution found.
Sun May 18 04:26:56 CEST 2014: 22: finished (18ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 22: No solution found.
Sun May 18 04:26:56 CEST 2014: 23: finished (24ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 23: No solution found.
Sun May 18 04:26:56 CEST 2014: 24: finished (22ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 24: No solution found.
Sun May 18 04:26:56 CEST 2014: 25: finished (18ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 25: No solution found.
Sun May 18 04:26:56 CEST 2014: 26: finished (19ms, 129cycles)
Sun May 18 04:26:56 CEST 2014: 26: Solution found.
Sun May 18 04:26:56 CEST 2014: 27: finished (20ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 27: No solution found.
Sun May 18 04:26:56 CEST 2014: 28: finished (2ms, 33cycles)
Sun May 18 04:26:56 CEST 2014: 28: Solution found.
Sun May 18 04:26:56 CEST 2014: 29: finished (17ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 29: No solution found.
Sun May 18 04:26:56 CEST 2014: 30: finished (18ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 30: No solution found.
Sun May 18 04:26:56 CEST 2014: 31: finished (34ms, 500cycles)
Sun May 18 04:26:56 CEST 2014: 31: No solution found.
Sun May 18 04:26:57 CEST 2014: 32: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 32: No solution found.
Sun May 18 04:26:57 CEST 2014: 33: finished (18ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 33: No solution found.
Sun May 18 04:26:57 CEST 2014: 34: finished (18ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 34: No solution found.
Sun May 18 04:26:57 CEST 2014: 35: finished (1ms, 6cycles)
Sun May 18 04:26:57 CEST 2014: 35: Solution found.
Sun May 18 04:26:57 CEST 2014: 36: finished (21ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 36: No solution found.
Sun May 18 04:26:57 CEST 2014: 37: finished (16ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 37: No solution found.
Sun May 18 04:26:57 CEST 2014: 38: finished (20ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 38: No solution found.
Sun May 18 04:26:57 CEST 2014: 39: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 39: No solution found.
Sun May 18 04:26:57 CEST 2014: 40: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 40: No solution found.
Sun May 18 04:26:57 CEST 2014: 41: finished (21ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 41: No solution found.
Sun May 18 04:26:57 CEST 2014: 42: finished (4ms, 85cycles)
Sun May 18 04:26:57 CEST 2014: 42: Solution found.
Sun May 18 04:26:57 CEST 2014: 43: finished (0ms, 11cycles)
Sun May 18 04:26:57 CEST 2014: 43: Solution found.
Sun May 18 04:26:57 CEST 2014: 44: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 44: No solution found.
Sun May 18 04:26:57 CEST 2014: 45: finished (16ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 45: No solution found.
Sun May 18 04:26:57 CEST 2014: 46: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 46: No solution found.
Sun May 18 04:26:57 CEST 2014: 47: finished (1ms, 8cycles)
Sun May 18 04:26:57 CEST 2014: 47: Solution found.
Sun May 18 04:26:57 CEST 2014: 48: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 48: No solution found.
Sun May 18 04:26:57 CEST 2014: 49: finished (18ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 49: No solution found.
Sun May 18 04:26:57 CEST 2014: 50: finished (28ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 50: No solution found.
Sun May 18 04:26:57 CEST 2014: 51: finished (4ms, 81cycles)
Sun May 18 04:26:57 CEST 2014: 51: Solution found.
Sun May 18 04:26:57 CEST 2014: 52: finished (17ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 52: No solution found.
Sun May 18 04:26:57 CEST 2014: 53: finished (21ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 53: No solution found.
Sun May 18 04:26:57 CEST 2014: 54: finished (27ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 54: No solution found.
Sun May 18 04:26:57 CEST 2014: 55: finished (17ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 55: No solution found.
Sun May 18 04:26:57 CEST 2014: 56: finished (30ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 56: No solution found.
Sun May 18 04:26:57 CEST 2014: 57: finished (18ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 57: No solution found.
Sun May 18 04:26:57 CEST 2014: 58: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 58: No solution found.
Sun May 18 04:26:57 CEST 2014: 59: finished (22ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 59: No solution found.
Sun May 18 04:26:57 CEST 2014: 60: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 60: No solution found.
Sun May 18 04:26:57 CEST 2014: 61: finished (18ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 61: No solution found.
Sun May 18 04:26:57 CEST 2014: 62: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 62: No solution found.
Sun May 18 04:26:57 CEST 2014: 63: finished (18ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 63: No solution found.
Sun May 18 04:26:57 CEST 2014: 64: finished (22ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 64: No solution found.
Sun May 18 04:26:57 CEST 2014: 65: finished (18ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 65: No solution found.
Sun May 18 04:26:57 CEST 2014: 66: finished (7ms, 89cycles)
Sun May 18 04:26:57 CEST 2014: 66: Solution found.
Sun May 18 04:26:57 CEST 2014: 67: finished (17ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 67: No solution found.
Sun May 18 04:26:57 CEST 2014: 68: finished (16ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 68: No solution found.
Sun May 18 04:26:57 CEST 2014: 69: finished (16ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 69: No solution found.
Sun May 18 04:26:57 CEST 2014: 70: finished (27ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 70: No solution found.
Sun May 18 04:26:57 CEST 2014: 71: finished (2ms, 43cycles)
Sun May 18 04:26:57 CEST 2014: 71: Solution found.
Sun May 18 04:26:57 CEST 2014: 72: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 72: No solution found.
Sun May 18 04:26:57 CEST 2014: 73: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 73: No solution found.
Sun May 18 04:26:57 CEST 2014: 74: finished (2ms, 22cycles)
Sun May 18 04:26:57 CEST 2014: 74: Solution found.
Sun May 18 04:26:57 CEST 2014: 75: finished (21ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 75: No solution found.
Sun May 18 04:26:57 CEST 2014: 76: finished (17ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 76: No solution found.
Sun May 18 04:26:57 CEST 2014: 77: finished (20ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 77: No solution found.
Sun May 18 04:26:57 CEST 2014: 78: finished (20ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 78: No solution found.
Sun May 18 04:26:57 CEST 2014: 79: finished (23ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 79: No solution found.
Sun May 18 04:26:57 CEST 2014: 80: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 80: No solution found.
Sun May 18 04:26:57 CEST 2014: 81: finished (16ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 81: No solution found.
Sun May 18 04:26:57 CEST 2014: 82: finished (1ms, 10cycles)
Sun May 18 04:26:57 CEST 2014: 82: Solution found.
Sun May 18 04:26:57 CEST 2014: 83: finished (18ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 83: No solution found.
Sun May 18 04:26:57 CEST 2014: 84: finished (28ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 84: No solution found.
Sun May 18 04:26:57 CEST 2014: 85: finished (19ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 85: No solution found.
Sun May 18 04:26:57 CEST 2014: 86: finished (21ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 86: No solution found.
Sun May 18 04:26:57 CEST 2014: 87: finished (17ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 87: No solution found.
Sun May 18 04:26:57 CEST 2014: 88: finished (18ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 88: No solution found.
Sun May 18 04:26:57 CEST 2014: 89: finished (16ms, 500cycles)
Sun May 18 04:26:57 CEST 2014: 89: No solution found.
Sun May 18 04:26:57 CEST 2014: 90: finished (2ms, 55cycles)
Sun May 18 04:26:57 CEST 2014: 90: Solution found.
Sun May 18 04:26:57 CEST 2014: 91: finished (3ms, 42cycles)
Sun May 18 04:26:57 CEST 2014: 91: Solution found.
Sun May 18 04:26:58 CEST 2014: 92: finished (19ms, 500cycles)
Sun May 18 04:26:58 CEST 2014: 92: No solution found.
Sun May 18 04:26:58 CEST 2014: 93: finished (16ms, 500cycles)
