Sun May 18 21:55:53 CEST 2014: 47: finished (1ms, 17cycles)
Sun May 18 21:55:53 CEST 2014: 47: Solution found.
Sun May 18 21:55:53 CEST 2014: 48: finished (11ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 48: No solution found.
Sun May 18 21:55:53 CEST 2014: 49: finished (6ms, 249cycles)
Sun May 18 21:55:53 CEST 2014: 49: Solution found.
Sun May 18 21:55:53 CEST 2014: 50: finished (11ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 50: No solution found.
Sun May 18 21:55:53 CEST 2014: 51: finished (85ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 51: No solution found.
Sun May 18 21:55:53 CEST 2014: 52: finished (11ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 52: No solution found.
Sun May 18 21:55:53 CEST 2014: 53: finished (9ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 53: No solution found.
Sun May 18 21:55:53 CEST 2014: 54: finished (47ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 54: No solution found.
Sun May 18 21:55:53 CEST 2014: 55: finished (10ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 55: No solution found.
Sun May 18 21:55:53 CEST 2014: 56: finished (9ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 56: No solution found.
Sun May 18 21:55:53 CEST 2014: 57: finished (10ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 57: No solution found.
Sun May 18 21:55:53 CEST 2014: 58: finished (14ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 58: No solution found.
Sun May 18 21:55:53 CEST 2014: 59: finished (64ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 59: No solution found.
Sun May 18 21:55:53 CEST 2014: 60: finished (9ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 60: No solution found.
Sun May 18 21:55:53 CEST 2014: 61: finished (10ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 61: No solution found.
Sun May 18 21:55:53 CEST 2014: 62: finished (12ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 62: No solution found.
Sun May 18 21:55:53 CEST 2014: 63: finished (42ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 63: No solution found.
Sun May 18 21:55:53 CEST 2014: 64: finished (9ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 64: No solution found.
Sun May 18 21:55:53 CEST 2014: 65: finished (97ms, 500cycles)
Sun May 18 21:55:53 CEST 2014: 65: No solution found.
Sun May 18 21:55:53 CEST 2014: 66: finished (1ms, 9cycles)
Sun May 18 21:55:53 CEST 2014: 66: Solution found.
Sun May 18 21:55:54 CEST 2014: 67: finished (49ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 67: No solution found.
Sun May 18 21:55:54 CEST 2014: 68: finished (58ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 68: No solution found.
Sun May 18 21:55:54 CEST 2014: 69: finished (10ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 69: No solution found.
Sun May 18 21:55:54 CEST 2014: 70: finished (30ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 70: No solution found.
Sun May 18 21:55:54 CEST 2014: 71: finished (9ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 71: No solution found.
Sun May 18 21:55:54 CEST 2014: 72: finished (11ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 72: No solution found.
Sun May 18 21:55:54 CEST 2014: 73: finished (11ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 73: No solution found.
Sun May 18 21:55:54 CEST 2014: 74: finished (60ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 74: No solution found.
Sun May 18 21:55:54 CEST 2014: 75: finished (31ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 75: No solution found.
Sun May 18 21:55:54 CEST 2014: 76: finished (51ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 76: No solution found.
Sun May 18 21:55:54 CEST 2014: 77: finished (12ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 77: No solution found.
Sun May 18 21:55:54 CEST 2014: 78: finished (9ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 78: No solution found.
Sun May 18 21:55:54 CEST 2014: 79: finished (65ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 79: No solution found.
Sun May 18 21:55:54 CEST 2014: 80: finished (51ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 80: No solution found.
Sun May 18 21:55:54 CEST 2014: 81: finished (27ms, 275cycles)
Sun May 18 21:55:54 CEST 2014: 81: Solution found.
Sun May 18 21:55:54 CEST 2014: 82: finished (37ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 82: No solution found.
Sun May 18 21:55:54 CEST 2014: 83: finished (86ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 83: No solution found.
Sun May 18 21:55:54 CEST 2014: 84: finished (18ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 84: No solution found.
Sun May 18 21:55:54 CEST 2014: 85: finished (60ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 85: No solution found.
Sun May 18 21:55:54 CEST 2014: 86: finished (68ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 86: No solution found.
Sun May 18 21:55:54 CEST 2014: 87: finished (63ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 87: No solution found.
Sun May 18 21:55:54 CEST 2014: 88: finished (10ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 88: No solution found.
Sun May 18 21:55:54 CEST 2014: 89: finished (84ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 89: No solution found.
Sun May 18 21:55:54 CEST 2014: 90: finished (9ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 90: No solution found.
Sun May 18 21:55:54 CEST 2014: 91: finished (10ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 91: No solution found.
Sun May 18 21:55:54 CEST 2014: 92: finished (2ms, 46cycles)
Sun May 18 21:55:54 CEST 2014: 92: Solution found.
Sun May 18 21:55:54 CEST 2014: 93: finished (50ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 93: No solution found.
Sun May 18 21:55:54 CEST 2014: 94: finished (11ms, 500cycles)
Sun May 18 21:55:54 CEST 2014: 94: No solution found.
Sun May 18 21:55:55 CEST 2014: 95: finished (47ms, 500cycles)
Sun May 18 21:55:55 CEST 2014: 95: No solution found.
Sun May 18 21:55:55 CEST 2014: 96: finished (10ms, 500cycles)
Sun May 18 21:55:55 CEST 2014: 96: No solution found.
Sun May 18 21:55:55 CEST 2014: 97: finished (11ms, 500cycles)
Sun May 18 21:55:55 CEST 2014: 97: No solution found.
Sun May 18 21:55:55 CEST 2014: 98: finished (10ms, 500cycles)
Sun May 18 21:55:55 CEST 2014: 98: No solution found.
Sun May 18 21:55:55 CEST 2014: 99: finished (81ms, 500cycles)
Sun May 18 21:55:55 CEST 2014: 99: No solution found.
Sun May 18 21:55:55 CEST 2014: Solution Found: 12
Sun May 18 21:55:55 CEST 2014: Avg cycles: 125
Sun May 18 21:55:55 CEST 2014: Max cycles: 444
Sun May 18 21:55:55 CEST 2014: Min cycles: 8
Sun May 18 21:55:55 CEST 2014: No solution found: 88
Sun May 18 21:55:55 CEST 2014: logging finished. (runtime: 2746ms)
