Sat May 17 22:32:28 CEST 2014: 47: finished (218ms, 500cycles)
Sat May 17 22:32:28 CEST 2014: 47: No solution found.
Sat May 17 22:32:28 CEST 2014: 48: finished (20ms, 500cycles)
Sat May 17 22:32:28 CEST 2014: 48: No solution found.
Sat May 17 22:32:28 CEST 2014: 49: finished (93ms, 500cycles)
Sat May 17 22:32:28 CEST 2014: 49: No solution found.
Sat May 17 22:32:28 CEST 2014: 50: finished (81ms, 500cycles)
Sat May 17 22:32:28 CEST 2014: 50: No solution found.
Sat May 17 22:32:28 CEST 2014: 51: finished (22ms, 500cycles)
Sat May 17 22:32:28 CEST 2014: 51: No solution found.
Sat May 17 22:32:28 CEST 2014: 52: finished (121ms, 500cycles)
Sat May 17 22:32:28 CEST 2014: 52: No solution found.
Sat May 17 22:32:29 CEST 2014: 53: finished (155ms, 500cycles)
Sat May 17 22:32:29 CEST 2014: 53: No solution found.
Sat May 17 22:32:29 CEST 2014: 54: finished (113ms, 500cycles)
Sat May 17 22:32:29 CEST 2014: 54: No solution found.
Sat May 17 22:32:29 CEST 2014: 55: finished (70ms, 500cycles)
Sat May 17 22:32:29 CEST 2014: 55: No solution found.
Sat May 17 22:32:29 CEST 2014: 56: finished (119ms, 500cycles)
Sat May 17 22:32:29 CEST 2014: 56: No solution found.
Sat May 17 22:32:29 CEST 2014: 57: finished (129ms, 500cycles)
Sat May 17 22:32:29 CEST 2014: 57: No solution found.
Sat May 17 22:32:29 CEST 2014: 58: finished (163ms, 500cycles)
Sat May 17 22:32:29 CEST 2014: 58: No solution found.
Sat May 17 22:32:29 CEST 2014: 59: finished (161ms, 500cycles)
Sat May 17 22:32:29 CEST 2014: 59: No solution found.
Sat May 17 22:32:29 CEST 2014: 60: finished (139ms, 500cycles)
Sat May 17 22:32:29 CEST 2014: 60: No solution found.
Sat May 17 22:32:30 CEST 2014: 61: finished (2ms, 14cycles)
Sat May 17 22:32:30 CEST 2014: 61: Solution found.
Sat May 17 22:32:30 CEST 2014: 62: finished (0ms, 1cycles)
Sat May 17 22:32:30 CEST 2014: 62: Solution found.
Sat May 17 22:32:30 CEST 2014: 63: finished (98ms, 500cycles)
Sat May 17 22:32:30 CEST 2014: 63: No solution found.
Sat May 17 22:32:30 CEST 2014: 64: finished (66ms, 500cycles)
Sat May 17 22:32:30 CEST 2014: 64: No solution found.
Sat May 17 22:32:30 CEST 2014: 65: finished (24ms, 500cycles)
Sat May 17 22:32:30 CEST 2014: 65: No solution found.
Sat May 17 22:32:30 CEST 2014: 66: finished (64ms, 500cycles)
Sat May 17 22:32:30 CEST 2014: 66: No solution found.
Sat May 17 22:32:30 CEST 2014: 67: finished (9ms, 66cycles)
Sat May 17 22:32:30 CEST 2014: 67: Solution found.
Sat May 17 22:32:30 CEST 2014: 68: finished (0ms, 4cycles)
Sat May 17 22:32:30 CEST 2014: 68: Solution found.
Sat May 17 22:32:30 CEST 2014: 69: finished (109ms, 500cycles)
Sat May 17 22:32:30 CEST 2014: 69: No solution found.
Sat May 17 22:32:30 CEST 2014: 70: finished (172ms, 500cycles)
Sat May 17 22:32:30 CEST 2014: 70: No solution found.
Sat May 17 22:32:30 CEST 2014: 71: finished (20ms, 500cycles)
Sat May 17 22:32:30 CEST 2014: 71: No solution found.
Sat May 17 22:32:30 CEST 2014: 72: finished (82ms, 500cycles)
Sat May 17 22:32:30 CEST 2014: 72: No solution found.
Sat May 17 22:32:30 CEST 2014: 73: finished (31ms, 99cycles)
Sat May 17 22:32:30 CEST 2014: 73: Solution found.
Sat May 17 22:32:30 CEST 2014: 74: finished (131ms, 494cycles)
Sat May 17 22:32:30 CEST 2014: 74: Solution found.
Sat May 17 22:32:30 CEST 2014: 75: finished (10ms, 149cycles)
Sat May 17 22:32:30 CEST 2014: 75: Solution found.
Sat May 17 22:32:30 CEST 2014: 76: finished (131ms, 500cycles)
Sat May 17 22:32:30 CEST 2014: 76: No solution found.
Sat May 17 22:32:30 CEST 2014: 77: finished (18ms, 500cycles)
Sat May 17 22:32:30 CEST 2014: 77: No solution found.
Sat May 17 22:32:30 CEST 2014: 78: finished (18ms, 83cycles)
Sat May 17 22:32:30 CEST 2014: 78: Solution found.
Sat May 17 22:32:31 CEST 2014: 79: finished (88ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 79: No solution found.
Sat May 17 22:32:31 CEST 2014: 80: finished (2ms, 34cycles)
Sat May 17 22:32:31 CEST 2014: 80: Solution found.
Sat May 17 22:32:31 CEST 2014: 81: finished (84ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 81: No solution found.
Sat May 17 22:32:31 CEST 2014: 82: finished (21ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 82: No solution found.
Sat May 17 22:32:31 CEST 2014: 83: finished (25ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 83: No solution found.
Sat May 17 22:32:31 CEST 2014: 84: finished (1ms, 11cycles)
Sat May 17 22:32:31 CEST 2014: 84: Solution found.
Sat May 17 22:32:31 CEST 2014: 85: finished (122ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 85: No solution found.
Sat May 17 22:32:31 CEST 2014: 86: finished (18ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 86: No solution found.
Sat May 17 22:32:31 CEST 2014: 87: finished (132ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 87: No solution found.
Sat May 17 22:32:31 CEST 2014: 88: finished (74ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 88: No solution found.
Sat May 17 22:32:31 CEST 2014: 89: finished (17ms, 85cycles)
Sat May 17 22:32:31 CEST 2014: 89: Solution found.
Sat May 17 22:32:31 CEST 2014: 90: finished (24ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 90: No solution found.
Sat May 17 22:32:31 CEST 2014: 91: finished (93ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 91: No solution found.
Sat May 17 22:32:31 CEST 2014: 92: finished (21ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 92: No solution found.
Sat May 17 22:32:31 CEST 2014: 93: finished (136ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 93: No solution found.
Sat May 17 22:32:31 CEST 2014: 94: finished (11ms, 70cycles)
Sat May 17 22:32:31 CEST 2014: 94: Solution found.
Sat May 17 22:32:31 CEST 2014: 95: finished (17ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 95: No solution found.
Sat May 17 22:32:31 CEST 2014: 96: finished (15ms, 56cycles)
Sat May 17 22:32:31 CEST 2014: 96: Solution found.
Sat May 17 22:32:31 CEST 2014: 97: finished (19ms, 500cycles)
Sat May 17 22:32:31 CEST 2014: 97: No solution found.
Sat May 17 22:32:31 CEST 2014: 98: finished (2ms, 44cycles)
Sat May 17 22:32:31 CEST 2014: 98: Solution found.
Sat May 17 22:32:32 CEST 2014: 99: finished (133ms, 500cycles)
Sat May 17 22:32:32 CEST 2014: 99: No solution found.
Sat May 17 22:32:32 CEST 2014: Solution Found: 23
Sat May 17 22:32:32 CEST 2014: Avg cycles: 77
Sat May 17 22:32:32 CEST 2014: Max cycles: 494
Sat May 17 22:32:32 CEST 2014: Min cycles: 1
Sat May 17 22:32:32 CEST 2014: No solution found: 77
Sat May 17 22:32:32 CEST 2014: logging finished. (runtime: 6345ms)
