Wed May 14 12:09:26 CEST 2014: Problem Count: 20
Wed May 14 12:09:26 CEST 2014: CandidatesCount: 40
Wed May 14 12:09:26 CEST 2014: Max Cycles: 500
Wed May 14 12:09:26 CEST 2014: 0: finished (85ms, 500cycles)
Wed May 14 12:09:26 CEST 2014: 0: No solution found.
Wed May 14 12:09:26 CEST 2014: 1: finished (85ms, 500cycles)
Wed May 14 12:09:26 CEST 2014: 1: No solution found.
Wed May 14 12:09:26 CEST 2014: 2: finished (83ms, 500cycles)
Wed May 14 12:09:26 CEST 2014: 2: No solution found.
Wed May 14 12:09:26 CEST 2014: 3: finished (89ms, 500cycles)
Wed May 14 12:09:26 CEST 2014: 3: No solution found.
Wed May 14 12:09:26 CEST 2014: 4: finished (89ms, 500cycles)
Wed May 14 12:09:26 CEST 2014: 4: No solution found.
Wed May 14 12:09:26 CEST 2014: 5: finished (85ms, 500cycles)
Wed May 14 12:09:26 CEST 2014: 5: No solution found.
Wed May 14 12:09:26 CEST 2014: 6: finished (83ms, 500cycles)
Wed May 14 12:09:26 CEST 2014: 6: No solution found.
Wed May 14 12:09:26 CEST 2014: 7: finished (2ms, 7cycles)
Wed May 14 12:09:26 CEST 2014: 7: Solution found.
Wed May 14 12:09:26 CEST 2014: 8: finished (84ms, 500cycles)
Wed May 14 12:09:26 CEST 2014: 8: No solution found.
Wed May 14 12:09:26 CEST 2014: 9: finished (84ms, 500cycles)
Wed May 14 12:09:26 CEST 2014: 9: No solution found.
Wed May 14 12:09:26 CEST 2014: 10: finished (91ms, 500cycles)
Wed May 14 12:09:26 CEST 2014: 10: No solution found.
Wed May 14 12:09:26 CEST 2014: 11: finished (9ms, 45cycles)
Wed May 14 12:09:26 CEST 2014: 11: Solution found.
Wed May 14 12:09:27 CEST 2014: 12: finished (86ms, 500cycles)
Wed May 14 12:09:27 CEST 2014: 12: No solution found.
Wed May 14 12:09:27 CEST 2014: 13: finished (94ms, 500cycles)
Wed May 14 12:09:27 CEST 2014: 13: No solution found.
Wed May 14 12:09:27 CEST 2014: 14: finished (11ms, 58cycles)
Wed May 14 12:09:27 CEST 2014: 14: Solution found.
Wed May 14 12:09:27 CEST 2014: 15: finished (84ms, 500cycles)
Wed May 14 12:09:27 CEST 2014: 15: No solution found.
Wed May 14 12:09:27 CEST 2014: 16: finished (103ms, 500cycles)
Wed May 14 12:09:27 CEST 2014: 16: No solution found.
Wed May 14 12:09:27 CEST 2014: 17: finished (84ms, 500cycles)
Wed May 14 12:09:27 CEST 2014: 17: No solution found.
Wed May 14 12:09:27 CEST 2014: 18: finished (85ms, 500cycles)
Wed May 14 12:09:27 CEST 2014: 18: No solution found.
Wed May 14 12:09:27 CEST 2014: 19: finished (86ms, 500cycles)
Wed May 14 12:09:27 CEST 2014: 19: No solution found.
Wed May 14 12:09:27 CEST 2014: 20: finished (85ms, 500cycles)
Wed May 14 12:09:27 CEST 2014: 20: No solution found.
Wed May 14 12:09:27 CEST 2014: 21: finished (84ms, 500cycles)
Wed May 14 12:09:27 CEST 2014: 21: No solution found.
Wed May 14 12:09:27 CEST 2014: 22: finished (85ms, 500cycles)
Wed May 14 12:09:27 CEST 2014: 22: No solution found.
Wed May 14 12:09:27 CEST 2014: 23: finished (3ms, 16cycles)
Wed May 14 12:09:27 CEST 2014: 23: Solution found.
Wed May 14 12:09:27 CEST 2014: 24: finished (83ms, 500cycles)
Wed May 14 12:09:27 CEST 2014: 24: No solution found.
Wed May 14 12:09:28 CEST 2014: 25: finished (92ms, 500cycles)
Wed May 14 12:09:28 CEST 2014: 25: No solution found.
Wed May 14 12:09:28 CEST 2014: 26: finished (93ms, 500cycles)
Wed May 14 12:09:28 CEST 2014: 26: No solution found.
Wed May 14 12:09:28 CEST 2014: 27: finished (94ms, 500cycles)
Wed May 14 12:09:28 CEST 2014: 27: No solution found.
Wed May 14 12:09:28 CEST 2014: 28: finished (85ms, 500cycles)
Wed May 14 12:09:28 CEST 2014: 28: No solution found.
