Tue May 06 10:30:21 CEST 2014: Problem Count: 10
Tue May 06 10:30:21 CEST 2014: CandidatesCount: 10
Tue May 06 10:30:21 CEST 2014: Max Cycles: 500
Tue May 06 10:30:21 CEST 2014: 0: finished (33ms, 500cycles)
Tue May 06 10:30:21 CEST 2014: 0: No solution found.
Tue May 06 10:30:21 CEST 2014: 1: finished (104ms, 500cycles)
Tue May 06 10:30:21 CEST 2014: 1: No solution found.
Tue May 06 10:30:21 CEST 2014: 2: finished (8ms, 500cycles)
Tue May 06 10:30:21 CEST 2014: 2: No solution found.
Tue May 06 10:30:21 CEST 2014: 3: finished (10ms, 500cycles)
Tue May 06 10:30:21 CEST 2014: 3: No solution found.
Tue May 06 10:30:21 CEST 2014: 4: finished (73ms, 500cycles)
Tue May 06 10:30:21 CEST 2014: 4: No solution found.
Tue May 06 10:30:21 CEST 2014: 5: finished (8ms, 500cycles)
Tue May 06 10:30:21 CEST 2014: 5: No solution found.
Tue May 06 10:30:21 CEST 2014: 6: finished (11ms, 500cycles)
Tue May 06 10:30:21 CEST 2014: 6: No solution found.
Tue May 06 10:30:21 CEST 2014: 7: finished (8ms, 500cycles)
Tue May 06 10:30:21 CEST 2014: 7: No solution found.
Tue May 06 10:30:21 CEST 2014: 8: finished (10ms, 500cycles)
Tue May 06 10:30:21 CEST 2014: 8: No solution found.
Tue May 06 10:30:21 CEST 2014: 9: finished (6ms, 65cycles)
Tue May 06 10:30:21 CEST 2014: 9: Solution found.
Tue May 06 10:30:21 CEST 2014: 10: finished (4ms, 105cycles)
Tue May 06 10:30:21 CEST 2014: 10: Solution found.
Tue May 06 10:30:22 CEST 2014: 11: finished (13ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 11: No solution found.
Tue May 06 10:30:22 CEST 2014: 12: finished (4ms, 48cycles)
Tue May 06 10:30:22 CEST 2014: 12: Solution found.
Tue May 06 10:30:22 CEST 2014: 13: finished (45ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 13: No solution found.
Tue May 06 10:30:22 CEST 2014: 14: finished (43ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 14: No solution found.
Tue May 06 10:30:22 CEST 2014: 15: finished (15ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 15: No solution found.
Tue May 06 10:30:22 CEST 2014: 16: finished (9ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 16: No solution found.
Tue May 06 10:30:22 CEST 2014: 17: finished (10ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 17: No solution found.
Tue May 06 10:30:22 CEST 2014: 18: finished (81ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 18: No solution found.
Tue May 06 10:30:22 CEST 2014: 19: finished (8ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 19: No solution found.
Tue May 06 10:30:22 CEST 2014: 20: finished (94ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 20: No solution found.
Tue May 06 10:30:22 CEST 2014: 21: finished (40ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 21: No solution found.
Tue May 06 10:30:22 CEST 2014: 22: finished (11ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 22: No solution found.
Tue May 06 10:30:22 CEST 2014: 23: finished (58ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 23: No solution found.
Tue May 06 10:30:22 CEST 2014: 24: finished (90ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 24: No solution found.
Tue May 06 10:30:22 CEST 2014: 25: finished (1ms, 28cycles)
Tue May 06 10:30:22 CEST 2014: 25: Solution found.
Tue May 06 10:30:22 CEST 2014: 26: finished (68ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 26: No solution found.
Tue May 06 10:30:22 CEST 2014: 27: finished (56ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 27: No solution found.
Tue May 06 10:30:22 CEST 2014: 28: finished (14ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 28: No solution found.
Tue May 06 10:30:22 CEST 2014: 29: finished (45ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 29: No solution found.
Tue May 06 10:30:22 CEST 2014: 30: finished (8ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 30: No solution found.
Tue May 06 10:30:22 CEST 2014: 31: finished (51ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 31: No solution found.
Tue May 06 10:30:22 CEST 2014: 32: finished (47ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 32: No solution found.
Tue May 06 10:30:22 CEST 2014: 33: finished (10ms, 80cycles)
Tue May 06 10:30:22 CEST 2014: 33: Solution found.
Tue May 06 10:30:22 CEST 2014: 34: finished (2ms, 26cycles)
Tue May 06 10:30:22 CEST 2014: 34: Solution found.
Tue May 06 10:30:22 CEST 2014: 35: finished (8ms, 500cycles)
Tue May 06 10:30:22 CEST 2014: 35: No solution found.
Tue May 06 10:30:22 CEST 2014: 36: finished (4ms, 135cycles)
Tue May 06 10:30:22 CEST 2014: 36: Solution found.
