Wed May 07 01:18:58 CEST 2014: Problem Count: 30
Wed May 07 01:18:58 CEST 2014: CandidatesCount: 20
Wed May 07 01:18:58 CEST 2014: Max Cycles: 500
Wed May 07 01:18:58 CEST 2014: 0: finished (244ms, 500cycles)
Wed May 07 01:18:58 CEST 2014: 0: No solution found.
Wed May 07 01:18:58 CEST 2014: 1: finished (244ms, 500cycles)
Wed May 07 01:18:58 CEST 2014: 1: No solution found.
Wed May 07 01:18:59 CEST 2014: 2: finished (257ms, 500cycles)
Wed May 07 01:18:59 CEST 2014: 2: No solution found.
Wed May 07 01:18:59 CEST 2014: 3: finished (259ms, 500cycles)
Wed May 07 01:18:59 CEST 2014: 3: No solution found.
Wed May 07 01:18:59 CEST 2014: 4: finished (231ms, 500cycles)
Wed May 07 01:18:59 CEST 2014: 4: No solution found.
Wed May 07 01:18:59 CEST 2014: 5: finished (247ms, 500cycles)
Wed May 07 01:18:59 CEST 2014: 5: No solution found.
Wed May 07 01:19:00 CEST 2014: 6: finished (265ms, 500cycles)
Wed May 07 01:19:00 CEST 2014: 6: No solution found.
Wed May 07 01:19:00 CEST 2014: 7: finished (247ms, 500cycles)
Wed May 07 01:19:00 CEST 2014: 7: No solution found.
Wed May 07 01:19:00 CEST 2014: 8: finished (240ms, 500cycles)
Wed May 07 01:19:00 CEST 2014: 8: No solution found.
Wed May 07 01:19:00 CEST 2014: 9: finished (244ms, 500cycles)
Wed May 07 01:19:00 CEST 2014: 9: No solution found.
Wed May 07 01:19:01 CEST 2014: 10: finished (245ms, 500cycles)
Wed May 07 01:19:01 CEST 2014: 10: No solution found.
Wed May 07 01:19:01 CEST 2014: 11: finished (253ms, 500cycles)
Wed May 07 01:19:01 CEST 2014: 11: No solution found.
Wed May 07 01:19:01 CEST 2014: 12: finished (238ms, 500cycles)
Wed May 07 01:19:01 CEST 2014: 12: No solution found.
Wed May 07 01:19:01 CEST 2014: 13: finished (243ms, 500cycles)
Wed May 07 01:19:01 CEST 2014: 13: No solution found.
Wed May 07 01:19:01 CEST 2014: 14: finished (240ms, 500cycles)
Wed May 07 01:19:01 CEST 2014: 14: No solution found.
Wed May 07 01:19:02 CEST 2014: 15: finished (244ms, 500cycles)
Wed May 07 01:19:02 CEST 2014: 15: No solution found.
Wed May 07 01:19:02 CEST 2014: 16: finished (243ms, 500cycles)
Wed May 07 01:19:02 CEST 2014: 16: No solution found.
Wed May 07 01:19:02 CEST 2014: 17: finished (249ms, 500cycles)
Wed May 07 01:19:02 CEST 2014: 17: No solution found.
Wed May 07 01:19:03 CEST 2014: 18: finished (286ms, 500cycles)
Wed May 07 01:19:03 CEST 2014: 18: No solution found.
Wed May 07 01:19:03 CEST 2014: 19: finished (308ms, 500cycles)
Wed May 07 01:19:03 CEST 2014: 19: No solution found.
Wed May 07 01:19:03 CEST 2014: 20: finished (247ms, 500cycles)
Wed May 07 01:19:03 CEST 2014: 20: No solution found.
Wed May 07 01:19:03 CEST 2014: 21: finished (21ms, 37cycles)
Wed May 07 01:19:03 CEST 2014: 21: Solution found.
Wed May 07 01:19:03 CEST 2014: 22: finished (249ms, 500cycles)
Wed May 07 01:19:03 CEST 2014: 22: No solution found.
Wed May 07 01:19:04 CEST 2014: 23: finished (249ms, 500cycles)
Wed May 07 01:19:04 CEST 2014: 23: No solution found.
