Wed May 07 01:13:52 CEST 2014: Problem Count: 50
Wed May 07 01:13:52 CEST 2014: CandidatesCount: 20
Wed May 07 01:13:52 CEST 2014: Max Cycles: 500
Wed May 07 01:13:52 CEST 2014: 0: finished (157ms, 500cycles)
Wed May 07 01:13:52 CEST 2014: 0: No solution found.
Wed May 07 01:13:52 CEST 2014: 1: finished (153ms, 500cycles)
Wed May 07 01:13:52 CEST 2014: 1: No solution found.
Wed May 07 01:13:53 CEST 2014: 2: finished (151ms, 500cycles)
Wed May 07 01:13:53 CEST 2014: 2: No solution found.
Wed May 07 01:13:53 CEST 2014: 3: finished (149ms, 500cycles)
Wed May 07 01:13:53 CEST 2014: 3: No solution found.
Wed May 07 01:13:53 CEST 2014: 4: finished (154ms, 500cycles)
Wed May 07 01:13:53 CEST 2014: 4: No solution found.
Wed May 07 01:13:53 CEST 2014: 5: finished (156ms, 500cycles)
Wed May 07 01:13:53 CEST 2014: 5: No solution found.
Wed May 07 01:13:53 CEST 2014: 6: finished (154ms, 500cycles)
Wed May 07 01:13:53 CEST 2014: 6: No solution found.
Wed May 07 01:13:53 CEST 2014: 7: finished (161ms, 500cycles)
Wed May 07 01:13:53 CEST 2014: 7: No solution found.
Wed May 07 01:13:53 CEST 2014: 8: finished (161ms, 500cycles)
Wed May 07 01:13:53 CEST 2014: 8: No solution found.
Wed May 07 01:13:54 CEST 2014: 9: finished (162ms, 500cycles)
Wed May 07 01:13:54 CEST 2014: 9: No solution found.
Wed May 07 01:13:54 CEST 2014: 10: finished (151ms, 500cycles)
Wed May 07 01:13:54 CEST 2014: 10: No solution found.
Wed May 07 01:13:54 CEST 2014: 11: finished (154ms, 500cycles)
Wed May 07 01:13:54 CEST 2014: 11: No solution found.
Wed May 07 01:13:54 CEST 2014: 12: finished (162ms, 500cycles)
Wed May 07 01:13:54 CEST 2014: 12: No solution found.
Wed May 07 01:13:54 CEST 2014: 13: finished (156ms, 500cycles)
Wed May 07 01:13:54 CEST 2014: 13: No solution found.
Wed May 07 01:13:54 CEST 2014: 14: finished (164ms, 500cycles)
Wed May 07 01:13:54 CEST 2014: 14: No solution found.
Wed May 07 01:13:55 CEST 2014: 15: finished (155ms, 500cycles)
Wed May 07 01:13:55 CEST 2014: 15: No solution found.
Wed May 07 01:13:55 CEST 2014: 16: finished (156ms, 500cycles)
