Wed May 07 02:17:57 CEST 2014: Problem Count: 50
Wed May 07 02:17:57 CEST 2014: CandidatesCount: 20
Wed May 07 02:17:57 CEST 2014: Max Cycles: 500
Wed May 07 02:17:58 CEST 2014: 0: finished (154ms, 500cycles)
Wed May 07 02:17:58 CEST 2014: 0: No solution found.
Wed May 07 02:17:58 CEST 2014: 1: finished (152ms, 500cycles)
Wed May 07 02:17:58 CEST 2014: 1: No solution found.
Wed May 07 02:17:58 CEST 2014: 2: finished (148ms, 500cycles)
Wed May 07 02:17:58 CEST 2014: 2: No solution found.
Wed May 07 02:17:58 CEST 2014: 3: finished (149ms, 500cycles)
Wed May 07 02:17:58 CEST 2014: 3: No solution found.
Wed May 07 02:17:58 CEST 2014: 4: finished (3ms, 5cycles)
Wed May 07 02:17:58 CEST 2014: 4: Solution found.
Wed May 07 02:17:58 CEST 2014: 5: finished (158ms, 500cycles)
Wed May 07 02:17:58 CEST 2014: 5: No solution found.
Wed May 07 02:17:58 CEST 2014: 6: finished (161ms, 500cycles)
Wed May 07 02:17:58 CEST 2014: 6: No solution found.
Wed May 07 02:17:58 CEST 2014: 7: finished (13ms, 38cycles)
Wed May 07 02:17:58 CEST 2014: 7: Solution found.
Wed May 07 02:17:59 CEST 2014: 8: finished (150ms, 500cycles)
Wed May 07 02:17:59 CEST 2014: 8: No solution found.
Wed May 07 02:17:59 CEST 2014: 9: finished (160ms, 500cycles)
Wed May 07 02:17:59 CEST 2014: 9: No solution found.
Wed May 07 02:17:59 CEST 2014: 10: finished (154ms, 500cycles)
Wed May 07 02:17:59 CEST 2014: 10: No solution found.
Wed May 07 02:17:59 CEST 2014: 11: finished (151ms, 500cycles)
Wed May 07 02:17:59 CEST 2014: 11: No solution found.
Wed May 07 02:17:59 CEST 2014: 12: finished (150ms, 500cycles)
Wed May 07 02:17:59 CEST 2014: 12: No solution found.
Wed May 07 02:17:59 CEST 2014: 13: finished (151ms, 500cycles)
Wed May 07 02:17:59 CEST 2014: 13: No solution found.
Wed May 07 02:17:59 CEST 2014: 14: finished (154ms, 500cycles)
Wed May 07 02:17:59 CEST 2014: 14: No solution found.
Wed May 07 02:18:00 CEST 2014: 15: finished (151ms, 500cycles)
Wed May 07 02:18:00 CEST 2014: 15: No solution found.
Wed May 07 02:18:00 CEST 2014: 16: finished (165ms, 500cycles)
Wed May 07 02:18:00 CEST 2014: 16: No solution found.
Wed May 07 02:18:00 CEST 2014: 17: finished (148ms, 500cycles)
Wed May 07 02:18:00 CEST 2014: 17: No solution found.
Wed May 07 02:18:00 CEST 2014: 18: finished (5ms, 14cycles)
Wed May 07 02:18:00 CEST 2014: 18: Solution found.
Wed May 07 02:18:00 CEST 2014: 19: finished (149ms, 500cycles)
Wed May 07 02:18:00 CEST 2014: 19: No solution found.
Wed May 07 02:18:00 CEST 2014: 20: finished (158ms, 500cycles)
Wed May 07 02:18:00 CEST 2014: 20: No solution found.
Wed May 07 02:18:00 CEST 2014: 21: finished (7ms, 16cycles)
Wed May 07 02:18:00 CEST 2014: 21: Solution found.
Wed May 07 02:18:00 CEST 2014: 22: finished (154ms, 500cycles)
Wed May 07 02:18:00 CEST 2014: 22: No solution found.
Wed May 07 02:18:01 CEST 2014: 23: finished (152ms, 500cycles)
Wed May 07 02:18:01 CEST 2014: 23: No solution found.
Wed May 07 02:18:01 CEST 2014: 24: finished (151ms, 500cycles)
Wed May 07 02:18:01 CEST 2014: 24: No solution found.
Wed May 07 02:18:01 CEST 2014: 25: finished (153ms, 500cycles)
Wed May 07 02:18:01 CEST 2014: 25: No solution found.
Wed May 07 02:18:01 CEST 2014: 26: finished (150ms, 500cycles)
Wed May 07 02:18:01 CEST 2014: 26: No solution found.
Wed May 07 02:18:01 CEST 2014: 27: finished (164ms, 500cycles)
Wed May 07 02:18:01 CEST 2014: 27: No solution found.
Wed May 07 02:18:01 CEST 2014: 28: finished (151ms, 500cycles)
Wed May 07 02:18:01 CEST 2014: 28: No solution found.
Wed May 07 02:18:01 CEST 2014: 29: finished (152ms, 500cycles)
Wed May 07 02:18:01 CEST 2014: 29: No solution found.
Wed May 07 02:18:02 CEST 2014: 30: finished (156ms, 500cycles)
Wed May 07 02:18:02 CEST 2014: 30: No solution found.
Wed May 07 02:18:02 CEST 2014: 31: finished (168ms, 500cycles)
