Sun May 18 21:15:59 CEST 2014: Problem Count: 10
Sun May 18 21:15:59 CEST 2014: CandidatesCount: 10
Sun May 18 21:15:59 CEST 2014: Max Cycles: 500
Sun May 18 21:16:01 CEST 2014: 50: finished (1ms, 24cycles)
Sun May 18 21:16:01 CEST 2014: 50: Solution found.
Sun May 18 21:16:01 CEST 2014: 51: finished (60ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 51: No solution found.
Sun May 18 21:16:01 CEST 2014: 52: finished (10ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 52: No solution found.
Sun May 18 21:16:01 CEST 2014: 53: finished (60ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 53: No solution found.
Sun May 18 21:16:01 CEST 2014: 54: finished (9ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 54: No solution found.
Sun May 18 21:16:01 CEST 2014: 55: finished (64ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 55: No solution found.
Sun May 18 21:16:01 CEST 2014: 56: finished (10ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 56: No solution found.
Sun May 18 21:16:01 CEST 2014: 57: finished (8ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 57: No solution found.
Sun May 18 21:16:01 CEST 2014: 58: finished (54ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 58: No solution found.
Sun May 18 21:16:01 CEST 2014: 59: finished (7ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 59: No solution found.
Sun May 18 21:16:01 CEST 2014: 60: finished (71ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 60: No solution found.
Sun May 18 21:16:01 CEST 2014: 61: finished (39ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 61: No solution found.
Sun May 18 21:16:01 CEST 2014: 62: finished (26ms, 258cycles)
Sun May 18 21:16:01 CEST 2014: 62: Solution found.
Sun May 18 21:16:01 CEST 2014: 63: finished (17ms, 131cycles)
Sun May 18 21:16:01 CEST 2014: 63: Solution found.
Sun May 18 21:16:01 CEST 2014: 64: finished (15ms, 243cycles)
Sun May 18 21:16:01 CEST 2014: 64: Solution found.
Sun May 18 21:16:01 CEST 2014: 65: finished (12ms, 119cycles)
Sun May 18 21:16:01 CEST 2014: 65: Solution found.
Sun May 18 21:16:01 CEST 2014: 66: finished (8ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 66: No solution found.
Sun May 18 21:16:01 CEST 2014: 67: finished (17ms, 128cycles)
Sun May 18 21:16:01 CEST 2014: 67: Solution found.
Sun May 18 21:16:01 CEST 2014: 68: finished (3ms, 105cycles)
Sun May 18 21:16:01 CEST 2014: 68: Solution found.
Sun May 18 21:16:01 CEST 2014: 69: finished (54ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 69: No solution found.
Sun May 18 21:16:01 CEST 2014: 70: finished (15ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 70: No solution found.
Sun May 18 21:16:01 CEST 2014: 71: finished (8ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 71: No solution found.
Sun May 18 21:16:01 CEST 2014: 72: finished (33ms, 288cycles)
Sun May 18 21:16:01 CEST 2014: 72: Solution found.
Sun May 18 21:16:01 CEST 2014: 73: finished (11ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 73: No solution found.
Sun May 18 21:16:01 CEST 2014: 74: finished (1ms, 30cycles)
Sun May 18 21:16:01 CEST 2014: 74: Solution found.
Sun May 18 21:16:01 CEST 2014: 75: finished (65ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 75: No solution found.
Sun May 18 21:16:01 CEST 2014: 76: finished (36ms, 227cycles)
Sun May 18 21:16:01 CEST 2014: 76: Solution found.
Sun May 18 21:16:01 CEST 2014: 77: finished (39ms, 500cycles)
Sun May 18 21:16:01 CEST 2014: 77: No solution found.
Sun May 18 21:16:02 CEST 2014: 78: finished (61ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 78: No solution found.
Sun May 18 21:16:02 CEST 2014: 79: finished (9ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 79: No solution found.
Sun May 18 21:16:02 CEST 2014: 80: finished (92ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 80: No solution found.
Sun May 18 21:16:02 CEST 2014: 81: finished (10ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 81: No solution found.
Sun May 18 21:16:02 CEST 2014: 82: finished (9ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 82: No solution found.
Sun May 18 21:16:02 CEST 2014: 83: finished (16ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 83: No solution found.
Sun May 18 21:16:02 CEST 2014: 84: finished (1ms, 23cycles)
Sun May 18 21:16:02 CEST 2014: 84: Solution found.
Sun May 18 21:16:02 CEST 2014: 85: finished (9ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 85: No solution found.
Sun May 18 21:16:02 CEST 2014: 86: finished (63ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 86: No solution found.
Sun May 18 21:16:02 CEST 2014: 87: finished (93ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 87: No solution found.
Sun May 18 21:16:02 CEST 2014: 88: finished (42ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 88: No solution found.
Sun May 18 21:16:02 CEST 2014: 89: finished (58ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 89: No solution found.
Sun May 18 21:16:02 CEST 2014: 90: finished (1ms, 24cycles)
Sun May 18 21:16:02 CEST 2014: 90: Solution found.
Sun May 18 21:16:02 CEST 2014: 91: finished (35ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 91: No solution found.
Sun May 18 21:16:02 CEST 2014: 92: finished (9ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 92: No solution found.
Sun May 18 21:16:02 CEST 2014: 93: finished (14ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 93: No solution found.
Sun May 18 21:16:02 CEST 2014: 94: finished (57ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 94: No solution found.
Sun May 18 21:16:02 CEST 2014: 95: finished (27ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 95: No solution found.
Sun May 18 21:16:02 CEST 2014: 96: finished (94ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 96: No solution found.
Sun May 18 21:16:02 CEST 2014: 97: finished (67ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 97: No solution found.
Sun May 18 21:16:02 CEST 2014: 98: finished (65ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 98: No solution found.
Sun May 18 21:16:02 CEST 2014: 99: finished (9ms, 500cycles)
Sun May 18 21:16:02 CEST 2014: 99: No solution found.
Sun May 18 21:16:02 CEST 2014: Solution Found: 16
Sun May 18 21:16:02 CEST 2014: Avg cycles: 121
Sun May 18 21:16:02 CEST 2014: Max cycles: 301
Sun May 18 21:16:02 CEST 2014: Min cycles: 11
Sun May 18 21:16:02 CEST 2014: No solution found: 84
Sun May 18 21:16:02 CEST 2014: logging finished. (runtime: 3186ms)
