Wed May 07 01:30:53 CEST 2014: Problem Count: 50
Wed May 07 01:30:53 CEST 2014: CandidatesCount: 20
Wed May 07 01:30:53 CEST 2014: Max Cycles: 500
Wed May 07 01:30:54 CEST 2014: 0: finished (164ms, 500cycles)
Wed May 07 01:30:54 CEST 2014: 0: No solution found.
Wed May 07 01:30:54 CEST 2014: 1: finished (151ms, 500cycles)
Wed May 07 01:30:54 CEST 2014: 1: No solution found.
Wed May 07 01:30:54 CEST 2014: 2: finished (153ms, 500cycles)
Wed May 07 01:30:54 CEST 2014: 2: No solution found.
Wed May 07 01:30:54 CEST 2014: 3: finished (232ms, 500cycles)
Wed May 07 01:30:54 CEST 2014: 3: No solution found.
Wed May 07 01:30:55 CEST 2014: 4: finished (443ms, 500cycles)
Wed May 07 01:30:55 CEST 2014: 4: No solution found.
Wed May 07 01:30:55 CEST 2014: 5: finished (56ms, 56cycles)
Wed May 07 01:30:55 CEST 2014: 5: Solution found.
Wed May 07 01:30:55 CEST 2014: 6: finished (447ms, 500cycles)
Wed May 07 01:30:55 CEST 2014: 6: No solution found.
Wed May 07 01:30:55 CEST 2014: 7: finished (25ms, 24cycles)
Wed May 07 01:30:55 CEST 2014: 7: Solution found.
Wed May 07 01:30:55 CEST 2014: 8: finished (10ms, 10cycles)
Wed May 07 01:30:55 CEST 2014: 8: Solution found.
Wed May 07 01:30:56 CEST 2014: 9: finished (460ms, 500cycles)
Wed May 07 01:30:56 CEST 2014: 9: No solution found.
Wed May 07 01:30:56 CEST 2014: 10: finished (436ms, 500cycles)
Wed May 07 01:30:56 CEST 2014: 10: No solution found.
Wed May 07 01:30:57 CEST 2014: 11: finished (437ms, 500cycles)
Wed May 07 01:30:57 CEST 2014: 11: No solution found.
Wed May 07 01:30:57 CEST 2014: 12: finished (458ms, 500cycles)
Wed May 07 01:30:57 CEST 2014: 12: No solution found.
Wed May 07 01:30:57 CEST 2014: 13: finished (437ms, 500cycles)
Wed May 07 01:30:57 CEST 2014: 13: No solution found.
Wed May 07 01:30:58 CEST 2014: 14: finished (437ms, 500cycles)
