Wed May 14 12:44:35 CEST 2014: Problem Count: 10
Wed May 14 12:44:35 CEST 2014: CandidatesCount: 30
Wed May 14 12:44:35 CEST 2014: Max Cycles: 500
Wed May 14 12:44:35 CEST 2014: 0: finished (36ms, 500cycles)
Wed May 14 12:44:35 CEST 2014: 0: No solution found.
Wed May 14 12:44:35 CEST 2014: 1: finished (35ms, 500cycles)
Wed May 14 12:44:35 CEST 2014: 1: No solution found.
Wed May 14 12:44:35 CEST 2014: 2: finished (1ms, 8cycles)
Wed May 14 12:44:35 CEST 2014: 2: Solution found.
Wed May 14 12:44:35 CEST 2014: 3: finished (36ms, 500cycles)
Wed May 14 12:44:35 CEST 2014: 3: No solution found.
Wed May 14 12:44:35 CEST 2014: 4: finished (37ms, 500cycles)
Wed May 14 12:44:35 CEST 2014: 4: No solution found.
Wed May 14 12:44:35 CEST 2014: 5: finished (37ms, 500cycles)
Wed May 14 12:44:35 CEST 2014: 5: No solution found.
Wed May 14 12:44:35 CEST 2014: 6: finished (46ms, 500cycles)
Wed May 14 12:44:35 CEST 2014: 6: No solution found.
Wed May 14 12:44:35 CEST 2014: 7: finished (3ms, 22cycles)
Wed May 14 12:44:35 CEST 2014: 7: Solution found.
Wed May 14 12:44:35 CEST 2014: 8: finished (3ms, 21cycles)
Wed May 14 12:44:35 CEST 2014: 8: Solution found.
Wed May 14 12:44:35 CEST 2014: 9: finished (37ms, 500cycles)
Wed May 14 12:44:35 CEST 2014: 9: No solution found.
Wed May 14 12:44:35 CEST 2014: 10: finished (35ms, 500cycles)
Wed May 14 12:44:35 CEST 2014: 10: No solution found.
Wed May 14 12:44:35 CEST 2014: 11: finished (43ms, 500cycles)
Wed May 14 12:44:35 CEST 2014: 11: No solution found.
Wed May 14 12:44:35 CEST 2014: 12: finished (1ms, 9cycles)
Wed May 14 12:44:35 CEST 2014: 12: Solution found.
Wed May 14 12:44:35 CEST 2014: 13: finished (36ms, 500cycles)
Wed May 14 12:44:35 CEST 2014: 13: No solution found.
Wed May 14 12:44:35 CEST 2014: 14: finished (40ms, 500cycles)
Wed May 14 12:44:35 CEST 2014: 14: No solution found.
Wed May 14 12:44:35 CEST 2014: 15: finished (36ms, 500cycles)
Wed May 14 12:44:35 CEST 2014: 15: No solution found.
Wed May 14 12:44:36 CEST 2014: 16: finished (43ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 16: No solution found.
Wed May 14 12:44:36 CEST 2014: 17: finished (2ms, 14cycles)
Wed May 14 12:44:36 CEST 2014: 17: Solution found.
Wed May 14 12:44:36 CEST 2014: 18: finished (35ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 18: No solution found.
Wed May 14 12:44:36 CEST 2014: 19: finished (40ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 19: No solution found.
Wed May 14 12:44:36 CEST 2014: 20: finished (35ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 20: No solution found.
Wed May 14 12:44:36 CEST 2014: 21: finished (36ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 21: No solution found.
Wed May 14 12:44:36 CEST 2014: 22: finished (52ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 22: No solution found.
Wed May 14 12:44:36 CEST 2014: 23: finished (36ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 23: No solution found.
Wed May 14 12:44:36 CEST 2014: 24: finished (37ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 24: No solution found.
Wed May 14 12:44:36 CEST 2014: 25: finished (35ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 25: No solution found.
Wed May 14 12:44:36 CEST 2014: 26: finished (49ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 26: No solution found.
Wed May 14 12:44:36 CEST 2014: 27: finished (37ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 27: No solution found.
Wed May 14 12:44:36 CEST 2014: 28: finished (45ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 28: No solution found.
Wed May 14 12:44:36 CEST 2014: 29: finished (36ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 29: No solution found.
Wed May 14 12:44:36 CEST 2014: 30: finished (41ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 30: No solution found.
Wed May 14 12:44:36 CEST 2014: 31: finished (36ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 31: No solution found.
Wed May 14 12:44:36 CEST 2014: 32: finished (36ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 32: No solution found.
Wed May 14 12:44:36 CEST 2014: 33: finished (43ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 33: No solution found.
Wed May 14 12:44:36 CEST 2014: 34: finished (36ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 34: No solution found.
Wed May 14 12:44:36 CEST 2014: 35: finished (36ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 35: No solution found.
Wed May 14 12:44:36 CEST 2014: 36: finished (38ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 36: No solution found.
Wed May 14 12:44:36 CEST 2014: 37: finished (35ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 37: No solution found.
Wed May 14 12:44:36 CEST 2014: 38: finished (36ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 38: No solution found.
Wed May 14 12:44:36 CEST 2014: 39: finished (4ms, 48cycles)
Wed May 14 12:44:36 CEST 2014: 39: Solution found.
Wed May 14 12:44:36 CEST 2014: 40: finished (35ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 40: No solution found.
Wed May 14 12:44:36 CEST 2014: 41: finished (41ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 41: No solution found.
Wed May 14 12:44:36 CEST 2014: 42: finished (35ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 42: No solution found.
Wed May 14 12:44:36 CEST 2014: 43: finished (42ms, 500cycles)
Wed May 14 12:44:36 CEST 2014: 43: No solution found.
Wed May 14 12:44:37 CEST 2014: 44: finished (39ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 44: No solution found.
Wed May 14 12:44:37 CEST 2014: 45: finished (46ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 45: No solution found.
Wed May 14 12:44:37 CEST 2014: 46: finished (1ms, 9cycles)
Wed May 14 12:44:37 CEST 2014: 46: Solution found.
Wed May 14 12:44:37 CEST 2014: 47: finished (2ms, 16cycles)
Wed May 14 12:44:37 CEST 2014: 47: Solution found.
Wed May 14 12:44:37 CEST 2014: 48: finished (1ms, 8cycles)
Wed May 14 12:44:37 CEST 2014: 48: Solution found.
Wed May 14 12:44:37 CEST 2014: 49: finished (41ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 49: No solution found.
Wed May 14 12:44:37 CEST 2014: 50: finished (39ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 50: No solution found.
Wed May 14 12:44:37 CEST 2014: 51: finished (37ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 51: No solution found.
Wed May 14 12:44:37 CEST 2014: 52: finished (46ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 52: No solution found.
Wed May 14 12:44:37 CEST 2014: 53: finished (37ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 53: No solution found.
Wed May 14 12:44:37 CEST 2014: 54: finished (44ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 54: No solution found.
Wed May 14 12:44:37 CEST 2014: 55: finished (37ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 55: No solution found.
Wed May 14 12:44:37 CEST 2014: 56: finished (45ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 56: No solution found.
Wed May 14 12:44:37 CEST 2014: 57: finished (36ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 57: No solution found.
Wed May 14 12:44:37 CEST 2014: 58: finished (37ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 58: No solution found.
Wed May 14 12:44:37 CEST 2014: 59: finished (38ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 59: No solution found.
Wed May 14 12:44:37 CEST 2014: 60: finished (37ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 60: No solution found.
Wed May 14 12:44:37 CEST 2014: 61: finished (37ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 61: No solution found.
Wed May 14 12:44:37 CEST 2014: 62: finished (5ms, 57cycles)
Wed May 14 12:44:37 CEST 2014: 62: Solution found.
Wed May 14 12:44:37 CEST 2014: 63: finished (2ms, 21cycles)
Wed May 14 12:44:37 CEST 2014: 63: Solution found.
Wed May 14 12:44:37 CEST 2014: 64: finished (1ms, 6cycles)
Wed May 14 12:44:37 CEST 2014: 64: Solution found.
Wed May 14 12:44:37 CEST 2014: 65: finished (40ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 65: No solution found.
Wed May 14 12:44:37 CEST 2014: 66: finished (36ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 66: No solution found.
Wed May 14 12:44:37 CEST 2014: 67: finished (37ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 67: No solution found.
Wed May 14 12:44:37 CEST 2014: 68: finished (37ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 68: No solution found.
Wed May 14 12:44:37 CEST 2014: 69: finished (36ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 69: No solution found.
Wed May 14 12:44:37 CEST 2014: 70: finished (46ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 70: No solution found.
Wed May 14 12:44:37 CEST 2014: 71: finished (35ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 71: No solution found.
Wed May 14 12:44:37 CEST 2014: 72: finished (2ms, 17cycles)
Wed May 14 12:44:37 CEST 2014: 72: Solution found.
Wed May 14 12:44:37 CEST 2014: 73: finished (37ms, 500cycles)
Wed May 14 12:44:37 CEST 2014: 73: No solution found.
Wed May 14 12:44:37 CEST 2014: 74: finished (32ms, 500cycles)
