Wed May 14 14:00:50 CEST 2014: Problem Count: 40
Wed May 14 14:00:50 CEST 2014: CandidatesCount: 10
Wed May 14 14:00:50 CEST 2014: Max Cycles: 500
Wed May 14 14:00:50 CEST 2014: 0: finished (82ms, 500cycles)
Wed May 14 14:00:50 CEST 2014: 0: No solution found.
Wed May 14 14:00:50 CEST 2014: 1: finished (61ms, 500cycles)
Wed May 14 14:00:50 CEST 2014: 1: No solution found.
Wed May 14 14:00:50 CEST 2014: 2: finished (66ms, 500cycles)
Wed May 14 14:00:50 CEST 2014: 2: No solution found.
Wed May 14 14:00:50 CEST 2014: 3: finished (61ms, 500cycles)
Wed May 14 14:00:50 CEST 2014: 3: No solution found.
Wed May 14 14:00:50 CEST 2014: 4: finished (60ms, 500cycles)
Wed May 14 14:00:50 CEST 2014: 4: No solution found.
Wed May 14 14:00:50 CEST 2014: 5: finished (60ms, 500cycles)
Wed May 14 14:00:50 CEST 2014: 5: No solution found.
Wed May 14 14:00:50 CEST 2014: 6: finished (60ms, 500cycles)
Wed May 14 14:00:50 CEST 2014: 6: No solution found.
Wed May 14 14:00:50 CEST 2014: 7: finished (61ms, 500cycles)
Wed May 14 14:00:50 CEST 2014: 7: No solution found.
Wed May 14 14:00:50 CEST 2014: 8: finished (73ms, 500cycles)
Wed May 14 14:00:50 CEST 2014: 8: No solution found.
Wed May 14 14:00:50 CEST 2014: 9: finished (4ms, 26cycles)
Wed May 14 14:00:50 CEST 2014: 9: Solution found.
Wed May 14 14:00:50 CEST 2014: 10: finished (60ms, 500cycles)
Wed May 14 14:00:50 CEST 2014: 10: No solution found.
Wed May 14 14:00:50 CEST 2014: 11: finished (62ms, 500cycles)
Wed May 14 14:00:50 CEST 2014: 11: No solution found.
Wed May 14 14:00:51 CEST 2014: 12: finished (61ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 12: No solution found.
Wed May 14 14:00:51 CEST 2014: 13: finished (61ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 13: No solution found.
Wed May 14 14:00:51 CEST 2014: 14: finished (58ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 14: No solution found.
Wed May 14 14:00:51 CEST 2014: 15: finished (62ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 15: No solution found.
Wed May 14 14:00:51 CEST 2014: 16: finished (62ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 16: No solution found.
Wed May 14 14:00:51 CEST 2014: 17: finished (60ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 17: No solution found.
Wed May 14 14:00:51 CEST 2014: 18: finished (62ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 18: No solution found.
Wed May 14 14:00:51 CEST 2014: 19: finished (61ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 19: No solution found.
Wed May 14 14:00:51 CEST 2014: 20: finished (61ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 20: No solution found.
Wed May 14 14:00:51 CEST 2014: 21: finished (61ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 21: No solution found.
Wed May 14 14:00:51 CEST 2014: 22: finished (60ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 22: No solution found.
Wed May 14 14:00:51 CEST 2014: 23: finished (60ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 23: No solution found.
Wed May 14 14:00:51 CEST 2014: 24: finished (60ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 24: No solution found.
Wed May 14 14:00:51 CEST 2014: 25: finished (1ms, 8cycles)
Wed May 14 14:00:51 CEST 2014: 25: Solution found.
Wed May 14 14:00:51 CEST 2014: 26: finished (69ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 26: No solution found.
Wed May 14 14:00:51 CEST 2014: 27: finished (61ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 27: No solution found.
Wed May 14 14:00:51 CEST 2014: 28: finished (64ms, 500cycles)
Wed May 14 14:00:51 CEST 2014: 28: No solution found.
Wed May 14 14:00:52 CEST 2014: 29: finished (64ms, 500cycles)
Wed May 14 14:00:52 CEST 2014: 29: No solution found.
Wed May 14 14:00:52 CEST 2014: 30: finished (61ms, 500cycles)
Wed May 14 14:00:52 CEST 2014: 30: No solution found.
Wed May 14 14:00:52 CEST 2014: 31: finished (69ms, 500cycles)
Wed May 14 14:00:52 CEST 2014: 31: No solution found.
Wed May 14 14:00:52 CEST 2014: 32: finished (63ms, 500cycles)
Wed May 14 14:00:52 CEST 2014: 32: No solution found.
Wed May 14 14:00:52 CEST 2014: 33: finished (62ms, 500cycles)
Wed May 14 14:00:52 CEST 2014: 33: No solution found.
Wed May 14 14:00:52 CEST 2014: 34: finished (60ms, 500cycles)
Wed May 14 14:00:52 CEST 2014: 34: No solution found.
Wed May 14 14:00:52 CEST 2014: 35: finished (61ms, 500cycles)
Wed May 14 14:00:52 CEST 2014: 35: No solution found.
Wed May 14 14:00:52 CEST 2014: 36: finished (60ms, 500cycles)
