Thu Jan 02 01:51:37 CET 2014: 45: finished (4609ms, 500cycles)
Thu Jan 02 01:51:37 CET 2014: 45: No solution found.
Thu Jan 02 01:51:39 CET 2014: 46: finished (2345ms, 500cycles)
Thu Jan 02 01:51:39 CET 2014: 46: No solution found.
Thu Jan 02 01:51:42 CET 2014: 47: finished (2300ms, 500cycles)
Thu Jan 02 01:51:42 CET 2014: 47: No solution found.
Thu Jan 02 01:51:44 CET 2014: 48: finished (2540ms, 500cycles)
Thu Jan 02 01:51:44 CET 2014: 48: No solution found.
Thu Jan 02 01:51:49 CET 2014: 49: finished (4913ms, 500cycles)
Thu Jan 02 01:51:49 CET 2014: 49: No solution found.
Thu Jan 02 01:51:53 CET 2014: 50: finished (4168ms, 500cycles)
Thu Jan 02 01:51:53 CET 2014: 50: No solution found.
Thu Jan 02 01:51:56 CET 2014: 51: finished (2461ms, 500cycles)
Thu Jan 02 01:51:56 CET 2014: 51: No solution found.
Thu Jan 02 01:51:58 CET 2014: 52: finished (2450ms, 500cycles)
Thu Jan 02 01:51:58 CET 2014: 52: No solution found.
Thu Jan 02 01:52:01 CET 2014: 53: finished (2441ms, 500cycles)
Thu Jan 02 01:52:01 CET 2014: 53: No solution found.
Thu Jan 02 01:52:07 CET 2014: 54: finished (6823ms, 500cycles)
Thu Jan 02 01:52:07 CET 2014: 54: No solution found.
Thu Jan 02 01:52:09 CET 2014: 55: finished (2110ms, 500cycles)
Thu Jan 02 01:52:09 CET 2014: 55: No solution found.
Thu Jan 02 01:52:12 CET 2014: 56: finished (2128ms, 500cycles)
Thu Jan 02 01:52:12 CET 2014: 56: No solution found.
Thu Jan 02 01:52:14 CET 2014: 57: finished (2171ms, 500cycles)
Thu Jan 02 01:52:14 CET 2014: 57: No solution found.
Thu Jan 02 01:52:16 CET 2014: 58: finished (2172ms, 500cycles)
Thu Jan 02 01:52:16 CET 2014: 58: No solution found.
Thu Jan 02 01:52:23 CET 2014: 59: finished (6778ms, 500cycles)
Thu Jan 02 01:52:23 CET 2014: 59: No solution found.
Thu Jan 02 01:52:25 CET 2014: 60: finished (2166ms, 500cycles)
Thu Jan 02 01:52:25 CET 2014: 60: No solution found.
Thu Jan 02 01:52:27 CET 2014: 61: finished (2354ms, 500cycles)
Thu Jan 02 01:52:27 CET 2014: 61: No solution found.
Thu Jan 02 01:52:30 CET 2014: 62: finished (2505ms, 500cycles)
Thu Jan 02 01:52:30 CET 2014: 62: No solution found.
Thu Jan 02 01:52:35 CET 2014: 63: finished (4822ms, 500cycles)
Thu Jan 02 01:52:35 CET 2014: 63: No solution found.
Thu Jan 02 01:52:39 CET 2014: 64: finished (4581ms, 500cycles)
Thu Jan 02 01:52:39 CET 2014: 64: No solution found.
Thu Jan 02 01:52:42 CET 2014: 65: finished (2653ms, 500cycles)
Thu Jan 02 01:52:42 CET 2014: 65: No solution found.
Thu Jan 02 01:52:44 CET 2014: 66: finished (2386ms, 500cycles)
Thu Jan 02 01:52:44 CET 2014: 66: No solution found.
Thu Jan 02 01:52:47 CET 2014: 67: finished (2415ms, 500cycles)
Thu Jan 02 01:52:47 CET 2014: 67: No solution found.
Thu Jan 02 01:52:55 CET 2014: 68: finished (8491ms, 500cycles)
Thu Jan 02 01:52:55 CET 2014: 68: No solution found.
Thu Jan 02 01:52:57 CET 2014: 69: finished (2181ms, 500cycles)
Thu Jan 02 01:52:57 CET 2014: 69: No solution found.
Thu Jan 02 01:53:00 CET 2014: 70: finished (2243ms, 500cycles)
Thu Jan 02 01:53:00 CET 2014: 70: No solution found.
Thu Jan 02 01:53:02 CET 2014: 71: finished (2531ms, 500cycles)
Thu Jan 02 01:53:02 CET 2014: 71: No solution found.
Thu Jan 02 01:53:07 CET 2014: 72: finished (5146ms, 500cycles)
Thu Jan 02 01:53:07 CET 2014: 72: No solution found.
Thu Jan 02 01:53:16 CET 2014: 73: finished (9172ms, 500cycles)
Thu Jan 02 01:53:16 CET 2014: 73: No solution found.
Thu Jan 02 01:53:24 CET 2014: 74: finished (7734ms, 500cycles)
Thu Jan 02 01:53:24 CET 2014: 74: No solution found.
Thu Jan 02 01:53:32 CET 2014: 75: finished (8224ms, 500cycles)
Thu Jan 02 01:53:32 CET 2014: 75: No solution found.
Thu Jan 02 01:53:40 CET 2014: 76: finished (8029ms, 500cycles)
Thu Jan 02 01:53:40 CET 2014: 76: No solution found.
Thu Jan 02 01:53:49 CET 2014: 77: finished (8327ms, 500cycles)
Thu Jan 02 01:53:49 CET 2014: 77: No solution found.
Thu Jan 02 01:53:57 CET 2014: 78: finished (8353ms, 500cycles)
Thu Jan 02 01:53:57 CET 2014: 78: No solution found.
Thu Jan 02 01:54:05 CET 2014: 79: finished (8125ms, 500cycles)
Thu Jan 02 01:54:05 CET 2014: 79: No solution found.
Thu Jan 02 01:54:13 CET 2014: 80: finished (8142ms, 500cycles)
Thu Jan 02 01:54:13 CET 2014: 80: No solution found.
Thu Jan 02 01:54:21 CET 2014: 81: finished (7649ms, 500cycles)
Thu Jan 02 01:54:21 CET 2014: 81: No solution found.
