/home/adrian/workspace/regularLanguages/doc/statistics/div31050neu
E_G_2014-05-14_11_32_45.log
Error: percentage == 0! Skipping
E_G_2014-05-14_14_55_21.log
Error: percentage == 0! Skipping
E_G_2014-05-07_02_23_13.log
Error: percentage == 0! Skipping
E_G_2014-05-14_15_02_28.log
Error: percentage == 0! Skipping
E_G_2014-05-14_13_46_14.log
Error: percentage == 0! Skipping
E_G_2014-05-14_12_22_12.log
Error: percentage == 0! Skipping
Cand:10, Probs:20, foundPercentage:6, AvgCycles:15
Cand:10, Probs:20, foundPercentage:4, AvgCycles:21
Cand:10, Probs:20, foundPercentage:3, AvgCycles:20
Cand:10, Probs:20, foundPercentage:9, AvgCycles:15
Cand:10, Probs:20, foundPercentage:5, AvgCycles:8
Cand:10, Probs:20, foundPercentage:5, AvgCycles:20
Cand:10, Probs:20, foundPercentage:3, AvgCycles:27
Cand:10, Probs:20, foundPercentage:4, AvgCycles:11
Cand:10, Probs:20, foundPercentage:5, AvgCycles:17
Cand:10, Probs:20, foundPercentage:6, AvgCycles:16
Cand:10, Probs:20, foundPercentage:3, AvgCycles:10
Cand:10, Probs:20, foundPercentage:3, AvgCycles:9
Cand:10, Probs:20, foundPercentage:6, AvgCycles:10
Cand:10, Probs:20, foundPercentage:6, AvgCycles:16
Cand:10, Probs:20, foundPercentage:5, AvgCycles:8
Cand:10, Probs:20, foundPercentage:5, AvgCycles:15
Cand:10, Probs:20, foundPercentage:4, AvgCycles:22
Cand:10, Probs:20, foundPercentage:2, AvgCycles:6
Cand:10, Probs:20, foundPercentage:5, AvgCycles:12
Cand:10, Probs:20, foundPercentage:6, AvgCycles:11
Cand:10, Probs:20, foundPercentage:5, AvgCycles:20
Cand:10, Probs:20, foundPercentage:3, AvgCycles:28
Cand:10, Probs:20, foundPercentage:5, AvgCycles:16
Cand:10, Probs:20, foundPercentage:5, AvgCycles:17
Cand:10, Probs:20, foundPercentage:4, AvgCycles:10
Cand:10, Probs:20, foundPercentage:3, AvgCycles:12
Cand:10, Probs:20, foundPercentage:3, AvgCycles:27
Cand:10, Probs:20, foundPercentage:2, AvgCycles:19
Cand:10, Probs:20, foundPercentage:7, AvgCycles:10
Cand:10, Probs:20, foundPercentage:1, AvgCycles:14
Cand:10, Probs:20, foundPercentage:5, AvgCycles:8
Cand:10, Probs:20, foundPercentage:3, AvgCycles:10
