Mon May 19 23:27:31 CEST 2014: 47: finished (350ms, 500cycles)
Mon May 19 23:27:31 CEST 2014: 47: No solution found.
Mon May 19 23:27:31 CEST 2014: 48: finished (56ms, 70cycles)
Mon May 19 23:27:31 CEST 2014: 48: Solution found.
Mon May 19 23:27:32 CEST 2014: 49: finished (356ms, 500cycles)
Mon May 19 23:27:32 CEST 2014: 49: No solution found.
Mon May 19 23:27:32 CEST 2014: 50: finished (319ms, 500cycles)
Mon May 19 23:27:32 CEST 2014: 50: No solution found.
Mon May 19 23:27:32 CEST 2014: 51: finished (318ms, 500cycles)
Mon May 19 23:27:32 CEST 2014: 51: No solution found.
Mon May 19 23:27:33 CEST 2014: 52: finished (390ms, 500cycles)
Mon May 19 23:27:33 CEST 2014: 52: No solution found.
Mon May 19 23:27:33 CEST 2014: 53: finished (346ms, 500cycles)
Mon May 19 23:27:33 CEST 2014: 53: No solution found.
Mon May 19 23:27:34 CEST 2014: 54: finished (359ms, 500cycles)
Mon May 19 23:27:34 CEST 2014: 54: No solution found.
Mon May 19 23:27:34 CEST 2014: 55: finished (86ms, 119cycles)
Mon May 19 23:27:34 CEST 2014: 55: Solution found.
Mon May 19 23:27:34 CEST 2014: 56: finished (315ms, 500cycles)
Mon May 19 23:27:34 CEST 2014: 56: No solution found.
Mon May 19 23:27:34 CEST 2014: 57: finished (310ms, 500cycles)
Mon May 19 23:27:34 CEST 2014: 57: No solution found.
Mon May 19 23:27:35 CEST 2014: 58: finished (320ms, 500cycles)
Mon May 19 23:27:35 CEST 2014: 58: No solution found.
Mon May 19 23:27:35 CEST 2014: 59: finished (345ms, 500cycles)
Mon May 19 23:27:35 CEST 2014: 59: No solution found.
Mon May 19 23:27:35 CEST 2014: 60: finished (365ms, 500cycles)
Mon May 19 23:27:35 CEST 2014: 60: No solution found.
Mon May 19 23:27:36 CEST 2014: 61: finished (349ms, 500cycles)
Mon May 19 23:27:36 CEST 2014: 61: No solution found.
Mon May 19 23:27:36 CEST 2014: 62: finished (357ms, 500cycles)
Mon May 19 23:27:36 CEST 2014: 62: No solution found.
Mon May 19 23:27:36 CEST 2014: 63: finished (325ms, 500cycles)
Mon May 19 23:27:36 CEST 2014: 63: No solution found.
Mon May 19 23:27:37 CEST 2014: 64: finished (346ms, 500cycles)
Mon May 19 23:27:37 CEST 2014: 64: No solution found.
Mon May 19 23:27:37 CEST 2014: 65: finished (358ms, 500cycles)
Mon May 19 23:27:37 CEST 2014: 65: No solution found.
Mon May 19 23:27:37 CEST 2014: 66: finished (355ms, 500cycles)
Mon May 19 23:27:37 CEST 2014: 66: No solution found.
Mon May 19 23:27:38 CEST 2014: 67: finished (351ms, 500cycles)
Mon May 19 23:27:38 CEST 2014: 67: No solution found.
Mon May 19 23:27:38 CEST 2014: 68: finished (347ms, 500cycles)
Mon May 19 23:27:38 CEST 2014: 68: No solution found.
Mon May 19 23:27:38 CEST 2014: 69: finished (318ms, 500cycles)
Mon May 19 23:27:38 CEST 2014: 69: No solution found.
Mon May 19 23:27:39 CEST 2014: 70: finished (358ms, 500cycles)
Mon May 19 23:27:39 CEST 2014: 70: No solution found.
Mon May 19 23:27:39 CEST 2014: 71: finished (266ms, 375cycles)
Mon May 19 23:27:39 CEST 2014: 71: Solution found.
Mon May 19 23:27:39 CEST 2014: 72: finished (390ms, 500cycles)
Mon May 19 23:27:39 CEST 2014: 72: No solution found.
Mon May 19 23:27:40 CEST 2014: 73: finished (324ms, 500cycles)
Mon May 19 23:27:40 CEST 2014: 73: No solution found.
Mon May 19 23:27:40 CEST 2014: 74: finished (329ms, 500cycles)
Mon May 19 23:27:40 CEST 2014: 74: No solution found.
Mon May 19 23:27:40 CEST 2014: 75: finished (83ms, 107cycles)
Mon May 19 23:27:40 CEST 2014: 75: Solution found.
Mon May 19 23:27:41 CEST 2014: 76: finished (344ms, 500cycles)
Mon May 19 23:27:41 CEST 2014: 76: No solution found.
Mon May 19 23:27:41 CEST 2014: 77: finished (323ms, 500cycles)
Mon May 19 23:27:41 CEST 2014: 77: No solution found.
Mon May 19 23:27:41 CEST 2014: 78: finished (316ms, 500cycles)
Mon May 19 23:27:41 CEST 2014: 78: No solution found.
Mon May 19 23:27:41 CEST 2014: 79: finished (324ms, 500cycles)
Mon May 19 23:27:41 CEST 2014: 79: No solution found.
Mon May 19 23:27:42 CEST 2014: 80: finished (66ms, 80cycles)
Mon May 19 23:27:42 CEST 2014: 80: Solution found.
Mon May 19 23:27:42 CEST 2014: 81: finished (323ms, 500cycles)
Mon May 19 23:27:42 CEST 2014: 81: No solution found.
Mon May 19 23:27:42 CEST 2014: 82: finished (354ms, 500cycles)
Mon May 19 23:27:42 CEST 2014: 82: No solution found.
Mon May 19 23:27:43 CEST 2014: 83: finished (359ms, 500cycles)
Mon May 19 23:27:43 CEST 2014: 83: No solution found.
Mon May 19 23:27:43 CEST 2014: 84: finished (318ms, 500cycles)
Mon May 19 23:27:43 CEST 2014: 84: No solution found.
Mon May 19 23:27:43 CEST 2014: 85: finished (21ms, 28cycles)
Mon May 19 23:27:43 CEST 2014: 85: Solution found.
Mon May 19 23:27:43 CEST 2014: 86: finished (352ms, 500cycles)
Mon May 19 23:27:43 CEST 2014: 86: No solution found.
Mon May 19 23:27:44 CEST 2014: 87: finished (309ms, 500cycles)
Mon May 19 23:27:44 CEST 2014: 87: No solution found.
Mon May 19 23:27:44 CEST 2014: 88: finished (27ms, 35cycles)
Mon May 19 23:27:44 CEST 2014: 88: Solution found.
Mon May 19 23:27:44 CEST 2014: 89: finished (385ms, 500cycles)
