Wed May 21 11:27:50 CEST 2014: 47: finished (46ms, 45cycles)
Wed May 21 11:27:50 CEST 2014: 47: Solution found.
Wed May 21 11:27:50 CEST 2014: 48: finished (607ms, 500cycles)
Wed May 21 11:27:50 CEST 2014: 48: No solution found.
Wed May 21 11:27:51 CEST 2014: 49: finished (747ms, 500cycles)
Wed May 21 11:27:51 CEST 2014: 49: No solution found.
Wed May 21 11:27:52 CEST 2014: 50: finished (939ms, 500cycles)
Wed May 21 11:27:52 CEST 2014: 50: No solution found.
Wed May 21 11:27:52 CEST 2014: 51: finished (319ms, 196cycles)
Wed May 21 11:27:52 CEST 2014: 51: Solution found.
Wed May 21 11:27:53 CEST 2014: 52: finished (744ms, 500cycles)
Wed May 21 11:27:53 CEST 2014: 52: No solution found.
Wed May 21 11:27:54 CEST 2014: 53: finished (513ms, 500cycles)
Wed May 21 11:27:54 CEST 2014: 53: No solution found.
Wed May 21 11:27:54 CEST 2014: 54: finished (802ms, 500cycles)
Wed May 21 11:27:54 CEST 2014: 54: No solution found.
Wed May 21 11:27:55 CEST 2014: 55: finished (832ms, 500cycles)
Wed May 21 11:27:55 CEST 2014: 55: No solution found.
Wed May 21 11:27:56 CEST 2014: 56: finished (778ms, 500cycles)
Wed May 21 11:27:56 CEST 2014: 56: No solution found.
Wed May 21 11:27:57 CEST 2014: 57: finished (859ms, 500cycles)
Wed May 21 11:27:57 CEST 2014: 57: No solution found.
Wed May 21 11:27:57 CEST 2014: 58: finished (366ms, 242cycles)
Wed May 21 11:27:57 CEST 2014: 58: Solution found.
Wed May 21 11:27:58 CEST 2014: 59: finished (321ms, 500cycles)
Wed May 21 11:27:58 CEST 2014: 59: No solution found.
Wed May 21 11:27:58 CEST 2014: 60: finished (323ms, 500cycles)
Wed May 21 11:27:58 CEST 2014: 60: No solution found.
Wed May 21 11:27:59 CEST 2014: 61: finished (646ms, 500cycles)
Wed May 21 11:27:59 CEST 2014: 61: No solution found.
Wed May 21 11:27:59 CEST 2014: 62: finished (790ms, 500cycles)
Wed May 21 11:27:59 CEST 2014: 62: No solution found.
Wed May 21 11:28:00 CEST 2014: 63: finished (848ms, 500cycles)
Wed May 21 11:28:00 CEST 2014: 63: No solution found.
Wed May 21 11:28:01 CEST 2014: 64: finished (738ms, 500cycles)
Wed May 21 11:28:01 CEST 2014: 64: No solution found.
Wed May 21 11:28:02 CEST 2014: 65: finished (921ms, 500cycles)
Wed May 21 11:28:02 CEST 2014: 65: No solution found.
Wed May 21 11:28:03 CEST 2014: 66: finished (939ms, 500cycles)
Wed May 21 11:28:03 CEST 2014: 66: No solution found.
Wed May 21 11:28:03 CEST 2014: 67: finished (312ms, 500cycles)
Wed May 21 11:28:03 CEST 2014: 67: No solution found.
Wed May 21 11:28:04 CEST 2014: 68: finished (278ms, 500cycles)
Wed May 21 11:28:04 CEST 2014: 68: No solution found.
Wed May 21 11:28:05 CEST 2014: 69: finished (1185ms, 500cycles)
Wed May 21 11:28:05 CEST 2014: 69: No solution found.
Wed May 21 11:28:05 CEST 2014: 70: finished (402ms, 500cycles)
Wed May 21 11:28:05 CEST 2014: 70: No solution found.
Wed May 21 11:28:06 CEST 2014: 71: finished (822ms, 500cycles)
Wed May 21 11:28:06 CEST 2014: 71: No solution found.
Wed May 21 11:28:07 CEST 2014: 72: finished (911ms, 500cycles)
Wed May 21 11:28:07 CEST 2014: 72: No solution found.
Wed May 21 11:28:08 CEST 2014: 73: finished (705ms, 500cycles)
Wed May 21 11:28:08 CEST 2014: 73: No solution found.
Wed May 21 11:28:08 CEST 2014: 74: finished (104ms, 133cycles)
Wed May 21 11:28:08 CEST 2014: 74: Solution found.
Wed May 21 11:28:08 CEST 2014: 75: finished (742ms, 500cycles)
Wed May 21 11:28:08 CEST 2014: 75: No solution found.
Wed May 21 11:28:09 CEST 2014: 76: finished (853ms, 500cycles)
Wed May 21 11:28:09 CEST 2014: 76: No solution found.
Wed May 21 11:28:10 CEST 2014: 77: finished (485ms, 314cycles)
Wed May 21 11:28:10 CEST 2014: 77: Solution found.
Wed May 21 11:28:11 CEST 2014: 78: finished (843ms, 500cycles)
Wed May 21 11:28:11 CEST 2014: 78: No solution found.
Wed May 21 11:28:11 CEST 2014: 79: finished (641ms, 500cycles)
Wed May 21 11:28:11 CEST 2014: 79: No solution found.
Wed May 21 11:28:12 CEST 2014: 80: finished (897ms, 500cycles)
Wed May 21 11:28:12 CEST 2014: 80: No solution found.
Wed May 21 11:28:13 CEST 2014: 81: finished (522ms, 500cycles)
Wed May 21 11:28:13 CEST 2014: 81: No solution found.
Wed May 21 11:28:13 CEST 2014: 82: finished (554ms, 500cycles)
Wed May 21 11:28:13 CEST 2014: 82: No solution found.
Wed May 21 11:28:14 CEST 2014: 83: finished (727ms, 500cycles)
Wed May 21 11:28:14 CEST 2014: 83: No solution found.
Wed May 21 11:28:15 CEST 2014: 84: finished (620ms, 500cycles)
Wed May 21 11:28:15 CEST 2014: 84: No solution found.
Wed May 21 11:28:15 CEST 2014: 85: finished (544ms, 500cycles)
Wed May 21 11:28:15 CEST 2014: 85: No solution found.
Wed May 21 11:28:16 CEST 2014: 86: finished (782ms, 500cycles)
Wed May 21 11:28:16 CEST 2014: 86: No solution found.
Wed May 21 11:28:17 CEST 2014: 87: finished (758ms, 500cycles)
Wed May 21 11:28:17 CEST 2014: 87: No solution found.
Wed May 21 11:28:18 CEST 2014: 88: finished (861ms, 500cycles)
Wed May 21 11:28:18 CEST 2014: 88: No solution found.
Wed May 21 11:28:18 CEST 2014: 89: finished (696ms, 500cycles)
Wed May 21 11:28:18 CEST 2014: 89: No solution found.
Wed May 21 11:28:19 CEST 2014: 90: finished (337ms, 500cycles)
Wed May 21 11:28:19 CEST 2014: 90: No solution found.
Wed May 21 11:28:19 CEST 2014: 91: finished (699ms, 500cycles)
Wed May 21 11:28:19 CEST 2014: 91: No solution found.
Wed May 21 11:28:20 CEST 2014: 92: finished (822ms, 500cycles)
Wed May 21 11:28:20 CEST 2014: 92: No solution found.
Wed May 21 11:28:21 CEST 2014: 93: finished (633ms, 500cycles)
Wed May 21 11:28:21 CEST 2014: 93: No solution found.
Wed May 21 11:28:22 CEST 2014: 94: finished (815ms, 500cycles)
Wed May 21 11:28:22 CEST 2014: 94: No solution found.
Wed May 21 11:28:22 CEST 2014: 95: finished (819ms, 500cycles)
Wed May 21 11:28:22 CEST 2014: 95: No solution found.
Wed May 21 11:28:23 CEST 2014: 96: finished (722ms, 500cycles)
Wed May 21 11:28:23 CEST 2014: 96: No solution found.
Wed May 21 11:28:24 CEST 2014: 97: finished (780ms, 500cycles)
Wed May 21 11:28:24 CEST 2014: 97: No solution found.
Wed May 21 11:28:25 CEST 2014: 98: finished (1026ms, 500cycles)
Wed May 21 11:28:25 CEST 2014: 98: No solution found.
Wed May 21 11:28:26 CEST 2014: 99: finished (853ms, 500cycles)
Wed May 21 11:28:26 CEST 2014: 99: No solution found.
Wed May 21 11:28:26 CEST 2014: Solution Found: 7
Wed May 21 11:28:26 CEST 2014: Avg cycles: 189
Wed May 21 11:28:26 CEST 2014: Max cycles: 314
Wed May 21 11:28:26 CEST 2014: Min cycles: 45
Wed May 21 11:28:26 CEST 2014: No solution found: 93
Wed May 21 11:28:26 CEST 2014: logging finished. (runtime: 67941ms)
