Tue May 20 20:05:38 CEST 2014: Problem Count: 200
Tue May 20 20:05:38 CEST 2014: CandidatesCount: 50
Tue May 20 20:05:38 CEST 2014: Max Cycles: 500
Tue May 20 20:05:42 CEST 2014: 0: finished (3801ms, 500cycles)
Tue May 20 20:05:42 CEST 2014: 0: No solution found.
Tue May 20 20:05:45 CEST 2014: 1: finished (3745ms, 500cycles)
Tue May 20 20:05:45 CEST 2014: 1: No solution found.
Tue May 20 20:05:50 CEST 2014: 2: finished (4813ms, 500cycles)
Tue May 20 20:05:50 CEST 2014: 2: No solution found.
Tue May 20 20:05:56 CEST 2014: 3: finished (5232ms, 500cycles)
Tue May 20 20:05:56 CEST 2014: 3: No solution found.
Tue May 20 20:05:59 CEST 2014: 4: finished (3629ms, 500cycles)
Tue May 20 20:05:59 CEST 2014: 4: No solution found.
Tue May 20 20:06:02 CEST 2014: 5: finished (2984ms, 500cycles)
Tue May 20 20:06:02 CEST 2014: 5: No solution found.
Tue May 20 20:06:05 CEST 2014: 6: finished (3098ms, 500cycles)
Tue May 20 20:06:05 CEST 2014: 6: No solution found.
Tue May 20 20:06:06 CEST 2014: 7: finished (319ms, 41cycles)
Tue May 20 20:06:06 CEST 2014: 7: Solution found.
Tue May 20 20:06:06 CEST 2014: 8: finished (376ms, 51cycles)
Tue May 20 20:06:06 CEST 2014: 8: Solution found.
Tue May 20 20:06:11 CEST 2014: 9: finished (4683ms, 500cycles)
Tue May 20 20:06:11 CEST 2014: 9: No solution found.
Tue May 20 20:06:15 CEST 2014: 10: finished (4641ms, 500cycles)
Tue May 20 20:06:15 CEST 2014: 10: No solution found.
Tue May 20 20:06:19 CEST 2014: 11: finished (3405ms, 500cycles)
Tue May 20 20:06:19 CEST 2014: 11: No solution found.
Tue May 20 20:06:22 CEST 2014: 12: finished (3571ms, 500cycles)
Tue May 20 20:06:22 CEST 2014: 12: No solution found.
Tue May 20 20:06:26 CEST 2014: 13: finished (3390ms, 500cycles)
Tue May 20 20:06:26 CEST 2014: 13: No solution found.
Tue May 20 20:06:29 CEST 2014: 14: finished (3346ms, 500cycles)
Tue May 20 20:06:29 CEST 2014: 14: No solution found.
Tue May 20 20:06:36 CEST 2014: 15: finished (6631ms, 500cycles)
Tue May 20 20:06:36 CEST 2014: 15: No solution found.
Tue May 20 20:06:39 CEST 2014: 16: finished (3523ms, 500cycles)
Tue May 20 20:06:39 CEST 2014: 16: No solution found.
Tue May 20 20:06:43 CEST 2014: 17: finished (3683ms, 500cycles)
Tue May 20 20:06:43 CEST 2014: 17: No solution found.
Tue May 20 20:06:44 CEST 2014: 18: finished (700ms, 93cycles)
Tue May 20 20:06:44 CEST 2014: 18: Solution found.
Tue May 20 20:06:47 CEST 2014: 19: finished (3404ms, 500cycles)
Tue May 20 20:06:47 CEST 2014: 19: No solution found.
Tue May 20 20:06:53 CEST 2014: 20: finished (6513ms, 500cycles)
Tue May 20 20:06:53 CEST 2014: 20: No solution found.
Tue May 20 20:06:57 CEST 2014: 21: finished (3616ms, 500cycles)
Tue May 20 20:06:57 CEST 2014: 21: No solution found.
Tue May 20 20:07:01 CEST 2014: 22: finished (3724ms, 500cycles)
Tue May 20 20:07:01 CEST 2014: 22: No solution found.
Tue May 20 20:07:04 CEST 2014: 23: finished (3661ms, 500cycles)
Tue May 20 20:07:04 CEST 2014: 23: No solution found.
Tue May 20 20:07:09 CEST 2014: 24: finished (4841ms, 500cycles)
Tue May 20 20:07:09 CEST 2014: 24: No solution found.
Tue May 20 20:07:14 CEST 2014: 25: finished (4795ms, 500cycles)
Tue May 20 20:07:14 CEST 2014: 25: No solution found.
Tue May 20 20:07:17 CEST 2014: 26: finished (3095ms, 500cycles)
Tue May 20 20:07:17 CEST 2014: 26: No solution found.
Tue May 20 20:07:21 CEST 2014: 27: finished (3347ms, 500cycles)
Tue May 20 20:07:21 CEST 2014: 27: No solution found.
