Mon May 19 22:49:53 CEST 2014: 46: finished (12108ms, 500cycles)
Mon May 19 22:49:53 CEST 2014: 46: No solution found.
Mon May 19 22:50:05 CEST 2014: 47: finished (12198ms, 500cycles)
Mon May 19 22:50:05 CEST 2014: 47: No solution found.
Mon May 19 22:50:19 CEST 2014: 48: finished (14158ms, 500cycles)
Mon May 19 22:50:19 CEST 2014: 48: No solution found.
Mon May 19 22:50:27 CEST 2014: 49: finished (8109ms, 500cycles)
Mon May 19 22:50:27 CEST 2014: 49: No solution found.
Mon May 19 22:50:37 CEST 2014: 50: finished (10366ms, 500cycles)
Mon May 19 22:50:37 CEST 2014: 50: No solution found.
Mon May 19 22:50:45 CEST 2014: 51: finished (7660ms, 500cycles)
Mon May 19 22:50:45 CEST 2014: 51: No solution found.
Mon May 19 22:50:55 CEST 2014: 52: finished (10342ms, 500cycles)
Mon May 19 22:50:55 CEST 2014: 52: No solution found.
Mon May 19 22:51:08 CEST 2014: 53: finished (12824ms, 500cycles)
Mon May 19 22:51:08 CEST 2014: 53: No solution found.
Mon May 19 22:51:23 CEST 2014: 54: finished (14797ms, 500cycles)
Mon May 19 22:51:23 CEST 2014: 54: No solution found.
Mon May 19 22:51:36 CEST 2014: 55: finished (13098ms, 500cycles)
Mon May 19 22:51:36 CEST 2014: 55: No solution found.
Mon May 19 22:51:50 CEST 2014: 56: finished (13860ms, 500cycles)
Mon May 19 22:51:50 CEST 2014: 56: No solution found.
Mon May 19 22:51:54 CEST 2014: 57: finished (3496ms, 134cycles)
Mon May 19 22:51:54 CEST 2014: 57: Solution found.
Mon May 19 22:52:08 CEST 2014: 58: finished (14245ms, 500cycles)
Mon May 19 22:52:08 CEST 2014: 58: No solution found.
Mon May 19 22:52:20 CEST 2014: 59: finished (11618ms, 500cycles)
Mon May 19 22:52:20 CEST 2014: 59: No solution found.
Mon May 19 22:52:38 CEST 2014: 60: finished (17973ms, 500cycles)
Mon May 19 22:52:38 CEST 2014: 60: No solution found.
Mon May 19 22:52:53 CEST 2014: 61: finished (15881ms, 500cycles)
Mon May 19 22:52:53 CEST 2014: 61: No solution found.
Mon May 19 22:53:06 CEST 2014: 62: finished (12670ms, 500cycles)
Mon May 19 22:53:06 CEST 2014: 62: No solution found.
Mon May 19 22:53:21 CEST 2014: 63: finished (14935ms, 500cycles)
Mon May 19 22:53:21 CEST 2014: 63: No solution found.
Mon May 19 22:53:33 CEST 2014: 64: finished (11593ms, 500cycles)
Mon May 19 22:53:33 CEST 2014: 64: No solution found.
Mon May 19 22:53:48 CEST 2014: 65: finished (15045ms, 500cycles)
Mon May 19 22:53:48 CEST 2014: 65: No solution found.
Mon May 19 22:54:02 CEST 2014: 66: finished (14483ms, 500cycles)
Mon May 19 22:54:02 CEST 2014: 66: No solution found.
Mon May 19 22:54:03 CEST 2014: 67: finished (1110ms, 51cycles)
Mon May 19 22:54:03 CEST 2014: 67: Solution found.
Mon May 19 22:54:18 CEST 2014: 68: finished (14406ms, 500cycles)
Mon May 19 22:54:18 CEST 2014: 68: No solution found.
Mon May 19 22:54:20 CEST 2014: 69: finished (2240ms, 98cycles)
Mon May 19 22:54:20 CEST 2014: 69: Solution found.
Mon May 19 22:54:38 CEST 2014: 70: finished (17888ms, 500cycles)
Mon May 19 22:54:38 CEST 2014: 70: No solution found.
Mon May 19 22:54:51 CEST 2014: 71: finished (13347ms, 500cycles)
Mon May 19 22:54:51 CEST 2014: 71: No solution found.
Mon May 19 22:55:02 CEST 2014: 72: finished (10169ms, 500cycles)
Mon May 19 22:55:02 CEST 2014: 72: No solution found.
Mon May 19 22:55:19 CEST 2014: 73: finished (17729ms, 500cycles)
Mon May 19 22:55:19 CEST 2014: 73: No solution found.
Mon May 19 22:55:33 CEST 2014: 74: finished (14016ms, 500cycles)
Mon May 19 22:55:33 CEST 2014: 74: No solution found.
Mon May 19 22:55:48 CEST 2014: 75: finished (14606ms, 500cycles)
Mon May 19 22:55:48 CEST 2014: 75: No solution found.
Mon May 19 22:56:03 CEST 2014: 76: finished (15445ms, 500cycles)
Mon May 19 22:56:03 CEST 2014: 76: No solution found.
Mon May 19 22:56:21 CEST 2014: 77: finished (17153ms, 500cycles)
Mon May 19 22:56:21 CEST 2014: 77: No solution found.
Mon May 19 22:56:32 CEST 2014: 78: finished (11431ms, 500cycles)
Mon May 19 22:56:32 CEST 2014: 78: No solution found.
Mon May 19 22:56:46 CEST 2014: 79: finished (14283ms, 500cycles)
