Tue May 20 11:15:51 CEST 2014: Problem Count: 10
Tue May 20 11:15:51 CEST 2014: CandidatesCount: 150
Tue May 20 11:15:51 CEST 2014: Max Cycles: 500
Tue May 20 11:15:57 CEST 2014: 0: finished (5477ms, 500cycles)
Tue May 20 11:15:57 CEST 2014: 0: No solution found.
Tue May 20 11:16:05 CEST 2014: 1: finished (7967ms, 500cycles)
Tue May 20 11:16:05 CEST 2014: 1: No solution found.
Tue May 20 11:16:11 CEST 2014: 2: finished (5823ms, 500cycles)
Tue May 20 11:16:11 CEST 2014: 2: No solution found.
Tue May 20 11:16:18 CEST 2014: 3: finished (7215ms, 500cycles)
Tue May 20 11:16:18 CEST 2014: 3: No solution found.
Tue May 20 11:16:28 CEST 2014: 4: finished (10300ms, 500cycles)
Tue May 20 11:16:28 CEST 2014: 4: No solution found.
Tue May 20 11:16:36 CEST 2014: 5: finished (7954ms, 500cycles)
Tue May 20 11:16:36 CEST 2014: 5: No solution found.
Tue May 20 11:16:43 CEST 2014: 6: finished (6823ms, 500cycles)
Tue May 20 11:16:43 CEST 2014: 6: No solution found.
Tue May 20 11:16:50 CEST 2014: 7: finished (6694ms, 500cycles)
Tue May 20 11:16:50 CEST 2014: 7: No solution found.
Tue May 20 11:16:59 CEST 2014: 8: finished (9552ms, 500cycles)
Tue May 20 11:16:59 CEST 2014: 8: No solution found.
Tue May 20 11:17:08 CEST 2014: 9: finished (8662ms, 500cycles)
Tue May 20 11:17:08 CEST 2014: 9: No solution found.
Tue May 20 11:17:16 CEST 2014: 10: finished (7605ms, 500cycles)
Tue May 20 11:17:16 CEST 2014: 10: No solution found.
Tue May 20 11:17:21 CEST 2014: 11: finished (5313ms, 500cycles)
Tue May 20 11:17:21 CEST 2014: 11: No solution found.
Tue May 20 11:17:30 CEST 2014: 12: finished (8700ms, 500cycles)
Tue May 20 11:17:30 CEST 2014: 12: No solution found.
Tue May 20 11:17:35 CEST 2014: 13: finished (5837ms, 500cycles)
Tue May 20 11:17:35 CEST 2014: 13: No solution found.
Tue May 20 11:17:44 CEST 2014: 14: finished (8201ms, 500cycles)
Tue May 20 11:17:44 CEST 2014: 14: No solution found.
Tue May 20 11:17:45 CEST 2014: 15: finished (968ms, 500cycles)
Tue May 20 11:17:45 CEST 2014: 15: No solution found.
Tue May 20 11:17:54 CEST 2014: 16: finished (9613ms, 500cycles)
Tue May 20 11:17:54 CEST 2014: 16: No solution found.
Tue May 20 11:18:01 CEST 2014: 17: finished (7172ms, 500cycles)
Tue May 20 11:18:01 CEST 2014: 17: No solution found.
Tue May 20 11:18:09 CEST 2014: 18: finished (7783ms, 500cycles)
Tue May 20 11:18:09 CEST 2014: 18: No solution found.
Tue May 20 11:18:12 CEST 2014: 19: finished (2323ms, 162cycles)
Tue May 20 11:18:12 CEST 2014: 19: Solution found.
Tue May 20 11:18:16 CEST 2014: 20: finished (4450ms, 500cycles)
Tue May 20 11:18:16 CEST 2014: 20: No solution found.
Tue May 20 11:18:20 CEST 2014: 21: finished (3958ms, 500cycles)
Tue May 20 11:18:20 CEST 2014: 21: No solution found.
Tue May 20 11:18:27 CEST 2014: 22: finished (6858ms, 500cycles)
Tue May 20 11:18:27 CEST 2014: 22: No solution found.
Tue May 20 11:18:36 CEST 2014: 23: finished (9065ms, 500cycles)
Tue May 20 11:18:36 CEST 2014: 23: No solution found.
Tue May 20 11:18:43 CEST 2014: 24: finished (6849ms, 500cycles)
Tue May 20 11:18:43 CEST 2014: 24: No solution found.
Tue May 20 11:18:50 CEST 2014: 25: finished (6916ms, 500cycles)
Tue May 20 11:18:50 CEST 2014: 25: No solution found.
Tue May 20 11:18:52 CEST 2014: 26: finished (2344ms, 157cycles)
Tue May 20 11:18:52 CEST 2014: 26: Solution found.
Tue May 20 11:18:57 CEST 2014: 27: finished (4365ms, 500cycles)
Tue May 20 11:18:57 CEST 2014: 27: No solution found.
Tue May 20 11:19:02 CEST 2014: 28: finished (5661ms, 500cycles)
Tue May 20 11:19:02 CEST 2014: 28: No solution found.
Tue May 20 11:19:09 CEST 2014: 29: finished (6209ms, 500cycles)
Tue May 20 11:19:09 CEST 2014: 29: No solution found.
Tue May 20 11:19:16 CEST 2014: 30: finished (7523ms, 500cycles)
Tue May 20 11:19:16 CEST 2014: 30: No solution found.
Tue May 20 11:19:26 CEST 2014: 31: finished (10058ms, 500cycles)
Tue May 20 11:19:26 CEST 2014: 31: No solution found.
Tue May 20 11:19:36 CEST 2014: 32: finished (10301ms, 500cycles)
Tue May 20 11:19:36 CEST 2014: 32: No solution found.
Tue May 20 11:19:44 CEST 2014: 33: finished (7326ms, 500cycles)
Tue May 20 11:19:44 CEST 2014: 33: No solution found.
Tue May 20 11:19:44 CEST 2014: 34: finished (258ms, 32cycles)
Tue May 20 11:19:44 CEST 2014: 34: Solution found.
Tue May 20 11:19:53 CEST 2014: 35: finished (8532ms, 500cycles)
Tue May 20 11:19:53 CEST 2014: 35: No solution found.
Tue May 20 11:19:57 CEST 2014: 36: finished (4482ms, 500cycles)
Tue May 20 11:19:57 CEST 2014: 36: No solution found.
Tue May 20 11:20:03 CEST 2014: 37: finished (6275ms, 500cycles)
Tue May 20 11:20:03 CEST 2014: 37: No solution found.
Tue May 20 11:20:08 CEST 2014: 38: finished (4392ms, 500cycles)
Tue May 20 11:20:08 CEST 2014: 38: No solution found.
Tue May 20 11:20:18 CEST 2014: 39: finished (10489ms, 500cycles)
Tue May 20 11:20:18 CEST 2014: 39: No solution found.
Tue May 20 11:20:24 CEST 2014: 40: finished (5647ms, 500cycles)
Tue May 20 11:20:24 CEST 2014: 40: No solution found.
Tue May 20 11:20:33 CEST 2014: 41: finished (8518ms, 500cycles)
Tue May 20 11:20:33 CEST 2014: 41: No solution found.
Tue May 20 11:20:37 CEST 2014: 42: finished (4316ms, 500cycles)
Tue May 20 11:20:37 CEST 2014: 42: No solution found.
Tue May 20 11:20:37 CEST 2014: 43: finished (586ms, 48cycles)
Tue May 20 11:20:38 CEST 2014: 43: Solution found.
Tue May 20 11:20:47 CEST 2014: 44: finished (9072ms, 500cycles)
Tue May 20 11:20:47 CEST 2014: 44: No solution found.
Tue May 20 11:20:54 CEST 2014: 45: finished (7647ms, 500cycles)
Tue May 20 11:20:54 CEST 2014: 45: No solution found.
Tue May 20 11:20:59 CEST 2014: 46: finished (4883ms, 500cycles)
Tue May 20 11:20:59 CEST 2014: 46: No solution found.
Tue May 20 11:21:07 CEST 2014: 47: finished (7656ms, 500cycles)
Tue May 20 11:21:07 CEST 2014: 47: No solution found.
Tue May 20 11:21:14 CEST 2014: 48: finished (6757ms, 500cycles)
Tue May 20 11:21:14 CEST 2014: 48: No solution found.
Tue May 20 11:21:23 CEST 2014: 49: finished (8897ms, 500cycles)
Tue May 20 11:21:23 CEST 2014: 49: No solution found.
Tue May 20 11:21:31 CEST 2014: 50: finished (8524ms, 500cycles)
Tue May 20 11:21:31 CEST 2014: 50: No solution found.
Tue May 20 11:21:37 CEST 2014: 51: finished (5807ms, 500cycles)
Tue May 20 11:21:37 CEST 2014: 51: No solution found.
Tue May 20 11:21:45 CEST 2014: 52: finished (7823ms, 500cycles)
Tue May 20 11:21:45 CEST 2014: 52: No solution found.
Tue May 20 11:21:52 CEST 2014: 53: finished (7160ms, 500cycles)
Tue May 20 11:21:52 CEST 2014: 53: No solution found.
Tue May 20 11:22:04 CEST 2014: 54: finished (11980ms, 500cycles)
Tue May 20 11:22:04 CEST 2014: 54: No solution found.
Tue May 20 11:22:07 CEST 2014: 55: finished (2645ms, 189cycles)
Tue May 20 11:22:07 CEST 2014: 55: Solution found.
Tue May 20 11:22:14 CEST 2014: 56: finished (7100ms, 500cycles)
Tue May 20 11:22:14 CEST 2014: 56: No solution found.
Tue May 20 11:22:19 CEST 2014: 57: finished (5033ms, 500cycles)
Tue May 20 11:22:19 CEST 2014: 57: No solution found.
Tue May 20 11:22:27 CEST 2014: 58: finished (8069ms, 500cycles)
Tue May 20 11:22:27 CEST 2014: 58: No solution found.
Tue May 20 11:22:32 CEST 2014: 59: finished (4733ms, 500cycles)
Tue May 20 11:22:32 CEST 2014: 59: No solution found.
Tue May 20 11:22:38 CEST 2014: 60: finished (6479ms, 500cycles)
Tue May 20 11:22:38 CEST 2014: 60: No solution found.
Tue May 20 11:22:47 CEST 2014: 61: finished (8535ms, 500cycles)
Tue May 20 11:22:47 CEST 2014: 61: No solution found.
