Mon May 19 21:43:25 CEST 2014: Problem Count: 10
Mon May 19 21:43:25 CEST 2014: CandidatesCount: 200
Mon May 19 21:43:25 CEST 2014: Max Cycles: 500
Mon May 19 21:43:39 CEST 2014: 0: finished (14579ms, 500cycles)
Mon May 19 21:43:39 CEST 2014: 0: No solution found.
Mon May 19 21:43:49 CEST 2014: 1: finished (9503ms, 500cycles)
Mon May 19 21:43:49 CEST 2014: 1: No solution found.
Mon May 19 21:43:58 CEST 2014: 2: finished (8992ms, 500cycles)
Mon May 19 21:43:58 CEST 2014: 2: No solution found.
Mon May 19 21:44:16 CEST 2014: 3: finished (17742ms, 500cycles)
Mon May 19 21:44:16 CEST 2014: 3: No solution found.
Mon May 19 21:44:31 CEST 2014: 4: finished (15340ms, 500cycles)
Mon May 19 21:44:31 CEST 2014: 4: No solution found.
Mon May 19 21:44:48 CEST 2014: 5: finished (16566ms, 500cycles)
Mon May 19 21:44:48 CEST 2014: 5: No solution found.
Mon May 19 21:45:03 CEST 2014: 6: finished (15529ms, 500cycles)
Mon May 19 21:45:03 CEST 2014: 6: No solution found.
Mon May 19 21:45:17 CEST 2014: 7: finished (13629ms, 500cycles)
Mon May 19 21:45:17 CEST 2014: 7: No solution found.
Mon May 19 21:45:32 CEST 2014: 8: finished (15206ms, 500cycles)
Mon May 19 21:45:32 CEST 2014: 8: No solution found.
Mon May 19 21:45:47 CEST 2014: 9: finished (14635ms, 500cycles)
Mon May 19 21:45:47 CEST 2014: 9: No solution found.
Mon May 19 21:45:58 CEST 2014: 10: finished (11379ms, 500cycles)
Mon May 19 21:45:58 CEST 2014: 10: No solution found.
Mon May 19 21:46:11 CEST 2014: 11: finished (12941ms, 500cycles)
Mon May 19 21:46:11 CEST 2014: 11: No solution found.
Mon May 19 21:46:26 CEST 2014: 12: finished (14423ms, 500cycles)
Mon May 19 21:46:26 CEST 2014: 12: No solution found.
Mon May 19 21:46:28 CEST 2014: 13: finished (2637ms, 95cycles)
Mon May 19 21:46:28 CEST 2014: 13: Solution found.
Mon May 19 21:46:37 CEST 2014: 14: finished (9089ms, 500cycles)
Mon May 19 21:46:37 CEST 2014: 14: No solution found.
Mon May 19 21:46:55 CEST 2014: 15: finished (17203ms, 500cycles)
Mon May 19 21:46:55 CEST 2014: 15: No solution found.
Mon May 19 21:47:04 CEST 2014: 16: finished (9675ms, 500cycles)
Mon May 19 21:47:04 CEST 2014: 16: No solution found.
Mon May 19 21:47:13 CEST 2014: 17: finished (8984ms, 500cycles)
Mon May 19 21:47:13 CEST 2014: 17: No solution found.
Mon May 19 21:47:22 CEST 2014: 18: finished (9202ms, 500cycles)
Mon May 19 21:47:22 CEST 2014: 18: No solution found.
Mon May 19 21:47:33 CEST 2014: 19: finished (10420ms, 500cycles)
Mon May 19 21:47:33 CEST 2014: 19: No solution found.
Mon May 19 21:47:50 CEST 2014: 20: finished (17271ms, 500cycles)
Mon May 19 21:47:50 CEST 2014: 20: No solution found.
Mon May 19 21:48:00 CEST 2014: 21: finished (10069ms, 500cycles)
Mon May 19 21:48:00 CEST 2014: 21: No solution found.
Mon May 19 21:48:03 CEST 2014: 22: finished (3116ms, 101cycles)
Mon May 19 21:48:03 CEST 2014: 22: Solution found.
Mon May 19 21:48:19 CEST 2014: 23: finished (15730ms, 500cycles)
Mon May 19 21:48:19 CEST 2014: 23: No solution found.
Mon May 19 21:48:29 CEST 2014: 24: finished (10025ms, 500cycles)
Mon May 19 21:48:29 CEST 2014: 24: No solution found.
Mon May 19 21:48:43 CEST 2014: 25: finished (13305ms, 500cycles)
Mon May 19 21:48:43 CEST 2014: 25: No solution found.
Mon May 19 21:48:59 CEST 2014: 26: finished (16586ms, 500cycles)
Mon May 19 21:48:59 CEST 2014: 26: No solution found.
Mon May 19 21:49:18 CEST 2014: 27: finished (18592ms, 500cycles)
Mon May 19 21:49:18 CEST 2014: 27: No solution found.
Mon May 19 21:49:30 CEST 2014: 28: finished (12025ms, 500cycles)
Mon May 19 21:49:30 CEST 2014: 28: No solution found.
Mon May 19 21:49:46 CEST 2014: 29: finished (16216ms, 500cycles)
Mon May 19 21:49:46 CEST 2014: 29: No solution found.
Mon May 19 21:50:01 CEST 2014: 30: finished (14983ms, 500cycles)
Mon May 19 21:50:01 CEST 2014: 30: No solution found.
Mon May 19 21:50:16 CEST 2014: 31: finished (15059ms, 500cycles)
Mon May 19 21:50:16 CEST 2014: 31: No solution found.
Mon May 19 21:50:27 CEST 2014: 32: finished (11034ms, 500cycles)
Mon May 19 21:50:27 CEST 2014: 32: No solution found.
Mon May 19 21:50:39 CEST 2014: 33: finished (11280ms, 500cycles)
Mon May 19 21:50:39 CEST 2014: 33: No solution found.
Mon May 19 21:50:49 CEST 2014: 34: finished (10389ms, 500cycles)
Mon May 19 21:50:49 CEST 2014: 34: No solution found.
Mon May 19 21:50:58 CEST 2014: 35: finished (8990ms, 500cycles)
Mon May 19 21:50:58 CEST 2014: 35: No solution found.
Mon May 19 21:51:10 CEST 2014: 36: finished (12416ms, 500cycles)
Mon May 19 21:51:10 CEST 2014: 36: No solution found.
Mon May 19 21:51:23 CEST 2014: 37: finished (12458ms, 500cycles)
Mon May 19 21:51:23 CEST 2014: 37: No solution found.
Mon May 19 21:51:26 CEST 2014: 38: finished (3238ms, 104cycles)
Mon May 19 21:51:26 CEST 2014: 38: Solution found.
Mon May 19 21:51:42 CEST 2014: 39: finished (15958ms, 500cycles)
Mon May 19 21:51:42 CEST 2014: 39: No solution found.
Mon May 19 21:52:00 CEST 2014: 40: finished (17459ms, 500cycles)
Mon May 19 21:52:00 CEST 2014: 40: No solution found.
Mon May 19 21:52:18 CEST 2014: 41: finished (18330ms, 500cycles)
Mon May 19 21:52:18 CEST 2014: 41: No solution found.
Mon May 19 21:52:23 CEST 2014: 42: finished (5414ms, 196cycles)
Mon May 19 21:52:24 CEST 2014: 42: Solution found.
Mon May 19 21:52:35 CEST 2014: 43: finished (11623ms, 500cycles)
Mon May 19 21:52:35 CEST 2014: 43: No solution found.
Mon May 19 21:52:56 CEST 2014: 44: finished (20411ms, 500cycles)
Mon May 19 21:52:56 CEST 2014: 44: No solution found.
Mon May 19 21:53:06 CEST 2014: 45: finished (10383ms, 500cycles)
Mon May 19 21:53:06 CEST 2014: 45: No solution found.
Mon May 19 21:53:23 CEST 2014: 46: finished (17344ms, 500cycles)
Mon May 19 21:53:23 CEST 2014: 46: No solution found.
Mon May 19 21:53:37 CEST 2014: 47: finished (14119ms, 500cycles)
Mon May 19 21:53:37 CEST 2014: 47: No solution found.
Mon May 19 21:53:55 CEST 2014: 48: finished (17787ms, 500cycles)
Mon May 19 21:53:55 CEST 2014: 48: No solution found.
Mon May 19 21:54:11 CEST 2014: 49: finished (15894ms, 500cycles)
Mon May 19 21:54:11 CEST 2014: 49: No solution found.
Mon May 19 21:54:20 CEST 2014: 50: finished (8369ms, 500cycles)
Mon May 19 21:54:20 CEST 2014: 50: No solution found.
Mon May 19 21:54:26 CEST 2014: 51: finished (6590ms, 219cycles)
Mon May 19 21:54:26 CEST 2014: 51: Solution found.
Mon May 19 21:54:35 CEST 2014: 52: finished (8893ms, 500cycles)
Mon May 19 21:54:35 CEST 2014: 52: No solution found.
Mon May 19 21:54:54 CEST 2014: 53: finished (19282ms, 500cycles)
Mon May 19 21:54:54 CEST 2014: 53: No solution found.
Mon May 19 21:55:10 CEST 2014: 54: finished (15407ms, 500cycles)
Mon May 19 21:55:10 CEST 2014: 54: No solution found.
Mon May 19 21:55:20 CEST 2014: 55: finished (10604ms, 500cycles)
Mon May 19 21:55:20 CEST 2014: 55: No solution found.
Mon May 19 21:55:34 CEST 2014: 56: finished (13480ms, 500cycles)
Mon May 19 21:55:34 CEST 2014: 56: No solution found.
Mon May 19 21:55:47 CEST 2014: 57: finished (13215ms, 500cycles)
Mon May 19 21:55:47 CEST 2014: 57: No solution found.
Mon May 19 21:55:56 CEST 2014: 58: finished (8836ms, 500cycles)
Mon May 19 21:55:56 CEST 2014: 58: No solution found.
Mon May 19 21:56:14 CEST 2014: 59: finished (17799ms, 500cycles)
Mon May 19 21:56:14 CEST 2014: 59: No solution found.
Mon May 19 21:56:25 CEST 2014: 60: finished (11315ms, 500cycles)
Mon May 19 21:56:25 CEST 2014: 60: No solution found.
Mon May 19 21:56:34 CEST 2014: 61: finished (8552ms, 500cycles)
Mon May 19 21:56:34 CEST 2014: 61: No solution found.
Mon May 19 21:56:42 CEST 2014: 62: finished (8018ms, 500cycles)
Mon May 19 21:56:42 CEST 2014: 62: No solution found.
Mon May 19 21:56:54 CEST 2014: 63: finished (12164ms, 500cycles)
Mon May 19 21:56:54 CEST 2014: 63: No solution found.
Mon May 19 21:57:06 CEST 2014: 64: finished (12271ms, 500cycles)
Mon May 19 21:57:06 CEST 2014: 64: No solution found.
Mon May 19 21:57:13 CEST 2014: 65: finished (6385ms, 500cycles)
Mon May 19 21:57:13 CEST 2014: 65: No solution found.
Mon May 19 21:57:23 CEST 2014: 66: finished (10253ms, 500cycles)
Mon May 19 21:57:23 CEST 2014: 66: No solution found.
Mon May 19 21:57:34 CEST 2014: 67: finished (10639ms, 500cycles)
Mon May 19 21:57:34 CEST 2014: 67: No solution found.
Mon May 19 21:57:42 CEST 2014: 68: finished (8322ms, 500cycles)
Mon May 19 21:57:42 CEST 2014: 68: No solution found.
Mon May 19 21:57:53 CEST 2014: 69: finished (11360ms, 500cycles)
Mon May 19 21:57:53 CEST 2014: 69: No solution found.
Mon May 19 21:57:58 CEST 2014: 70: finished (5116ms, 217cycles)
Mon May 19 21:57:58 CEST 2014: 70: Solution found.
Mon May 19 21:58:13 CEST 2014: 71: finished (14997ms, 500cycles)
Mon May 19 21:58:13 CEST 2014: 71: No solution found.
Mon May 19 21:58:23 CEST 2014: 72: finished (9902ms, 500cycles)
Mon May 19 21:58:23 CEST 2014: 72: No solution found.
Mon May 19 21:58:30 CEST 2014: 73: finished (6652ms, 500cycles)
Mon May 19 21:58:30 CEST 2014: 73: No solution found.
Mon May 19 21:58:37 CEST 2014: 74: finished (6904ms, 500cycles)
Mon May 19 21:58:37 CEST 2014: 74: No solution found.
Mon May 19 21:58:48 CEST 2014: 75: finished (10967ms, 500cycles)
Mon May 19 21:58:48 CEST 2014: 75: No solution found.
Mon May 19 21:59:00 CEST 2014: 76: finished (11744ms, 500cycles)
Mon May 19 21:59:00 CEST 2014: 76: No solution found.
Mon May 19 21:59:01 CEST 2014: 77: finished (936ms, 45cycles)
Mon May 19 21:59:01 CEST 2014: 77: Solution found.
Mon May 19 21:59:09 CEST 2014: 78: finished (7805ms, 500cycles)
Mon May 19 21:59:09 CEST 2014: 78: No solution found.
Mon May 19 21:59:15 CEST 2014: 79: finished (6519ms, 500cycles)
Mon May 19 21:59:15 CEST 2014: 79: No solution found.
Mon May 19 21:59:23 CEST 2014: 80: finished (8133ms, 500cycles)
Mon May 19 21:59:23 CEST 2014: 80: No solution found.
Mon May 19 21:59:29 CEST 2014: 81: finished (5645ms, 331cycles)
Mon May 19 21:59:29 CEST 2014: 81: Solution found.
Mon May 19 21:59:37 CEST 2014: 82: finished (8032ms, 500cycles)
Mon May 19 21:59:37 CEST 2014: 82: No solution found.
Mon May 19 21:59:49 CEST 2014: 83: finished (12376ms, 500cycles)
Mon May 19 21:59:49 CEST 2014: 83: No solution found.
Mon May 19 22:00:00 CEST 2014: 84: finished (10464ms, 500cycles)
Mon May 19 22:00:00 CEST 2014: 84: No solution found.
Mon May 19 22:00:13 CEST 2014: 85: finished (13198ms, 500cycles)
Mon May 19 22:00:13 CEST 2014: 85: No solution found.
Mon May 19 22:00:25 CEST 2014: 86: finished (11552ms, 500cycles)
Mon May 19 22:00:25 CEST 2014: 86: No solution found.
Mon May 19 22:00:37 CEST 2014: 87: finished (12836ms, 500cycles)
Mon May 19 22:00:37 CEST 2014: 87: No solution found.
Mon May 19 22:00:44 CEST 2014: 88: finished (6684ms, 500cycles)
Mon May 19 22:00:44 CEST 2014: 88: No solution found.
Mon May 19 22:00:56 CEST 2014: 89: finished (11386ms, 500cycles)
Mon May 19 22:00:56 CEST 2014: 89: No solution found.
Mon May 19 22:01:02 CEST 2014: 90: finished (6174ms, 500cycles)
Mon May 19 22:01:02 CEST 2014: 90: No solution found.
Mon May 19 22:01:13 CEST 2014: 91: finished (10987ms, 500cycles)
Mon May 19 22:01:13 CEST 2014: 91: No solution found.
Mon May 19 22:01:26 CEST 2014: 92: finished (13089ms, 500cycles)
Mon May 19 22:01:26 CEST 2014: 92: No solution found.
Mon May 19 22:01:34 CEST 2014: 93: finished (8628ms, 500cycles)
Mon May 19 22:01:34 CEST 2014: 93: No solution found.
Mon May 19 22:01:41 CEST 2014: 94: finished (6691ms, 331cycles)
Mon May 19 22:01:41 CEST 2014: 94: Solution found.
Mon May 19 22:01:43 CEST 2014: 95: finished (2042ms, 125cycles)
Mon May 19 22:01:43 CEST 2014: 95: Solution found.
Mon May 19 22:01:53 CEST 2014: 96: finished (10080ms, 500cycles)
Mon May 19 22:01:53 CEST 2014: 96: No solution found.
Mon May 19 22:02:03 CEST 2014: 97: finished (9648ms, 500cycles)
Mon May 19 22:02:03 CEST 2014: 97: No solution found.
Mon May 19 22:02:17 CEST 2014: 98: finished (14140ms, 500cycles)
Mon May 19 22:02:17 CEST 2014: 98: No solution found.
Mon May 19 22:02:25 CEST 2014: 99: finished (8196ms, 500cycles)
Mon May 19 22:02:25 CEST 2014: 99: No solution found.
Mon May 19 22:02:25 CEST 2014: Solution Found: 10
Mon May 19 22:02:25 CEST 2014: Avg cycles: 176
Mon May 19 22:02:25 CEST 2014: Max cycles: 331
Mon May 19 22:02:25 CEST 2014: Min cycles: 45
Mon May 19 22:02:25 CEST 2014: No solution found: 90
Mon May 19 22:02:25 CEST 2014: logging finished. (runtime: 1140572ms)
