Mon May 19 23:55:26 CEST 2014: Problem Count: 10
Mon May 19 23:55:26 CEST 2014: CandidatesCount: 100
Mon May 19 23:55:26 CEST 2014: Max Cycles: 500
Mon May 19 23:55:31 CEST 2014: 0: finished (4720ms, 500cycles)
Mon May 19 23:55:31 CEST 2014: 0: No solution found.
Mon May 19 23:55:35 CEST 2014: 1: finished (3873ms, 500cycles)
Mon May 19 23:55:35 CEST 2014: 1: No solution found.
Mon May 19 23:55:37 CEST 2014: 2: finished (2772ms, 500cycles)
Mon May 19 23:55:37 CEST 2014: 2: No solution found.
Mon May 19 23:55:42 CEST 2014: 3: finished (4080ms, 500cycles)
Mon May 19 23:55:42 CEST 2014: 3: No solution found.
Mon May 19 23:55:46 CEST 2014: 4: finished (4184ms, 500cycles)
Mon May 19 23:55:46 CEST 2014: 4: No solution found.
Mon May 19 23:55:48 CEST 2014: 5: finished (2544ms, 500cycles)
Mon May 19 23:55:48 CEST 2014: 5: No solution found.
Mon May 19 23:55:53 CEST 2014: 6: finished (4740ms, 500cycles)
Mon May 19 23:55:53 CEST 2014: 6: No solution found.
Mon May 19 23:55:59 CEST 2014: 7: finished (5429ms, 500cycles)
Mon May 19 23:55:59 CEST 2014: 7: No solution found.
Mon May 19 23:56:01 CEST 2014: 8: finished (2584ms, 500cycles)
Mon May 19 23:56:01 CEST 2014: 8: No solution found.
Mon May 19 23:56:04 CEST 2014: 9: finished (2677ms, 500cycles)
Mon May 19 23:56:04 CEST 2014: 9: No solution found.
Mon May 19 23:56:07 CEST 2014: 10: finished (2730ms, 500cycles)
Mon May 19 23:56:07 CEST 2014: 10: No solution found.
Mon May 19 23:56:10 CEST 2014: 11: finished (2940ms, 500cycles)
Mon May 19 23:56:10 CEST 2014: 11: No solution found.
Mon May 19 23:56:14 CEST 2014: 12: finished (4831ms, 500cycles)
Mon May 19 23:56:14 CEST 2014: 12: No solution found.
Mon May 19 23:56:19 CEST 2014: 13: finished (4175ms, 465cycles)
Mon May 19 23:56:19 CEST 2014: 13: Solution found.
Mon May 19 23:56:23 CEST 2014: 14: finished (4803ms, 500cycles)
Mon May 19 23:56:23 CEST 2014: 14: No solution found.
Mon May 19 23:56:26 CEST 2014: 15: finished (2997ms, 500cycles)
Mon May 19 23:56:26 CEST 2014: 15: No solution found.
Mon May 19 23:56:30 CEST 2014: 16: finished (3836ms, 500cycles)
Mon May 19 23:56:30 CEST 2014: 16: No solution found.
Mon May 19 23:56:35 CEST 2014: 17: finished (4588ms, 500cycles)
Mon May 19 23:56:35 CEST 2014: 17: No solution found.
