Sun Jan 12 00:06:09 CET 2014: Problem Count: 20
Sun Jan 12 00:06:09 CET 2014: CandidatesCount: 40
Sun Jan 12 00:06:09 CET 2014: Max Cycles: 500
Sun Jan 12 00:06:09 CET 2014: 0: finished (324ms, 500cycles)
Sun Jan 12 00:06:09 CET 2014: 0: No solution found.
Sun Jan 12 00:06:10 CET 2014: 1: finished (280ms, 500cycles)
Sun Jan 12 00:06:10 CET 2014: 1: No solution found.
Sun Jan 12 00:06:10 CET 2014: 2: finished (269ms, 500cycles)
Sun Jan 12 00:06:10 CET 2014: 2: No solution found.
Sun Jan 12 00:06:10 CET 2014: 3: finished (310ms, 500cycles)
Sun Jan 12 00:06:10 CET 2014: 3: No solution found.
Sun Jan 12 00:06:10 CET 2014: 4: finished (236ms, 500cycles)
Sun Jan 12 00:06:10 CET 2014: 4: No solution found.
Sun Jan 12 00:06:11 CET 2014: 5: finished (190ms, 500cycles)
Sun Jan 12 00:06:11 CET 2014: 5: No solution found.
Sun Jan 12 00:06:11 CET 2014: 6: finished (223ms, 500cycles)
Sun Jan 12 00:06:11 CET 2014: 6: No solution found.
Sun Jan 12 00:06:11 CET 2014: 7: finished (159ms, 500cycles)
Sun Jan 12 00:06:11 CET 2014: 7: No solution found.
Sun Jan 12 00:06:11 CET 2014: 8: finished (338ms, 500cycles)
Sun Jan 12 00:06:11 CET 2014: 8: No solution found.
Sun Jan 12 00:06:11 CET 2014: 9: finished (178ms, 500cycles)
Sun Jan 12 00:06:11 CET 2014: 9: No solution found.
Sun Jan 12 00:06:12 CET 2014: 10: finished (240ms, 500cycles)
Sun Jan 12 00:06:12 CET 2014: 10: No solution found.
Sun Jan 12 00:06:12 CET 2014: 11: finished (296ms, 500cycles)
Sun Jan 12 00:06:12 CET 2014: 11: No solution found.
Sun Jan 12 00:06:12 CET 2014: 12: finished (294ms, 500cycles)
Sun Jan 12 00:06:12 CET 2014: 12: No solution found.
Sun Jan 12 00:06:13 CET 2014: 13: finished (226ms, 500cycles)
Sun Jan 12 00:06:13 CET 2014: 13: No solution found.
Sun Jan 12 00:06:13 CET 2014: 14: finished (324ms, 500cycles)
Sun Jan 12 00:06:13 CET 2014: 14: No solution found.
Sun Jan 12 00:06:13 CET 2014: 15: finished (234ms, 500cycles)
Sun Jan 12 00:06:13 CET 2014: 15: No solution found.
Sun Jan 12 00:06:13 CET 2014: 16: finished (344ms, 500cycles)
Sun Jan 12 00:06:13 CET 2014: 16: No solution found.
Sun Jan 12 00:06:14 CET 2014: 17: finished (213ms, 500cycles)
Sun Jan 12 00:06:14 CET 2014: 17: No solution found.
Sun Jan 12 00:06:14 CET 2014: 18: finished (205ms, 500cycles)
Sun Jan 12 00:06:14 CET 2014: 18: No solution found.
Sun Jan 12 00:06:14 CET 2014: 19: finished (284ms, 500cycles)
Sun Jan 12 00:06:14 CET 2014: 19: No solution found.
Sun Jan 12 00:06:14 CET 2014: 20: finished (235ms, 500cycles)
Sun Jan 12 00:06:14 CET 2014: 20: No solution found.
Sun Jan 12 00:06:15 CET 2014: 21: finished (192ms, 500cycles)
Sun Jan 12 00:06:15 CET 2014: 21: No solution found.
Sun Jan 12 00:06:15 CET 2014: 22: finished (185ms, 500cycles)
Sun Jan 12 00:06:15 CET 2014: 22: No solution found.
Sun Jan 12 00:06:15 CET 2014: 23: finished (217ms, 500cycles)
Sun Jan 12 00:06:15 CET 2014: 23: No solution found.
Sun Jan 12 00:06:15 CET 2014: 24: finished (161ms, 500cycles)
Sun Jan 12 00:06:15 CET 2014: 24: No solution found.
Sun Jan 12 00:06:15 CET 2014: 25: finished (306ms, 500cycles)
Sun Jan 12 00:06:15 CET 2014: 25: No solution found.
Sun Jan 12 00:06:16 CET 2014: 26: finished (157ms, 500cycles)
Sun Jan 12 00:06:16 CET 2014: 26: No solution found.
Sun Jan 12 00:06:16 CET 2014: 27: finished (280ms, 500cycles)
Sun Jan 12 00:06:16 CET 2014: 27: No solution found.
Sun Jan 12 00:06:16 CET 2014: 28: finished (300ms, 500cycles)
Sun Jan 12 00:06:16 CET 2014: 28: No solution found.
Sun Jan 12 00:06:16 CET 2014: 29: finished (160ms, 500cycles)
Sun Jan 12 00:06:16 CET 2014: 29: No solution found.
Sun Jan 12 00:06:16 CET 2014: 30: finished (193ms, 500cycles)
Sun Jan 12 00:06:16 CET 2014: 30: No solution found.
Sun Jan 12 00:06:17 CET 2014: 31: finished (250ms, 500cycles)
Sun Jan 12 00:06:17 CET 2014: 31: No solution found.
Sun Jan 12 00:06:17 CET 2014: 32: finished (287ms, 500cycles)
Sun Jan 12 00:06:17 CET 2014: 32: No solution found.
Sun Jan 12 00:06:17 CET 2014: 33: finished (209ms, 500cycles)
Sun Jan 12 00:06:17 CET 2014: 33: No solution found.
Sun Jan 12 00:06:17 CET 2014: 34: finished (213ms, 500cycles)
Sun Jan 12 00:06:17 CET 2014: 34: No solution found.
Sun Jan 12 00:06:18 CET 2014: 35: finished (205ms, 500cycles)
Sun Jan 12 00:06:18 CET 2014: 35: No solution found.
Sun Jan 12 00:06:18 CET 2014: 36: finished (345ms, 500cycles)
Sun Jan 12 00:06:18 CET 2014: 36: No solution found.
Sun Jan 12 00:06:18 CET 2014: 37: finished (342ms, 500cycles)
Sun Jan 12 00:06:18 CET 2014: 37: No solution found.
Sun Jan 12 00:06:19 CET 2014: 38: finished (309ms, 500cycles)
Sun Jan 12 00:06:19 CET 2014: 38: No solution found.
Sun Jan 12 00:06:19 CET 2014: 39: finished (204ms, 500cycles)
Sun Jan 12 00:06:19 CET 2014: 39: No solution found.
Sun Jan 12 00:06:19 CET 2014: 40: finished (278ms, 500cycles)
Sun Jan 12 00:06:19 CET 2014: 40: No solution found.
Sun Jan 12 00:06:19 CET 2014: 41: finished (181ms, 500cycles)
Sun Jan 12 00:06:19 CET 2014: 41: No solution found.
Sun Jan 12 00:06:20 CET 2014: 42: finished (355ms, 500cycles)
Sun Jan 12 00:06:20 CET 2014: 42: No solution found.
Sun Jan 12 00:06:20 CET 2014: 43: finished (250ms, 500cycles)
Sun Jan 12 00:06:20 CET 2014: 43: No solution found.
Sun Jan 12 00:06:20 CET 2014: 44: finished (186ms, 500cycles)
Sun Jan 12 00:06:20 CET 2014: 44: No solution found.
Sun Jan 12 00:06:20 CET 2014: 45: finished (329ms, 500cycles)
Sun Jan 12 00:06:20 CET 2014: 45: No solution found.
Sun Jan 12 00:06:21 CET 2014: 46: finished (251ms, 500cycles)
Sun Jan 12 00:06:21 CET 2014: 46: No solution found.
Sun Jan 12 00:06:21 CET 2014: 47: finished (236ms, 500cycles)
Sun Jan 12 00:06:21 CET 2014: 47: No solution found.
Sun Jan 12 00:06:21 CET 2014: 48: finished (186ms, 500cycles)
Sun Jan 12 00:06:21 CET 2014: 48: No solution found.
Sun Jan 12 00:06:21 CET 2014: 49: finished (331ms, 500cycles)
Sun Jan 12 00:06:21 CET 2014: 49: No solution found.
Sun Jan 12 00:06:22 CET 2014: 50: finished (276ms, 500cycles)
Sun Jan 12 00:06:22 CET 2014: 50: No solution found.
Sun Jan 12 00:06:22 CET 2014: 51: finished (200ms, 500cycles)
Sun Jan 12 00:06:22 CET 2014: 51: No solution found.
Sun Jan 12 00:06:22 CET 2014: 52: finished (208ms, 500cycles)
Sun Jan 12 00:06:22 CET 2014: 52: No solution found.
Sun Jan 12 00:06:22 CET 2014: 53: finished (182ms, 500cycles)
Sun Jan 12 00:06:22 CET 2014: 53: No solution found.
Sun Jan 12 00:06:23 CET 2014: 54: finished (260ms, 500cycles)
Sun Jan 12 00:06:23 CET 2014: 54: No solution found.
Sun Jan 12 00:06:23 CET 2014: 55: finished (192ms, 500cycles)
Sun Jan 12 00:06:23 CET 2014: 55: No solution found.
Sun Jan 12 00:06:23 CET 2014: 56: finished (222ms, 500cycles)
Sun Jan 12 00:06:23 CET 2014: 56: No solution found.
Sun Jan 12 00:06:23 CET 2014: 57: finished (274ms, 500cycles)
Sun Jan 12 00:06:23 CET 2014: 57: No solution found.
Sun Jan 12 00:06:24 CET 2014: 58: finished (284ms, 500cycles)
Sun Jan 12 00:06:24 CET 2014: 58: No solution found.
Sun Jan 12 00:06:24 CET 2014: 59: finished (238ms, 500cycles)
Sun Jan 12 00:06:24 CET 2014: 59: No solution found.
Sun Jan 12 00:06:24 CET 2014: 60: finished (172ms, 500cycles)
Sun Jan 12 00:06:24 CET 2014: 60: No solution found.
Sun Jan 12 00:06:24 CET 2014: 61: finished (240ms, 500cycles)
Sun Jan 12 00:06:24 CET 2014: 61: No solution found.
Sun Jan 12 00:06:24 CET 2014: 62: finished (206ms, 500cycles)
Sun Jan 12 00:06:24 CET 2014: 62: No solution found.
Sun Jan 12 00:06:25 CET 2014: 63: finished (331ms, 500cycles)
Sun Jan 12 00:06:25 CET 2014: 63: No solution found.
Sun Jan 12 00:06:25 CET 2014: 64: finished (229ms, 500cycles)
Sun Jan 12 00:06:25 CET 2014: 64: No solution found.
Sun Jan 12 00:06:25 CET 2014: 65: finished (154ms, 500cycles)
Sun Jan 12 00:06:25 CET 2014: 65: No solution found.
Sun Jan 12 00:06:25 CET 2014: 66: finished (178ms, 500cycles)
Sun Jan 12 00:06:25 CET 2014: 66: No solution found.
Sun Jan 12 00:06:25 CET 2014: 67: finished (156ms, 500cycles)
Sun Jan 12 00:06:25 CET 2014: 67: No solution found.
Sun Jan 12 00:06:26 CET 2014: 68: finished (277ms, 500cycles)
Sun Jan 12 00:06:26 CET 2014: 68: No solution found.
Sun Jan 12 00:06:26 CET 2014: 69: finished (303ms, 500cycles)
Sun Jan 12 00:06:26 CET 2014: 69: No solution found.
Sun Jan 12 00:06:26 CET 2014: 70: finished (382ms, 500cycles)
Sun Jan 12 00:06:26 CET 2014: 70: No solution found.
Sun Jan 12 00:06:27 CET 2014: 71: finished (232ms, 500cycles)
Sun Jan 12 00:06:27 CET 2014: 71: No solution found.
Sun Jan 12 00:06:27 CET 2014: 72: finished (280ms, 500cycles)
Sun Jan 12 00:06:27 CET 2014: 72: No solution found.
Sun Jan 12 00:06:27 CET 2014: 73: finished (185ms, 500cycles)
Sun Jan 12 00:06:27 CET 2014: 73: No solution found.
Sun Jan 12 00:06:27 CET 2014: 74: finished (277ms, 500cycles)
Sun Jan 12 00:06:27 CET 2014: 74: No solution found.
Sun Jan 12 00:06:28 CET 2014: 75: finished (214ms, 500cycles)
Sun Jan 12 00:06:28 CET 2014: 75: No solution found.
Sun Jan 12 00:06:28 CET 2014: 76: finished (246ms, 500cycles)
Sun Jan 12 00:06:28 CET 2014: 76: No solution found.
Sun Jan 12 00:06:28 CET 2014: 77: finished (229ms, 500cycles)
Sun Jan 12 00:06:28 CET 2014: 77: No solution found.
Sun Jan 12 00:06:28 CET 2014: 78: finished (277ms, 500cycles)
Sun Jan 12 00:06:28 CET 2014: 78: No solution found.
Sun Jan 12 00:06:29 CET 2014: 79: finished (167ms, 500cycles)
Sun Jan 12 00:06:29 CET 2014: 79: No solution found.
Sun Jan 12 00:06:29 CET 2014: 80: finished (205ms, 500cycles)
Sun Jan 12 00:06:29 CET 2014: 80: No solution found.
Sun Jan 12 00:06:29 CET 2014: 81: finished (265ms, 500cycles)
Sun Jan 12 00:06:29 CET 2014: 81: No solution found.
Sun Jan 12 00:06:29 CET 2014: 82: finished (192ms, 500cycles)
Sun Jan 12 00:06:29 CET 2014: 82: No solution found.
