Sat Jan 11 19:02:59 CET 2014: 45: Solution found.
Sat Jan 11 19:02:59 CET 2014: 46: finished (230ms, 500cycles)
Sat Jan 11 19:02:59 CET 2014: 46: No solution found.
Sat Jan 11 19:02:59 CET 2014: 47: finished (219ms, 500cycles)
Sat Jan 11 19:02:59 CET 2014: 47: No solution found.
Sat Jan 11 19:03:00 CET 2014: 48: finished (217ms, 500cycles)
Sat Jan 11 19:03:00 CET 2014: 48: No solution found.
Sat Jan 11 19:03:00 CET 2014: 49: finished (206ms, 500cycles)
Sat Jan 11 19:03:00 CET 2014: 49: No solution found.
Sat Jan 11 19:03:00 CET 2014: 50: finished (207ms, 500cycles)
Sat Jan 11 19:03:00 CET 2014: 50: No solution found.
Sat Jan 11 19:03:00 CET 2014: 51: finished (211ms, 500cycles)
Sat Jan 11 19:03:00 CET 2014: 51: No solution found.
Sat Jan 11 19:03:01 CET 2014: 52: finished (219ms, 500cycles)
Sat Jan 11 19:03:01 CET 2014: 52: No solution found.
Sat Jan 11 19:03:01 CET 2014: 53: finished (218ms, 500cycles)
Sat Jan 11 19:03:01 CET 2014: 53: No solution found.
Sat Jan 11 19:03:01 CET 2014: 54: finished (221ms, 500cycles)
Sat Jan 11 19:03:01 CET 2014: 54: No solution found.
Sat Jan 11 19:03:01 CET 2014: 55: finished (208ms, 500cycles)
Sat Jan 11 19:03:01 CET 2014: 55: No solution found.
Sat Jan 11 19:03:01 CET 2014: 56: finished (218ms, 500cycles)
Sat Jan 11 19:03:01 CET 2014: 56: No solution found.
Sat Jan 11 19:03:01 CET 2014: 57: finished (11ms, 22cycles)
Sat Jan 11 19:03:01 CET 2014: 57: Solution found.
Sat Jan 11 19:03:01 CET 2014: 58: finished (9ms, 18cycles)
Sat Jan 11 19:03:01 CET 2014: 58: Solution found.
Sat Jan 11 19:03:02 CET 2014: 59: finished (224ms, 500cycles)
Sat Jan 11 19:03:02 CET 2014: 59: No solution found.
Sat Jan 11 19:03:02 CET 2014: 60: finished (220ms, 500cycles)
Sat Jan 11 19:03:02 CET 2014: 60: No solution found.
Sat Jan 11 19:03:02 CET 2014: 61: finished (210ms, 500cycles)
Sat Jan 11 19:03:02 CET 2014: 61: No solution found.
Sat Jan 11 19:03:02 CET 2014: 62: finished (210ms, 500cycles)
Sat Jan 11 19:03:02 CET 2014: 62: No solution found.
Sat Jan 11 19:03:02 CET 2014: 63: finished (223ms, 500cycles)
Sat Jan 11 19:03:02 CET 2014: 63: No solution found.
Sat Jan 11 19:03:03 CET 2014: 64: finished (12ms, 24cycles)
Sat Jan 11 19:03:03 CET 2014: 64: Solution found.
Sat Jan 11 19:03:03 CET 2014: 65: finished (9ms, 19cycles)
Sat Jan 11 19:03:03 CET 2014: 65: Solution found.
Sat Jan 11 19:03:03 CET 2014: 66: finished (207ms, 500cycles)
Sat Jan 11 19:03:03 CET 2014: 66: No solution found.
Sat Jan 11 19:03:03 CET 2014: 67: finished (12ms, 23cycles)
Sat Jan 11 19:03:03 CET 2014: 67: Solution found.
Sat Jan 11 19:03:03 CET 2014: 68: finished (207ms, 500cycles)
Sat Jan 11 19:03:03 CET 2014: 68: No solution found.
Sat Jan 11 19:03:03 CET 2014: 69: finished (10ms, 19cycles)
Sat Jan 11 19:03:03 CET 2014: 69: Solution found.
Sat Jan 11 19:03:03 CET 2014: 70: finished (211ms, 500cycles)
Sat Jan 11 19:03:03 CET 2014: 70: No solution found.
Sat Jan 11 19:03:03 CET 2014: 71: finished (210ms, 500cycles)
Sat Jan 11 19:03:03 CET 2014: 71: No solution found.
Sat Jan 11 19:03:04 CET 2014: 72: finished (209ms, 500cycles)
Sat Jan 11 19:03:04 CET 2014: 72: No solution found.
Sat Jan 11 19:03:04 CET 2014: 73: finished (208ms, 500cycles)
Sat Jan 11 19:03:04 CET 2014: 73: No solution found.
Sat Jan 11 19:03:04 CET 2014: 74: finished (211ms, 500cycles)
Sat Jan 11 19:03:04 CET 2014: 74: No solution found.
Sat Jan 11 19:03:04 CET 2014: 75: finished (209ms, 500cycles)
Sat Jan 11 19:03:04 CET 2014: 75: No solution found.
Sat Jan 11 19:03:04 CET 2014: 76: finished (219ms, 500cycles)
Sat Jan 11 19:03:04 CET 2014: 76: No solution found.
Sat Jan 11 19:03:05 CET 2014: 77: finished (226ms, 500cycles)
Sat Jan 11 19:03:05 CET 2014: 77: No solution found.
Sat Jan 11 19:03:05 CET 2014: 78: finished (211ms, 500cycles)
Sat Jan 11 19:03:05 CET 2014: 78: No solution found.
Sat Jan 11 19:03:05 CET 2014: 79: finished (226ms, 500cycles)
