Sat Dec 28 00:24:54 CET 2013: 45: finished (2779ms, 500cycles)
Sat Dec 28 00:24:54 CET 2013: 45: No solution found.
Sat Dec 28 00:24:57 CET 2013: 46: finished (2830ms, 500cycles)
Sat Dec 28 00:24:57 CET 2013: 46: No solution found.
Sat Dec 28 00:25:00 CET 2013: 47: finished (2915ms, 500cycles)
Sat Dec 28 00:25:00 CET 2013: 47: No solution found.
Sat Dec 28 00:25:03 CET 2013: 48: finished (2799ms, 500cycles)
Sat Dec 28 00:25:03 CET 2013: 48: No solution found.
Sat Dec 28 00:25:08 CET 2013: 49: finished (5822ms, 500cycles)
Sat Dec 28 00:25:08 CET 2013: 49: No solution found.
Sat Dec 28 00:25:11 CET 2013: 50: finished (2638ms, 500cycles)
Sat Dec 28 00:25:11 CET 2013: 50: No solution found.
Sat Dec 28 00:25:14 CET 2013: 51: finished (2942ms, 500cycles)
Sat Dec 28 00:25:14 CET 2013: 51: No solution found.
Sat Dec 28 00:25:17 CET 2013: 52: finished (2778ms, 500cycles)
Sat Dec 28 00:25:17 CET 2013: 52: No solution found.
Sat Dec 28 00:25:20 CET 2013: 53: finished (2669ms, 500cycles)
Sat Dec 28 00:25:20 CET 2013: 53: No solution found.
Sat Dec 28 00:25:22 CET 2013: 54: finished (2858ms, 500cycles)
Sat Dec 28 00:25:22 CET 2013: 54: No solution found.
Sat Dec 28 00:25:25 CET 2013: 55: finished (2885ms, 500cycles)
Sat Dec 28 00:25:25 CET 2013: 55: No solution found.
Sat Dec 28 00:25:28 CET 2013: 56: finished (2540ms, 500cycles)
Sat Dec 28 00:25:28 CET 2013: 56: No solution found.
Sat Dec 28 00:25:31 CET 2013: 57: finished (2897ms, 500cycles)
Sat Dec 28 00:25:31 CET 2013: 57: No solution found.
Sat Dec 28 00:25:31 CET 2013: 58: finished (317ms, 46cycles)
Sat Dec 28 00:25:31 CET 2013: 58: Solution found.
Sat Dec 28 00:25:31 CET 2013: 59: finished (343ms, 59cycles)
Sat Dec 28 00:25:31 CET 2013: 59: Solution found.
Sat Dec 28 00:25:34 CET 2013: 60: finished (2843ms, 500cycles)
Sat Dec 28 00:25:34 CET 2013: 60: No solution found.
Sat Dec 28 00:25:38 CET 2013: 61: finished (3878ms, 500cycles)
Sat Dec 28 00:25:38 CET 2013: 61: No solution found.
Sat Dec 28 00:25:39 CET 2013: 62: finished (1118ms, 191cycles)
Sat Dec 28 00:25:39 CET 2013: 62: Solution found.
Sat Dec 28 00:25:42 CET 2013: 63: finished (2850ms, 500cycles)
Sat Dec 28 00:25:42 CET 2013: 63: No solution found.
Sat Dec 28 00:25:43 CET 2013: 64: finished (1096ms, 143cycles)
Sat Dec 28 00:25:43 CET 2013: 64: Solution found.
Sat Dec 28 00:25:46 CET 2013: 65: finished (2945ms, 500cycles)
Sat Dec 28 00:25:46 CET 2013: 65: No solution found.
Sat Dec 28 00:25:49 CET 2013: 66: finished (2881ms, 500cycles)
Sat Dec 28 00:25:49 CET 2013: 66: No solution found.
