Sun Jan 12 00:53:30 CET 2014: 45: No solution found.
Sun Jan 12 00:53:30 CET 2014: 46: finished (328ms, 500cycles)
Sun Jan 12 00:53:30 CET 2014: 46: No solution found.
Sun Jan 12 00:53:31 CET 2014: 47: finished (366ms, 500cycles)
Sun Jan 12 00:53:31 CET 2014: 47: No solution found.
Sun Jan 12 00:53:31 CET 2014: 48: finished (309ms, 500cycles)
Sun Jan 12 00:53:31 CET 2014: 48: No solution found.
Sun Jan 12 00:53:32 CET 2014: 49: finished (421ms, 500cycles)
Sun Jan 12 00:53:32 CET 2014: 49: No solution found.
Sun Jan 12 00:53:32 CET 2014: 50: finished (273ms, 500cycles)
Sun Jan 12 00:53:32 CET 2014: 50: No solution found.
Sun Jan 12 00:53:32 CET 2014: 51: finished (290ms, 500cycles)
Sun Jan 12 00:53:32 CET 2014: 51: No solution found.
Sun Jan 12 00:53:32 CET 2014: 52: finished (305ms, 500cycles)
Sun Jan 12 00:53:32 CET 2014: 52: No solution found.
Sun Jan 12 00:53:33 CET 2014: 53: finished (350ms, 500cycles)
Sun Jan 12 00:53:33 CET 2014: 53: No solution found.
Sun Jan 12 00:53:33 CET 2014: 54: finished (367ms, 500cycles)
Sun Jan 12 00:53:33 CET 2014: 54: No solution found.
Sun Jan 12 00:53:33 CET 2014: 55: finished (321ms, 500cycles)
Sun Jan 12 00:53:33 CET 2014: 55: No solution found.
Sun Jan 12 00:53:34 CET 2014: 56: finished (296ms, 500cycles)
Sun Jan 12 00:53:34 CET 2014: 56: No solution found.
Sun Jan 12 00:53:34 CET 2014: 57: finished (372ms, 500cycles)
Sun Jan 12 00:53:34 CET 2014: 57: No solution found.
Sun Jan 12 00:53:34 CET 2014: 58: finished (264ms, 500cycles)
Sun Jan 12 00:53:34 CET 2014: 58: No solution found.
Sun Jan 12 00:53:35 CET 2014: 59: finished (383ms, 500cycles)
Sun Jan 12 00:53:35 CET 2014: 59: No solution found.
Sun Jan 12 00:53:35 CET 2014: 60: finished (330ms, 500cycles)
Sun Jan 12 00:53:35 CET 2014: 60: No solution found.
Sun Jan 12 00:53:35 CET 2014: 61: finished (316ms, 500cycles)
Sun Jan 12 00:53:35 CET 2014: 61: No solution found.
Sun Jan 12 00:53:36 CET 2014: 62: finished (305ms, 500cycles)
Sun Jan 12 00:53:36 CET 2014: 62: No solution found.
Sun Jan 12 00:53:36 CET 2014: 63: finished (386ms, 500cycles)
Sun Jan 12 00:53:36 CET 2014: 63: No solution found.
Sun Jan 12 00:53:36 CET 2014: 64: finished (299ms, 500cycles)
Sun Jan 12 00:53:36 CET 2014: 64: No solution found.
Sun Jan 12 00:53:37 CET 2014: 65: finished (290ms, 500cycles)
Sun Jan 12 00:53:37 CET 2014: 65: No solution found.
Sun Jan 12 00:53:37 CET 2014: 66: finished (317ms, 500cycles)
Sun Jan 12 00:53:37 CET 2014: 66: No solution found.
Sun Jan 12 00:53:37 CET 2014: 67: finished (334ms, 500cycles)
Sun Jan 12 00:53:37 CET 2014: 67: No solution found.
Sun Jan 12 00:53:38 CET 2014: 68: finished (335ms, 500cycles)
Sun Jan 12 00:53:38 CET 2014: 68: No solution found.
Sun Jan 12 00:53:38 CET 2014: 69: finished (287ms, 500cycles)
Sun Jan 12 00:53:38 CET 2014: 69: No solution found.
Sun Jan 12 00:53:38 CET 2014: 70: finished (292ms, 500cycles)
Sun Jan 12 00:53:38 CET 2014: 70: No solution found.
Sun Jan 12 00:53:39 CET 2014: 71: finished (307ms, 500cycles)
Sun Jan 12 00:53:39 CET 2014: 71: No solution found.
Sun Jan 12 00:53:39 CET 2014: 72: finished (295ms, 500cycles)
Sun Jan 12 00:53:39 CET 2014: 72: No solution found.
Sun Jan 12 00:53:39 CET 2014: 73: finished (305ms, 500cycles)
Sun Jan 12 00:53:39 CET 2014: 73: No solution found.
Sun Jan 12 00:53:40 CET 2014: 74: finished (339ms, 500cycles)
Sun Jan 12 00:53:40 CET 2014: 74: No solution found.
Sun Jan 12 00:53:40 CET 2014: 75: finished (361ms, 500cycles)
Sun Jan 12 00:53:40 CET 2014: 75: No solution found.
Sun Jan 12 00:53:40 CET 2014: 76: finished (300ms, 500cycles)
Sun Jan 12 00:53:40 CET 2014: 76: No solution found.
Sun Jan 12 00:53:41 CET 2014: 77: finished (326ms, 500cycles)
Sun Jan 12 00:53:41 CET 2014: 77: No solution found.
Sun Jan 12 00:53:41 CET 2014: 78: finished (377ms, 500cycles)
Sun Jan 12 00:53:41 CET 2014: 78: No solution found.
Sun Jan 12 00:53:41 CET 2014: 79: finished (394ms, 500cycles)
Sun Jan 12 00:53:41 CET 2014: 79: No solution found.
Sun Jan 12 00:53:42 CET 2014: 80: finished (278ms, 500cycles)
Sun Jan 12 00:53:42 CET 2014: 80: No solution found.
Sun Jan 12 00:53:42 CET 2014: 81: finished (416ms, 500cycles)
Sun Jan 12 00:53:42 CET 2014: 81: No solution found.
Sun Jan 12 00:53:42 CET 2014: 82: finished (275ms, 500cycles)
Sun Jan 12 00:53:42 CET 2014: 82: No solution found.
Sun Jan 12 00:53:43 CET 2014: 83: finished (354ms, 500cycles)
Sun Jan 12 00:53:43 CET 2014: 83: No solution found.
Sun Jan 12 00:53:43 CET 2014: 84: finished (254ms, 500cycles)
Sun Jan 12 00:53:43 CET 2014: 84: No solution found.
Sun Jan 12 00:53:43 CET 2014: 85: finished (307ms, 500cycles)
Sun Jan 12 00:53:43 CET 2014: 85: No solution found.
