Sat Jan 11 18:19:24 CET 2014: 45: No solution found.
Sat Jan 11 18:19:24 CET 2014: 46: finished (236ms, 500cycles)
Sat Jan 11 18:19:24 CET 2014: 46: No solution found.
Sat Jan 11 18:19:24 CET 2014: 47: finished (229ms, 500cycles)
Sat Jan 11 18:19:24 CET 2014: 47: No solution found.
Sat Jan 11 18:19:25 CET 2014: 48: finished (239ms, 500cycles)
Sat Jan 11 18:19:25 CET 2014: 48: No solution found.
Sat Jan 11 18:19:25 CET 2014: 49: finished (243ms, 500cycles)
Sat Jan 11 18:19:25 CET 2014: 49: No solution found.
Sat Jan 11 18:19:25 CET 2014: 50: finished (365ms, 500cycles)
Sat Jan 11 18:19:25 CET 2014: 50: No solution found.
Sat Jan 11 18:19:26 CET 2014: 51: finished (220ms, 500cycles)
Sat Jan 11 18:19:26 CET 2014: 51: No solution found.
Sat Jan 11 18:19:26 CET 2014: 52: finished (306ms, 500cycles)
Sat Jan 11 18:19:26 CET 2014: 52: No solution found.
Sat Jan 11 18:19:26 CET 2014: 53: finished (276ms, 500cycles)
Sat Jan 11 18:19:26 CET 2014: 53: No solution found.
Sat Jan 11 18:19:26 CET 2014: 54: finished (212ms, 500cycles)
Sat Jan 11 18:19:26 CET 2014: 54: No solution found.
Sat Jan 11 18:19:27 CET 2014: 55: finished (307ms, 500cycles)
Sat Jan 11 18:19:27 CET 2014: 55: No solution found.
Sat Jan 11 18:19:27 CET 2014: 56: finished (275ms, 500cycles)
Sat Jan 11 18:19:27 CET 2014: 56: No solution found.
Sat Jan 11 18:19:27 CET 2014: 57: finished (277ms, 500cycles)
Sat Jan 11 18:19:27 CET 2014: 57: No solution found.
Sat Jan 11 18:19:27 CET 2014: 58: finished (228ms, 500cycles)
Sat Jan 11 18:19:27 CET 2014: 58: No solution found.
Sat Jan 11 18:19:28 CET 2014: 59: finished (230ms, 500cycles)
Sat Jan 11 18:19:28 CET 2014: 59: No solution found.
Sat Jan 11 18:19:28 CET 2014: 60: finished (262ms, 500cycles)
Sat Jan 11 18:19:28 CET 2014: 60: No solution found.
Sat Jan 11 18:19:28 CET 2014: 61: finished (282ms, 500cycles)
Sat Jan 11 18:19:28 CET 2014: 61: No solution found.
Sat Jan 11 18:19:29 CET 2014: 62: finished (305ms, 500cycles)
Sat Jan 11 18:19:29 CET 2014: 62: No solution found.
Sat Jan 11 18:19:29 CET 2014: 63: finished (259ms, 500cycles)
Sat Jan 11 18:19:29 CET 2014: 63: No solution found.
Sat Jan 11 18:19:29 CET 2014: 64: finished (304ms, 500cycles)
Sat Jan 11 18:19:29 CET 2014: 64: No solution found.
Sat Jan 11 18:19:29 CET 2014: 65: finished (274ms, 500cycles)
Sat Jan 11 18:19:29 CET 2014: 65: No solution found.
Sat Jan 11 18:19:30 CET 2014: 66: finished (207ms, 500cycles)
Sat Jan 11 18:19:30 CET 2014: 66: No solution found.
Sat Jan 11 18:19:30 CET 2014: 67: finished (217ms, 500cycles)
Sat Jan 11 18:19:30 CET 2014: 67: No solution found.
Sat Jan 11 18:19:30 CET 2014: 68: finished (265ms, 500cycles)
Sat Jan 11 18:19:30 CET 2014: 68: No solution found.
Sat Jan 11 18:19:30 CET 2014: 69: finished (311ms, 500cycles)
Sat Jan 11 18:19:30 CET 2014: 69: No solution found.
Sat Jan 11 18:19:31 CET 2014: 70: finished (220ms, 500cycles)
Sat Jan 11 18:19:31 CET 2014: 70: No solution found.
Sat Jan 11 18:19:31 CET 2014: 71: finished (266ms, 500cycles)
Sat Jan 11 18:19:31 CET 2014: 71: No solution found.
Sat Jan 11 18:19:31 CET 2014: 72: finished (323ms, 500cycles)
Sat Jan 11 18:19:31 CET 2014: 72: No solution found.
Sat Jan 11 18:19:31 CET 2014: 73: finished (229ms, 500cycles)
Sat Jan 11 18:19:31 CET 2014: 73: No solution found.
Sat Jan 11 18:19:32 CET 2014: 74: finished (271ms, 500cycles)
Sat Jan 11 18:19:32 CET 2014: 74: No solution found.
Sat Jan 11 18:19:32 CET 2014: 75: finished (265ms, 500cycles)
Sat Jan 11 18:19:32 CET 2014: 75: No solution found.
Sat Jan 11 18:19:32 CET 2014: 76: finished (287ms, 500cycles)
Sat Jan 11 18:19:32 CET 2014: 76: No solution found.
Sat Jan 11 18:19:33 CET 2014: 77: finished (941ms, 500cycles)
Sat Jan 11 18:19:33 CET 2014: 77: No solution found.
Sat Jan 11 18:19:34 CET 2014: 78: finished (627ms, 500cycles)
Sat Jan 11 18:19:34 CET 2014: 78: No solution found.
Sat Jan 11 18:19:34 CET 2014: 79: finished (646ms, 500cycles)
Sat Jan 11 18:19:34 CET 2014: 79: No solution found.
Sat Jan 11 18:19:35 CET 2014: 80: finished (607ms, 500cycles)
Sat Jan 11 18:19:35 CET 2014: 80: No solution found.
Sat Jan 11 18:19:36 CET 2014: 81: finished (813ms, 500cycles)
Sat Jan 11 18:19:36 CET 2014: 81: No solution found.
Sat Jan 11 18:19:36 CET 2014: 82: finished (538ms, 500cycles)
Sat Jan 11 18:19:36 CET 2014: 82: No solution found.
Sat Jan 11 18:19:37 CET 2014: 83: finished (529ms, 500cycles)
Sat Jan 11 18:19:37 CET 2014: 83: No solution found.
Sat Jan 11 18:19:38 CET 2014: 84: finished (605ms, 500cycles)
Sat Jan 11 18:19:38 CET 2014: 84: No solution found.
Sat Jan 11 18:19:38 CET 2014: 85: finished (808ms, 500cycles)
Sat Jan 11 18:19:38 CET 2014: 85: No solution found.
Sat Jan 11 18:19:39 CET 2014: 86: finished (272ms, 500cycles)
Sat Jan 11 18:19:39 CET 2014: 86: No solution found.
Sat Jan 11 18:19:39 CET 2014: 87: finished (306ms, 500cycles)
Sat Jan 11 18:19:39 CET 2014: 87: No solution found.
Sat Jan 11 18:19:39 CET 2014: 88: finished (234ms, 500cycles)
Sat Jan 11 18:19:39 CET 2014: 88: No solution found.
Sat Jan 11 18:19:39 CET 2014: 89: finished (212ms, 500cycles)
Sat Jan 11 18:19:39 CET 2014: 89: No solution found.
Sat Jan 11 18:19:40 CET 2014: 90: finished (253ms, 500cycles)
Sat Jan 11 18:19:40 CET 2014: 90: No solution found.
Sat Jan 11 18:19:40 CET 2014: 91: finished (232ms, 500cycles)
Sat Jan 11 18:19:40 CET 2014: 91: No solution found.
Sat Jan 11 18:19:40 CET 2014: 92: finished (223ms, 500cycles)
Sat Jan 11 18:19:40 CET 2014: 92: No solution found.
Sat Jan 11 18:19:40 CET 2014: 93: finished (285ms, 500cycles)
Sat Jan 11 18:19:40 CET 2014: 93: No solution found.
Sat Jan 11 18:19:41 CET 2014: 94: finished (256ms, 500cycles)
Sat Jan 11 18:19:41 CET 2014: 94: No solution found.
Sat Jan 11 18:19:41 CET 2014: 95: finished (239ms, 500cycles)
Sat Jan 11 18:19:41 CET 2014: 95: No solution found.
Sat Jan 11 18:19:41 CET 2014: 96: finished (279ms, 500cycles)
Sat Jan 11 18:19:41 CET 2014: 96: No solution found.
Sat Jan 11 18:19:41 CET 2014: 97: finished (214ms, 500cycles)
Sat Jan 11 18:19:41 CET 2014: 97: No solution found.
Sat Jan 11 18:19:42 CET 2014: 98: finished (261ms, 500cycles)
Sat Jan 11 18:19:42 CET 2014: 98: No solution found.
Sat Jan 11 18:19:42 CET 2014: 99: finished (214ms, 500cycles)
Sat Jan 11 18:19:42 CET 2014: 99: No solution found.
Sat Jan 11 18:19:42 CET 2014: Solution Found: 0
Sat Jan 11 18:19:42 CET 2014: Avg cycles: 48
Sat Jan 11 18:19:42 CET 2014: Max cycles: 0
Sat Jan 11 18:19:42 CET 2014: Min cycles: 10000
Sat Jan 11 18:19:42 CET 2014: No solution found: 100
Sat Jan 11 18:19:42 CET 2014: logging finished. (runtime: 33496ms)
