Sat Jan 11 18:39:52 CET 2014: Problem Count: 40
Sat Jan 11 18:39:52 CET 2014: CandidatesCount: 50
Sat Jan 11 18:39:52 CET 2014: Max Cycles: 500
Sat Jan 11 18:39:53 CET 2014: 0: finished (359ms, 500cycles)
Sat Jan 11 18:39:53 CET 2014: 0: No solution found.
Sat Jan 11 18:39:53 CET 2014: 1: finished (431ms, 500cycles)
Sat Jan 11 18:39:53 CET 2014: 1: No solution found.
Sat Jan 11 18:39:53 CET 2014: 2: finished (424ms, 500cycles)
Sat Jan 11 18:39:53 CET 2014: 2: No solution found.
Sat Jan 11 18:39:55 CET 2014: 3: finished (1169ms, 500cycles)
Sat Jan 11 18:39:55 CET 2014: 3: No solution found.
Sat Jan 11 18:39:56 CET 2014: 4: finished (1142ms, 500cycles)
Sat Jan 11 18:39:56 CET 2014: 4: No solution found.
Sat Jan 11 18:39:57 CET 2014: 5: finished (1492ms, 500cycles)
Sat Jan 11 18:39:57 CET 2014: 5: No solution found.
Sat Jan 11 18:39:59 CET 2014: 6: finished (1312ms, 500cycles)
Sat Jan 11 18:39:59 CET 2014: 6: No solution found.
Sat Jan 11 18:40:00 CET 2014: 7: finished (1209ms, 500cycles)
Sat Jan 11 18:40:00 CET 2014: 7: No solution found.
Sat Jan 11 18:40:00 CET 2014: 8: finished (422ms, 500cycles)
Sat Jan 11 18:40:00 CET 2014: 8: No solution found.
Sat Jan 11 18:40:01 CET 2014: 9: finished (410ms, 500cycles)
Sat Jan 11 18:40:01 CET 2014: 9: No solution found.
Sat Jan 11 18:40:01 CET 2014: 10: finished (521ms, 500cycles)
Sat Jan 11 18:40:01 CET 2014: 10: No solution found.
Sat Jan 11 18:40:02 CET 2014: 11: finished (397ms, 500cycles)
Sat Jan 11 18:40:02 CET 2014: 11: No solution found.
Sat Jan 11 18:40:02 CET 2014: 12: finished (412ms, 500cycles)
Sat Jan 11 18:40:02 CET 2014: 12: No solution found.
Sat Jan 11 18:40:02 CET 2014: 13: finished (435ms, 500cycles)
Sat Jan 11 18:40:02 CET 2014: 13: No solution found.
Sat Jan 11 18:40:03 CET 2014: 14: finished (428ms, 500cycles)
Sat Jan 11 18:40:03 CET 2014: 14: No solution found.
Sat Jan 11 18:40:03 CET 2014: 15: finished (461ms, 500cycles)
Sat Jan 11 18:40:03 CET 2014: 15: No solution found.
Sat Jan 11 18:40:04 CET 2014: 16: finished (491ms, 500cycles)
Sat Jan 11 18:40:04 CET 2014: 16: No solution found.
Sat Jan 11 18:40:04 CET 2014: 17: finished (559ms, 500cycles)
Sat Jan 11 18:40:04 CET 2014: 17: No solution found.
Sat Jan 11 18:40:05 CET 2014: 18: finished (531ms, 500cycles)
Sat Jan 11 18:40:05 CET 2014: 18: No solution found.
Sat Jan 11 18:40:05 CET 2014: 19: finished (533ms, 500cycles)
Sat Jan 11 18:40:05 CET 2014: 19: No solution found.
Sat Jan 11 18:40:06 CET 2014: 20: finished (400ms, 500cycles)
Sat Jan 11 18:40:06 CET 2014: 20: No solution found.
Sat Jan 11 18:40:06 CET 2014: 21: finished (433ms, 500cycles)
Sat Jan 11 18:40:06 CET 2014: 21: No solution found.
Sat Jan 11 18:40:07 CET 2014: 22: finished (402ms, 500cycles)
Sat Jan 11 18:40:07 CET 2014: 22: No solution found.
Sat Jan 11 18:40:07 CET 2014: 23: finished (474ms, 500cycles)
Sat Jan 11 18:40:07 CET 2014: 23: No solution found.
Sat Jan 11 18:40:08 CET 2014: 24: finished (531ms, 500cycles)
Sat Jan 11 18:40:08 CET 2014: 24: No solution found.
Sat Jan 11 18:40:08 CET 2014: 25: finished (446ms, 500cycles)
Sat Jan 11 18:40:08 CET 2014: 25: No solution found.
Sat Jan 11 18:40:09 CET 2014: 26: finished (418ms, 500cycles)
Sat Jan 11 18:40:09 CET 2014: 26: No solution found.
Sat Jan 11 18:40:09 CET 2014: 27: finished (524ms, 500cycles)
Sat Jan 11 18:40:09 CET 2014: 27: No solution found.
Sat Jan 11 18:40:10 CET 2014: 28: finished (1044ms, 500cycles)
Sat Jan 11 18:40:10 CET 2014: 28: No solution found.
Sat Jan 11 18:40:11 CET 2014: 29: finished (1309ms, 500cycles)
